sample_id,profile_id,speed_rpm,torque_nm,voltage_v,temperature_c,ambient_temp_c,efficiency
45,6,64621.8,0.01635,36.457,58.271,24.645,0.54826
46,2,19259.3,0.05612,48.218,42.513,32.456,0.82906
47,5,54222.1,0.02425,35.957,51.79,25.578,0.6979
48,1,16639.0,0.01767,47.928,42.587,34.655,0.63866
49,4,36096.6,0.04341,48.074,43.762,32.099,0.91295
50,6,64313.1,0.0149,48.764,62.851,32.756,0.55873
51,1,5000.0,0.0115,24.108,37.004,32.149,0.42722
52,4,40798.8,0.04611,60.56,35.591,21.359,0.86076
53,3,35907.1,0.06144,60.182,42.398,23.659,0.89683
54,5,48845.6,0.04905,58.845,48.613,20.335,0.81077
55,2,18261.1,0.05566,24.032,36.184,21.277,0.80914
56,4,45730.1,0.03527,36.274,45.25,27.267,0.81736
57,5,51884.9,0.04214,48.237,47.138,26.159,0.79677
58,5,51766.8,0.02834,35.82,43.254,25.412,0.78497
59,1,9096.0,0.02577,59.889,38.316,28.963,0.54277
60,5,54012.3,0.02952,36.048,53.956,25.689,0.74751
61,1,8829.0,0.03574,47.976,41.551,27.295,0.49783
62,5,53906.3,0.03059,23.944,51.92,28.998,0.77475
63,5,51429.7,0.03103,47.86,50.076,27.867,0.76172
64,5,57674.1,0.0313,36.146,52.426,23.909,0.74038
65,6,57767.7,0.02865,47.689,52.115,21.181,0.74576
66,5,57208.3,0.0413,48.379,65.895,24.171,0.74349
67,2,14136.6,0.03945,24.364,41.019,27.03,0.66218
68,2,16727.9,0.06856,36.432,47.956,33.323,0.80819
69,3,28517.9,0.04292,47.398,37.548,28.728,0.82503
70,5,53422.7,0.04991,24.565,68.581,28.552,0.78045
71,1,5000.0,0.03823,61.004,43.467,31.852,0.74075
72,3,29496.9,0.06302,48.364,46.826,34.528,0.8842
73,1,13823.1,0.02586,35.789,41.407,30.25,0.58371
74,5,54818.4,0.02744,36.131,48.481,31.671,0.75821
75,2,17046.8,0.05601,60.032,40.108,28.703,0.70451
76,6,62918.9,0.01114,34.839,56.419,29.693,0.55093
77,4,41756.0,0.04676,25.139,45.71,30.305,0.87228
78,3,26087.9,0.06924,24.004,42.182,26.258,0.85033
79,5,55088.9,0.04599,35.583,74.113,34.333,0.74629
80,6,61673.0,0.02554,35.849,58.909,20.892,0.6332
81,1,5477.5,0.03667,48.492,31.399,25.501,0.45592
82,4,43416.8,0.04529,24.47,43.089,27.36,0.89827
83,5,46503.6,0.04034,59.614,56.533,34.864,0.78316
84,1,10076.5,0.03943,48.258,42.749,33.179,0.70553
85,4,48467.9,0.04043,60.249,51.248,25.536,0.78828
86,3,35131.8,0.05602,37.037,34.263,21.342,0.92503
87,4,41963.8,0.04802,24.175,49.785,32.16,0.85293
88,3,31359.9,0.04327,47.802,43.106,24.876,0.86611
89,1,14727.7,0.02639,23.696,35.889,25.227,0.59521
90,5,47100.1,0.04022,48.405,45.74,30.317,0.82362
91,6,63172.2,0.00856,35.597,53.788,31.802,0.46323
92,4,34699.6,0.07421,23.834,58.183,34.409,0.83278
93,3,31968.7,0.05143,47.721,46.283,33.452,0.86352
94,1,15853.1,0.0168,35.485,35.507,23.661,0.54471
95,3,40653.7,0.05669,47.551,52.884,34.068,0.8459
96,2,12170.4,0.05565,47.052,39.729,22.578,0.62869
97,3,28472.7,0.0409,48.538,40.71,29.1,0.81212
98,3,34215.7,0.03624,47.737,34.451,23.822,0.88158
99,4,47851.7,0.05937,60.778,58.98,26.821,0.81561
100,2,14260.7,0.0474,23.329,45.719,33.775,0.72001
101,3,25599.5,0.03063,35.763,48.242,34.148,0.73844
102,1,8254.8,0.02972,60.308,29.326,25.045,0.47845
103,1,10152.0,0.04046,36.289,47.007,33.067,0.53008
104,5,47446.8,0.04327,35.382,52.277,32.608,0.84674
105,2,17499.9,0.02739,35.492,38.955,24.703,0.68729
106,6,62954.4,0.01811,36.016,55.628,20.1,0.61924
107,3,38403.3,0.03578,35.897,44.081,32.46,0.80192
108,2,18058.3,0.04174,35.402,33.819,22.683,0.68909
109,5,52628.9,0.04713,59.906,53.693,24.261,0.80911
110,6,64807.9,0.00994,48.469,55.65,28.072,0.51287
111,4,42965.7,0.04188,23.452,47.053,34.228,0.84784
112,3,33335.9,0.06351,35.999,43.046,28.876,0.9063
113,2,17482.8,0.03762,47.5,38.388,22.42,0.66771
114,3,22947.4,0.0782,35.842,45.125,25.727,0.85057
115,3,25617.7,0.04862,59.348,40.043,30.856,0.95353
116,5,47566.1,0.03861,48.188,48.639,22.868,0.82784
117,4,42672.4,0.05848,59.578,53.569,32.754,0.85841
118,5,54538.6,0.02623,36.077,54.008,30.689,0.74364
119,5,55766.9,0.03258,48.283,59.305,28.668,0.72007
120,4,39354.3,0.0502,59.664,32.925,22.071,0.93224
121,3,35218.0,0.05151,36.598,42.626,30.258,0.9423
122,3,30266.7,0.0525,35.483,36.994,25.851,0.96
123,5,58013.0,0.03564,59.455,63.161,30.275,0.77088
124,1,12616.7,0.01779,48.334,42.114,30.043,0.55736
125,4,43704.6,0.03561,24.164,40.666,26.193,0.80252
126,4,36181.9,0.06581,46.973,45.24,33.51,0.96
127,1,5000.0,0.02826,59.659,38.401,33.639,0.63927
128,2,18835.3,0.03927,60.172,40.878,29.65,0.68379
129,1,12093.5,0.05995,48.247,34.226,24.107,0.84691
130,2,20088.4,0.00984,60.363,27.54,24.906,0.63849
131,1,10825.1,0.01777,49.131,42.503,33.344,0.53873
132,1,5000.0,0.03007,48.581,33.001,25.723,0.32982
133,3,22487.6,0.04276,47.92,42.891,28.849,0.77783
134,6,65000.0,0.01745,23.745,66.943,26.687,0.57861
135,4,42321.6,0.07189,60.177,73.491,24.044,0.74587
136,1,10104.8,0.02663,60.385,45.672,32.298,0.40616
137,3,27581.3,0.05867,47.784,36.05,22.567,0.90725
138,6,60674.0,0.02625,47.675,59.121,21.281,0.64851
139,6,62855.0,0.02094,24.055,67.392,30.644,0.6375
140,4,38393.6,0.06055,36.028,38.907,21.049,0.84067
141,2,14233.6,0.06026,47.629,41.388,25.122,0.74013
142,3,33231.6,0.05175,48.04,40.1,29.505,0.89525
143,2,20789.6,0.03994,24.166,37.126,30.158,0.82067
144,1,6156.5,0.03283,47.445,38.796,30.617,0.64688
145,5,60305.0,0.02825,48.214,69.896,30.411,0.66171
146,4,44450.6,0.06462,36.522,58.035,20.275,0.78641
147,1,7093.0,0.03632,59.626,32.168,29.081,0.6575
148,4,44199.4,0.04816,60.293,43.155,25.427,0.83427
149,6,59292.5,0.02381,36.527,63.655,31.4,0.67951
150,3,20732.2,0.05368,59.533,41.682,26.3,0.75376
151,3,27471.2,0.06362,35.796,49.861,31.654,0.84722
152,5,58625.7,0.03381,35.949,67.581,31.145,0.69518
153,1,13654.2,0.01713,60.344,38.961,30.681,0.43097
154,1,11861.2,0.02223,59.117,32.413,20.484,0.90277
155,5,59118.2,0.03631,48.089,58.213,26.179,0.75643
156,1,10205.7,0.07131,36.617,47.739,29.62,0.65585
157,4,37993.6,0.05623,48.029,45.65,33.011,0.85628
158,1,10956.9,0.03415,48.393,33.885,24.915,0.62721
159,1,6736.0,0.02868,24.124,34.626,26.971,0.53843
160,4,45253.4,0.05208,23.822,50.646,26.367,0.83583
161,4,39894.2,0.05713,60.379,50.566,31.221,0.82678
162,4,36463.0,0.07213,47.729,60.156,31.603,0.81773
163,2,20312.5,0.04837,59.792,35.647,22.267,0.71715
164,5,59420.1,0.03944,24.533,80.223,31.156,0.71937
165,5,53904.5,0.02822,47.637,54.437,28.497,0.76178
166,6,62906.4,0.00773,24.789,48.488,29.554,0.53733
167,4,42296.7,0.05719,59.596,45.169,26.412,0.85692
168,2,23215.1,0.03658,36.458,47.107,30.153,0.72168
169,3,35429.5,0.0246,47.693,37.541,21.764,0.73437
170,5,58549.5,0.03472,60.162,64.447,31.775,0.73372
171,6,60777.1,0.00933,36.136,43.881,20.215,0.58774
172,1,9907.1,0.04404,24.6,48.325,33.869,0.554
173,3,26198.6,0.04469,24.515,47.364,34.561,0.82342
174,6,64781.3,0.02427,24.511,81.293,26.695,0.58768
175,6,60031.0,0.01693,36.562,59.926,29.24,0.58271
176,1,16502.7,0.01023,47.91,34.507,27.144,0.55366
177,5,48522.4,0.0516,35.923,51.345,25.072,0.79192
178,1,8994.5,0.01877,60.668,32.829,25.364,0.45923
179,3,27714.3,0.07479,24.341,46.003,25.897,0.84131
180,4,43267.6,0.05312,48.472,55.18,32.895,0.86928
181,4,41242.7,0.06243,47.288,56.112,34.997,0.86161
182,6,61010.5,0.01091,36.565,48.734,21.351,0.58264
183,2,13340.6,0.07263,36.509,49.343,32.21,0.8236
184,4,45101.8,0.04602,48.847,36.35,25.848,0.80172
185,6,62254.2,0.02937,48.225,83.063,33.545,0.60641
186,2,20036.0,0.0551,23.483,45.465,32.522,0.78451
187,2,17078.3,0.04347,35.647,44.16,29.584,0.62509
188,3,28269.8,0.05408,59.959,46.167,33.59,0.83454
189,6,61954.8,0.01871,59.631,59.749,23.037,0.6093
190,4,34280.1,0.05251,48.131,42.08,33.405,0.95739
191,5,51806.4,0.02964,59.743,46.066,26.753,0.74936
192,4,42643.0,0.07065,59.458,45.759,20.262,0.88685
193,2,21228.4,0.04711,48.227,42.521,31.446,0.83366
194,6,59434.1,0.02734,24.392,60.411,23.584,0.70103
195,4,39275.9,0.06675,36.137,51.443,21.871,0.82918
196,4,42718.5,0.05874,47.322,39.591,20.021,0.85998
197,5,56548.1,0.0271,60.813,62.649,34.01,0.77581
198,3,25617.3,0.06453,37.134,43.44,26.315,0.82059
199,6,60324.5,0.01719,36.242,55.115,29.793,0.63383
200,6,59090.6,0.02182,24.531,57.195,22.921,0.63505
201,4,45369.3,0.06562,59.809,54.78,22.925,0.81645
202,1,21359.2,0.0249,36.144,29.431,20.462,0.66944
203,2,17619.7,0.02664,24.465,30.934,21.99,0.66806
204,5,58257.1,0.03971,36.139,77.178,29.847,0.69078
205,1,9374.2,0.02117,35.761,29.967,23.876,0.53021
206,4,49649.9,0.04849,35.232,58.048,26.924,0.78205
207,4,40056.2,0.06286,47.366,49.702,32.992,0.86285
208,2,15253.1,0.03623,24.38,33.934,22.867,0.65186
209,6,64588.6,0.01603,48.3,73.297,31.826,0.58818
210,1,7597.1,0.01121,23.472,29.28,26.979,0.43531
211,3,21877.9,0.0691,48.343,38.904,22.299,0.8107
212,6,62077.9,0.01723,47.81,56.277,21.914,0.59469
213,1,6133.7,0.0578,36.034,34.23,21.45,0.54036
214,2,15105.2,0.06765,47.807,50.99,33.543,0.71113
215,5,63262.6,0.03464,23.68,99.496,31.289,0.61099
216,3,32321.8,0.04188,36.061,47.74,32.715,0.80777
217,1,5163.3,0.01148,35.821,26.651,29.254,0.96
218,4,42899.4,0.04173,60.679,45.746,31.094,0.87299
219,6,57579.0,0.03063,60.532,56.118,25.117,0.72549
220,4,42530.0,0.0416,47.925,37.579,25.401,0.88772
221,5,53681.8,0.03432,47.722,51.473,27.814,0.81605
222,6,53426.8,0.0273,47.413,46.342,20.012,0.74227
223,1,13604.6,0.0207,48.444,45.531,34.492,0.61453
224,5,50479.8,0.02943,36.142,41.858,25.831,0.80328
225,6,61312.0,0.02308,47.699,63.793,32.188,0.686
226,4,34635.8,0.05141,35.709,40.362,30.314,0.89185
227,2,12297.9,0.05752,60.226,40.549,25.438,0.88097
228,1,5199.8,0.05433,47.195,35.708,29.256,0.62306
229,1,11556.4,0.02348,47.288,39.873,34.812,0.66526
230,1,14896.4,0.01041,48.378,36.386,29.355,0.5767
231,2,24728.6,0.03413,36.446,41.32,25.642,0.69568
232,4,38172.0,0.06512,47.933,50.0,30.394,0.87345
233,2,17052.7,0.0244,36.607,38.695,25.6,0.61457
234,3,29433.6,0.07031,47.809,41.013,25.267,0.90773
235,2,18446.3,0.06467,36.263,45.676,26.192,0.79497
236,3,22214.9,0.07954,23.905,42.691,22.159,0.79559
237,3,31288.3,0.05221,24.16,39.686,27.911,0.84813
238,3,22025.0,0.05911,47.883,48.925,34.95,0.81746
239,4,47020.4,0.05196,36.644,52.548,29.313,0.84515
240,2,20395.9,0.03685,59.946,33.438,25.466,0.69809
241,6,58069.2,0.01806,35.926,46.774,22.665,0.63344
242,6,65000.0,0.02755,35.368,87.636,28.28,0.59161
243,2,18158.0,0.0595,23.927,39.08,23.129,0.77208
244,3,32207.5,0.05122,48.247,42.821,33.928,0.9041
245,5,55758.0,0.03819,48.168,57.323,25.534,0.76519
246,3,29936.7,0.04234,36.361,36.618,25.137,0.88169
247,3,28168.3,0.06813,59.761,50.763,33.49,0.84156
248,2,15384.5,0.01928,23.58,37.809,29.468,0.58664
249,4,44520.4,0.06826,60.012,62.616,28.858,0.75158
250,6,63233.6,0.02334,59.938,68.824,25.104,0.6288
251,3,34240.9,0.05442,24.439,49.811,32.893,0.84513
252,1,10572.5,0.02878,48.516,30.151,20.21,0.62468
253,2,16276.3,0.03609,23.841,42.685,33.735,0.72107
254,6,61276.9,0.02449,35.905,67.806,24.51,0.62844
255,3,27492.7,0.03908,48.325,28.142,20.565,0.76726
256,5,47555.0,0.04531,24.12,54.616,31.55,0.80784
257,3,31100.0,0.05053,23.589,34.261,22.216,0.8621
258,4,42262.0,0.05597,35.794,46.151,28.503,0.8743
259,2,23702.7,0.03218,59.621,40.538,30.495,0.76676
260,6,54826.7,0.02919,59.249,49.958,26.084,0.75819
261,3,27046.7,0.05753,36.702,42.002,29.274,0.81527
262,6,62398.8,0.02512,48.135,64.047,24.936,0.68262
263,4,47774.4,0.04443,35.53,52.109,32.831,0.83043
264,2,17973.1,0.03363,24.051,45.583,33.543,0.6227
265,5,53128.7,0.03697,59.678,51.533,22.489,0.80131
266,4,45577.5,0.06696,60.157,51.853,20.866,0.8118
267,1,5562.0,0.03671,36.776,31.574,24.866,0.60789
268,1,16990.3,0.01018,48.129,30.857,22.059,0.39429
269,2,17337.2,0.02884,35.062,44.915,34.576,0.80467
270,3,34279.8,0.05378,59.729,34.109,23.058,0.86809
271,5,59281.4,0.02904,23.997,75.429,33.427,0.69485
272,3,22331.7,0.0477,36.089,38.955,25.261,0.81655
273,4,48931.1,0.05818,47.753,72.356,33.343,0.78062
274,2,16710.4,0.05333,59.569,45.123,32.89,0.66492
275,2,10488.9,0.02799,36.307,41.936,32.149,0.45474
276,3,32674.3,0.04803,47.849,37.046,26.933,0.81351
277,3,25806.7,0.05712,48.447,36.202,25.372,0.88519
278,5,47182.8,0.03125,60.009,49.727,30.581,0.80332
279,1,11706.1,0.01076,35.93,32.838,24.902,0.53128
280,1,11485.6,0.0508,48.321,37.238,24.566,0.61302
281,6,65000.0,0.02638,59.88,81.477,22.005,0.57099
282,6,65000.0,0.01955,23.811,71.16,26.532,0.59502
283,3,44806.5,0.0571,35.776,48.577,30.879,0.88004
284,1,10728.5,0.01087,36.523,32.825,29.88,0.65123
285,5,44715.2,0.01881,47.679,49.916,32.881,0.83252
286,5,56371.7,0.03603,48.149,64.527,32.043,0.73351
287,6,62457.2,0.03222,47.608,78.994,27.54,0.63869
288,5,41545.2,0.03726,47.93,44.794,33.466,0.86106
289,4,37357.5,0.06643,60.251,50.261,33.606,0.83113
290,3,23777.0,0.06421,47.662,33.925,20.245,0.84928
291,6,65000.0,0.01774,47.287,60.779,26.167,0.60605
292,2,7141.7,0.05408,23.707,35.576,22.557,0.56368
293,2,17086.6,0.05502,60.463,40.739,26.934,0.66497
294,2,16174.8,0.04663,48.661,38.651,27.155,0.72826
295,2,7385.2,0.05252,60.317,34.827,23.465,0.64308
296,3,26869.0,0.05179,36.171,43.33,28.553,0.84952
297,2,26247.0,0.05155,24.092,37.291,25.074,0.84521
298,6,56822.2,0.0299,59.458,64.31,32.348,0.72747
299,4,40384.8,0.05383,48.107,40.217,31.621,0.88885
300,2,12242.1,0.06079,48.233,34.336,20.353,0.67325
