sample_id,output_power_w,true_mode_label,mode_id,anomaly_flag,health_score,maintenance_priority
120,2635.144,nominal,1,0,1.0,low
121,7499.482,high_load,2,0,0.94615,low
122,7483.633,high_load,2,0,0.9763,low
123,404.827,idle,0,0,1.0,low
124,9018.135,high_load,2,0,0.94858,low
125,8677.22,high_load,2,0,0.95388,low
126,1482.601,sensor_drift,5,1,1.0,low
127,4616.457,cooling_degraded,3,1,0.92727,low
128,291.699,idle,0,0,1.0,low
129,8625.548,high_load,2,0,0.90649,low
130,2700.218,nominal,1,0,1.0,low
131,426.138,idle,0,0,1.0,low
132,4863.317,cooling_degraded,3,1,0.93371,low
133,7770.608,high_load,2,0,0.91547,low
134,2090.898,nominal,1,0,1.0,low
135,2756.262,nominal,1,0,1.0,low
136,2851.215,nominal,1,0,1.0,low
137,380.82,idle,0,0,1.0,low
138,3705.441,cooling_degraded,3,1,0.9102,low
139,2519.776,nominal,1,0,1.0,low
140,337.918,idle,0,0,1.0,low
141,3336.978,cooling_degraded,3,1,0.89483,low
142,2109.334,nominal,1,0,1.0,low
143,2971.51,nominal,1,0,1.0,low
144,7349.738,high_load,2,0,0.84819,low
145,308.87,idle,0,0,1.0,low
146,3493.099,nominal,1,0,1.0,low
147,2268.564,nominal,1,0,1.0,low
148,2015.325,vibration_alarm,4,1,0.91264,low
149,1809.783,vibration_alarm,4,1,0.79038,low
150,8369.736,high_load,2,0,0.90652,low
151,498.749,idle,0,0,1.0,low
152,8705.889,high_load,2,0,0.92735,low
153,4747.598,cooling_degraded,3,1,0.92601,low
154,4503.252,cooling_degraded,3,1,0.93026,low
155,433.095,idle,0,0,1.0,low
156,402.337,idle,0,0,1.0,low
157,3102.429,cooling_degraded,3,1,0.90841,low
158,3207.91,nominal,1,0,1.0,low
159,2076.691,nominal,1,0,1.0,low
160,9752.157,high_load,2,0,0.94816,low
161,6932.553,high_load,2,0,0.92695,low
162,2628.821,nominal,1,0,1.0,low
163,387.327,idle,0,0,1.0,low
164,1786.701,nominal,1,0,1.0,low
165,2557.889,nominal,1,0,1.0,low
166,2784.102,nominal,1,0,1.0,low
167,2378.045,nominal,1,0,1.0,low
168,4669.638,cooling_degraded,3,1,0.92263,low
169,405.915,idle,0,0,1.0,low
170,6714.349,high_load,2,0,0.93225,low
171,9281.564,high_load,2,0,0.95759,low
172,1409.041,sensor_drift,5,1,1.0,low
173,372.9,idle,0,0,1.0,low
174,323.668,idle,0,0,1.0,low
175,9478.793,high_load,2,0,0.91521,low
176,2815.419,nominal,1,0,1.0,low
177,340.754,idle,0,0,1.0,low
178,360.755,idle,0,0,1.0,low
179,427.038,idle,0,0,1.0,low
180,2727.108,nominal,1,0,1.0,low
181,3413.875,cooling_degraded,3,1,0.93634,low
182,3026.888,nominal,1,0,1.0,low
183,2047.743,vibration_alarm,4,1,0.8961,low
184,389.433,idle,0,0,1.0,low
185,3334.538,cooling_degraded,3,1,0.93173,low
186,1117.105,sensor_drift,5,1,1.0,low
187,2919.858,nominal,1,0,1.0,low
188,411.084,idle,0,0,1.0,low
189,1455.664,sensor_drift,5,1,1.0,low
190,2697.025,nominal,1,0,1.0,low
191,7000.646,high_load,2,0,0.94556,low
192,3034.044,nominal,1,0,1.0,low
193,1661.315,vibration_alarm,4,1,0.86976,low
194,6934.373,high_load,2,0,0.99235,low
195,3491.015,nominal,1,0,1.0,low
196,2437.83,nominal,1,0,1.0,low
197,1435.875,sensor_drift,5,1,1.0,low
198,4022.316,cooling_degraded,3,1,0.92927,low
199,4322.639,cooling_degraded,3,1,0.92616,low
200,8638.379,high_load,2,0,0.91267,low
201,7125.322,high_load,2,0,0.90516,low
202,2129.198,vibration_alarm,4,1,0.89559,low
203,1671.261,sensor_drift,5,1,1.0,low
204,2193.318,nominal,1,0,1.0,low
205,2471.127,nominal,1,0,1.0,low
206,1799.549,vibration_alarm,4,1,0.75854,low
207,4583.663,cooling_degraded,3,1,0.92054,low
208,7235.219,high_load,2,0,0.88559,low
209,6635.888,high_load,2,0,0.98027,low
210,3698.882,cooling_degraded,3,1,0.93983,low
211,352.042,idle,0,0,1.0,low
212,402.447,idle,0,0,1.0,low
213,356.459,idle,0,0,1.0,low
214,8144.204,high_load,2,0,0.9778,low
215,2454.807,nominal,1,0,1.0,low
216,2503.379,nominal,1,0,1.0,low
217,401.008,idle,0,0,1.0,low
218,1887.88,vibration_alarm,4,1,0.74425,low
219,2675.314,nominal,1,0,1.0,low
220,437.994,idle,0,0,1.0,low
221,1670.111,vibration_alarm,4,1,0.77332,low
222,7062.13,high_load,2,0,1.0,low
223,2909.235,nominal,1,0,1.0,low
224,4702.98,cooling_degraded,3,1,0.90412,low
225,2471.498,nominal,1,0,1.0,low
226,1442.959,sensor_drift,5,1,1.0,low
227,1989.943,vibration_alarm,4,1,0.79548,low
228,322.731,idle,0,0,1.0,low
229,404.449,idle,0,0,1.0,low
230,7084.051,high_load,2,0,0.90043,low
231,5984.244,high_load,2,0,0.97945,low
232,2855.464,nominal,1,0,1.0,low
233,4764.473,cooling_degraded,3,1,0.92673,low
234,4054.569,cooling_degraded,3,1,0.94156,low
235,2432.205,nominal,1,0,1.0,low
236,5112.879,cooling_degraded,3,1,0.90584,low
237,1700.112,vibration_alarm,4,1,0.92635,low
238,467.305,idle,0,0,1.0,low
239,552.266,idle,0,0,1.0,low
240,4827.081,high_load,2,0,0.93938,low
241,503.737,idle,0,0,1.0,low
242,3852.992,cooling_degraded,3,1,0.91286,low
243,2544.373,nominal,1,0,1.0,low
244,371.103,idle,0,0,1.0,low
245,7321.886,high_load,2,0,0.9471,low
246,8339.898,high_load,2,0,0.94679,low
247,8317.324,high_load,2,0,0.92853,low
248,1333.846,sensor_drift,5,1,1.0,low
249,325.904,idle,0,0,1.0,low
250,401.449,idle,0,0,1.0,low
251,332.282,idle,0,0,1.0,low
252,2763.506,nominal,1,0,1.0,low
253,1494.376,sensor_drift,5,1,1.0,low
254,300.101,idle,0,0,1.0,low
255,1950.779,vibration_alarm,4,1,0.86555,low
256,9403.057,high_load,2,0,0.95329,low
257,2376.655,vibration_alarm,4,1,0.9215,low
258,2616.195,nominal,1,0,1.0,low
259,2340.939,nominal,1,0,1.0,low
260,6432.033,high_load,2,0,0.87947,low
261,2882.901,nominal,1,0,1.0,low
262,4013.494,cooling_degraded,3,1,0.91606,low
263,3026.302,nominal,1,0,1.0,low
264,2656.807,nominal,1,0,1.0,low
265,1890.66,vibration_alarm,4,1,0.86785,low
266,2019.375,vibration_alarm,4,1,0.74521,low
267,398.836,idle,0,0,1.0,low
268,6020.587,high_load,2,0,0.90957,low
269,2733.13,nominal,1,0,1.0,low
270,7344.888,high_load,2,0,0.9135,low
271,3165.956,nominal,1,0,1.0,low
272,2613.057,nominal,1,0,1.0,low
273,8150.254,high_load,2,0,0.86798,low
274,2033.29,nominal,1,0,1.0,low
275,1292.262,sensor_drift,5,1,1.0,low
276,2737.042,nominal,1,0,1.0,low
277,4336.704,cooling_degraded,3,1,0.94913,low
278,2052.201,nominal,1,0,1.0,low
279,3301.686,nominal,1,0,1.0,low
280,5005.441,cooling_degraded,3,1,0.92875,low
281,2212.253,vibration_alarm,4,1,0.7755,low
282,2339.778,vibration_alarm,4,1,0.7808,low
283,6752.211,high_load,2,0,0.95392,low
284,2486.379,nominal,1,0,1.0,low
285,362.494,idle,0,0,1.0,low
286,1563.687,sensor_drift,5,1,1.0,low
287,2065.056,vibration_alarm,4,1,0.88868,low
288,7638.847,high_load,2,0,0.94611,low
289,2817.819,nominal,1,0,1.0,low
290,2882.228,nominal,1,0,1.0,low
291,3999.633,cooling_degraded,3,1,0.91078,low
292,3963.71,cooling_degraded,3,1,0.92924,low
293,2202.844,vibration_alarm,4,1,0.80793,low
294,7275.475,high_load,2,0,0.91341,low
295,2963.954,nominal,1,0,1.0,low
296,2839.123,nominal,1,0,1.0,low
297,2329.235,vibration_alarm,4,1,0.9029,low
298,5057.144,cooling_degraded,3,1,0.93007,low
299,7315.478,high_load,2,0,0.95914,low
300,1712.696,vibration_alarm,4,1,0.83687,low
301,441.231,idle,0,0,1.0,low
302,323.358,idle,0,0,1.0,low
303,1532.659,sensor_drift,5,1,1.0,low
304,3083.207,nominal,1,0,1.0,low
305,456.365,idle,0,0,1.0,low
306,406.177,idle,0,0,1.0,low
307,4413.345,cooling_degraded,3,1,0.92638,low
308,8055.559,high_load,2,0,0.87585,low
309,2268.328,nominal,1,0,1.0,low
310,2940.294,nominal,1,0,1.0,low
311,350.597,idle,0,0,1.0,low
312,1851.977,vibration_alarm,4,1,0.73733,low
313,3356.381,cooling_degraded,3,1,0.91056,low
314,495.516,idle,0,0,1.0,low
315,3755.921,cooling_degraded,3,1,0.90599,low
316,352.324,idle,0,0,1.0,low
317,366.929,idle,0,0,1.0,low
318,343.066,idle,0,0,1.0,low
319,368.78,idle,0,0,1.0,low
320,354.086,idle,0,0,1.0,low
321,3377.426,cooling_degraded,3,1,0.90712,low
322,2583.011,nominal,1,0,1.0,low
323,1370.223,sensor_drift,5,1,1.0,low
324,1691.419,vibration_alarm,4,1,0.83821,low
325,400.768,idle,0,0,1.0,low
326,2137.945,vibration_alarm,4,1,0.85035,low
327,3020.665,nominal,1,0,1.0,low
328,359.404,idle,0,0,1.0,low
329,316.711,idle,0,0,1.0,low
330,3500.597,cooling_degraded,3,1,0.93039,low
331,7763.153,high_load,2,0,0.93673,low
332,4164.574,cooling_degraded,3,1,0.94066,low
333,434.036,idle,0,0,1.0,low
334,5818.43,high_load,2,0,0.95464,low
335,1225.266,sensor_drift,5,1,1.0,low
336,367.085,idle,0,0,1.0,low
337,6479.336,high_load,2,0,0.92262,low
338,3562.631,cooling_degraded,3,1,0.9251,low
339,334.741,idle,0,0,1.0,low
340,2485.606,vibration_alarm,4,1,0.78755,low
341,1601.111,vibration_alarm,4,1,0.88634,low
342,2050.625,nominal,1,0,1.0,low
343,3343.026,cooling_degraded,3,1,0.92887,low
344,2250.525,nominal,1,0,1.0,low
345,2121.824,vibration_alarm,4,1,0.87048,low
346,2740.927,nominal,1,0,1.0,low
347,2579.845,nominal,1,0,1.0,low
348,1178.291,sensor_drift,5,1,1.0,low
349,1783.095,vibration_alarm,4,1,0.78417,low
350,376.747,idle,0,0,1.0,low
351,6553.938,high_load,2,0,0.9906,low
352,2392.467,nominal,1,0,1.0,low
353,11205.286,high_load,2,0,0.93678,low
354,1578.693,sensor_drift,5,1,1.0,low
355,6569.102,high_load,2,0,0.91167,low
356,1490.316,sensor_drift,5,1,1.0,low
357,2605.181,nominal,1,0,1.0,low
358,3174.731,nominal,1,0,1.0,low
359,418.523,idle,0,0,1.0,low
360,2072.802,vibration_alarm,4,1,0.80616,low
361,1742.462,vibration_alarm,4,1,0.82262,low
362,6306.994,high_load,2,0,0.91678,low
363,398.334,idle,0,0,1.0,low
364,415.055,idle,0,0,1.0,low
365,353.055,idle,0,0,1.0,low
366,7792.69,high_load,2,0,0.87595,low
367,7177.023,high_load,2,0,0.92963,low
368,411.867,idle,0,0,1.0,low
369,3448.998,cooling_degraded,3,1,0.90525,low
370,3134.984,nominal,1,0,1.0,low
371,310.895,idle,0,0,1.0,low
372,412.34,idle,0,0,1.0,low
373,6944.938,high_load,2,0,0.98288,low
374,8142.718,high_load,2,0,0.95371,low
375,4257.281,cooling_degraded,3,1,0.94605,low
376,325.272,idle,0,0,1.0,low
377,1919.129,nominal,1,0,1.0,low
378,372.374,idle,0,0,1.0,low
379,1298.817,sensor_drift,5,1,1.0,low
380,4256.625,cooling_degraded,3,1,0.95204,low
381,341.227,idle,0,0,1.0,low
382,1954.938,vibration_alarm,4,1,0.83471,low
383,2573.872,vibration_alarm,4,1,0.78432,low
384,2950.367,nominal,1,0,1.0,low
385,8820.174,high_load,2,0,0.85997,low
386,6398.456,high_load,2,0,0.98019,low
387,334.391,idle,0,0,1.0,low
388,6123.821,high_load,2,0,0.95297,low
389,346.571,idle,0,0,1.0,low
390,3571.143,cooling_degraded,3,1,0.94479,low
391,5778.618,high_load,2,0,0.89936,low
392,424.604,idle,0,0,1.0,low
393,9351.593,high_load,2,0,0.94764,low
394,326.211,idle,0,0,1.0,low
395,4561.482,cooling_degraded,3,1,0.94408,low
396,2652.694,nominal,1,0,1.0,low
397,2973.145,nominal,1,0,1.0,low
398,2214.822,vibration_alarm,4,1,0.86416,low
399,364.78,idle,0,0,1.0,low
400,7693.725,high_load,2,0,0.96041,low
401,380.278,idle,0,0,1.0,low
402,7159.508,high_load,2,0,0.87943,low
403,7817.906,high_load,2,0,0.94831,low
404,420.973,idle,0,0,1.0,low
405,2333.53,nominal,1,0,1.0,low
406,324.461,idle,0,0,1.0,low
407,2795.884,nominal,1,0,1.0,low
408,2442.338,vibration_alarm,4,1,0.8825,low
409,7023.703,high_load,2,0,0.87259,low
410,9335.357,high_load,2,0,0.87352,low
411,7649.79,high_load,2,0,0.84096,low
412,1964.497,vibration_alarm,4,1,0.88162,low
413,7083.483,high_load,2,0,0.97598,low
414,2915.586,nominal,1,0,1.0,low
415,2141.64,vibration_alarm,4,1,0.85982,low
416,2440.698,vibration_alarm,4,1,0.82012,low
417,418.016,idle,0,0,1.0,low
418,371.687,idle,0,0,1.0,low
419,387.257,idle,0,0,1.0,low
420,2545.981,nominal,1,0,1.0,low
421,3204.221,nominal,1,0,1.0,low
422,2407.755,vibration_alarm,4,1,0.85642,low
423,383.918,idle,0,0,1.0,low
424,3972.799,cooling_degraded,3,1,0.92755,low
425,6724.847,high_load,2,0,0.94838,low
426,2150.807,vibration_alarm,4,1,0.78708,low
427,2833.017,vibration_alarm,4,1,0.80585,low
428,290.858,idle,0,0,1.0,low
429,4432.017,cooling_degraded,3,1,0.92669,low
430,2555.893,nominal,1,0,1.0,low
431,7065.483,high_load,2,0,0.94561,low
432,410.975,idle,0,0,1.0,low
433,6312.307,high_load,2,0,0.99408,low
434,346.515,idle,0,0,1.0,low
435,2497.306,nominal,1,0,1.0,low
436,1959.262,vibration_alarm,4,1,0.82379,low
437,401.846,idle,0,0,1.0,low
438,357.308,idle,0,0,1.0,low
439,2691.577,vibration_alarm,4,1,0.92704,low
440,4371.347,cooling_degraded,3,1,0.9278,low
441,2455.484,nominal,1,0,1.0,low
442,3303.345,cooling_degraded,3,1,0.89613,low
443,6857.036,high_load,2,0,0.98034,low
444,8825.357,high_load,2,0,0.94656,low
445,3352.378,cooling_degraded,3,1,0.90209,low
446,264.811,idle,0,0,1.0,low
447,323.324,idle,0,0,1.0,low
448,1983.942,vibration_alarm,4,1,0.75137,low
449,1210.311,sensor_drift,5,1,1.0,low
450,4501.662,cooling_degraded,3,1,0.92603,low
451,5488.407,cooling_degraded,3,1,0.9314,low
452,2323.674,vibration_alarm,4,1,0.88192,low
453,299.07,idle,0,0,1.0,low
454,3506.188,cooling_degraded,3,1,0.91382,low
455,3381.896,cooling_degraded,3,1,0.89336,low
456,417.512,idle,0,0,1.0,low
457,353.299,idle,0,0,1.0,low
458,2547.613,vibration_alarm,4,1,0.81999,low
459,2441.571,nominal,1,0,1.0,low
460,2412.945,nominal,1,0,1.0,low
461,2882.481,cooling_degraded,3,1,0.91104,low
462,7245.131,high_load,2,0,0.97138,low
463,5619.801,high_load,2,0,0.98588,low
464,1855.274,vibration_alarm,4,1,0.75315,low
465,2501.864,nominal,1,0,1.0,low
466,400.891,idle,0,0,1.0,low
467,387.368,idle,0,0,1.0,low
468,3581.203,cooling_degraded,3,1,0.9228,low
469,2548.271,nominal,1,0,1.0,low
470,7205.608,high_load,2,0,0.90091,low
471,3150.649,nominal,1,0,1.0,low
472,4242.269,cooling_degraded,3,1,0.92802,low
473,2451.525,nominal,1,0,1.0,low
474,5132.023,cooling_degraded,3,1,0.92332,low
475,2519.782,nominal,1,0,1.0,low
476,279.708,idle,0,0,1.0,low
477,1863.939,vibration_alarm,4,1,1.0,low
478,1804.773,vibration_alarm,4,1,0.85281,low
479,2092.353,vibration_alarm,4,1,0.86085,low
480,7230.731,high_load,2,0,0.98663,low
481,437.344,idle,0,0,1.0,low
482,488.443,idle,0,0,1.0,low
483,2561.413,nominal,1,0,1.0,low
484,3943.723,cooling_degraded,3,1,0.92197,low
485,2070.435,nominal,1,0,1.0,low
486,2739.048,nominal,1,0,1.0,low
487,314.99,idle,0,0,1.0,low
488,332.818,idle,0,0,1.0,low
489,2825.965,nominal,1,0,1.0,low
490,6224.723,high_load,2,0,0.99235,low
491,3983.859,cooling_degraded,3,1,0.94736,low
492,2625.107,nominal,1,0,1.0,low
493,386.028,idle,0,0,1.0,low
494,314.191,idle,0,0,1.0,low
495,5004.764,high_load,2,0,0.95333,low
496,6761.211,high_load,2,0,0.92964,low
497,404.731,idle,0,0,1.0,low
498,4350.202,cooling_degraded,3,1,0.92368,low
499,7594.372,high_load,2,0,0.92674,low
500,344.421,idle,0,0,1.0,low
501,432.115,idle,0,0,1.0,low
502,4424.561,cooling_degraded,3,1,0.91794,low
503,3301.313,cooling_degraded,3,1,0.92388,low
504,412.709,idle,0,0,1.0,low
505,426.718,idle,0,0,1.0,low
506,2223.828,nominal,1,0,1.0,low
507,7896.819,high_load,2,0,0.92376,low
508,2418.807,nominal,1,0,1.0,low
509,2474.838,vibration_alarm,4,1,0.79957,low
510,2706.971,nominal,1,0,1.0,low
511,1431.912,sensor_drift,5,1,1.0,low
512,459.181,idle,0,0,1.0,low
513,2707.943,nominal,1,0,1.0,low
514,1513.273,sensor_drift,5,1,1.0,low
515,6481.071,high_load,2,0,0.88178,low
516,3054.204,nominal,1,0,1.0,low
517,2459.024,nominal,1,0,1.0,low
518,355.722,idle,0,0,1.0,low
519,357.957,idle,0,0,1.0,low
520,2642.393,nominal,1,0,1.0,low
521,3793.703,cooling_degraded,3,1,0.89939,low
522,451.475,idle,0,0,1.0,low
523,1969.295,vibration_alarm,4,1,0.8441,low
524,1970.002,vibration_alarm,4,1,0.78681,low
525,2515.842,nominal,1,0,1.0,low
526,5270.608,cooling_degraded,3,1,0.94956,low
527,2026.074,vibration_alarm,4,1,0.83465,low
528,1868.417,vibration_alarm,4,1,0.79688,low
529,373.467,idle,0,0,1.0,low
530,355.233,idle,0,0,1.0,low
531,352.685,idle,0,0,1.0,low
532,421.796,idle,0,0,1.0,low
533,7239.509,high_load,2,0,0.9077,low
534,3266.335,nominal,1,0,1.0,low
535,1598.961,vibration_alarm,4,1,0.78901,low
536,375.404,idle,0,0,1.0,low
537,976.035,sensor_drift,5,1,1.0,low
538,361.558,idle,0,0,1.0,low
539,3043.62,nominal,1,0,1.0,low
540,8717.107,high_load,2,0,0.97689,low
541,1142.899,sensor_drift,5,1,1.0,low
542,8244.623,high_load,2,0,0.94194,low
543,2432.678,nominal,1,0,1.0,low
544,1663.645,vibration_alarm,4,1,0.87034,low
545,2981.348,nominal,1,0,1.0,low
546,1832.855,vibration_alarm,4,1,0.87171,low
547,4471.3,cooling_degraded,3,1,0.9045,low
548,7227.414,high_load,2,0,0.94384,low
549,2795.4,nominal,1,0,1.0,low
550,6903.991,high_load,2,0,0.87669,low
551,7755.182,high_load,2,0,0.94917,low
552,4168.701,cooling_degraded,3,1,0.93073,low
553,2841.925,nominal,1,0,1.0,low
554,2606.153,nominal,1,0,1.0,low
555,355.885,idle,0,0,1.0,low
556,1572.163,sensor_drift,5,1,1.0,low
557,323.226,idle,0,0,1.0,low
558,3027.281,nominal,1,0,1.0,low
559,2813.545,nominal,1,0,1.0,low
560,6807.891,high_load,2,0,0.90126,low
561,6047.004,high_load,2,0,0.9852,low
562,6767.236,high_load,2,0,0.91579,low
563,2651.634,nominal,1,0,1.0,low
564,4527.743,cooling_degraded,3,1,0.92915,low
565,5461.623,cooling_degraded,3,1,0.92939,low
566,297.768,idle,0,0,1.0,low
567,2093.835,nominal,1,0,1.0,low
568,5877.549,high_load,2,0,0.97054,low
569,337.293,idle,0,0,1.0,low
570,4752.091,cooling_degraded,3,1,0.92082,low
571,2563.202,nominal,1,0,1.0,low
572,2113.424,nominal,1,0,1.0,low
573,408.59,idle,0,0,1.0,low
574,315.896,idle,0,0,1.0,low
575,2681.887,nominal,1,0,1.0,low
576,7673.598,high_load,2,0,0.98142,low
577,301.202,idle,0,0,1.0,low
578,4480.471,cooling_degraded,3,1,0.89778,low
579,8462.833,high_load,2,0,0.93421,low
580,2885.162,nominal,1,0,1.0,low
581,454.683,idle,0,0,1.0,low
582,305.255,idle,0,0,1.0,low
583,4290.037,cooling_degraded,3,1,0.91081,low
584,2492.979,nominal,1,0,1.0,low
585,2569.406,nominal,1,0,1.0,low
586,1250.759,sensor_drift,5,1,1.0,low
587,4083.667,cooling_degraded,3,1,0.93875,low
588,6227.563,high_load,2,0,0.87098,low
589,1166.257,sensor_drift,5,1,1.0,low
590,2763.826,nominal,1,0,1.0,low
591,5007.429,cooling_degraded,3,1,0.92044,low
592,2806.763,nominal,1,0,1.0,low
593,280.056,idle,0,0,1.0,low
594,3194.809,nominal,1,0,1.0,low
595,2268.651,vibration_alarm,4,1,0.84471,low
596,2399.917,vibration_alarm,4,1,0.80477,low
597,7958.18,high_load,2,0,0.95666,low
598,1991.575,nominal,1,0,1.0,low
599,3482.762,cooling_degraded,3,1,0.91778,low
600,2714.665,cooling_degraded,3,1,0.91181,low
