scenario_id,scenario_label,total_load_mw,total_reactive_load_mvar,generator_p_mw,generator_vm_pu,min_vm_pu,max_line_loading_percent,total_line_loss_mw,weak_bus,critical_line
47,random_operating_point,93.3408,33.5567,26.6754,1.01773,1.00543,77.682,0.98111,5,1
48,random_operating_point,109.6008,38.8184,35.4775,1.01819,1.00284,86.548,1.2797,5,1
49,low_generation,132.4024,47.0729,28.8007,1.00976,0.99206,121.124,2.32146,5,1
50,high_load,146.3381,50.5003,32.0752,1.00678,0.98803,133.912,2.78866,5,1
51,random_operating_point,109.8658,39.1846,21.7854,1.00702,0.99298,102.802,1.64988,5,1
52,random_operating_point,91.9439,32.5141,31.2098,1.00738,0.99671,71.144,0.84976,5,1
53,random_operating_point,91.2793,32.5499,39.6452,1.02108,1.0085,60.442,0.69887,5,1
54,random_operating_point,82.8429,28.2638,33.7971,1.0188,1.00757,57.014,0.6093,5,1
55,high_load,132.9001,46.1141,30.5579,1.02412,1.00411,121.371,2.3958,5,1
56,low_generation,77.9865,27.1997,26.4753,1.00142,0.99382,62.717,0.63636,5,1
57,random_operating_point,128.8565,45.319,29.352,1.02127,1.00237,117.389,2.20529,5,1
58,random_operating_point,91.8514,32.1768,38.272,1.02151,1.00839,62.854,0.75016,5,1
59,random_operating_point,78.5731,27.2888,42.4398,1.02046,1.01029,42.101,0.40076,5,1
60,high_load,133.4049,46.1151,31.7916,1.0111,0.99263,118.794,2.26652,5,1
61,random_operating_point,99.6595,33.3277,30.7262,1.02494,1.0106,82.008,1.14114,5,1
62,random_operating_point,111.0814,39.7545,26.9003,1.01152,0.99707,98.004,1.5219,5,1
63,low_generation,137.8194,45.7938,21.8094,1.0272,1.0076,138.823,2.94431,5,1
64,random_operating_point,106.4454,38.0285,29.334,1.02158,1.00736,90.806,1.33076,5,1
65,high_load,134.7136,47.5566,34.3633,1.00288,0.98638,117.858,2.21094,5,1
66,redistributed_load,100.7999,35.4781,40.4309,1.00315,0.99136,72.088,0.93119,5,1
67,random_operating_point,112.9857,39.9287,44.6427,1.01245,0.99717,79.535,1.16083,5,1
68,random_operating_point,101.7598,34.4988,41.7421,1.01336,1.00098,69.642,0.86673,5,1
69,random_operating_point,101.9121,37.2638,38.5189,1.0128,0.99955,73.641,0.96926,5,1
70,high_load,112.001,38.4883,36.714,1.00641,0.99232,88.15,1.3104,5,1
71,random_operating_point,98.772,34.8258,43.3619,1.00137,0.99083,67.464,0.81199,5,1
72,random_operating_point,129.2388,47.2512,44.2277,1.01806,0.99923,99.509,1.73385,5,1
73,random_operating_point,124.8526,44.803,25.788,1.0144,0.99681,115.874,2.13535,5,1
74,random_operating_point,137.4997,47.949,25.7557,1.01966,1.00019,131.782,2.71424,5,1
75,high_load,130.1477,45.4539,35.167,1.02584,1.00694,113.13,2.07327,5,1
76,random_operating_point,102.3922,33.9243,25.8548,1.01504,1.00184,89.101,1.27396,5,1
77,low_generation,111.4778,39.0811,26.5903,1.02011,1.00399,99.748,1.60162,5,1
78,random_operating_point,80.3432,28.65,35.415,1.00279,0.99399,55.692,0.5682,5,1
79,random_operating_point,130.2557,47.8145,33.3579,1.02364,1.00484,114.732,2.12703,5,1
80,high_load,128.5657,45.3943,28.5079,1.01402,0.9958,117.037,2.19277,5,1
81,random_operating_point,145.6765,49.9574,30.6191,1.00767,0.98846,134.861,2.85912,5,1
82,random_operating_point,107.3183,38.1319,45.1108,1.01383,0.99949,72.283,0.99638,5,1
83,random_operating_point,126.788,45.3922,36.7177,1.00785,0.99193,105.213,1.80957,5,1
84,low_generation,137.0769,49.7171,24.6063,1.02104,1.00104,132.838,2.75341,5,1
85,high_load,116.6893,41.6294,30.7546,1.00575,0.99075,100.585,1.64814,5,1
86,random_operating_point,85.8943,29.8247,45.461,1.00657,0.99768,49.293,0.493,5,1
87,random_operating_point,130.7293,45.459,33.7215,1.01178,0.99498,113.311,2.07305,5,1
88,redistributed_load,137.5406,48.7012,38.7304,1.00039,0.98342,116.589,2.19498,5,1
89,random_operating_point,109.888,40.2331,36.8919,1.00382,0.9904,86.131,1.24917,5,1
90,high_load,123.7991,45.0726,32.8651,1.01629,0.99871,106.319,1.85291,5,1
91,low_generation,137.7216,47.9894,26.3378,1.01974,0.99993,131.341,2.70242,5,1
92,random_operating_point,128.3878,45.1311,36.8025,1.00435,0.98828,107.513,1.88864,5,1
93,random_operating_point,145.7273,49.1852,31.7201,1.01585,0.99632,133.954,2.81426,5,1
94,random_operating_point,122.0966,42.412,32.7983,1.02109,1.00409,105.198,1.78688,5,1
95,high_load,120.9698,43.8534,35.4197,1.01123,0.99509,99.72,1.65143,5,1
96,random_operating_point,145.2484,52.8175,29.87,1.02354,1.00139,136.887,2.99821,5,1
97,random_operating_point,98.1287,35.8077,41.1035,1.02155,1.00788,66.972,0.82383,5,1
98,low_generation,92.5176,29.8203,22.167,1.02161,1.00873,82.881,1.10412,5,1
99,redistributed_load,110.9409,38.5047,35.8234,1.02424,1.00751,89.092,1.37359,5,1
100,high_load,140.1243,49.9536,35.9981,1.01403,0.99472,121.938,2.4239,5,1
101,random_operating_point,106.6532,38.1635,39.0098,1.02681,1.01112,81.01,1.15351,5,1
102,random_operating_point,115.5435,38.9027,32.7968,1.0218,1.00527,97.487,1.57813,5,1
103,random_operating_point,72.1713,26.4312,43.478,1.02393,1.01333,38.984,0.32468,5,5
104,random_operating_point,74.0515,26.0894,40.9534,1.0151,1.00605,38.451,0.34949,5,1
105,high_load,148.0256,51.5481,28.8173,1.00515,0.98601,139.885,3.03292,5,1
106,random_operating_point,84.0472,28.6705,24.8449,1.00581,0.99672,69.649,0.77611,5,1
107,random_operating_point,118.3587,42.5337,33.2317,1.00819,0.99303,99.305,1.59101,5,1
108,random_operating_point,87.7024,29.6737,24.2518,1.01573,1.0047,73.664,0.88068,5,1
109,random_operating_point,136.5381,49.1501,37.4232,1.00205,0.98411,116.657,2.20586,5,1
110,high_load,125.4996,44.858,36.9104,1.00152,0.98633,104.573,1.79554,5,1
111,random_operating_point,79.5266,28.0391,32.8022,1.02717,1.01523,56.872,0.59472,5,1
112,low_generation,96.0402,31.6309,22.6262,1.00434,0.99388,86.047,1.15074,5,1
113,random_operating_point,134.1593,46.4803,33.6955,1.00853,0.99158,117.408,2.18493,5,1
114,random_operating_point,123.7874,42.5252,27.3987,1.02396,1.00573,114.373,2.07969,5,1
115,high_load,117.7391,41.2957,29.5387,1.02307,1.00498,104.263,1.79277,5,1
116,random_operating_point,78.6851,26.913,29.3817,1.02842,1.01735,60.627,0.62687,5,1
117,random_operating_point,84.3411,28.1517,32.563,1.02049,1.0091,60.571,0.66659,5,1
118,random_operating_point,128.4953,45.9676,31.9115,1.01112,0.99378,112.786,2.04803,5,1
119,low_generation,133.7972,48.581,21.0161,1.00051,0.98342,132.663,2.67762,5,1
120,high_load,130.533,45.2135,35.8888,1.00506,0.98958,110.782,1.93982,5,1
