scenario_id,scenario_label,load_scale,generator_p_mw,generator_vm_pu,load_bus_2_mw,load_bus_2_mvar,load_bus_3_mw,load_bus_3_mvar,load_bus_4_mw,load_bus_4_mvar,load_bus_5_mw,load_bus_5_mvar,min_vm_pu,max_line_loading_percent,total_load_mw,total_reactive_load_mvar,total_line_loss_mw,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,dc_line_1_p_mw,dc_line_2_p_mw,dc_line_3_p_mw,dc_line_4_p_mw,dc_line_5_p_mw,dc_line_6_p_mw,dc_line_7_p_mw,line_1_abs_error_mw,line_2_abs_error_mw,line_3_abs_error_mw,line_4_abs_error_mw,line_5_abs_error_mw,line_6_abs_error_mw,line_7_abs_error_mw,mean_abs_line_error_mw,max_abs_line_error_mw,mean_relative_line_error_percent,critical_line,weak_bus
11,redistributed_load,1.0979,34.0691,1.00211,33.3674,10.7641,26.3839,9.2907,38.3822,14.0851,23.1516,7.7613,0.98721,102.678,121.2851,41.9012,1.72786,88.94386,50.794,37.22834,5.00282,44.76761,11.16389,12.03079,87.216,50.4466,36.7694,5.04249,44.4546,11.11489,12.03671,1.72786,0.34741,0.45894,0.03967,0.31301,0.049,0.00592,0.42026,1.72786,0.834,1,5
12,random_operating_point,0.915,29.1051,1.02666,30.2932,11.1309,20.4692,6.64,25.1544,8.4395,17.1385,5.8811,1.01259,76.728,93.0553,32.0915,1.0026,64.9528,38.95971,25.47957,0.87645,34.00568,9.58597,7.5764,63.9502,38.85511,25.09509,0.94713,33.73099,9.52372,7.61478,1.0026,0.1046,0.38448,0.07069,0.27469,0.06225,0.03838,0.27681,1.0026,1.907,1,5
13,random_operating_point,0.9932,36.1343,1.01217,32.4306,12.2802,24.9782,9.32,26.2922,9.8311,17.7564,5.941,0.99922,75.884,101.4574,37.3723,0.993,66.3161,40.70784,25.10456,0.40666,36.18979,10.15721,7.62353,65.3231,40.51812,24.80498,0.4468,35.96108,10.11568,7.64072,0.993,0.18971,0.29959,0.04014,0.22871,0.04154,0.0172,0.25856,0.993,2.042,1,5
14,low_generation,1.3753,29.0049,1.01759,41.6381,14.4816,35.1889,12.8789,41.5535,14.1237,24.6639,8.3839,0.99783,134.222,143.0444,49.8681,2.81569,116.85519,61.90405,53.37612,6.41262,46.83957,11.41499,13.30073,114.0395,61.59771,52.44179,6.5764,46.25779,11.28069,13.38321,2.81569,0.30634,0.93434,0.16378,0.58178,0.1343,0.08249,0.71696,2.81569,1.464,1,5
15,high_load,1.4274,31.3266,1.00282,47.0291,15.8229,29.9514,9.5264,41.1467,15.636,28.3772,10.5545,0.98225,135.485,146.5044,51.5398,2.93691,118.11471,65.65594,50.85324,4.15422,51.94446,14.6257,13.81831,115.1778,65.17403,50.00377,4.27686,51.37897,14.50913,13.86807,2.93691,0.48191,0.84947,0.12264,0.56549,0.11657,0.04976,0.73182,2.93691,1.441,1,5
16,random_operating_point,1.0153,39.9528,1.02142,32.1051,11.6885,23.6967,7.4008,30.4536,10.3822,17.0073,5.5021,1.00724,74.33,103.2627,34.9736,0.99856,64.30846,40.70292,23.12305,0.8485,39.29912,9.51853,7.51145,63.3099,40.55285,22.75705,0.9067,39.01315,9.46624,7.54106,0.99856,0.15006,0.366,0.0582,0.28598,0.05228,0.02961,0.27724,0.99856,1.719,1,5
17,random_operating_point,0.9844,25.8265,1.02741,33.87,12.072,21.6256,7.9092,30.0473,11.82,17.1469,5.8825,1.0115,92.188,102.6898,37.6837,1.39626,78.25956,44.68225,32.83556,2.29355,36.86514,8.93387,8.23766,76.8633,44.55462,32.30868,2.39356,36.50958,8.85584,8.29106,1.39626,0.12763,0.52688,0.10001,0.35556,0.07802,0.0534,0.37682,1.39626,1.503,1,5
18,random_operating_point,1.1709,37.088,1.0158,42.9211,15.8693,26.4175,8.5178,34.6774,13.4519,19.6373,6.7827,0.99825,101.093,123.6533,44.6217,1.73158,88.29688,52.72641,34.67683,0.8055,45.19541,11.0776,8.59104,86.5653,52.46648,34.09882,0.90445,44.76932,10.99636,8.64094,1.73158,0.25992,0.57801,0.09895,0.42609,0.08123,0.04989,0.46081,1.73158,2.666,1,5
19,random_operating_point,0.8876,44.2099,1.00828,28.8002,9.2809,20.5546,6.4472,26.6479,9.7154,17.2613,5.3849,0.99743,58.017,93.264,30.8284,0.67236,49.72646,35.15479,14.278,-0.72854,37.91214,10.38925,6.89424,49.0541,34.95127,14.10283,-0.73345,37.75813,10.37678,6.88452,0.67236,0.20352,0.17517,0.00491,0.15401,0.01247,0.00972,0.17602,0.67236,0.643,1,5
20,high_load,1.144,28.473,1.00559,34.8609,13.1056,26.0389,9.6156,25.8295,9.5661,23.5102,7.4377,0.99156,95.685,110.2395,39.725,1.47203,83.23853,47.45103,34.98704,1.63897,37.29104,12.94247,10.61048,81.7665,47.17834,34.58816,1.68994,37.02226,12.8827,10.6275,1.47203,0.27269,0.39888,0.05097,0.26877,0.05976,0.01702,0.36288,1.47203,1.134,1,5
21,low_generation,1.3031,22.9744,1.01405,47.9567,15.7513,30.2961,11.233,33.2074,11.1283,22.4864,6.9427,0.9964,130.076,133.9466,45.0553,2.6039,113.5761,61.40289,50.69363,2.38352,43.06683,12.0125,10.51514,110.9722,61.07775,49.89445,2.53095,42.57275,11.8963,10.5901,2.6039,0.32514,0.79918,0.14743,0.49408,0.1162,0.07496,0.65156,2.6039,1.916,1,5
22,redistributed_load,1.0885,39.6929,1.0103,37.9573,14.3302,25.0749,8.9523,35.3167,12.6406,23.8153,7.4126,0.99358,96.221,122.1642,43.3357,1.60875,84.08005,51.06867,32.20147,1.87548,46.70148,13.0138,10.84551,82.4713,50.76901,31.70229,1.94013,46.32029,12.94372,10.87158,1.60875,0.29966,0.49918,0.06465,0.38119,0.07008,0.02607,0.42137,1.60875,1.299,1,5
23,random_operating_point,1.0572,36.9771,1.02232,36.8813,12.939,24.1072,7.8103,28.3377,9.4636,19.6302,6.3932,1.00678,84.799,108.9564,36.6061,1.25128,73.23058,45.18623,27.41633,-0.1364,40.17404,11.51153,8.14932,71.9793,45.01376,26.96554,-0.0579,39.83544,11.43984,8.19036,1.25128,0.17247,0.45079,0.0785,0.3386,0.07169,0.04104,0.34348,1.25128,9.037,1,5
24,random_operating_point,0.8004,27.8084,1.02611,23.1894,7.5467,19.3237,5.9434,18.0527,5.9853,14.9622,5.0469,1.01547,57.73,75.528,24.5223,0.57421,48.29381,29.80516,18.1984,0.15733,26.62365,8.64544,6.33414,47.7196,29.73956,17.98004,0.19583,26.46474,8.60787,6.35433,0.57421,0.06559,0.21836,0.0385,0.15891,0.03757,0.02019,0.15905,0.57421,4.061,1,5
25,high_load,1.4326,31.6336,1.01514,44.9298,16.729,35.481,10.9366,37.1341,14.7802,25.9839,8.5901,0.9947,131.311,143.5288,51.0359,2.73219,114.62739,62.2408,50.87881,4.0084,46.7148,13.30339,12.73606,111.8952,61.91546,49.97974,4.16942,46.13234,13.16765,12.81625,2.73219,0.32533,0.89907,0.16102,0.58247,0.13574,0.08018,0.70229,2.73219,1.655,1,5
26,random_operating_point,0.8283,27.5043,1.02467,25.0277,8.0507,21.8226,7.778,19.3051,6.9438,15.3558,5.117,1.01355,64.512,81.5112,27.8895,0.69374,54.70064,32.51163,21.82616,0.62086,27.43341,8.65952,6.7146,54.0069,32.43139,21.57551,0.66594,27.25721,8.61805,6.73775,0.69374,0.08025,0.25064,0.04508,0.17619,0.04147,0.02315,0.18722,0.69374,1.627,1,5
27,random_operating_point,1.1588,32.3723,1.00284,40.3461,14.6647,27.7103,9.6334,33.3567,13.2798,19.2823,6.6261,0.98794,103.872,120.6954,44.204,1.73371,90.05681,51.75003,37.36364,1.99139,41.87759,10.30999,9.00178,88.3231,51.4221,36.901,2.05058,41.563,10.25688,9.02542,1.73371,0.32793,0.46264,0.05919,0.31459,0.05311,0.02364,0.42497,1.73371,1.185,1,5
28,low_generation,1.2314,23.8652,1.00023,44.249,14.1913,33.7114,10.9718,36.4941,13.4978,19.1548,6.1376,0.9854,129.026,133.6093,44.7985,2.50285,112.24695,59.31488,51.47625,4.44559,41.34774,9.09603,10.08878,109.7441,58.91728,50.82682,4.53888,40.98062,9.0254,10.1294,2.50285,0.3976,0.64943,0.0933,0.36712,0.07062,0.04062,0.58879,2.50285,1.19,1,5
29,random_operating_point,0.9786,28.1055,1.01224,31.5038,10.5031,22.7484,8.1973,27.9769,10.2756,15.476,4.827,1.00052,80.803,97.7051,33.803,1.06224,70.66184,41.02766,29.06296,1.90914,34.32647,8.12681,7.36754,69.5996,40.8445,28.7551,1.95368,34.1122,8.08899,7.38701,1.06224,0.18316,0.30786,0.04454,0.21426,0.03782,0.01947,0.26705,1.06224,0.957,1,5
30,high_load,1.4265,39.2399,1.02875,44.9194,16.2028,32.1891,10.0015,36.8172,12.9508,28.3799,9.5048,1.00624,123.549,142.3056,48.6599,2.55093,105.61663,60.65663,43.6267,2.28649,50.37442,15.51577,12.93029,103.0657,60.41113,42.65457,2.46518,49.70537,15.35335,13.02655,2.55093,0.2455,0.97213,0.17868,0.66905,0.16242,0.09626,0.69643,2.55093,2.283,1,5
31,random_operating_point,1.0386,40.6332,1.01663,31.9556,10.2557,26.061,8.8127,26.2469,10.3959,20.1458,6.6425,1.00277,74.168,104.4093,36.1068,0.985,64.7611,40.83078,23.44941,0.13391,37.95249,11.67834,8.4984,63.7761,40.64889,23.12721,0.17757,37.69941,11.63008,8.51572,0.985,0.18189,0.3222,0.04366,0.25308,0.04826,0.01732,0.26449,0.985,5.319,1,5
32,random_operating_point,1.207,31.7153,1.01579,33.738,11.7801,30.695,9.8104,32.8456,12.4096,23.2474,7.2781,0.99964,103.782,120.526,41.2782,1.73392,90.54462,50.07132,39.53162,4.25707,40.36444,11.5774,11.71273,88.8107,49.83943,38.97127,4.34775,39.99157,11.49372,11.75368,1.73392,0.23189,0.56035,0.09068,0.37287,0.08368,0.04095,0.44491,1.73392,1.132,1,5
33,redistributed_load,1.2923,41.3174,1.02269,38.592,14.3945,31.7143,10.3499,40.656,13.3859,31.0033,10.4721,1.00076,119.087,141.9656,48.6024,2.40904,103.05724,59.04662,42.77133,4.7643,52.11648,15.8907,15.19033,100.6482,58.76338,41.88482,4.90968,51.48792,15.7416,15.2617,2.40904,0.28324,0.88651,0.14539,0.62856,0.1491,0.07137,0.65331,2.40904,1.508,1,5
34,random_operating_point,0.7767,35.7692,1.02835,27.1109,9.0897,18.5637,5.89,21.7243,8.0168,11.5466,3.8178,1.01707,53.246,78.9455,26.8143,0.54161,43.71791,30.10616,13.36515,-1.33875,30.52137,7.35038,4.20724,43.1763,30.04125,13.13505,-1.29895,30.34055,7.3173,4.2293,0.54161,0.06491,0.2301,0.0398,0.18082,0.03308,0.02205,0.15891,0.54161,1.102,1,2
35,high_load,1.4113,34.1916,1.01027,43.0915,16.0225,32.5326,12.1277,39.2856,14.3687,25.5749,8.147,0.99116,124.391,140.4846,50.6659,2.48867,108.78167,60.46935,46.95872,4.18382,48.36317,12.97611,12.65167,106.293,60.11186,46.18114,4.30996,47.84014,12.8645,12.7104,2.48867,0.35748,0.77759,0.12614,0.52303,0.11161,0.05874,0.63475,2.48867,1.422,1,5
36,random_operating_point,1.3144,35.9492,1.02171,45.4993,15.9378,27.2048,8.458,35.6248,12.4584,22.6367,7.1429,1.0026,112.065,130.9656,43.9971,2.09493,97.11133,56.97359,39.04029,1.05141,47.57067,12.72161,9.95675,95.0164,56.71474,38.30166,1.18735,47.04606,12.60861,10.02809,2.09493,0.25885,0.73863,0.13594,0.52461,0.113,0.07134,0.56247,2.09493,2.877,1,5
37,random_operating_point,0.8774,43.0749,1.0027,26.4406,8.4387,25.6888,8.1459,26.1799,9.081,17.425,6.4131,0.99268,63.799,95.7343,32.0787,0.73405,53.39345,35.00512,18.03357,0.72871,35.38317,9.80488,7.64363,52.6594,34.78547,17.87393,0.71714,35.26003,9.79726,7.62774,0.73405,0.21964,0.15964,0.01157,0.12314,0.00761,0.01589,0.18165,0.73405,0.73,1,5
38,random_operating_point,1.151,41.4939,1.01969,30.3549,10.6125,26.3298,9.1884,31.5884,12.561,23.9196,8.3405,1.00303,82.77,112.1927,40.7024,1.2368,71.9356,44.12633,27.21065,2.37074,42.27248,12.84532,11.1189,70.6988,43.93417,26.76463,2.43422,41.92873,12.77455,11.14505,1.2368,0.19216,0.44602,0.06348,0.34376,0.07077,0.02615,0.33988,1.2368,1.153,1,5
39,random_operating_point,0.8731,29.9894,1.01913,27.7963,9.0733,19.1061,6.5518,22.7752,8.7405,14.3019,4.4333,1.00821,62.925,83.9795,28.7989,0.68997,54.68007,34.13163,20.20259,0.12383,31.03202,8.27317,6.04418,53.9901,34.01689,19.97321,0.15954,30.85651,8.24085,6.06105,0.68997,0.11474,0.22938,0.03572,0.17551,0.03232,0.01687,0.18493,0.68997,4.687,1,5
40,high_load,1.2801,28.408,1.02465,39.8038,13.1215,28.2175,8.6807,30.319,11.426,22.5541,8.2239,1.00637,109.829,120.8944,41.4521,1.94076,94.42716,52.74072,40.63277,2.12183,40.58781,12.17561,10.42056,92.4864,52.54305,39.94335,2.25102,40.13385,12.06586,10.48824,1.94076,0.19767,0.68942,0.12918,0.45396,0.10975,0.06767,0.51263,1.94076,1.841,1,5
41,random_operating_point,1.2109,34.3954,1.00487,41.3808,15.719,27.917,10.1656,36.4742,12.9777,21.6618,6.6553,0.98877,109.074,127.4338,45.5176,1.93549,94.97389,54.73374,39.19981,2.61269,45.51211,11.41308,10.28569,93.0384,54.38643,38.65197,2.68777,45.13037,11.34394,10.31786,1.93549,0.34731,0.54784,0.07508,0.38174,0.06914,0.03217,0.48411,1.93549,1.243,1,5
42,low_generation,1.1177,18.9394,1.02436,34.065,10.9924,26.9085,8.3803,26.3454,9.2906,22.3361,7.7309,1.00823,107.805,109.655,36.3942,1.79713,92.51273,48.94909,42.54856,3.5509,34.33482,11.38154,10.99536,90.7156,48.78158,41.93402,3.66291,33.96492,11.28243,11.05367,1.79713,0.1675,0.61454,0.11201,0.36991,0.09912,0.05832,0.45979,1.79713,1.337,1,5
43,random_operating_point,1.0074,34.098,1.00045,33.3953,11.5395,23.8015,8.269,30.1911,11.4149,17.567,5.8832,0.98873,84.561,104.9549,37.1066,1.18121,72.03811,43.33058,28.08325,1.55674,38.29633,9.50515,8.08565,70.8569,43.04766,27.80924,1.56898,38.10574,9.48362,8.08338,1.18121,0.28292,0.27402,0.01224,0.19059,0.02154,0.00226,0.28068,1.18121,0.687,1,5
44,redistributed_load,0.8244,41.9929,1.02961,31.588,11.9885,17.7073,6.1023,24.2325,9.1938,20.3907,6.3453,1.014,63.596,93.9185,33.6299,0.8325,52.7581,37.36031,15.04554,-2.0169,39.26131,12.83088,7.59254,51.9256,37.24991,14.67569,-1.96144,38.96129,12.76735,7.62335,0.8325,0.11041,0.36985,0.05546,0.30002,0.06352,0.03081,0.25179,0.8325,1.25,1,5
45,high_load,1.3155,31.3466,1.02001,36.2198,11.9692,34.4355,12.2972,39.2319,14.1273,26.2841,9.6594,1.00032,123.586,136.1713,48.0531,2.43119,107.25589,57.32404,48.59689,6.57537,45.20634,12.2843,14.05797,104.8247,57.06131,47.76339,6.71541,44.67449,12.158,14.1261,2.43119,0.26273,0.8335,0.14004,0.53185,0.1263,0.06812,0.62768,2.43119,1.323,1,5
46,random_operating_point,0.7687,38.4552,1.00447,26.7114,9.8897,17.6355,6.274,22.8013,7.8251,14.13,4.4599,0.99586,52.736,81.2782,28.4487,0.53593,43.35893,30.97331,12.14364,-1.23626,32.94509,8.79926,5.34566,42.823,30.79232,12.03068,-1.25175,32.85038,8.79733,5.33267,0.53593,0.18099,0.11296,0.01549,0.09471,0.00193,0.01298,0.13643,0.53593,0.651,1,5
47,random_operating_point,0.9418,26.6754,1.01773,28.9496,10.6531,23.792,8.4183,23.7271,9.1021,16.8721,5.3832,1.00543,77.682,93.3408,33.5567,0.98111,67.64651,38.70228,28.41688,1.68909,31.2011,9.04679,7.84741,66.6654,38.56658,28.09882,1.74337,30.98222,8.99849,7.87361,0.98111,0.1357,0.31806,0.05428,0.21888,0.0483,0.0262,0.25465,0.98111,1.1,1,5
48,random_operating_point,1.0385,35.4775,1.01819,37.7434,13.5337,24.9415,8.2045,28.968,10.4104,17.9479,6.6698,1.00284,86.548,109.6008,38.8184,1.2797,75.403,45.7198,29.0285,0.11111,39.45366,10.41274,7.56143,74.1233,45.52862,28.59468,0.18575,39.13068,10.34843,7.59947,1.2797,0.19118,0.43381,0.07464,0.32298,0.06431,0.03804,0.34352,1.2797,10.389,1,5
49,low_generation,1.3671,28.8007,1.00976,43.1286,15.9027,29.9521,10.5467,36.2694,13.2755,23.0523,7.348,0.99206,121.124,132.4024,47.0729,2.32146,105.92316,58.40256,46.23712,3.49438,44.84224,11.82154,11.27373,103.6017,58.07087,45.53083,3.61232,44.37943,11.72235,11.32995,2.32146,0.33169,0.70628,0.11794,0.4628,0.09919,0.05622,0.58508,2.32146,1.433,1,5
50,high_load,1.3574,32.0752,1.00678,51.2632,17.5906,37.1236,11.8087,33.8256,13.152,24.1257,7.949,0.98803,133.912,146.3381,50.5003,2.78866,117.05156,64.30592,51.17671,1.58903,45.83402,13.3371,10.8359,114.2629,63.89647,50.36643,1.72965,45.31803,13.22208,10.90362,2.78866,0.40945,0.81028,0.14062,0.51599,0.11502,0.06772,0.69254,2.78866,2.295,1,5
51,random_operating_point,1.1079,21.7854,1.00702,34.9282,13.3596,24.432,7.8893,30.6881,11.6589,19.8175,6.2768,0.99298,102.802,109.8658,39.1846,1.64988,89.73028,48.93181,39.87413,3.64942,37.05589,9.85326,9.99545,88.0804,48.67268,39.40772,3.71901,36.76112,9.79203,10.02547,1.64988,0.25913,0.46641,0.06959,0.29477,0.06123,0.03002,0.40443,1.64988,1.023,1,5
52,random_operating_point,0.8841,31.2098,1.00738,30.3458,10.2379,21.7899,7.4782,23.8513,9.4796,15.9569,5.3184,0.99671,71.144,91.9439,32.5141,0.84976,61.58386,37.65324,23.48846,0.27866,32.85086,9.16231,6.81384,60.7341,37.46075,23.27335,0.29712,32.69325,9.13907,6.81783,0.84976,0.19249,0.21511,0.01847,0.15761,0.02324,0.00399,0.20867,0.84976,1.461,1,5
53,random_operating_point,0.9306,39.6452,1.02108,29.4923,10.3649,21.3379,6.9948,25.8536,10.1884,14.5955,5.0018,1.0085,60.442,91.2793,32.5499,0.69887,52.33297,35.02283,16.9912,-0.51533,35.25227,8.74309,5.86897,51.6341,34.90166,16.73244,-0.47804,35.03974,8.7081,5.8874,0.69887,0.12118,0.25876,0.03728,0.21253,0.03498,0.01843,0.19743,0.69887,1.679,1,5
54,random_operating_point,0.8344,33.7971,1.0188,27.9238,10.3549,18.3975,5.7436,20.5268,7.1528,15.9948,5.0125,1.00757,57.014,82.8429,28.2638,0.6093,49.6551,33.01009,16.36104,-1.20597,31.72344,9.88015,6.13419,49.0458,32.89449,16.15131,-1.17725,31.55091,9.84686,6.14794,0.6093,0.1156,0.20973,0.02872,0.17253,0.03329,0.01375,0.16899,0.6093,0.906,1,5
55,high_load,1.3284,30.5579,1.02412,46.5099,16.8176,27.3375,9.424,35.711,12.7092,23.3417,7.1633,1.00411,121.371,132.9001,46.1141,2.3958,104.738,59.40727,44.04359,1.79813,46.98623,12.79106,10.59572,102.3422,59.15587,43.18633,1.96232,46.40673,12.65805,10.68365,2.3958,0.2514,0.85726,0.16419,0.5795,0.13301,0.08793,0.63844,2.3958,2.413,1,5
56,low_generation,0.8023,26.4753,1.00142,22.0056,7.6396,19.9495,6.6903,21.5275,7.504,14.5039,5.3658,0.99382,62.717,77.9865,27.1997,0.63636,52.14756,30.93716,20.86769,1.84367,27.34331,7.58346,6.93682,51.5112,30.76841,20.74279,1.83699,27.26859,7.57808,6.92582,0.63636,0.16875,0.1249,0.00667,0.07472,0.00538,0.011,0.14683,0.63636,0.461,1,5
57,random_operating_point,1.2997,29.352,1.02127,41.0299,14.9363,31.0327,11.5508,29.8461,10.3999,26.9478,8.432,1.00237,117.389,128.8565,45.319,2.20529,101.70979,56.23246,44.27308,2.37279,42.33187,14.62883,12.37707,99.5045,55.98841,43.51609,2.5104,41.83539,14.4997,12.4481,2.20529,0.24405,0.75698,0.13761,0.49648,0.12914,0.07103,0.57723,2.20529,1.82,1,5
58,random_operating_point,0.8849,38.272,1.02151,29.4105,10.389,20.5261,7.5049,23.7407,8.1561,18.1741,6.1268,1.00839,62.854,91.8514,32.1768,0.75016,54.32956,36.09298,17.8917,-0.7587,35.58625,10.94551,7.25415,53.5794,35.96534,17.61406,-0.71866,35.35996,10.9006,7.2735,0.75016,0.12764,0.27765,0.04004,0.2263,0.04491,0.01935,0.21229,0.75016,1.411,1,5
59,random_operating_point,0.7298,42.4398,1.02046,23.245,8.6966,19.4515,6.6324,22.0792,7.7242,13.7974,4.2356,1.01029,42.101,78.5731,27.2888,0.40076,36.53406,27.53926,8.84014,-1.0864,31.81308,8.54084,5.27078,36.1333,27.44811,8.68519,-1.07333,31.67349,8.52097,5.27643,0.40076,0.09115,0.15495,0.01308,0.13959,0.01987,0.00566,0.11787,0.40076,0.738,1,5
60,high_load,1.3604,31.7916,1.0111,37.2438,13.3058,31.4604,9.7796,38.4817,13.7943,26.219,9.2354,0.99263,118.794,133.4049,46.1151,2.26652,103.87982,56.85043,45.79496,5.56369,45.88529,12.70932,13.5662,101.6133,56.53041,45.08289,5.67273,45.41409,12.60512,13.61388,2.26652,0.32002,0.71207,0.10904,0.4712,0.1042,0.04767,0.57582,2.26652,1.208,1,5
61,random_operating_point,0.9753,30.7262,1.02494,32.92,11.3325,20.9993,6.8087,28.7028,9.919,17.0374,5.2675,1.0106,82.008,99.6595,33.3277,1.14114,70.07444,42.03512,27.45234,1.18637,37.06127,9.3815,7.67902,68.9333,41.90226,27.03104,1.26292,36.75794,9.31806,7.71934,1.14114,0.13286,0.42129,0.07655,0.30333,0.06343,0.04031,0.31127,1.14114,1.707,1,5
62,random_operating_point,1.0637,26.9003,1.01152,28.6065,10.5069,28.7026,9.7956,32.8442,11.9163,20.9281,7.5357,0.99707,98.004,111.0814,39.7545,1.5219,85.703,46.0697,38.79312,5.7247,36.823,9.53786,11.42648,84.1811,45.85308,38.32802,5.79202,36.52572,9.47354,11.45456,1.5219,0.21662,0.4651,0.06732,0.29728,0.06433,0.02808,0.38009,1.5219,0.907,1,5
