sample_id,winding_resistance_ohm,output_power_w,loss_power_w,efficiency,torque_limit_nm,overcurrent,overheating,overspeed,low_efficiency,torque_violation,violation_count,current_margin_a,temperature_margin_c,speed_margin_rpm,mode_label
34,0.204462,108.06,29.812,0.78377,0.10251,0,0,0,0,0,0,7.2302,16.317,46641.3,allowed
35,0.194453,218.465,81.605,0.72805,0.07046,0,0,0,0,0,0,2.7082,31.367,17512.4,allowed
36,0.195728,96.957,45.238,0.68186,0.09492,0,0,0,0,0,0,8.0821,32.818,39744.9,allowed
37,0.191623,56.965,16.928,0.77091,0.10505,0,0,0,0,0,0,9.472,34.739,48952.9,allowed
38,0.192281,211.003,64.694,0.76534,0.0567,0,0,0,0,0,0,3.2983,34.909,5000.0,allowed
39,0.205546,96.257,55.082,0.63603,0.08907,0,0,0,0,0,0,6.8204,18.544,34426.8,allowed
40,0.196121,151.623,44.484,0.77316,0.061,0,0,0,0,0,0,6.9432,32.804,8905.9,allowed
41,0.195152,198.507,69.371,0.74103,0.08666,0,0,0,0,0,0,6.5241,32.896,32232.7,allowed
42,0.198733,142.68,51.138,0.73615,0.08219,0,0,0,0,0,0,2.7398,26.787,28169.1,allowed
43,0.191393,235.519,82.438,0.74073,0.0567,0,0,0,0,0,0,2.1941,37.225,5000.0,allowed
44,0.208446,177.566,77.546,0.69603,0.09175,0,0,0,0,0,0,6.7301,13.895,36866.3,allowed
45,0.194276,111.505,47.573,0.70095,0.08669,0,0,0,0,0,0,6.5204,34.745,32268.0,allowed
46,0.205347,173.629,106.246,0.62038,0.0891,0,0,0,0,0,0,6.3529,17.23,34457.4,allowed
47,0.199126,149.992,86.526,0.63417,0.0567,0,0,0,0,0,0,5.9837,26.842,5000.0,allowed
48,0.201726,149.359,72.969,0.67179,0.08628,0,0,0,0,0,0,1.5,25.157,31888.3,allowed
49,0.207308,204.571,70.011,0.74503,0.0567,0,0,0,0,0,0,5.2378,13.589,5000.0,allowed
50,0.202417,102.676,36.553,0.73746,0.10428,0,0,0,0,0,0,8.66,21.276,48258.4,allowed
51,0.193512,173.568,77.644,0.69092,0.06145,0,0,0,0,0,0,3.9688,36.029,9315.7,allowed
52,0.198629,74.217,27.453,0.72998,0.11024,0,0,0,0,0,0,8.8762,26.604,53671.6,allowed
53,0.20248,133.427,59.399,0.69195,0.0567,0,0,0,0,0,0,5.663,23.575,5000.0,allowed
54,0.201222,247.208,125.867,0.66262,0.0622,0,0,0,0,0,0,3.2089,24.115,10004.4,allowed
55,0.208235,72.107,26.989,0.72765,0.11099,0,0,0,0,0,0,8.247,14.016,54351.8,allowed
56,0.198968,220.869,75.838,0.7444,0.0567,0,0,0,0,0,0,2.6599,30.517,5000.0,allowed
57,0.205268,146.042,83.514,0.63619,0.07316,0,0,0,0,0,0,4.7522,18.682,19961.5,allowed
58,0.20507,51.908,28.16,0.6483,0.1117,0,0,0,0,0,0,7.6232,16.513,55000.0,allowed
59,0.2016,120.349,34.285,0.77829,0.09417,0,0,0,0,0,0,7.7817,24.803,39066.3,allowed
60,0.201156,37.574,16.509,0.69475,0.1117,0,0,0,0,0,0,9.4534,23.372,55000.0,allowed
61,0.193428,155.586,68.595,0.69402,0.07372,0,0,0,0,0,0,7.2572,36.808,20470.4,allowed
62,0.196236,170.684,53.393,0.76172,0.07603,0,0,0,0,0,0,1.5,28.502,22572.1,allowed
63,0.202541,214.037,99.925,0.68173,0.05881,0,0,0,0,0,0,2.088,20.964,6914.9,allowed
64,0.19282,178.393,95.4,0.65156,0.07311,0,0,0,0,0,0,3.3872,37.635,19921.6,allowed
65,0.197914,171.497,47.7,0.78239,0.08612,0,0,0,0,0,0,4.9198,24.361,31744.6,allowed
66,0.205792,90.758,53.82,0.62775,0.10804,0,0,0,0,0,0,6.985,18.282,51670.6,allowed
67,0.199657,140.323,47.396,0.74752,0.08239,0,0,0,0,0,0,5.6613,26.015,28350.4,allowed
68,0.201611,148.408,72.03,0.67324,0.0973,0,0,0,0,0,0,7.3588,24.215,41913.3,allowed
69,0.199858,220.85,69.056,0.7618,0.07437,0,0,0,0,0,0,3.0367,23.791,21067.5,allowed
70,0.191091,178.958,108.347,0.62288,0.08797,0,0,0,0,0,0,2.926,36.93,33428.5,allowed
71,0.194172,53.066,16.16,0.76656,0.11048,0,0,0,0,0,0,9.0679,32.175,53889.2,allowed
72,0.207082,124.902,76.436,0.62036,0.0567,0,0,0,0,0,0,6.7796,16.118,5000.0,allowed
73,0.204893,125.967,55.588,0.69382,0.10037,0,0,0,0,0,0,5.9709,20.997,44701.0,allowed
74,0.198377,124.005,56.05,0.68871,0.10069,0,0,0,0,0,0,3.5074,29.354,44990.4,allowed
75,0.204837,82.959,39.634,0.6767,0.09696,0,0,0,0,0,0,8.439,21.601,41596.5,allowed
76,0.20057,185.52,104.871,0.63886,0.06281,0,0,0,0,0,0,5.034,27.48,10551.8,allowed
77,0.200464,215.124,56.416,0.79224,0.07073,0,0,0,0,0,0,5.2785,22.834,17752.0,allowed
78,0.194223,51.465,15.723,0.76599,0.11168,0,0,0,0,0,0,8.1843,33.287,54986.1,allowed
79,0.200635,127.472,46.849,0.73125,0.07139,0,0,0,0,0,0,3.9129,21.287,18358.6,allowed
80,0.211866,176.83,51.274,0.77522,0.05824,0,0,0,0,0,0,1.5,9.313,6396.1,allowed
81,0.207492,89.806,28.53,0.7589,0.10625,0,0,0,0,0,0,7.7256,12.709,50044.1,allowed
82,0.190324,188.101,66.107,0.73995,0.06951,0,0,0,0,0,0,4.0811,37.915,16648.9,allowed
83,0.202899,208.133,52.842,0.79752,0.06586,0,0,0,0,0,0,5.535,21.804,13324.1,allowed
84,0.209829,125.16,55.697,0.69204,0.07267,0,0,0,0,0,0,5.9692,9.848,19514.1,allowed
85,0.20242,234.384,107.856,0.68485,0.07459,0,0,0,0,0,0,3.8454,21.656,21265.5,allowed
86,0.203676,85.614,48.551,0.63812,0.102,0,0,0,0,0,0,8.7694,21.224,46181.0,allowed
87,0.202328,94.992,40.31,0.70207,0.10469,0,0,0,0,0,0,8.1967,25.037,48626.3,allowed
88,0.190853,140.352,66.679,0.67793,0.0567,0,0,0,0,0,0,5.3579,39.69,5000.0,allowed
89,0.194637,57.925,15.458,0.78935,0.1117,0,0,0,0,0,0,9.4717,34.212,55000.0,allowed
90,0.197013,189.832,57.444,0.76769,0.06233,0,0,0,0,0,0,5.8482,30.645,10120.0,allowed
91,0.201412,151.527,44.842,0.77164,0.0567,0,0,0,0,0,0,6.8898,23.695,5000.0,allowed
92,0.198219,212.197,90.977,0.69992,0.0567,0,0,0,0,0,0,2.7712,26.518,5000.0,allowed
93,0.195848,193.194,59.861,0.76345,0.0576,0,0,0,0,0,0,4.0734,31.358,5814.3,allowed
94,0.204318,163.321,93.148,0.63681,0.08896,0,0,0,0,0,0,3.9995,21.391,34329.3,allowed
95,0.197587,54.166,29.64,0.64632,0.11,0,0,0,0,0,0,8.6394,29.188,53456.1,allowed
96,0.206762,198.191,74.711,0.72623,0.0567,0,0,0,0,0,0,3.3331,15.957,5000.0,allowed
97,0.20633,173.786,60.739,0.74101,0.0567,0,0,0,0,0,0,7.1207,16.468,5000.0,allowed
98,0.199955,200.61,106.583,0.65304,0.06319,0,0,0,0,0,0,4.5472,27.283,10896.1,allowed
99,0.199419,192.658,56.386,0.77359,0.0567,0,0,0,0,0,0,5.711,27.719,5000.0,allowed
100,0.200845,70.659,33.875,0.67594,0.10804,0,0,0,0,0,0,6.6852,20.258,51676.8,allowed
101,0.200457,136.53,60.389,0.69333,0.09935,0,0,0,0,0,0,6.8555,22.272,43772.7,allowed
102,0.205866,150.279,45.295,0.7684,0.06039,0,0,0,0,0,0,6.9048,13.891,8356.5,allowed
103,0.20051,138.824,65.103,0.68075,0.09279,0,0,0,0,0,0,6.7857,22.855,37807.1,allowed
104,0.195117,36.744,13.644,0.72922,0.1112,0,0,0,0,0,0,10.1635,31.288,54549.6,allowed
105,0.193445,191.781,90.397,0.67964,0.08675,0,0,0,0,0,0,5.1165,34.091,32319.4,allowed
106,0.198395,126.528,61.081,0.67442,0.08875,0,0,0,0,0,0,5.8439,26.052,34135.4,allowed
107,0.193822,94.872,50.056,0.65461,0.10013,0,0,0,0,0,0,8.5997,34.022,44484.5,allowed
108,0.189582,178.866,57.334,0.75726,0.0567,0,0,0,0,0,0,4.6361,40.228,5000.0,allowed
109,0.201979,161.935,52.938,0.75363,0.07059,0,0,0,0,0,0,6.5673,21.746,17630.8,allowed
110,0.194751,170.283,81.67,0.67585,0.05904,0,0,0,0,0,0,5.7634,30.551,7128.9,allowed
111,0.196068,126.556,62.409,0.66973,0.10155,0,0,0,0,0,0,7.0911,31.094,45776.8,allowed
112,0.201252,47.575,12.678,0.78959,0.10885,0,0,0,0,0,0,8.5147,20.941,52411.6,allowed
113,0.203457,119.321,31.634,0.79044,0.08749,0,0,0,0,0,0,6.8786,22.15,32989.8,allowed
114,0.198154,143.999,76.42,0.6533,0.07095,0,0,0,0,0,0,1.5,27.229,17956.3,allowed
115,0.200955,127.963,70.226,0.64566,0.06107,0,0,0,0,0,0,5.6021,19.418,8975.2,allowed
116,0.196296,172.373,44.05,0.79646,0.0567,0,0,0,0,0,0,6.5133,31.768,5000.0,allowed
117,0.199617,124.801,36.889,0.77185,0.10275,0,0,0,0,0,0,7.581,29.008,46860.4,allowed
118,0.197791,158.37,84.312,0.65258,0.09382,0,0,0,0,0,0,4.1062,27.695,38744.7,allowed
119,0.193876,193.996,55.53,0.77746,0.0567,0,0,0,0,0,0,4.2791,35.626,5000.0,allowed
120,0.200349,66.675,20.757,0.76259,0.11155,0,0,0,0,0,0,9.1841,22.691,54861.3,allowed
121,0.202553,216.338,125.921,0.63209,0.06976,0,0,0,0,0,0,5.3782,21.421,16871.3,allowed
122,0.199187,149.519,59.332,0.71591,0.07575,0,0,0,0,0,0,6.6455,27.557,22322.4,allowed
123,0.204156,162.11,94.716,0.63121,0.0567,0,0,0,0,0,0,3.7538,16.933,5000.0,allowed
124,0.201533,136.941,39.259,0.77719,0.09862,0,0,0,0,0,0,7.342,25.922,43110.8,allowed
125,0.195697,128.139,42.582,0.75057,0.07179,0,0,0,0,0,0,7.4844,30.059,18722.7,allowed
126,0.193119,182.082,106.248,0.63151,0.0567,0,0,0,0,0,0,3.1378,35.166,5000.0,allowed
127,0.209546,195.835,54.275,0.78299,0.07096,0,0,0,0,0,0,5.7335,13.391,17960.8,allowed
128,0.196373,103.454,33.39,0.756,0.10522,0,0,0,0,0,0,7.2545,31.065,49107.6,allowed
129,0.199809,127.006,67.741,0.65216,0.09686,0,0,0,0,0,0,5.5317,26.847,41509.5,allowed
130,0.202467,156.276,82.87,0.65347,0.06397,0,0,0,0,0,0,6.0162,23.813,11613.1,allowed
131,0.195263,101.603,28.926,0.77839,0.09834,0,0,0,0,0,0,5.5254,31.784,42858.1,allowed
132,0.198223,163.182,71.193,0.69624,0.06742,0,0,0,0,0,0,1.5,26.252,14743.7,allowed
133,0.195007,102.882,29.871,0.77499,0.10009,0,0,0,0,0,0,8.1892,32.598,44447.4,allowed
134,0.19773,189.0,82.154,0.69702,0.05739,0,0,0,0,0,0,5.3714,27.665,5626.1,allowed
135,0.204299,134.042,55.784,0.70613,0.08872,0,0,0,0,0,0,5.7623,20.461,34111.0,allowed
136,0.195752,136.564,83.551,0.62042,0.08381,0,0,0,0,0,0,1.5,27.528,29649.3,allowed
137,0.198694,104.717,39.399,0.72661,0.10525,0,0,0,0,0,0,6.958,25.885,49135.8,allowed
138,0.192262,70.289,34.376,0.67156,0.10782,0,0,0,0,0,0,6.5931,36.617,51476.1,allowed
139,0.205375,63.804,16.737,0.79219,0.10488,0,0,0,0,0,0,7.6451,19.475,48799.8,allowed
140,0.198031,124.264,42.201,0.74649,0.0585,0,0,0,0,0,0,7.5754,30.169,6636.8,allowed
141,0.202503,39.841,18.444,0.68356,0.1117,0,0,0,0,0,0,9.7867,19.53,55000.0,allowed
142,0.190888,137.816,50.182,0.73307,0.08994,0,0,0,0,0,0,5.8298,38.375,35216.7,allowed
143,0.194787,206.287,78.209,0.7251,0.07377,0,0,0,0,0,0,6.2859,34.452,20522.0,allowed
144,0.207664,132.914,75.16,0.63878,0.05814,0,0,0,0,0,0,6.7009,16.015,6310.1,allowed
145,0.194128,219.142,120.046,0.64608,0.0567,0,0,0,0,0,0,1.5,33.898,5000.0,allowed
146,0.20167,154.694,44.77,0.77555,0.06601,0,0,0,0,0,0,6.788,24.141,13460.3,allowed
147,0.19874,77.706,43.227,0.64255,0.10613,0,0,0,0,0,0,5.9498,28.013,49938.5,allowed
148,0.188576,104.275,45.74,0.6951,0.09247,0,0,0,0,0,0,8.5026,41.427,37514.3,allowed
149,0.205409,163.31,45.106,0.78358,0.09495,0,0,0,0,0,0,5.1574,18.675,39774.7,allowed
150,0.200087,172.804,50.047,0.77542,0.0567,0,0,0,0,0,0,1.5,24.606,5000.0,allowed
151,0.206274,224.973,93.867,0.7056,0.0567,0,0,0,0,0,0,5.7951,19.801,5000.0,allowed
152,0.202075,142.382,42.462,0.77028,0.08525,0,0,0,0,0,0,7.1702,21.595,30951.3,allowed
153,0.194474,234.318,114.557,0.67164,0.05824,0,0,0,0,0,0,3.6631,33.602,6401.4,allowed
154,0.194612,195.495,49.536,0.79784,0.07605,0,0,0,0,0,0,4.1983,33.417,22586.5,allowed
155,0.192742,179.81,54.177,0.76846,0.0567,0,0,0,0,0,0,4.3732,34.36,5000.0,allowed
156,0.202972,124.781,54.05,0.69776,0.09183,0,0,0,0,0,0,3.6364,19.755,36935.5,allowed
157,0.193617,224.318,64.931,0.77552,0.07147,0,0,0,0,0,0,2.9791,33.598,18430.9,allowed
158,0.211665,147.773,41.366,0.7813,0.07103,0,0,0,0,0,0,5.6937,10.136,18023.2,allowed
159,0.190427,171.801,48.802,0.77878,0.0907,0,0,0,0,0,0,4.8437,39.816,35913.6,allowed
160,0.197282,104.448,35.117,0.74838,0.08932,0,0,0,0,0,0,5.266,30.62,34654.4,allowed
161,0.203603,146.312,81.653,0.64182,0.09325,0,0,0,0,0,0,4.6015,22.442,38231.7,allowed
162,0.197015,46.817,26.195,0.64122,0.10851,0,0,0,0,0,0,9.4791,30.43,52100.3,allowed
163,0.192019,174.511,50.945,0.77404,0.09055,0,0,0,0,0,0,1.5469,35.256,35769.8,allowed
164,0.211389,55.313,23.281,0.70378,0.1117,0,0,0,0,0,0,7.6963,10.483,55000.0,allowed
165,0.203216,71.697,23.595,0.75239,0.10679,0,0,0,0,0,0,8.3635,21.93,50539.2,allowed
166,0.19317,121.568,39.242,0.75597,0.05703,0,0,0,0,0,0,6.5346,37.163,5297.1,allowed
167,0.195486,61.538,16.834,0.7852,0.1117,0,0,0,0,0,0,9.6903,31.04,55000.0,allowed
168,0.202102,79.772,24.107,0.76793,0.10085,0,0,0,0,0,0,8.8341,22.388,45133.4,allowed
169,0.20179,221.125,84.548,0.7234,0.0567,0,0,0,0,0,0,4.7063,25.279,5000.0,allowed
170,0.208461,217.252,95.034,0.69568,0.07792,0,0,0,0,0,0,4.469,10.662,24293.9,allowed
171,0.206961,226.22,103.04,0.68706,0.0567,0,0,0,0,0,0,5.4723,14.543,5000.0,allowed
172,0.207736,58.257,34.273,0.6296,0.10542,0,0,0,0,0,0,7.1422,14.542,49290.0,allowed
173,0.198117,178.417,55.806,0.76174,0.05751,0,0,0,0,0,0,1.0563,29.316,5739.3,allowed
174,0.193313,103.188,34.574,0.74903,0.10258,0,0,0,0,0,0,8.7008,34.943,46706.3,allowed
175,0.196948,177.106,69.413,0.71843,0.0567,0,0,0,0,0,0,6.8803,33.048,5000.0,allowed
176,0.202664,93.44,45.601,0.67203,0.09244,0,0,0,0,0,0,7.1233,20.471,37495.3,allowed
177,0.200107,158.942,59.763,0.72674,0.0567,0,0,0,0,0,0,4.9212,26.825,5000.0,allowed
178,0.190428,167.185,93.045,0.64245,0.05767,0,0,0,0,0,0,4.0123,33.148,5878.9,allowed
179,0.202145,207.336,86.308,0.70608,0.06236,0,0,0,0,0,0,2.9077,22.375,10143.8,allowed
180,0.207742,81.039,36.998,0.68655,0.10938,0,0,0,0,0,0,7.6827,14.582,52886.5,allowed
181,0.195433,183.328,93.004,0.66343,0.0567,0,0,0,0,0,0,3.4284,31.878,5000.0,allowed
182,0.190124,47.331,18.308,0.72108,0.1117,0,0,0,0,0,0,9.6221,37.284,55000.0,allowed
183,0.195336,56.844,17.297,0.7667,0.11044,0,0,0,0,0,0,9.4743,33.878,53857.6,allowed
184,0.206168,78.4,43.276,0.64433,0.10382,0,0,0,0,0,0,8.9963,14.952,47840.3,allowed
185,0.195,164.66,92.517,0.64026,0.0567,0,0,0,0,0,0,5.5551,30.498,5000.0,allowed
186,0.194161,159.434,59.491,0.72826,0.08446,0,0,0,0,0,0,6.3747,35.072,30240.1,allowed
187,0.193233,167.011,72.443,0.69747,0.06502,0,0,0,0,0,0,4.3268,35.304,12566.2,allowed
188,0.208208,215.971,76.832,0.7376,0.0741,0,0,0,0,0,0,4.9157,13.379,20815.3,allowed
189,0.200391,123.979,35.607,0.77688,0.06753,0,0,0,0,0,0,6.5952,23.38,14842.7,allowed
190,0.198138,240.817,97.727,0.71133,0.0567,0,0,0,0,0,0,3.9255,28.254,5000.0,allowed
191,0.203376,66.935,21.098,0.76034,0.10929,0,0,0,0,0,0,9.524,21.165,52812.4,allowed
192,0.191971,144.225,37.151,0.79517,0.08233,0,0,0,0,0,0,7.1821,35.836,28301.7,allowed
193,0.195828,63.312,29.08,0.68525,0.1117,0,0,0,0,0,0,9.4661,31.639,55000.0,allowed
194,0.21031,164.443,42.893,0.79312,0.09117,0,0,0,0,0,0,6.7037,11.935,36335.6,allowed
195,0.203063,116.513,40.861,0.74036,0.10343,0,0,0,0,0,0,4.6569,18.111,47477.3,allowed
196,0.202216,156.305,92.066,0.62932,0.0567,0,0,0,0,0,0,6.8927,22.353,5000.0,allowed
197,0.209753,187.797,54.21,0.776,0.06976,0,0,0,0,0,0,6.9847,9.714,16874.0,allowed
198,0.19592,158.847,62.358,0.7181,0.09195,0,0,0,0,0,0,4.8824,32.317,37047.7,allowed
199,0.199417,132.018,36.704,0.78246,0.05957,0,0,0,0,0,0,7.4468,22.939,7612.2,allowed
200,0.193569,117.59,51.078,0.69717,0.09178,0,0,0,0,0,0,7.5563,34.826,36888.1,allowed
201,0.207734,138.406,84.074,0.6221,0.06654,0,0,0,0,0,0,1.5,14.755,13947.9,allowed
202,0.207074,202.174,56.411,0.78185,0.0567,0,0,0,0,0,0,5.5699,15.715,5000.0,allowed
203,0.20313,112.006,31.588,0.78002,0.08427,0,0,0,0,0,0,6.9553,18.893,30062.2,allowed
204,0.203777,227.583,83.036,0.73268,0.07331,0,0,0,0,0,0,4.6239,23.321,20095.9,allowed
205,0.204263,143.924,54.919,0.72381,0.06641,0,0,0,0,0,0,6.8795,19.683,13829.5,allowed
206,0.199687,55.994,23.427,0.70503,0.1117,0,0,0,0,0,0,9.6735,27.094,55000.0,allowed
207,0.188791,73.046,39.83,0.64713,0.10854,0,0,0,0,0,0,9.1166,40.989,52123.3,allowed
208,0.19756,152.464,87.058,0.63653,0.06763,0,0,0,0,0,0,6.0571,26.8,14939.4,allowed
209,0.207037,183.853,52.896,0.77657,0.0567,0,0,0,0,0,0,4.2788,17.878,5000.0,allowed
210,0.201869,183.307,49.821,0.78629,0.0734,0,0,0,0,0,0,7.1474,24.925,20184.6,allowed
211,0.196094,127.353,59.643,0.68105,0.06769,0,0,0,0,0,0,2.9974,31.609,14992.0,allowed
212,0.213777,135.173,69.552,0.66027,0.08301,0,0,0,0,0,0,6.7468,8.376,28919.4,allowed
213,0.202919,80.899,25.503,0.76031,0.10497,0,0,0,0,0,0,7.9749,23.018,48879.5,allowed
214,0.188835,174.721,88.362,0.66413,0.06747,0,0,0,0,0,0,5.5848,41.189,14789.0,allowed
215,0.210466,237.449,89.117,0.72711,0.06372,0,0,0,0,0,0,2.0237,11.641,11382.2,allowed
216,0.201976,55.745,17.158,0.76465,0.10485,0,0,0,0,0,0,9.491,22.261,48768.8,allowed
217,0.187937,146.34,80.945,0.64386,0.07316,0,0,0,0,0,0,6.2859,40.541,19967.3,allowed
218,0.213681,58.509,34.868,0.62659,0.1117,0,0,0,0,0,0,7.0925,7.559,55000.0,allowed
219,0.194329,173.49,50.092,0.77596,0.06586,0,0,0,0,0,0,1.5,33.672,13324.0,allowed
220,0.195487,215.719,65.321,0.76757,0.0567,0,0,0,0,0,0,5.1451,32.647,5000.0,allowed
221,0.203535,97.185,47.022,0.67393,0.10542,0,0,0,0,0,0,7.9786,20.05,49294.4,allowed
222,0.198859,82.084,29.63,0.73477,0.10906,0,0,0,0,0,0,8.6532,26.176,52604.2,allowed
223,0.204588,43.439,15.37,0.73864,0.1117,0,0,0,0,0,0,9.7713,22.052,55000.0,allowed
224,0.202417,77.42,46.685,0.62383,0.10015,0,0,0,0,0,0,8.9578,19.575,44495.6,allowed
225,0.192545,158.687,62.986,0.71586,0.07216,0,0,0,0,0,0,1.5,37.376,19056.2,allowed
226,0.195366,90.091,44.488,0.66943,0.10317,0,0,0,0,0,0,7.2933,32.888,47243.8,allowed
227,0.204055,85.352,30.526,0.73657,0.09656,0,0,0,0,0,0,6.103,20.617,41238.9,allowed
228,0.195779,191.234,79.352,0.70674,0.0567,0,0,0,0,0,0,3.4699,32.676,5000.0,allowed
229,0.203783,187.037,80.894,0.69808,0.06211,0,0,0,0,0,0,3.4755,19.61,9920.9,allowed
230,0.196435,127.76,57.294,0.69039,0.05885,0,0,0,0,0,0,7.1503,32.012,6952.8,allowed
231,0.20049,114.645,67.133,0.63069,0.09339,0,0,0,0,0,0,5.9092,26.722,38355.5,allowed
232,0.200935,137.942,56.232,0.7104,0.06271,0,0,0,0,0,0,5.6799,25.537,10464.5,allowed
233,0.198639,155.916,48.561,0.76251,0.0871,0,0,0,0,0,0,5.2884,24.215,32637.4,allowed
234,0.195115,218.683,129.92,0.62731,0.0567,0,0,0,0,0,0,1.21,30.167,5000.0,allowed
235,0.199339,151.64,53.412,0.73952,0.06242,0,0,0,0,0,0,2.318,25.406,10197.6,allowed
236,0.191012,139.404,43.854,0.7607,0.08728,0,0,0,0,0,0,7.2416,37.399,32798.2,allowed
237,0.198841,151.068,75.146,0.66781,0.05928,0,0,0,0,0,0,1.5,28.751,7349.6,allowed
238,0.187101,106.264,42.841,0.71268,0.09333,0,0,0,0,0,0,7.84,42.992,38301.8,allowed
239,0.191845,239.128,97.149,0.7111,0.06352,0,0,0,0,0,0,1.6005,38.949,11201.8,allowed
240,0.208814,193.094,74.205,0.72239,0.07508,0,0,0,0,0,0,3.5002,12.936,21709.1,allowed
241,0.192876,96.009,26.563,0.78329,0.10051,0,0,0,0,0,0,8.9741,35.867,44829.7,allowed
242,0.199105,219.787,55.505,0.79838,0.07924,0,0,0,0,0,0,6.4263,27.297,25490.3,allowed
243,0.196941,136.558,60.639,0.69249,0.0852,0,0,0,0,0,0,7.7303,28.244,30905.2,allowed
244,0.204533,241.792,91.75,0.72492,0.0567,0,0,0,0,0,0,1.7721,17.487,5000.0,allowed
245,0.196074,154.675,53.474,0.7431,0.08246,0,0,0,0,0,0,5.2328,32.145,28420.1,allowed
246,0.205014,146.2,62.989,0.69889,0.09794,0,0,0,0,0,0,5.1624,16.626,42487.3,allowed
247,0.199244,143.362,40.69,0.77892,0.07423,0,0,0,0,0,0,5.8725,23.624,20935.6,allowed
248,0.196435,167.657,48.19,0.77674,0.08057,0,0,0,0,0,0,7.4193,30.248,26700.5,allowed
249,0.194551,131.62,64.394,0.67148,0.05781,0,0,0,0,0,0,7.7154,35.922,6006.0,allowed
250,0.205564,185.751,50.233,0.78713,0.08829,0,0,0,0,0,0,4.4793,18.805,33722.2,allowed
251,0.201565,202.415,106.571,0.65509,0.06609,0,0,0,0,0,0,5.825,23.729,13538.8,allowed
