sample_id,profile_id,time_s,altitude_m,air_density_kg_m3,ambient_temp_c,cooling_air_speed_mps,speed_rpm,torque_nm,voltage_v,current_a,winding_temp_c,output_power_w,input_power_w,copper_loss_w,iron_loss_w,mechanical_loss_w,total_loss_w,thermal_resistance_k_per_w,thermal_time_constant_s,steady_state_temp_c,temperature_margin_c,is_overheated,mission_segment
11,1,50.0,2312.0,0.93327,2.447,50.238,3861.1,11.42883,539.925,9.8473,43.521,4621.079,5316.787,7.565,40.516,213.624,500.407,0.134032,302.869,69.518,21.479,0,climb
12,1,55.0,2347.4,0.92939,-1.173,51.127,4275.7,11.94961,274.266,21.3861,42.371,5350.499,5865.494,35.743,49.234,220.048,420.508,0.132861,303.676,54.696,22.629,0,climb
13,1,60.0,2335.3,0.93072,0.988,48.799,4072.3,11.35558,537.837,9.9979,42.575,4842.624,5377.254,7.818,44.059,209.292,411.572,0.135993,303.399,56.959,22.425,0,climb
14,1,65.0,2193.2,0.9464,3.332,50.12,3860.7,11.57064,351.081,15.0759,43.668,4677.856,5292.873,17.791,40.303,213.149,460.319,0.134189,300.194,65.102,21.332,0,climb
15,1,70.0,2390.9,0.92464,-1.474,49.95,3942.1,11.65229,540.665,10.217,43.169,4810.301,5523.986,8.182,42.084,213.011,511.002,0.134417,304.669,67.213,21.831,0,climb
16,1,75.0,2307.0,0.93382,0.014,50.608,3859.4,12.12087,346.405,15.7565,42.338,4898.714,5458.123,19.488,40.776,215.091,431.585,0.133541,302.757,57.648,22.662,0,climb
17,1,80.0,2320.1,0.93239,-0.829,50.854,4331.0,12.60035,351.126,17.8288,43.581,5714.841,6260.152,24.973,50.167,219.36,432.446,0.133217,303.053,56.78,21.419,0,climb
18,1,85.0,2250.5,0.94005,-1.519,49.657,4122.3,11.97471,272.34,21.0848,45.24,5169.373,5742.24,34.955,45.467,213.073,447.15,0.134813,301.479,58.763,19.76,0,climb
19,1,90.0,2387.9,0.92498,-2.967,51.534,4113.4,11.13374,349.906,15.6408,44.589,4795.855,5472.813,19.252,45.368,220.517,500.638,0.132336,304.6,63.286,20.411,0,climb
20,1,95.0,2209.8,0.94456,-1.721,51.345,4011.1,11.99421,349.965,16.2392,45.861,5038.034,5683.168,20.777,43.925,219.057,482.515,0.132578,300.564,62.251,19.139,0,climb
21,1,100.0,2320.5,0.93234,0.118,50.462,3904.8,10.62234,274.992,17.7441,43.512,4343.533,4879.494,24.833,41.129,214.807,421.125,0.133734,303.063,56.436,21.488,0,climb
22,1,105.0,2246.7,0.94047,1.32,50.124,4085.1,12.03404,267.569,21.311,44.699,5148.082,5702.158,35.845,44.884,214.682,437.677,0.134184,301.394,60.05,20.301,0,climb
23,1,110.0,2572.3,0.90513,-0.46,49.393,3760.5,10.11415,538.821,7.9924,46.839,3982.907,4306.479,5.046,37.709,209.591,291.521,0.135174,308.867,38.946,18.161,0,climb
24,1,115.0,2557.2,0.90674,-1.172,48.169,4377.8,11.89722,271.616,22.1012,45.888,5454.149,6003.06,38.574,51.018,208.968,436.253,0.136879,308.514,58.542,19.112,0,climb
25,1,120.0,2311.5,0.93333,0.571,46.893,4041.3,10.77283,269.035,18.8757,46.534,4559.137,5078.218,28.159,43.477,201.456,408.386,0.138729,302.859,57.226,18.466,0,climb
26,1,125.0,2545.0,0.90804,-1.283,47.807,3726.6,10.17343,351.3,12.9141,46.152,3970.199,4536.733,13.19,37.579,203.031,425.804,0.137398,308.229,57.221,18.848,0,climb
27,1,130.0,2269.6,0.93794,-0.515,46.631,3707.6,9.76363,349.553,11.9357,45.35,3790.815,4172.149,11.275,36.285,198.208,320.33,0.139119,301.909,44.049,19.65,0,climb
28,1,135.0,2472.1,0.91585,-1.193,50.54,3841.0,12.25207,351.01,15.8355,46.531,4928.129,5558.425,19.845,39.926,214.7,470.175,0.133631,306.538,61.637,18.469,0,climb
29,1,140.0,2464.1,0.91672,-0.148,47.646,4236.9,10.66662,540.59,9.7199,46.809,4732.593,5254.484,7.484,46.699,205.843,404.052,0.137629,306.352,55.461,18.191,0,climb
30,1,145.0,2435.7,0.91978,-1.87,49.504,2964.8,8.64259,348.049,8.667,46.672,2683.286,3016.54,5.953,24.768,205.489,289.584,0.135021,305.698,37.23,18.328,0,climb
31,1,150.0,2493.7,0.91353,-0.505,46.632,3715.2,9.58145,267.989,15.7565,45.864,3727.757,4222.558,19.667,36.531,198.259,386.646,0.139118,307.037,53.285,19.136,0,climb
32,1,155.0,2417.6,0.92175,-1.154,49.754,3530.6,9.00759,543.017,6.8446,44.441,3330.34,3716.755,3.713,32.764,209.612,323.268,0.134682,305.28,42.384,20.559,0,climb
33,1,160.0,2527.7,0.90989,-1.374,46.773,3725.6,9.59957,269.716,15.8559,45.542,3745.178,4276.601,19.921,36.83,198.89,407.321,0.138907,307.826,55.206,19.458,0,climb
34,1,165.0,2401.4,0.92351,-0.891,49.029,3668.4,9.13528,350.036,11.4407,45.653,3509.363,4004.662,10.377,36.006,207.553,386.686,0.135675,304.909,51.573,19.347,0,climb
35,1,170.0,2399.5,0.92371,-1.258,49.853,3591.0,8.60473,270.066,13.7251,45.013,3235.839,3706.7,14.939,33.844,210.374,375.595,0.134548,304.867,49.278,19.987,0,climb
36,1,175.0,2369.2,0.92702,-0.809,50.538,3300.1,8.85503,352.163,10.1596,44.882,3060.149,3577.832,8.187,28.992,211.41,396.591,0.133633,304.171,52.188,20.118,0,climb
37,1,180.0,2510.3,0.91175,-1.906,49.873,3407.8,9.20197,268.629,14.0039,46.503,3283.814,3761.853,15.561,31.364,209.362,378.251,0.134521,307.421,48.976,18.497,0,climb
38,1,185.0,2342.8,0.92989,-1.6,51.448,3152.5,8.52864,542.962,6.1789,44.97,2815.518,3354.915,3.03,26.137,214.241,406.202,0.132446,303.571,52.2,20.03,0,climb
39,1,190.0,2465.4,0.91658,-0.706,49.675,3568.2,8.79909,538.137,7.0084,45.831,3287.9,3771.459,3.899,33.22,209.524,376.947,0.134789,306.381,50.102,19.169,0,climb
40,1,195.0,2380.4,0.92579,0.408,48.331,3217.3,8.96058,351.592,9.6499,46.635,3018.922,3392.83,7.394,28.022,202.123,312.542,0.13665,304.429,43.117,18.365,0,climb
41,1,200.0,2415.1,0.92202,-0.043,50.766,3522.4,8.23139,346.978,10.3552,46.799,3036.274,3593.008,8.513,32.624,213.61,420.84,0.133333,305.224,56.069,18.201,0,climb
42,1,205.0,2413.5,0.92219,-0.796,50.397,3084.0,9.01618,538.141,6.2071,45.706,2911.816,3340.285,3.06,25.57,209.671,342.894,0.133821,305.187,45.09,19.294,0,climb
43,1,210.0,2274.2,0.93744,-0.099,49.722,3354.6,8.08418,538.657,5.9485,47.798,2839.874,3204.221,2.811,29.352,208.452,308.668,0.134726,302.013,41.486,17.202,0,climb
44,1,215.0,2530.9,0.90955,-0.677,47.896,3038.2,8.14332,347.148,8.8503,44.047,2590.862,3072.363,6.22,25.265,199.43,368.737,0.13727,307.901,49.94,20.953,0,climb
45,1,220.0,2187.5,0.94704,1.357,51.425,2961.2,7.57762,351.768,7.3936,45.531,2349.786,2600.84,4.342,22.891,213.153,246.254,0.132476,300.065,33.98,19.469,0,climb
46,1,225.0,2484.2,0.91455,-2.218,46.521,3192.8,7.68614,350.164,8.4201,45.964,2569.891,2948.431,5.627,26.85,194.75,310.449,0.139283,306.818,41.022,19.036,0,climb
47,1,230.0,2370.5,0.92687,-1.196,49.212,3156.8,7.70753,541.951,5.4646,44.346,2547.98,2961.57,2.369,25.929,205.319,332.602,0.135422,304.202,43.846,20.654,0,climb
48,1,235.0,2093.7,0.95756,0.308,52.328,2975.8,8.13164,356.07,8.0826,45.666,2534.048,2877.985,5.183,23.675,216.84,299.729,0.131328,297.979,39.671,19.334,0,climb
49,1,240.0,2231.4,0.94216,1.574,49.562,3433.0,9.8767,269.845,15.0261,46.23,3550.68,4054.709,17.904,31.73,208.267,393.271,0.134942,301.049,54.643,18.77,0,climb
50,1,245.0,2018.3,0.96609,1.587,51.044,3493.4,9.2603,539.813,6.9849,45.3,3387.656,3770.56,3.871,32.218,214.551,323.385,0.132969,296.319,44.587,19.7,0,climb
51,1,250.0,2138.4,0.95252,1.91,51.262,3271.2,8.67756,538.808,6.2199,45.279,2972.598,3351.324,3.069,27.811,214.143,318.56,0.132686,298.972,44.178,19.721,0,climb
52,1,255.0,2243.2,0.94085,1.287,50.045,3512.7,8.70193,268.55,13.68,46.573,3200.972,3673.768,14.845,31.82,210.669,375.838,0.13429,301.316,51.758,18.427,0,climb
53,1,260.0,2129.8,0.9535,-0.021,52.466,3377.9,9.00073,350.99,10.2375,46.69,3183.892,3593.242,8.316,30.21,219.563,341.282,0.131155,298.779,44.74,18.31,0,climb
54,1,265.0,2170.4,0.94895,0.739,48.255,3250.4,8.56381,349.701,9.4135,46.334,2914.95,3291.912,7.031,28.777,202.001,314.343,0.136758,299.684,43.727,18.666,0,climb
55,1,270.0,2137.4,0.95264,1.564,51.426,3403.3,9.78435,351.756,11.3444,45.06,3487.103,3990.449,10.21,30.234,215.548,392.037,0.132475,298.949,53.499,19.94,0,climb
56,1,275.0,2139.4,0.95241,-0.7,50.173,3379.1,8.39974,351.0,9.727,45.211,2972.291,3414.158,7.509,30.079,210.398,354.621,0.134118,298.994,46.861,19.789,0,climb
57,1,280.0,2056.5,0.96175,3.386,52.391,3531.9,8.55791,268.956,13.2885,45.014,3165.219,3574.03,14.015,32.465,220.166,344.837,0.131249,297.159,48.646,19.986,0,climb
58,1,285.0,2036.7,0.96399,0.976,50.442,3459.8,9.44552,274.719,14.0241,46.923,3422.152,3852.694,15.612,31.355,211.942,353.308,0.13376,296.723,48.234,18.077,0,climb
59,1,290.0,2124.0,0.95415,1.526,52.106,3311.2,8.88965,346.859,9.8974,46.358,3082.496,3432.989,7.777,29.546,217.742,307.551,0.131608,298.65,42.002,18.642,0,climb
60,1,295.0,2166.7,0.94936,2.591,51.118,3621.9,9.68916,539.927,7.4669,45.916,3674.997,4031.58,4.425,35.418,215.621,311.08,0.132873,299.601,43.926,19.084,0,climb
61,1,300.0,1922.0,0.97709,1.125,52.828,3600.5,9.88625,349.541,12.2027,45.403,3727.576,4265.333,11.817,34.823,222.33,416.803,0.130705,294.221,55.603,19.597,0,climb
62,1,305.0,2075.9,0.95956,0.14,50.052,3677.2,8.78513,275.521,13.9633,46.808,3382.897,3847.175,15.482,35.044,211.703,373.356,0.13428,297.586,50.274,18.192,0,climb
63,1,310.0,2070.2,0.9602,3.322,48.419,3654.4,9.85195,349.534,12.4232,49.813,3770.21,4342.33,12.258,35.862,205.026,428.582,0.136526,297.461,61.835,15.187,0,climb
64,1,315.0,1975.0,0.97102,1.917,51.66,3766.2,11.35491,538.119,9.2075,48.914,4478.266,4954.711,6.739,38.692,218.697,380.903,0.132174,295.372,52.262,16.086,0,climb
65,1,320.0,1895.2,0.98017,4.661,51.141,3425.5,9.60619,271.004,14.4495,47.227,3445.937,3915.881,16.603,31.837,214.539,376.81,0.132843,293.641,54.717,17.773,0,climb
66,1,325.0,1805.8,0.99054,3.466,52.17,3709.1,10.5047,271.513,17.0708,48.369,4080.141,4634.96,23.185,36.425,220.373,431.142,0.131527,291.72,60.173,16.631,0,climb
67,1,330.0,1683.7,1.00487,6.18,50.973,3974.9,11.21515,539.564,9.2667,47.068,4668.35,4999.979,6.837,42.232,217.322,302.273,0.133062,289.127,46.401,17.932,0,climb
68,1,335.0,1898.5,0.97979,1.959,52.245,3826.0,11.45448,348.4,14.7833,47.008,4589.276,5150.508,17.401,39.285,221.423,433.827,0.131432,293.712,58.978,17.992,0,climb
69,1,340.0,1847.1,0.98574,2.998,52.682,3958.4,10.6168,543.201,8.9154,48.808,4400.91,4842.843,6.333,41.983,224.047,365.627,0.130886,292.604,50.853,16.192,0,climb
70,1,345.0,1931.7,0.97598,0.944,49.995,4021.8,11.06149,268.184,19.5804,49.215,4658.636,5251.132,30.553,42.916,213.728,455.112,0.134357,294.43,62.091,15.785,0,climb
71,1,350.0,1637.4,1.01036,3.781,52.022,4089.3,12.44761,269.1,21.9548,47.546,5330.456,5908.019,38.447,45.241,222.302,455.355,0.131713,288.155,63.757,17.454,0,climb
72,1,355.0,1760.6,0.99582,3.896,49.867,3891.7,11.05661,347.508,14.1773,47.853,4506.028,4926.718,16.048,41.017,212.34,352.612,0.13453,290.756,51.333,17.147,0,climb
73,1,360.0,1847.2,0.98572,3.418,53.223,3778.0,10.62955,268.867,17.5342,48.798,4205.336,4714.353,24.552,38.761,225.023,409.711,0.130219,292.607,56.77,16.202,0,climb
74,1,365.0,1702.4,1.00266,3.319,52.21,3928.4,11.35064,272.975,18.7936,47.71,4669.486,5130.189,28.221,41.976,221.956,384.855,0.131477,289.523,53.918,17.29,0,climb
75,1,370.0,1743.8,0.99779,5.231,52.194,4241.7,11.49922,349.875,16.2747,49.06,5107.874,5694.116,21.17,47.49,224.071,454.163,0.131496,290.399,64.951,15.94,0,climb
76,1,375.0,1885.5,0.98129,4.515,51.905,4171.8,11.75674,269.339,21.0823,48.237,5136.184,5678.277,35.561,46.655,222.412,435.234,0.131862,293.432,61.905,16.763,0,climb
77,1,380.0,1691.5,1.00395,2.611,51.547,3674.9,10.52921,354.997,12.8084,48.395,4051.976,4546.936,13.136,37.274,217.666,392.862,0.132319,289.291,54.594,16.605,0,climb
78,1,385.0,1741.3,0.99809,3.178,50.953,4272.7,11.77751,271.103,21.9008,47.914,5269.685,5937.369,38.42,48.409,219.328,504.997,0.133088,290.345,70.387,17.086,0,climb
79,1,390.0,1580.3,1.01716,4.993,54.223,4134.9,12.75594,535.894,11.5639,47.309,5523.432,6197.028,10.725,46.547,231.425,500.391,0.129012,286.963,69.55,17.691,0,climb
80,1,395.0,1575.7,1.01771,7.057,51.821,4021.5,11.96535,538.265,10.3679,49.475,5038.942,5580.657,8.632,43.885,221.029,421.039,0.131969,286.867,62.621,15.525,0,climb
81,1,400.0,1554.5,1.02026,3.504,52.06,4241.3,12.21311,270.587,22.5872,50.338,5424.383,6111.79,41.003,47.47,223.532,518.476,0.131665,286.425,71.769,14.662,0,climb
82,1,405.0,1594.8,1.01543,5.561,54.726,3454.3,8.78987,541.092,6.7308,51.739,3179.63,3641.961,3.646,32.393,229.048,373.572,0.128418,287.264,53.534,13.261,0,climb
83,1,410.0,1651.4,1.00869,4.274,52.855,4368.2,12.27252,272.62,23.2919,51.281,5613.861,6349.839,43.668,50.432,227.641,549.572,0.130671,288.448,76.087,13.719,0,climb
84,1,415.0,1533.9,1.02274,1.923,54.801,4111.4,11.55133,350.558,16.0494,50.114,4973.398,5626.243,20.766,45.233,233.574,493.873,0.12833,285.998,65.301,14.886,0,climb
85,1,420.0,1546.0,1.02128,6.63,53.077,3829.2,10.96434,270.432,18.1471,52.285,4396.648,4907.56,26.573,39.611,224.77,411.931,0.130398,286.25,60.345,12.715,0,climb
86,1,425.0,1583.4,1.0168,4.632,54.563,3905.9,9.17663,350.944,11.9748,50.699,3753.494,4202.474,11.577,40.163,231.221,374.272,0.128609,287.025,52.767,14.301,0,climb
87,1,430.0,1570.5,1.01834,5.654,50.874,3674.7,10.8232,267.064,17.5479,50.787,4164.951,4686.432,24.864,36.958,214.973,411.372,0.133192,286.759,60.446,14.213,0,climb
88,1,435.0,1524.9,1.02382,3.491,52.55,3568.3,9.57923,350.713,11.6139,50.065,3579.486,4073.158,10.897,33.327,221.021,390.88,0.131051,285.813,54.716,14.935,0,climb
89,1,440.0,1516.8,1.0248,6.553,53.26,3459.7,9.95179,350.653,11.4951,51.291,3605.537,4030.778,10.678,32.817,223.214,353.901,0.130174,285.644,52.621,13.709,0,climb
90,1,445.0,1696.2,1.00339,3.307,50.896,3629.9,9.25178,351.129,10.9771,52.305,3516.79,3854.383,9.738,34.929,214.783,302.428,0.133163,289.392,43.579,12.695,0,climb
91,1,450.0,1647.2,1.00919,4.977,52.203,3638.8,9.58464,538.801,7.8332,52.351,3652.237,4220.54,4.956,35.189,220.066,429.662,0.131485,288.361,61.471,12.649,0,climb
92,1,455.0,1479.1,1.02935,4.256,54.01,3356.1,7.74135,349.668,8.9833,50.138,2720.662,3141.17,6.523,29.423,225.614,348.981,0.129267,284.868,49.367,14.862,0,climb
93,1,460.0,1580.1,1.01719,6.457,52.417,4198.9,11.03346,354.691,15.4364,51.835,4851.531,5475.161,19.257,45.594,224.653,473.273,0.131217,286.957,68.558,13.165,0,climb
94,1,465.0,1616.5,1.01284,2.439,52.935,3594.2,10.24858,540.263,8.4806,51.046,3857.402,4581.76,5.818,34.059,222.72,516.566,0.130573,287.718,69.889,13.954,0,climb
95,1,470.0,1552.7,1.02048,4.227,52.158,3226.7,9.27979,539.041,6.8794,52.427,3135.679,3708.258,3.833,28.618,217.483,427.389,0.131541,286.388,60.447,12.573,0,climb
96,1,475.0,1485.5,1.02858,4.838,54.22,3594.6,9.63664,539.988,7.3829,51.639,3627.529,3986.653,4.417,34.775,227.862,317.692,0.129017,284.999,45.826,13.361,0,climb
97,1,480.0,1632.6,1.01093,5.096,50.644,3397.7,8.70925,539.519,6.5122,52.948,3098.826,3513.467,3.435,30.483,212.39,338.891,0.133493,288.055,50.336,12.052,0,climb
98,1,485.0,1587.7,1.01629,3.928,52.884,3117.4,8.72007,350.826,9.4594,52.797,2846.689,3318.592,7.247,25.972,219.798,373.404,0.130635,287.115,52.708,12.203,0,climb
99,1,490.0,1446.5,1.03331,5.405,52.238,3449.1,8.41529,348.032,9.5874,50.97,3039.48,3336.709,7.445,30.874,219.064,279.298,0.131441,284.198,42.116,14.03,0,climb
100,1,495.0,1745.8,0.99755,3.596,51.816,2984.6,8.1844,350.789,8.0709,50.953,2557.978,2831.185,5.273,24.233,214.836,260.217,0.131975,290.442,37.938,14.047,0,climb
101,1,500.0,1493.1,1.02765,2.816,53.905,3168.5,7.58876,349.173,8.3206,48.875,2518.022,2905.313,5.599,25.935,224.154,328.07,0.129392,285.156,45.265,16.125,0,climb
102,1,505.0,1528.6,1.02338,4.479,52.35,3553.2,8.85055,541.312,6.5169,49.951,3293.157,3527.676,3.434,33.006,220.129,244.441,0.131301,285.888,36.575,15.049,0,climb
103,1,510.0,1551.3,1.02065,6.0,52.044,2980.8,8.39191,542.15,5.2557,51.161,2619.565,2849.351,2.231,23.95,215.728,235.242,0.131686,286.359,36.978,13.839,0,climb
104,1,515.0,1514.5,1.02508,7.025,52.223,3195.3,7.87905,270.279,10.9887,51.325,2636.405,2970.003,9.745,26.641,217.568,297.758,0.13146,285.596,46.168,13.675,0,climb
105,1,520.0,1760.3,0.99585,0.97,53.144,3493.3,8.95084,346.649,10.7876,50.442,3274.332,3739.53,9.389,31.261,222.949,374.479,0.130315,290.75,49.77,14.558,0,climb
106,1,525.0,1656.5,1.00809,1.904,55.38,3536.3,7.97042,269.854,12.5017,49.545,2951.589,3373.636,12.609,31.706,232.151,356.536,0.127657,288.555,47.418,15.455,0,climb
107,1,530.0,1673.8,1.00604,5.382,51.193,2908.2,7.29713,349.048,7.0461,50.586,2222.292,2459.412,4.004,22.206,211.961,237.594,0.132776,288.919,36.928,14.414,0,climb
108,1,535.0,1706.3,1.0022,5.183,51.578,3371.1,9.04728,351.533,10.4309,50.196,3193.838,3666.817,8.768,30.147,215.972,374.838,0.132279,289.605,54.766,14.804,0,climb
109,1,540.0,1564.7,1.01903,5.104,51.55,3360.6,8.55898,352.387,9.4908,48.414,3012.128,3344.439,7.261,30.366,215.799,296.813,0.132315,286.638,44.377,16.586,0,climb
110,1,545.0,1797.8,0.99147,4.628,52.479,3709.9,8.33414,539.433,6.6881,52.0,3237.775,3607.772,3.604,35.971,221.613,321.033,0.131139,291.549,46.728,13.0,0,climb
111,1,550.0,1686.3,1.00456,3.2,51.482,3124.5,7.45637,268.586,10.2865,51.312,2439.732,2762.826,8.524,25.761,214.225,289.531,0.132403,289.183,41.535,13.688,0,climb
112,1,555.0,1802.6,0.99092,4.983,51.148,3306.2,9.15177,351.848,10.1006,50.997,3168.582,3553.863,8.214,29.277,213.881,325.022,0.132835,291.65,48.157,14.003,0,climb
113,1,560.0,1905.8,0.97896,2.988,50.88,3598.8,9.48334,346.991,11.6771,50.051,3573.936,4051.839,10.977,34.329,214.53,379.773,0.133183,293.869,53.567,14.949,0,climb
114,1,565.0,1872.5,0.9828,2.045,52.427,3483.4,9.26454,272.485,14.0326,48.058,3379.56,3823.658,15.856,32.225,220.021,364.899,0.131204,293.15,49.921,16.942,0,climb
115,1,570.0,1786.5,0.99279,1.867,47.638,3434.8,8.90262,540.07,6.6964,51.24,3202.216,3616.536,3.611,30.989,200.581,333.707,0.137641,291.307,47.798,13.76,0,climb
116,1,575.0,1885.9,0.98124,3.59,50.771,3152.6,8.79879,270.785,12.1085,48.374,2904.865,3278.807,11.804,26.713,211.531,318.19,0.133327,293.44,46.013,16.626,0,climb
117,1,580.0,1941.2,0.97488,2.066,53.432,3445.5,8.4617,269.999,12.3608,50.479,3053.105,3337.416,12.298,31.528,223.82,276.811,0.129964,294.638,38.041,14.521,0,climb
118,1,585.0,2013.2,0.96666,-0.131,52.292,3649.4,9.53484,348.577,11.5786,49.262,3643.843,4036.036,10.783,35.714,220.488,335.849,0.131373,296.208,43.99,15.738,0,climb
119,1,590.0,2015.6,0.96639,3.421,51.903,3745.6,10.88173,347.801,14.0187,51.428,4268.232,4875.705,15.8,37.556,219.536,456.912,0.131865,296.26,63.671,13.572,0,climb
120,1,595.0,1972.6,0.97129,1.164,51.127,3516.9,10.10686,352.14,12.2983,49.638,3722.283,4330.722,12.17,33.343,215.021,451.882,0.132862,295.321,61.201,15.362,0,climb
121,2,0.0,5457.2,0.64463,-20.843,39.293,4281.5,14.39005,351.605,19.9538,29.757,6451.823,7015.865,29.666,51.08,172.754,424.298,0.151553,389.23,43.461,35.243,0,cruise_low
122,2,5.0,5397.8,0.64915,-21.068,39.146,4829.2,14.32622,352.393,22.9337,27.468,7244.924,8081.655,39.216,62.0,176.408,585.133,0.151837,387.286,67.777,37.532,0,cruise_low
123,2,10.0,5246.1,0.66084,-20.515,40.931,4594.8,13.93087,349.78,21.3034,29.093,6703.122,7451.506,33.902,57.307,181.671,534.407,0.14849,382.382,58.839,35.907,0,cruise_low
124,2,15.0,5532.8,0.63892,-20.456,40.465,4713.7,14.71098,538.684,14.7251,31.343,7261.665,7932.196,16.221,60.043,180.747,484.447,0.149342,391.725,51.892,33.657,0,cruise_low
125,2,20.0,5594.5,0.6343,-19.956,40.145,4727.6,14.21033,350.527,22.1237,30.802,7035.181,7754.943,36.654,59.879,179.58,520.12,0.149936,393.778,58.028,34.198,0,cruise_low
126,2,25.0,5465.9,0.64397,-19.568,40.492,4454.6,14.17052,271.373,26.871,31.692,6610.376,7292.083,54.144,54.246,178.834,504.19,0.149293,389.518,55.704,33.308,0,cruise_low
127,2,30.0,5579.8,0.6354,-21.924,41.485,4509.4,14.08746,270.104,26.8118,33.061,6652.456,7241.963,53.971,55.568,183.224,455.972,0.147495,393.287,45.33,31.939,0,cruise_low
128,2,35.0,5764.4,0.62175,-20.759,41.387,4980.2,14.77875,537.738,15.5148,32.523,7707.522,8342.921,18.084,65.961,186.631,471.274,0.14767,399.507,48.834,32.477,0,cruise_low
129,2,40.0,5523.1,0.63965,-20.757,38.995,4642.6,13.52503,349.885,20.4633,30.927,6575.444,7159.818,31.486,57.308,174.302,439.799,0.152131,391.404,46.15,34.073,0,cruise_low
130,2,45.0,5631.0,0.63158,-22.786,38.999,4672.4,13.31517,267.086,27.0754,31.365,6514.99,7231.444,55.159,57.474,174.554,523.284,0.152123,394.998,56.817,33.635,0,cruise_low
131,2,50.0,5629.7,0.63168,-22.288,40.541,4586.2,14.20899,539.984,13.9926,32.04,6824.148,7555.773,14.75,56.611,180.042,515.525,0.149203,394.955,54.629,32.96,0,cruise_low
132,2,55.0,5653.3,0.62992,-22.489,41.314,4814.2,14.36299,348.917,22.7773,31.545,7240.923,7947.379,39.125,61.87,184.957,517.229,0.1478,395.749,53.957,33.455,0,cruise_low
133,2,60.0,5770.0,0.62134,-20.717,37.481,4521.2,12.57479,271.784,24.2584,32.147,5953.65,6593.022,44.424,54.761,167.301,471.573,0.155173,399.698,52.458,32.853,0,cruise_low
134,2,65.0,5617.2,0.63261,-19.349,40.477,4448.7,13.81897,269.988,26.3968,30.529,6437.796,7126.821,52.651,53.914,178.73,507.347,0.14932,394.537,56.409,34.471,0,cruise_low
135,2,70.0,5728.6,0.62437,-22.759,39.704,4263.4,13.53616,268.765,24.5198,34.378,6043.325,6590.065,45.48,49.95,174.267,422.071,0.150766,398.29,40.875,30.622,0,cruise_low
136,2,75.0,5672.9,0.62848,-20.774,37.311,4397.3,13.25948,266.215,25.6398,34.353,6105.808,6825.703,49.748,52.295,165.682,516.419,0.155526,396.406,59.543,30.647,0,cruise_low
137,2,80.0,5605.8,0.63346,-22.391,38.183,4146.7,12.6219,350.375,17.051,34.691,5480.926,5974.258,22.029,46.474,167.349,377.465,0.15374,394.155,35.64,30.309,0,cruise_low
138,2,85.0,5780.1,0.6206,-22.955,38.32,4568.2,12.98318,539.427,12.6946,32.754,6210.937,6847.793,12.211,56.02,171.02,457.934,0.153465,400.044,47.322,32.246,0,cruise_low
139,2,90.0,5825.3,0.61731,-23.107,42.268,4616.2,13.03292,351.501,20.1542,33.614,6300.216,7084.232,30.799,56.218,187.183,554.599,0.146124,401.588,57.933,31.386,0,cruise_low
