sample_id,profile_id,time_s,altitude_m,air_density_kg_m3,ambient_temp_c,cooling_air_speed_mps,speed_rpm,torque_nm,voltage_v,current_a,winding_temp_c
108,1,535.0,1706.3,1.0022,5.183,51.578,3371.1,9.04728,351.533,10.4309,50.196
109,1,540.0,1564.7,1.01903,5.104,51.55,3360.6,8.55898,352.387,9.4908,48.414
110,1,545.0,1797.8,0.99147,4.628,52.479,3709.9,8.33414,539.433,6.6881,52.0
111,1,550.0,1686.3,1.00456,3.2,51.482,3124.5,7.45637,268.586,10.2865,51.312
112,1,555.0,1802.6,0.99092,4.983,51.148,3306.2,9.15177,351.848,10.1006,50.997
113,1,560.0,1905.8,0.97896,2.988,50.88,3598.8,9.48334,346.991,11.6771,50.051
114,1,565.0,1872.5,0.9828,2.045,52.427,3483.4,9.26454,272.485,14.0326,48.058
115,1,570.0,1786.5,0.99279,1.867,47.638,3434.8,8.90262,540.07,6.6964,51.24
116,1,575.0,1885.9,0.98124,3.59,50.771,3152.6,8.79879,270.785,12.1085,48.374
117,1,580.0,1941.2,0.97488,2.066,53.432,3445.5,8.4617,269.999,12.3608,50.479
118,1,585.0,2013.2,0.96666,-0.131,52.292,3649.4,9.53484,348.577,11.5786,49.262
119,1,590.0,2015.6,0.96639,3.421,51.903,3745.6,10.88173,347.801,14.0187,51.428
120,1,595.0,1972.6,0.97129,1.164,51.127,3516.9,10.10686,352.14,12.2983,49.638
121,2,0.0,5457.2,0.64463,-20.843,39.293,4281.5,14.39005,351.605,19.9538,29.757
122,2,5.0,5397.8,0.64915,-21.068,39.146,4829.2,14.32622,352.393,22.9337,27.468
123,2,10.0,5246.1,0.66084,-20.515,40.931,4594.8,13.93087,349.78,21.3034,29.093
124,2,15.0,5532.8,0.63892,-20.456,40.465,4713.7,14.71098,538.684,14.7251,31.343
125,2,20.0,5594.5,0.6343,-19.956,40.145,4727.6,14.21033,350.527,22.1237,30.802
126,2,25.0,5465.9,0.64397,-19.568,40.492,4454.6,14.17052,271.373,26.871,31.692
127,2,30.0,5579.8,0.6354,-21.924,41.485,4509.4,14.08746,270.104,26.8118,33.061
128,2,35.0,5764.4,0.62175,-20.759,41.387,4980.2,14.77875,537.738,15.5148,32.523
129,2,40.0,5523.1,0.63965,-20.757,38.995,4642.6,13.52503,349.885,20.4633,30.927
130,2,45.0,5631.0,0.63158,-22.786,38.999,4672.4,13.31517,267.086,27.0754,31.365
131,2,50.0,5629.7,0.63168,-22.288,40.541,4586.2,14.20899,539.984,13.9926,32.04
132,2,55.0,5653.3,0.62992,-22.489,41.314,4814.2,14.36299,348.917,22.7773,31.545
133,2,60.0,5770.0,0.62134,-20.717,37.481,4521.2,12.57479,271.784,24.2584,32.147
134,2,65.0,5617.2,0.63261,-19.349,40.477,4448.7,13.81897,269.988,26.3968,30.529
135,2,70.0,5728.6,0.62437,-22.759,39.704,4263.4,13.53616,268.765,24.5198,34.378
136,2,75.0,5672.9,0.62848,-20.774,37.311,4397.3,13.25948,266.215,25.6398,34.353
137,2,80.0,5605.8,0.63346,-22.391,38.183,4146.7,12.6219,350.375,17.051,34.691
138,2,85.0,5780.1,0.6206,-22.955,38.32,4568.2,12.98318,539.427,12.6946,32.754
139,2,90.0,5825.3,0.61731,-23.107,42.268,4616.2,13.03292,351.501,20.1542,33.614
140,2,95.0,5926.5,0.61,-25.342,37.744,4404.2,14.17071,350.713,20.44,34.155
141,2,100.0,5712.7,0.62554,-20.832,37.094,4396.1,13.39522,351.177,19.6281,34.617
142,2,105.0,5657.4,0.62962,-21.122,39.004,4309.4,12.43481,540.648,11.6048,34.761
143,2,110.0,5699.1,0.62654,-23.347,39.545,4576.4,14.01265,349.775,21.1371,35.117
144,2,115.0,5899.3,0.61195,-23.503,40.487,4264.2,12.56001,268.197,23.188,35.597
145,2,120.0,5868.5,0.61418,-21.727,37.997,4010.5,11.74423,352.196,15.7606,37.003
146,2,125.0,5784.2,0.6203,-21.895,39.212,3956.4,11.61869,348.466,15.1553,33.907
147,2,130.0,5770.1,0.62133,-22.896,38.185,3778.7,10.62826,269.023,17.4686,34.916
148,2,135.0,5804.5,0.61882,-21.277,39.589,4235.2,11.60243,539.204,10.8412,35.855
149,2,140.0,5928.4,0.60987,-22.918,37.461,4138.1,11.92171,540.156,10.5931,35.151
150,2,145.0,5799.6,0.61917,-22.335,39.704,4318.7,12.41249,541.253,11.3295,33.544
151,2,150.0,5872.8,0.61387,-23.048,36.441,3902.4,11.05819,349.456,14.4764,34.701
152,2,155.0,5726.4,0.62453,-22.013,40.866,3824.4,11.66451,272.651,19.3208,35.443
153,2,160.0,5844.5,0.61591,-23.921,40.371,4008.9,11.04553,542.199,9.3611,35.748
154,2,165.0,5738.5,0.62364,-22.199,38.178,3602.4,10.22985,351.205,12.4395,36.215
155,2,170.0,5756.7,0.62231,-22.828,41.09,3938.9,11.07912,351.755,14.4938,35.117
156,2,175.0,5836.4,0.6165,-22.822,41.217,3576.9,10.32626,349.234,12.3177,33.441
157,2,180.0,5759.7,0.62209,-23.391,39.395,3745.2,10.71262,538.859,8.63,33.105
158,2,185.0,6056.1,0.60077,-25.724,39.13,3804.8,10.47661,540.629,8.7108,34.071
159,2,190.0,5798.2,0.61928,-23.529,38.287,3941.8,10.23339,268.879,18.1594,35.196
160,2,195.0,5753.2,0.62257,-23.515,39.024,3604.7,9.68048,351.367,11.9558,36.855
161,2,200.0,5858.8,0.61488,-22.239,37.555,4071.2,10.64227,350.779,14.6575,37.291
162,2,205.0,5558.2,0.63701,-21.308,41.724,3721.5,11.10085,348.646,14.0596,34.814
163,2,210.0,5797.2,0.61935,-23.673,38.498,4236.7,12.5528,270.349,23.2576,36.101
164,2,215.0,5676.4,0.62822,-22.197,40.086,4256.8,12.36263,271.063,22.7068,34.96
165,2,220.0,5612.8,0.63293,-20.16,38.037,3965.2,11.58741,350.321,15.9205,34.498
166,2,225.0,5668.1,0.62883,-21.665,40.62,4249.4,12.25973,346.961,17.5942,35.056
167,2,230.0,5705.4,0.62608,-22.391,39.664,4152.2,11.24521,538.095,10.3989,36.369
168,2,235.0,5453.8,0.64489,-19.358,42.432,4436.8,12.6199,271.747,24.1972,37.48
169,2,240.0,5886.4,0.61288,-22.719,36.877,4310.2,12.32956,272.308,22.816,38.286
170,2,245.0,5662.8,0.62922,-21.479,38.928,4561.3,13.79623,535.734,13.586,36.745
171,2,250.0,5535.0,0.63875,-21.41,38.809,4461.2,12.84572,539.663,11.995,38.102
172,2,255.0,5644.2,0.6306,-25.313,39.071,3963.0,12.45159,351.347,16.232,35.669
173,2,260.0,5483.8,0.64261,-21.102,37.821,4219.3,12.97268,268.314,23.7354,36.439
174,2,265.0,5713.8,0.62546,-22.18,39.655,4212.5,12.34838,540.168,11.2845,37.142
175,2,270.0,5424.1,0.64715,-20.841,40.764,4232.3,13.40468,348.394,18.3821,40.288
176,2,275.0,5533.8,0.63884,-18.625,41.334,4504.7,13.79565,268.701,26.5825,38.461
177,2,280.0,5507.9,0.64079,-20.921,40.42,4780.7,13.95055,349.637,22.265,37.723
178,2,285.0,5475.4,0.64325,-21.632,39.19,4411.3,12.4413,269.983,23.374,36.643
179,2,290.0,5423.4,0.64719,-22.125,39.942,4457.1,12.40766,270.412,23.5706,36.384
180,2,295.0,5425.5,0.64704,-19.702,39.326,4350.6,12.50847,538.321,11.6813,38.111
181,2,300.0,5312.8,0.65568,-21.596,43.301,4763.2,14.53815,349.438,22.4626,39.446
182,2,305.0,5371.6,0.65115,-20.671,42.193,4248.6,13.64759,349.914,19.3685,40.484
183,2,310.0,5159.3,0.66762,-17.759,41.048,4283.4,14.57372,539.154,13.0402,36.273
184,2,315.0,5440.2,0.64592,-21.781,41.345,4592.4,13.4619,266.735,27.2598,39.682
185,2,320.0,5231.1,0.662,-17.816,37.127,4726.3,13.54281,349.635,21.2375,38.903
186,2,325.0,5274.2,0.65866,-20.018,40.489,4446.8,14.05552,350.588,20.6167,38.906
187,2,330.0,5321.0,0.65504,-20.204,37.45,4671.8,14.87607,350.094,22.7816,39.127
188,2,335.0,5267.6,0.65917,-18.853,41.707,4748.5,14.7087,350.937,22.8276,39.876
189,2,340.0,5163.5,0.66729,-21.992,40.465,4713.0,14.7593,345.538,22.9432,40.552
190,2,345.0,5202.3,0.66425,-19.406,40.023,4628.7,13.71118,538.25,13.4071,42.235
191,2,350.0,5239.7,0.66133,-19.891,39.926,4414.1,13.73015,540.092,12.5665,38.571
192,2,355.0,5119.9,0.67072,-17.053,40.627,4858.7,14.39153,351.168,22.6425,40.55
193,2,360.0,5175.7,0.66634,-19.677,40.622,4987.6,14.62456,270.188,30.8536,38.292
194,2,365.0,5204.0,0.66412,-19.765,39.349,4994.0,13.8288,351.184,22.8209,40.09
195,2,370.0,5090.9,0.67301,-15.507,41.333,4302.1,12.27491,538.176,11.4216,42.409
196,2,375.0,5221.2,0.66277,-20.62,40.204,4144.9,11.78962,345.955,16.7957,41.557
197,2,380.0,4950.9,0.68419,-16.234,42.866,4677.9,13.60126,350.726,20.7533,42.527
198,2,385.0,5154.0,0.66804,-17.615,43.241,4457.3,13.56924,270.68,25.2823,39.958
199,2,390.0,4962.0,0.6833,-17.273,41.639,4179.1,12.30945,543.268,10.9737,40.896
200,2,395.0,5012.0,0.67929,-18.628,37.677,4174.5,11.64581,350.161,16.7787,41.314
201,2,400.0,5117.3,0.67093,-18.709,42.618,4515.9,12.83472,274.024,24.7258,40.843
202,2,405.0,5019.7,0.67867,-19.337,40.521,4377.8,13.1664,352.77,18.8652,41.439
203,2,410.0,4864.7,0.69117,-17.283,42.195,3844.3,12.4895,349.71,16.0603,40.76
204,2,415.0,4868.9,0.69083,-15.561,39.759,4362.1,11.75594,348.905,17.1138,40.242
205,2,420.0,4835.4,0.69355,-16.319,39.562,4111.9,11.67758,348.329,16.2043,39.885
206,2,425.0,4891.2,0.68901,-16.141,42.4,3765.4,10.2693,354.519,12.8619,43.648
207,2,430.0,4945.8,0.68461,-16.705,41.604,4293.4,13.13488,538.175,11.9947,41.622
208,2,435.0,4928.2,0.68602,-16.888,39.759,4069.3,10.65786,273.48,18.578,41.559
209,2,440.0,4899.6,0.68833,-15.426,41.373,4069.1,11.00049,539.382,9.655,42.739
210,2,445.0,4926.3,0.68617,-16.904,39.794,4257.7,10.77112,350.158,15.3622,42.123
211,2,450.0,4871.8,0.69059,-16.232,40.45,3822.4,11.24494,541.245,9.5293,43.359
212,2,455.0,4936.6,0.68534,-16.202,40.491,3851.1,10.57526,267.279,18.045,41.369
213,2,460.0,4895.9,0.68863,-16.475,41.817,3844.0,10.817,540.852,8.9165,44.345
214,2,465.0,5082.7,0.67366,-20.408,39.42,3975.8,10.41839,350.872,14.1724,41.403
215,2,470.0,4914.5,0.68712,-15.169,42.429,4024.1,12.21091,349.435,16.3096,41.76
216,2,475.0,5006.1,0.67976,-16.859,40.558,4028.1,11.16485,541.438,10.0891,42.884
217,2,480.0,5055.8,0.6758,-17.255,41.176,3899.2,11.62825,268.389,19.6521,42.135
218,2,485.0,4952.7,0.68404,-16.813,39.597,3884.7,9.52682,349.698,12.5084,42.193
219,2,490.0,4974.8,0.68227,-18.563,41.527,3845.5,12.41427,351.884,16.1785,43.15
220,2,495.0,4946.3,0.68456,-16.614,38.81,3923.3,10.19554,350.87,13.7159,42.479
221,2,500.0,4937.1,0.6853,-16.817,41.915,4097.4,10.20361,541.712,9.085,41.811
222,2,505.0,5080.3,0.67385,-15.906,39.6,3913.7,11.35807,269.257,19.5662,42.159
223,2,510.0,5224.8,0.66249,-19.61,40.067,3977.4,11.24181,271.61,19.7505,44.466
224,2,515.0,5019.6,0.67868,-18.88,40.092,3824.4,11.24954,352.868,14.5055,43.385
225,2,520.0,5037.9,0.67722,-17.714,41.727,4280.1,11.68534,347.765,16.9536,44.247
226,2,525.0,5024.5,0.6783,-17.43,41.563,4042.7,11.4272,349.776,15.2863,44.696
227,2,530.0,5079.3,0.67394,-15.964,39.436,3930.3,11.20829,538.638,9.8569,42.511
228,2,535.0,5221.8,0.66273,-19.371,41.135,3961.6,12.19641,275.423,20.4438,42.891
229,2,540.0,5191.4,0.6651,-18.657,43.734,3959.1,11.20259,349.401,14.719,42.803
230,2,545.0,5176.4,0.66628,-17.678,39.678,4403.6,12.21129,540.577,11.4007,43.528
231,2,550.0,5348.7,0.65291,-20.018,40.018,4679.1,13.2567,267.482,26.7524,45.397
232,2,555.0,5348.5,0.65293,-19.398,38.883,4636.5,13.07562,539.785,12.9836,41.994
233,2,560.0,5281.5,0.65809,-20.094,40.532,4424.7,12.84037,351.009,18.6577,43.675
234,2,565.0,5231.7,0.66196,-16.806,40.516,4078.4,11.53923,268.836,20.2632,42.885
235,2,570.0,5404.1,0.64867,-20.695,40.448,4016.7,12.58089,543.527,10.6635,44.141
236,2,575.0,5439.4,0.64598,-20.16,38.522,4398.7,12.66076,267.616,24.2778,43.8
237,2,580.0,5139.7,0.66916,-18.034,41.821,4557.3,13.2229,349.091,20.0031,42.932
238,2,585.0,5209.7,0.66368,-18.842,40.97,4547.2,13.50444,268.402,26.0324,44.751
239,2,590.0,5232.8,0.66187,-17.59,40.687,4504.1,12.26932,349.001,18.1142,43.585
240,2,595.0,5406.9,0.64845,-20.138,38.78,4419.7,14.11059,350.344,20.7149,44.208
241,3,0.0,8717.0,0.43929,-41.757,30.96,5460.0,17.45017,539.235,20.8694,37.173
242,3,5.0,8602.6,0.44525,-39.926,33.57,5573.4,16.4111,273.726,38.5499,38.038
243,3,10.0,8679.5,0.44123,-40.501,33.639,5195.4,15.71576,270.525,34.8241,37.154
244,3,15.0,8957.3,0.42705,-40.32,35.124,4855.9,15.83461,268.521,32.8912,37.162
245,3,20.0,8951.0,0.42737,-44.541,32.475,5169.6,16.83476,538.698,18.6902,39.896
246,3,25.0,8838.1,0.43308,-42.559,33.251,5349.1,17.18501,349.08,30.1424,38.118
247,3,30.0,8888.4,0.43052,-43.54,31.616,5289.5,15.54805,352.573,26.9408,39.426
248,3,35.0,9034.0,0.42321,-44.631,31.607,5058.4,16.42655,349.903,27.6593,40.366
249,3,40.0,8861.7,0.43188,-41.79,33.074,5253.8,17.46556,353.2,30.2083,40.016
250,3,45.0,9003.1,0.42475,-42.517,31.059,5101.2,16.67889,348.302,27.7688,42.312
251,3,50.0,8978.2,0.426,-43.508,31.283,4951.4,15.76939,352.164,24.9789,39.7
252,3,55.0,8984.6,0.42568,-40.967,30.697,5317.4,16.39586,538.952,18.5519,40.164
253,3,60.0,8973.2,0.42625,-44.879,32.984,4838.2,15.62266,348.508,25.0323,39.278
254,3,65.0,9015.8,0.42412,-45.1,32.191,4914.4,13.72847,540.491,14.8994,39.971
255,3,70.0,9004.3,0.42469,-42.288,31.554,4683.4,13.68476,350.7,20.7323,41.378
256,3,75.0,8996.2,0.4251,-41.392,32.327,4889.3,16.36635,541.969,17.329,41.1
257,3,80.0,9095.5,0.42016,-44.271,32.293,5183.7,15.57243,542.901,17.3788,38.924
258,3,85.0,9089.7,0.42045,-43.135,30.473,4939.4,15.60299,346.908,25.8267,41.791
259,3,90.0,9087.7,0.42055,-43.52,32.174,4378.5,12.73645,268.817,24.2057,39.03
260,3,95.0,9056.1,0.42211,-44.058,32.803,4427.6,13.48214,537.876,12.9298,41.845
261,3,100.0,9213.2,0.41439,-43.558,34.952,4492.0,14.26762,347.953,21.0077,40.667
262,3,105.0,9311.8,0.4096,-44.013,34.345,4636.3,13.44594,543.197,13.7043,42.233
263,3,110.0,9194.0,0.41532,-41.827,33.422,4382.1,12.63081,347.901,18.3867,41.224
264,3,115.0,9461.0,0.40248,-46.004,30.197,4623.2,12.71962,543.245,12.8112,40.492
265,3,120.0,9130.1,0.41846,-42.75,31.648,4532.7,13.69997,271.798,26.5331,41.093
266,3,125.0,9226.6,0.41373,-44.943,31.519,4806.3,14.20948,350.53,22.518,40.313
267,3,130.0,9143.7,0.41779,-44.495,32.557,4666.4,13.65275,351.278,20.7464,40.335
268,3,135.0,9237.4,0.4132,-43.093,29.529,4515.4,14.00134,272.061,26.5854,41.64
269,3,140.0,9350.7,0.40774,-45.24,32.52,4581.0,13.14846,350.353,19.9606,42.633
270,3,145.0,9281.2,0.41108,-46.179,29.012,4564.6,13.5204,349.867,20.3137,40.46
271,3,150.0,9204.5,0.41481,-44.872,33.218,4658.1,14.64417,266.324,29.6631,40.873
272,3,155.0,9220.4,0.41403,-44.918,33.631,4339.0,13.65151,268.712,25.0338,40.615
273,3,160.0,9152.4,0.41736,-45.423,28.911,5160.9,15.59248,348.375,26.4852,39.784
274,3,165.0,9194.5,0.4153,-43.972,31.255,4685.5,14.94953,273.601,29.4557,41.777
275,3,170.0,9085.5,0.42066,-43.62,31.079,4544.6,13.70433,538.844,13.6889,39.681
276,3,175.0,9251.1,0.41254,-46.333,33.545,4789.0,14.90077,349.257,23.6987,39.845
277,3,180.0,9297.5,0.41029,-45.039,29.244,5018.4,15.14656,348.174,24.9426,40.132
278,3,185.0,9030.3,0.4234,-42.996,33.183,5131.7,15.432,348.872,26.0605,40.446
279,3,190.0,9202.8,0.41489,-44.372,31.637,4711.6,13.60678,349.35,20.9864,38.291
