sample_id,profile_id,speed_rpm,torque_nm,current_a,voltage_v,temperature_c,vibration_rms_mm_s,acoustic_db,cooling_flow_lpm,efficiency,pressure_kpa,output_power_w,true_mode_label,mode_id,anomaly_flag,health_score,maintenance_priority
28,2,3140.6,6.73156,18.5086,300.943,46.212,1.8412,53.152,20.416,0.88541,101.401,2213.923,nominal,1,0,1.0,low
29,4,1101.1,2.683,5.1255,299.752,27.572,0.6417,49.149,17.471,0.85706,98.416,309.38,idle,0,0,1.0,low
30,1,5117.7,14.745,36.6426,95.086,72.095,3.1151,55.471,12.972,0.83148,100.72,7902.18,high_load,2,0,0.97624,low
31,6,1272.6,3.2448,7.1297,95.802,32.026,1.0588,48.35,16.485,0.88413,99.047,432.429,idle,0,0,1.0,low
32,6,3437.9,8.82467,19.5722,299.549,51.069,1.9865,55.157,13.985,0.84952,101.174,3176.994,nominal,1,0,1.0,low
33,2,1175.5,3.09324,6.6568,300.311,23.694,1.0583,52.445,17.389,0.94,98.752,380.769,idle,0,0,1.0,low
34,5,3036.4,9.88927,16.1714,96.006,52.088,2.3237,54.985,17.395,0.86081,100.182,3144.49,nominal,1,0,1.0,low
35,4,1203.1,3.62032,5.5278,95.117,31.317,0.8373,49.845,12.89,0.88595,100.159,456.115,idle,0,0,1.0,low
36,3,1213.5,2.99499,6.1333,299.77,30.99,1.2229,49.248,18.557,0.91016,101.456,380.593,idle,0,0,1.0,low
37,2,3893.3,10.70579,23.2573,94.217,85.234,2.936,55.228,7.02,0.7859,100.307,4364.864,cooling_degraded,3,1,0.94668,low
38,6,1266.7,2.91311,5.5323,299.624,36.344,0.9831,48.819,15.932,0.92657,99.144,386.406,idle,0,0,1.0,low
39,6,1142.5,3.0783,5.2391,98.253,27.994,1.2488,52.729,17.003,0.9141,99.116,368.311,idle,0,0,1.0,low
40,6,1051.1,3.56391,4.9012,96.186,29.369,0.831,49.801,15.804,0.86792,99.98,392.266,idle,0,0,1.0,low
41,1,4806.7,16.3984,40.6313,299.439,78.401,2.9999,59.087,18.508,0.79625,99.561,8254.264,high_load,2,0,0.91428,low
42,6,2327.7,5.54923,17.4395,301.188,36.95,2.0683,54.623,15.196,0.88466,101.364,1352.665,sensor_drift,5,1,1.0,low
43,1,4432.6,17.26956,37.4017,297.32,83.065,3.0889,57.376,15.48,0.83133,97.679,8016.187,high_load,2,0,0.93026,low
44,3,2964.3,6.86536,21.2172,93.61,47.642,1.8772,54.11,15.741,0.85446,100.363,2131.128,nominal,1,0,1.0,low
45,1,5527.2,14.0073,40.0508,94.154,75.848,2.158,53.443,16.432,0.83011,104.198,8107.459,high_load,2,0,0.92902,low
46,4,4879.5,13.40009,37.7166,46.242,80.809,3.2393,59.809,15.535,0.82458,100.698,6847.239,high_load,2,0,0.935,low
47,1,4844.4,16.1505,40.5281,47.969,77.016,3.2131,57.222,16.497,0.86044,101.671,8193.199,high_load,2,0,0.92016,low
48,1,1149.4,2.68912,5.6845,300.362,27.641,0.8629,51.984,17.403,0.9005,98.707,323.686,idle,0,0,1.0,low
49,3,2831.0,6.48733,17.7093,298.992,56.389,4.4761,63.922,14.565,0.85301,98.323,1923.214,vibration_alarm,4,1,0.94632,low
50,1,5047.0,16.05291,33.2455,96.643,74.715,2.5782,56.113,16.975,0.86606,100.877,8484.278,high_load,2,0,0.9835,low
51,4,1224.3,3.22782,6.0873,301.09,27.085,1.247,51.947,16.554,0.89917,99.969,413.817,idle,0,0,1.0,low
52,5,1086.4,2.74002,7.6471,95.672,37.878,1.1545,50.913,13.546,0.91386,102.026,311.725,idle,0,0,1.0,low
53,3,1152.8,3.32549,4.6978,299.419,31.66,1.2409,52.888,16.739,0.88514,102.511,401.465,idle,0,0,1.0,low
54,1,2408.4,4.7572,15.0104,46.944,44.431,2.8534,57.11,16.07,0.88564,96.833,1199.821,sensor_drift,5,1,1.0,low
55,1,3141.3,8.10408,15.7832,96.558,46.851,1.6258,53.145,19.122,0.87787,99.672,2665.855,nominal,1,0,1.0,low
56,4,3211.4,8.04992,17.0395,47.783,40.769,1.7914,52.976,18.015,0.86714,98.671,2707.19,nominal,1,0,1.0,low
57,5,3737.7,9.5818,23.722,299.479,98.708,2.2561,54.557,6.65,0.85656,101.67,3750.413,cooling_degraded,3,1,0.89952,low
58,3,3613.3,7.15919,19.8836,47.248,48.786,1.8989,58.211,18.184,0.85809,100.55,2708.918,nominal,1,0,1.0,low
59,1,4995.4,18.2547,46.1881,48.471,72.995,2.3732,53.361,17.522,0.8202,102.047,9549.301,high_load,2,0,0.87763,low
60,2,4627.4,17.39857,36.4802,298.79,77.845,2.9101,57.707,15.108,0.84352,103.643,8431.001,high_load,2,0,0.95774,low
61,2,1223.7,2.83061,5.5231,96.952,27.103,1.1556,53.662,13.805,0.90213,100.031,362.728,idle,0,0,1.0,low
62,6,4716.2,13.96642,36.8161,299.07,83.125,2.9537,57.183,15.208,0.86274,102.213,6897.664,high_load,2,0,0.9359,low
63,6,2889.8,5.32634,19.2361,300.055,53.245,6.4026,68.07,14.251,0.85392,97.726,1611.866,vibration_alarm,4,1,0.84035,low
64,1,1200.2,2.93562,5.3421,95.742,39.454,0.9672,50.198,14.399,0.92697,100.489,368.977,idle,0,0,1.0,low
65,6,3112.7,7.06467,14.3041,300.932,58.698,4.07,59.045,16.979,0.94,100.435,2302.794,vibration_alarm,4,1,0.96865,low
66,5,1163.1,3.14135,5.4816,300.88,37.124,1.1109,53.095,15.048,0.88787,100.009,382.616,idle,0,0,1.0,low
67,5,1088.9,2.48665,5.4061,94.391,25.756,1.1272,52.941,14.727,0.91225,101.059,283.56,idle,0,0,1.0,low
68,2,3854.4,8.02753,14.8248,47.352,49.555,1.543,50.909,17.029,0.88184,100.444,3240.181,nominal,1,0,1.0,low
69,2,5636.2,13.2841,34.5032,94.94,75.778,2.3143,57.352,15.756,0.79949,100.997,7840.586,high_load,2,0,0.97978,low
70,2,1362.4,3.15342,4.2684,46.963,27.591,1.3234,52.373,17.441,0.88459,98.49,449.896,idle,0,0,1.0,low
71,1,4740.9,17.15267,45.4938,95.206,77.39,2.8854,55.66,17.058,0.80237,101.235,8515.668,high_load,2,0,0.8692,low
72,3,3293.5,9.26195,15.3949,302.4,45.052,2.2384,55.662,17.049,0.89378,100.781,3194.36,nominal,1,0,1.0,low
73,4,1225.0,3.23405,6.1978,46.413,31.895,1.2088,54.126,16.239,0.87174,101.01,414.854,idle,0,0,1.0,low
74,4,2892.8,8.59233,15.327,299.094,54.328,5.7968,68.365,15.268,0.85396,101.247,2602.869,vibration_alarm,4,1,0.87368,low
75,3,3106.4,10.83589,17.8138,97.087,52.552,1.4967,53.173,16.542,0.87396,98.791,3524.942,nominal,1,0,1.0,low
76,6,1214.8,3.25127,5.7138,301.044,31.075,1.3425,50.545,14.575,0.83777,99.115,413.616,idle,0,0,1.0,low
77,5,3984.5,9.33987,30.0211,94.609,95.728,2.0987,54.061,5.963,0.83929,102.986,3897.087,cooling_degraded,3,1,0.90995,low
78,6,2341.7,5.48084,12.3591,299.947,46.882,2.4517,55.382,14.347,0.87519,99.681,1344.035,sensor_drift,5,1,1.0,low
79,1,2962.3,7.16189,18.2248,47.464,49.881,1.6826,51.061,16.066,0.88704,101.339,2221.683,nominal,1,0,1.0,low
80,5,3626.6,8.56712,27.8999,49.408,89.045,2.0905,57.543,6.193,0.82328,100.553,3253.555,cooling_degraded,3,1,0.93334,low
81,1,3183.8,8.39038,15.082,96.079,53.723,2.0039,54.069,16.816,0.86496,96.459,2797.376,nominal,1,0,1.0,low
82,6,5012.7,13.06068,49.9504,94.295,77.686,2.5831,58.934,17.193,0.84093,102.938,6855.993,high_load,2,0,0.82359,low
83,3,3155.4,5.18603,10.3138,49.396,56.287,5.5384,65.027,16.245,0.81991,99.769,1713.659,vibration_alarm,4,1,0.88789,low
84,2,5768.7,16.06437,38.9305,300.383,77.211,2.7794,53.127,19.155,0.83863,99.851,9704.501,high_load,2,0,0.93546,low
85,1,2919.6,7.43721,14.547,298.828,48.988,6.0247,64.756,17.714,0.84022,100.112,2273.856,vibration_alarm,4,1,0.86114,low
86,2,1045.5,2.97698,5.532,94.688,40.514,1.0345,51.87,14.467,0.91192,96.535,325.922,idle,0,0,1.0,low
87,6,3105.7,8.38873,15.8867,298.853,52.299,8.6469,78.28,19.994,0.884,99.031,2728.26,vibration_alarm,4,1,0.71692,low
88,4,3327.3,6.54916,16.4788,299.295,64.265,5.4044,62.297,18.918,0.81932,97.907,2281.923,vibration_alarm,4,1,0.89526,low
89,5,3252.2,9.96157,17.1127,299.599,46.64,1.5977,53.634,19.641,0.8458,97.857,3392.6,nominal,1,0,1.0,low
90,6,3797.7,9.41574,28.3041,95.579,98.83,2.3007,55.815,8.373,0.82306,98.602,3744.604,cooling_degraded,3,1,0.8991,low
91,6,1030.6,3.40324,5.8978,300.765,37.631,0.745,50.627,12.969,0.89925,98.228,367.296,idle,0,0,1.0,low
92,6,3378.4,10.08282,29.1807,299.308,94.478,3.2923,54.083,7.716,0.83772,99.649,3567.134,cooling_degraded,3,1,0.91433,low
93,2,4920.5,16.44798,43.9019,299.085,71.689,3.6163,59.536,16.11,0.85443,102.202,8475.161,high_load,2,0,0.89867,low
94,4,3074.5,8.09663,17.8347,299.947,43.927,1.8394,51.724,15.187,0.88937,98.969,2606.839,nominal,1,0,1.0,low
95,1,1055.6,2.72724,3.9147,49.67,33.898,0.9435,51.4,14.193,0.90905,97.251,301.472,idle,0,0,1.0,low
96,3,2873.0,6.35412,11.686,95.613,55.123,8.1227,74.504,15.477,0.82175,100.089,1911.673,vibration_alarm,4,1,0.74575,low
97,5,3040.4,7.51501,18.4289,95.426,54.328,1.3821,53.9,16.351,0.87572,99.596,2392.664,nominal,1,0,1.0,low
98,4,1050.4,3.00977,6.5698,47.229,33.65,1.0569,55.215,16.041,0.89991,99.06,331.061,idle,0,0,1.0,low
99,3,3161.5,7.80532,18.7661,298.114,57.326,5.3015,62.087,14.927,0.86633,99.03,2584.109,vibration_alarm,4,1,0.90092,low
100,3,3414.0,7.54511,20.0597,48.845,49.941,1.7626,51.965,15.389,0.89489,98.456,2697.439,nominal,1,0,1.0,low
101,6,3253.4,7.27866,11.5329,95.648,46.556,1.6211,52.112,18.471,0.8645,100.265,2479.788,nominal,1,0,1.0,low
102,1,3430.3,7.90159,17.5822,94.666,51.908,2.1346,57.352,18.928,0.88059,100.309,2838.37,nominal,1,0,1.0,low
103,4,3782.4,8.22708,27.7968,299.349,91.556,2.5139,55.996,6.577,0.81737,102.614,3258.647,cooling_degraded,3,1,0.92455,low
104,1,1233.0,2.30407,6.9142,300.912,33.946,1.099,51.196,16.238,0.93743,99.779,297.499,idle,0,0,1.0,low
105,4,3616.3,11.21947,26.5892,95.711,96.379,2.9504,57.118,6.39,0.80636,101.275,4248.835,cooling_degraded,3,1,0.90768,low
106,1,1203.8,3.19258,6.1194,299.14,33.318,1.3173,51.822,14.936,0.92365,98.507,402.476,idle,0,0,1.0,low
107,5,3286.4,7.86214,14.7477,96.137,53.096,1.373,51.993,15.952,0.87157,98.733,2705.767,nominal,1,0,1.0,low
108,2,3961.4,10.76368,30.7223,48.646,97.87,2.4735,56.193,9.307,0.84745,101.711,4465.185,cooling_degraded,3,1,0.90245,low
109,6,4511.4,14.65335,36.4234,300.073,76.133,2.2747,54.394,18.011,0.87346,97.863,6922.678,high_load,2,0,0.9643,low
110,5,2695.5,5.77326,13.5313,48.523,52.644,2.3734,55.903,17.227,0.89295,98.172,1629.635,sensor_drift,5,1,1.0,low
111,1,4134.7,9.12796,31.8767,97.02,90.74,2.6427,55.872,7.867,0.82405,101.96,3952.287,cooling_degraded,3,1,0.92741,low
112,2,2890.8,8.10586,18.5903,300.681,42.605,1.9424,54.546,17.637,0.88213,98.4,2453.871,nominal,1,0,1.0,low
113,5,2109.2,5.84955,16.6651,95.195,42.076,1.7761,55.426,17.206,0.83098,97.718,1292.009,sensor_drift,5,1,1.0,low
114,5,3120.0,9.45708,18.8638,95.512,46.116,1.9142,58.231,18.335,0.87711,98.783,3089.883,nominal,1,0,1.0,low
115,5,2997.7,6.2742,18.2527,95.262,56.575,6.9308,71.823,17.058,0.83445,100.198,1969.607,vibration_alarm,4,1,0.81131,low
116,2,2932.7,8.99769,16.4203,299.615,46.209,1.4165,52.418,17.136,0.89291,100.872,2763.336,nominal,1,0,1.0,low
117,1,2984.4,8.47369,16.699,300.595,57.335,1.412,52.765,15.813,0.87684,98.198,2648.232,nominal,1,0,1.0,low
118,5,2951.8,8.38838,15.0486,303.292,48.091,2.66,56.356,16.802,0.8622,101.526,2592.966,nominal,1,0,1.0,low
119,5,4446.2,14.56397,34.5662,47.409,75.121,2.9372,58.992,18.192,0.83926,99.209,6781.098,high_load,2,0,0.98208,low
120,2,3034.8,8.29164,18.7119,298.088,43.608,1.3448,51.957,17.573,0.90579,99.967,2635.144,nominal,1,0,1.0,low
121,6,4836.2,14.80821,35.4803,94.848,84.013,2.3975,58.077,13.527,0.86335,98.398,7499.482,high_load,2,0,0.94615,low
122,4,5114.5,13.97273,31.7162,48.312,76.77,2.8821,57.584,16.703,0.87237,101.308,7483.633,high_load,2,0,0.9763,low
123,5,1262.3,3.06251,5.7931,298.671,38.079,1.2271,51.06,14.468,0.90541,101.673,404.827,idle,0,0,1.0,low
124,2,5408.5,15.92255,36.1723,46.879,81.341,2.9743,58.949,14.615,0.81021,99.986,9018.135,high_load,2,0,0.94858,low
125,4,5333.6,15.53571,28.6839,299.219,83.177,3.4204,60.097,16.947,0.82853,98.247,8677.22,high_load,2,0,0.95388,low
126,5,2304.9,6.14256,15.8612,300.92,45.885,2.2539,55.056,16.485,0.82483,98.216,1482.601,sensor_drift,5,1,1.0,low
127,1,4372.3,10.0825,24.3858,299.611,90.781,1.505,55.092,8.452,0.84979,99.297,4616.457,cooling_degraded,3,1,0.92727,low
128,1,1042.4,2.67209,5.9527,299.634,27.532,0.9142,52.518,18.467,0.92695,96.286,291.699,idle,0,0,1.0,low
129,1,4623.0,17.81692,43.4731,48.386,72.509,3.3675,53.523,17.077,0.80495,99.969,8625.548,high_load,2,0,0.90649,low
130,2,3165.4,8.14595,16.3228,96.177,59.511,1.9969,54.289,14.595,0.88502,99.597,2700.218,nominal,1,0,1.0,low
131,4,1338.2,3.04083,5.9661,47.915,30.843,0.9437,46.366,16.567,0.88316,97.613,426.138,idle,0,0,1.0,low
132,3,4174.5,11.12496,21.2857,47.295,88.338,3.5384,59.769,9.906,0.81671,100.318,4863.317,cooling_degraded,3,1,0.93371,low
133,3,5001.0,14.83778,38.4819,299.474,84.203,2.2463,56.46,15.789,0.84931,101.349,7770.608,high_load,2,0,0.91547,low
134,5,2785.6,7.16779,17.4698,97.527,47.534,1.4466,49.859,16.869,0.93009,100.728,2090.898,nominal,1,0,1.0,low
135,2,3226.8,8.15677,11.7515,301.432,52.292,2.036,53.741,14.657,0.87184,101.956,2756.262,nominal,1,0,1.0,low
136,6,3476.0,7.83295,15.5191,96.41,49.832,1.3748,50.966,14.402,0.91984,98.942,2851.215,nominal,1,0,1.0,low
137,4,1087.3,3.34471,6.1805,49.371,35.792,0.8362,50.859,14.111,0.93425,100.022,380.82,idle,0,0,1.0,low
138,1,3313.4,10.67925,27.8283,48.543,95.658,2.1549,54.87,5.676,0.79467,102.914,3705.441,cooling_degraded,3,1,0.9102,low
139,4,2906.1,8.27974,15.961,301.764,48.247,2.0,53.241,15.717,0.86465,99.237,2519.776,nominal,1,0,1.0,low
140,5,1195.2,2.6999,4.8735,299.565,39.344,0.8994,45.139,16.563,0.914,97.002,337.918,idle,0,0,1.0,low
141,1,3457.1,9.21753,25.4806,300.247,100.05,2.8756,58.552,4.048,0.84141,102.541,3336.978,cooling_degraded,3,1,0.89483,low
142,5,3030.3,6.64707,16.4078,47.656,44.365,1.4392,53.72,14.578,0.88089,100.676,2109.334,nominal,1,0,1.0,low
143,6,3487.1,8.13731,18.2592,299.788,46.876,1.938,52.61,16.985,0.86737,96.842,2971.51,nominal,1,0,1.0,low
144,4,5095.3,13.77447,44.8205,94.725,85.315,3.2798,56.419,14.651,0.81263,100.551,7349.738,high_load,2,0,0.84819,low
145,4,1153.0,2.55802,7.6571,95.98,34.232,0.9652,51.875,16.172,0.88161,98.384,308.87,idle,0,0,1.0,low
146,1,3251.7,10.25812,16.457,47.955,41.438,1.7213,54.408,17.093,0.87988,100.669,3493.099,nominal,1,0,1.0,low
147,4,2867.2,7.55552,18.4008,95.595,42.831,1.8291,52.131,17.583,0.90133,98.309,2268.564,nominal,1,0,1.0,low
148,3,3060.1,6.28902,18.0509,95.749,49.884,5.0883,63.985,16.204,0.91352,101.56,2015.325,vibration_alarm,4,1,0.91264,low
149,2,2918.2,5.9223,12.9959,300.795,57.333,7.3112,71.716,17.229,0.86282,101.842,1809.783,vibration_alarm,4,1,0.79038,low
150,5,5169.1,15.46199,40.7332,48.467,76.454,3.7466,56.729,16.49,0.85324,103.738,8369.736,high_load,2,0,0.90652,low
151,3,1350.0,3.52781,4.999,48.714,32.848,0.8498,49.669,16.934,0.88925,100.107,498.749,idle,0,0,1.0,low
152,5,5368.1,15.48677,40.5406,300.17,74.927,2.7689,60.495,15.938,0.82966,101.383,8705.889,high_load,2,0,0.92735,low
153,6,4072.5,11.13225,26.0072,47.782,91.139,3.163,58.607,8.698,0.83616,98.561,4747.598,cooling_degraded,3,1,0.92601,low
154,1,3793.9,11.3347,28.9048,97.244,89.926,2.6954,54.75,6.486,0.8028,99.847,4503.252,cooling_degraded,3,1,0.93026,low
155,6,1186.3,3.48637,4.9556,98.217,27.769,1.0146,51.413,17.02,0.91456,100.147,433.095,idle,0,0,1.0,low
156,5,1113.9,3.44924,7.3303,96.804,33.044,1.1253,49.743,16.953,0.91228,99.32,402.337,idle,0,0,1.0,low
157,2,3793.3,7.81011,30.8414,46.355,96.168,2.526,56.422,7.46,0.82152,103.329,3102.429,cooling_degraded,3,1,0.90841,low
158,2,3366.6,9.09918,16.4494,95.834,53.026,1.8297,50.905,15.673,0.84003,100.545,3207.91,nominal,1,0,1.0,low
159,1,2877.2,6.89255,13.4175,299.868,43.922,2.0582,49.972,16.687,0.87423,99.251,2076.691,nominal,1,0,1.0,low
160,5,5031.9,18.50699,35.4792,44.209,83.443,2.8498,55.711,17.394,0.87437,101.689,9752.157,high_load,2,0,0.94816,low
161,3,4301.0,15.39195,32.5447,46.582,81.643,4.0872,60.685,15.816,0.81549,99.0,6932.553,high_load,2,0,0.92695,low
162,2,3324.2,7.55172,22.0617,46.221,49.102,1.5717,53.708,16.676,0.8734,100.813,2628.821,nominal,1,0,1.0,low
163,4,1227.9,3.01215,5.1757,46.296,39.119,0.9725,49.242,15.299,0.90569,100.535,387.327,idle,0,0,1.0,low
164,2,2912.1,5.8589,20.5594,297.794,49.051,1.3652,53.887,17.83,0.8193,97.52,1786.701,nominal,1,0,1.0,low
165,4,3312.7,7.37356,14.007,301.987,45.666,1.8831,50.78,18.702,0.8494,101.832,2557.889,nominal,1,0,1.0,low
166,4,3274.2,8.11991,16.3055,95.887,53.171,1.6037,51.142,17.971,0.87041,101.314,2784.102,nominal,1,0,1.0,low
167,2,3326.3,6.82704,13.1725,48.16,49.342,2.234,56.937,16.254,0.91853,100.212,2378.045,nominal,1,0,1.0,low
168,3,4325.8,10.30838,30.6374,299.285,92.104,2.9861,58.863,5.428,0.77517,96.45,4669.638,cooling_degraded,3,1,0.92263,low
169,5,1254.8,3.08903,4.9848,97.427,27.433,1.246,51.23,16.663,0.88145,98.573,405.915,idle,0,0,1.0,low
170,5,4750.5,13.49684,37.8676,300.455,81.164,2.5072,52.183,16.964,0.82957,100.78,6714.349,high_load,2,0,0.93225,low
171,1,5410.8,16.38062,34.141,299.626,82.118,2.1047,55.087,17.722,0.82833,99.006,9281.564,high_load,2,0,0.95759,low
172,2,2281.3,5.8982,14.6589,300.394,41.58,1.6559,50.44,16.821,0.85509,99.791,1409.041,sensor_drift,5,1,1.0,low
173,2,1251.7,2.84479,6.6609,299.669,30.11,1.1867,47.144,15.399,0.91161,97.785,372.9,idle,0,0,1.0,low
174,1,1149.4,2.6891,6.2964,299.551,27.726,0.9081,49.006,17.282,0.91012,98.011,323.668,idle,0,0,1.0,low
175,2,5648.2,16.02563,39.6135,300.11,81.045,3.0064,58.053,16.845,0.85449,102.844,9478.793,high_load,2,0,0.91521,low
176,4,3276.1,8.20642,20.6919,96.002,48.404,1.7847,52.974,17.165,0.86747,100.341,2815.419,nominal,1,0,1.0,low
177,5,1280.1,2.54204,6.5846,95.999,33.68,1.1104,51.15,16.781,0.87748,100.355,340.754,idle,0,0,1.0,low
178,4,1081.6,3.185,6.4806,301.359,24.608,0.5976,50.79,17.106,0.92945,99.525,360.755,idle,0,0,1.0,low
179,2,1312.7,3.10651,6.5322,96.298,29.361,1.1463,49.132,18.445,0.89498,99.583,427.038,idle,0,0,1.0,low
180,6,3018.9,8.62634,15.4922,95.791,46.942,1.27,51.407,17.199,0.84588,97.263,2727.108,nominal,1,0,1.0,low
181,6,3849.5,8.46871,22.7155,46.885,88.189,2.6358,60.117,8.341,0.78838,100.451,3413.875,cooling_degraded,3,1,0.93634,low
182,6,3602.5,8.02342,19.0977,47.799,44.264,2.2141,53.525,17.887,0.92206,99.013,3026.888,nominal,1,0,1.0,low
183,3,2582.2,7.57285,18.382,48.145,53.068,5.389,66.473,16.443,0.84635,98.881,2047.743,vibration_alarm,4,1,0.8961,low
184,6,1233.1,3.01591,4.5979,298.763,29.216,1.3453,47.334,13.519,0.89212,98.561,389.433,idle,0,0,1.0,low
185,1,4115.9,7.73639,29.9719,50.282,89.505,2.538,53.0,8.09,0.84713,99.732,3334.538,cooling_degraded,3,1,0.93173,low
186,4,2228.0,4.78798,15.6856,300.365,43.683,2.1084,57.474,14.733,0.91536,101.041,1117.105,sensor_drift,5,1,1.0,low
187,3,3297.3,8.45625,17.4393,299.553,54.773,1.9939,58.69,14.183,0.88145,102.917,2919.858,nominal,1,0,1.0,low
188,5,1222.8,3.21036,5.7562,298.739,38.152,1.0324,53.934,16.89,0.86788,102.242,411.084,idle,0,0,1.0,low
189,3,2343.5,5.93148,13.3027,96.41,43.337,2.2202,54.09,14.976,0.91956,101.302,1455.664,sensor_drift,5,1,1.0,low
190,6,3318.2,7.76164,21.4744,300.38,44.056,1.4383,55.98,14.737,0.90532,100.444,2697.025,nominal,1,0,1.0,low
191,2,5050.3,13.2372,35.8607,300.36,83.096,3.3456,61.267,16.08,0.82386,101.639,7000.646,high_load,2,0,0.94556,low
192,1,3219.0,9.00073,14.9029,96.343,51.572,2.2289,54.764,16.411,0.91847,96.675,3034.044,nominal,1,0,1.0,low
193,1,3004.6,5.28008,14.6811,96.115,52.398,5.868,68.429,16.419,0.88232,97.922,1661.315,vibration_alarm,4,1,0.86976,low
194,5,4539.2,14.58801,32.6823,93.407,72.184,2.1064,55.434,17.308,0.84663,100.868,6934.373,high_load,2,0,0.99235,low
195,1,3351.1,9.94791,18.4381,98.995,50.129,1.8427,51.547,16.104,0.92104,101.34,3491.015,nominal,1,0,1.0,low
196,2,3090.0,7.53384,15.8341,302.46,52.45,1.0064,48.12,17.285,0.89219,98.872,2437.83,nominal,1,0,1.0,low
197,4,2424.5,5.65536,12.8605,97.646,39.481,1.6594,52.086,19.37,0.85537,99.135,1435.875,sensor_drift,5,1,1.0,low
198,6,3709.1,10.35569,25.4114,299.558,90.21,2.3966,55.383,8.004,0.84328,101.514,4022.316,cooling_degraded,3,1,0.92927,low
199,3,3934.4,10.49147,27.4058,300.019,91.097,3.3728,62.241,7.687,0.79964,96.54,4322.639,cooling_degraded,3,1,0.92616,low
200,4,4908.8,16.80462,38.8123,297.123,84.06,2.7863,53.577,15.443,0.83737,101.154,8638.379,high_load,2,0,0.91267,low
