sample_id,output_power_w,input_power_w,copper_loss_w,iron_loss_w,mechanical_loss_w,total_loss_w,thermal_resistance_k_per_w,thermal_time_constant_s,steady_state_temp_c,temperature_margin_c,is_overheated,mission_segment
67,4668.35,4999.979,6.837,42.232,217.322,302.273,0.133062,289.127,46.401,17.932,0,climb
68,4589.276,5150.508,17.401,39.285,221.423,433.827,0.131432,293.712,58.978,17.992,0,climb
69,4400.91,4842.843,6.333,41.983,224.047,365.627,0.130886,292.604,50.853,16.192,0,climb
70,4658.636,5251.132,30.553,42.916,213.728,455.112,0.134357,294.43,62.091,15.785,0,climb
71,5330.456,5908.019,38.447,45.241,222.302,455.355,0.131713,288.155,63.757,17.454,0,climb
72,4506.028,4926.718,16.048,41.017,212.34,352.612,0.13453,290.756,51.333,17.147,0,climb
73,4205.336,4714.353,24.552,38.761,225.023,409.711,0.130219,292.607,56.77,16.202,0,climb
74,4669.486,5130.189,28.221,41.976,221.956,384.855,0.131477,289.523,53.918,17.29,0,climb
75,5107.874,5694.116,21.17,47.49,224.071,454.163,0.131496,290.399,64.951,15.94,0,climb
76,5136.184,5678.277,35.561,46.655,222.412,435.234,0.131862,293.432,61.905,16.763,0,climb
77,4051.976,4546.936,13.136,37.274,217.666,392.862,0.132319,289.291,54.594,16.605,0,climb
78,5269.685,5937.369,38.42,48.409,219.328,504.997,0.133088,290.345,70.387,17.086,0,climb
79,5523.432,6197.028,10.725,46.547,231.425,500.391,0.129012,286.963,69.55,17.691,0,climb
80,5038.942,5580.657,8.632,43.885,221.029,421.039,0.131969,286.867,62.621,15.525,0,climb
81,5424.383,6111.79,41.003,47.47,223.532,518.476,0.131665,286.425,71.769,14.662,0,climb
82,3179.63,3641.961,3.646,32.393,229.048,373.572,0.128418,287.264,53.534,13.261,0,climb
83,5613.861,6349.839,43.668,50.432,227.641,549.572,0.130671,288.448,76.087,13.719,0,climb
84,4973.398,5626.243,20.766,45.233,233.574,493.873,0.12833,285.998,65.301,14.886,0,climb
85,4396.648,4907.56,26.573,39.611,224.77,411.931,0.130398,286.25,60.345,12.715,0,climb
86,3753.494,4202.474,11.577,40.163,231.221,374.272,0.128609,287.025,52.767,14.301,0,climb
87,4164.951,4686.432,24.864,36.958,214.973,411.372,0.133192,286.759,60.446,14.213,0,climb
88,3579.486,4073.158,10.897,33.327,221.021,390.88,0.131051,285.813,54.716,14.935,0,climb
89,3605.537,4030.778,10.678,32.817,223.214,353.901,0.130174,285.644,52.621,13.709,0,climb
90,3516.79,3854.383,9.738,34.929,214.783,302.428,0.133163,289.392,43.579,12.695,0,climb
91,3652.237,4220.54,4.956,35.189,220.066,429.662,0.131485,288.361,61.471,12.649,0,climb
92,2720.662,3141.17,6.523,29.423,225.614,348.981,0.129267,284.868,49.367,14.862,0,climb
93,4851.531,5475.161,19.257,45.594,224.653,473.273,0.131217,286.957,68.558,13.165,0,climb
94,3857.402,4581.76,5.818,34.059,222.72,516.566,0.130573,287.718,69.889,13.954,0,climb
95,3135.679,3708.258,3.833,28.618,217.483,427.389,0.131541,286.388,60.447,12.573,0,climb
96,3627.529,3986.653,4.417,34.775,227.862,317.692,0.129017,284.999,45.826,13.361,0,climb
97,3098.826,3513.467,3.435,30.483,212.39,338.891,0.133493,288.055,50.336,12.052,0,climb
98,2846.689,3318.592,7.247,25.972,219.798,373.404,0.130635,287.115,52.708,12.203,0,climb
99,3039.48,3336.709,7.445,30.874,219.064,279.298,0.131441,284.198,42.116,14.03,0,climb
100,2557.978,2831.185,5.273,24.233,214.836,260.217,0.131975,290.442,37.938,14.047,0,climb
101,2518.022,2905.313,5.599,25.935,224.154,328.07,0.129392,285.156,45.265,16.125,0,climb
102,3293.157,3527.676,3.434,33.006,220.129,244.441,0.131301,285.888,36.575,15.049,0,climb
103,2619.565,2849.351,2.231,23.95,215.728,235.242,0.131686,286.359,36.978,13.839,0,climb
104,2636.405,2970.003,9.745,26.641,217.568,297.758,0.13146,285.596,46.168,13.675,0,climb
105,3274.332,3739.53,9.389,31.261,222.949,374.479,0.130315,290.75,49.77,14.558,0,climb
106,2951.589,3373.636,12.609,31.706,232.151,356.536,0.127657,288.555,47.418,15.455,0,climb
107,2222.292,2459.412,4.004,22.206,211.961,237.594,0.132776,288.919,36.928,14.414,0,climb
108,3193.838,3666.817,8.768,30.147,215.972,374.838,0.132279,289.605,54.766,14.804,0,climb
109,3012.128,3344.439,7.261,30.366,215.799,296.813,0.132315,286.638,44.377,16.586,0,climb
110,3237.775,3607.772,3.604,35.971,221.613,321.033,0.131139,291.549,46.728,13.0,0,climb
111,2439.732,2762.826,8.524,25.761,214.225,289.531,0.132403,289.183,41.535,13.688,0,climb
112,3168.582,3553.863,8.214,29.277,213.881,325.022,0.132835,291.65,48.157,14.003,0,climb
113,3573.936,4051.839,10.977,34.329,214.53,379.773,0.133183,293.869,53.567,14.949,0,climb
114,3379.56,3823.658,15.856,32.225,220.021,364.899,0.131204,293.15,49.921,16.942,0,climb
115,3202.216,3616.536,3.611,30.989,200.581,333.707,0.137641,291.307,47.798,13.76,0,climb
116,2904.865,3278.807,11.804,26.713,211.531,318.19,0.133327,293.44,46.013,16.626,0,climb
117,3053.105,3337.416,12.298,31.528,223.82,276.811,0.129964,294.638,38.041,14.521,0,climb
118,3643.843,4036.036,10.783,35.714,220.488,335.849,0.131373,296.208,43.99,15.738,0,climb
119,4268.232,4875.705,15.8,37.556,219.536,456.912,0.131865,296.26,63.671,13.572,0,climb
120,3722.283,4330.722,12.17,33.343,215.021,451.882,0.132862,295.321,61.201,15.362,0,climb
121,6451.823,7015.865,29.666,51.08,172.754,424.298,0.151553,389.23,43.461,35.243,0,cruise_low
122,7244.924,8081.655,39.216,62.0,176.408,585.133,0.151837,387.286,67.777,37.532,0,cruise_low
123,6703.122,7451.506,33.902,57.307,181.671,534.407,0.14849,382.382,58.839,35.907,0,cruise_low
124,7261.665,7932.196,16.221,60.043,180.747,484.447,0.149342,391.725,51.892,33.657,0,cruise_low
125,7035.181,7754.943,36.654,59.879,179.58,520.12,0.149936,393.778,58.028,34.198,0,cruise_low
126,6610.376,7292.083,54.144,54.246,178.834,504.19,0.149293,389.518,55.704,33.308,0,cruise_low
127,6652.456,7241.963,53.971,55.568,183.224,455.972,0.147495,393.287,45.33,31.939,0,cruise_low
128,7707.522,8342.921,18.084,65.961,186.631,471.274,0.14767,399.507,48.834,32.477,0,cruise_low
129,6575.444,7159.818,31.486,57.308,174.302,439.799,0.152131,391.404,46.15,34.073,0,cruise_low
130,6514.99,7231.444,55.159,57.474,174.554,523.284,0.152123,394.998,56.817,33.635,0,cruise_low
131,6824.148,7555.773,14.75,56.611,180.042,515.525,0.149203,394.955,54.629,32.96,0,cruise_low
132,7240.923,7947.379,39.125,61.87,184.957,517.229,0.1478,395.749,53.957,33.455,0,cruise_low
133,5953.65,6593.022,44.424,54.761,167.301,471.573,0.155173,399.698,52.458,32.853,0,cruise_low
134,6437.796,7126.821,52.651,53.914,178.73,507.347,0.14932,394.537,56.409,34.471,0,cruise_low
135,6043.325,6590.065,45.48,49.95,174.267,422.071,0.150766,398.29,40.875,30.622,0,cruise_low
136,6105.808,6825.703,49.748,52.295,165.682,516.419,0.155526,396.406,59.543,30.647,0,cruise_low
137,5480.926,5974.258,22.029,46.474,167.349,377.465,0.15374,394.155,35.64,30.309,0,cruise_low
138,6210.937,6847.793,12.211,56.02,171.02,457.934,0.153465,400.044,47.322,32.246,0,cruise_low
139,6300.216,7084.232,30.799,56.218,187.183,554.599,0.146124,401.588,57.933,31.386,0,cruise_low
140,6535.683,7168.595,31.715,53.351,167.464,461.74,0.154632,405.081,46.058,30.845,0,cruise_low
141,6166.635,6892.939,29.261,51.885,164.802,510.143,0.155981,397.751,58.741,30.383,0,cruise_low
142,5611.563,6274.139,10.24,49.663,171.802,468.684,0.152114,395.887,50.171,30.239,0,cruise_low
143,6715.487,7393.255,33.998,55.984,175.983,492.456,0.15107,397.291,51.048,29.883,0,cruise_low
144,5608.687,6218.964,40.946,48.676,177.403,455.813,0.149303,404.14,44.551,29.403,0,cruise_low
145,4932.278,5550.815,18.925,43.134,165.66,442.669,0.154116,403.076,46.495,27.997,0,cruise_low
146,4813.729,5281.109,17.508,42.574,170.153,360.665,0.15171,400.182,32.822,31.093,0,cruise_low
147,4205.617,4699.441,23.258,38.976,164.876,373.803,0.153737,399.701,34.571,30.084,0,cruise_low
148,5145.827,5845.597,8.958,48.166,173.602,488.7,0.150986,400.877,52.51,29.145,0,cruise_low
149,5166.107,5721.952,8.56,45.632,164.397,404.08,0.155216,405.147,39.802,29.849,0,cruise_low
150,5613.618,6132.144,9.793,49.881,174.669,390.644,0.150767,400.71,36.562,31.456,0,cruise_low
151,4518.98,5058.86,15.99,41.957,158.708,394.429,0.157373,403.224,39.024,30.299,0,cruise_low
152,4671.574,5267.815,28.487,40.342,175.898,438.06,0.148607,398.216,43.086,29.557,0,cruise_low
153,4636.978,5075.562,6.69,43.403,175.144,342.577,0.149517,402.249,27.3,29.252,0,cruise_low
154,3859.089,4368.807,11.808,35.649,163.744,375.386,0.15375,398.628,35.517,28.785,0,cruise_low
155,4569.913,5098.272,16.031,41.668,177.548,396.458,0.148202,399.245,35.928,29.883,0,cruise_low
156,3867.96,4301.748,11.579,34.861,175.744,338.566,0.147974,401.969,27.276,31.559,0,cruise_low
157,4201.483,4650.346,5.681,37.801,169.502,342.718,0.151358,399.349,28.482,31.895,0,cruise_low
158,4174.274,4709.32,5.787,38.212,168.824,390.046,0.151869,409.616,33.512,30.929,0,cruise_low
159,4224.165,4882.675,25.146,41.05,166.353,466.828,0.153533,400.661,48.145,29.804,0,cruise_low
160,3654.174,4200.88,10.907,34.592,167.141,396.376,0.152075,399.126,36.764,28.145,0,cruise_low
161,4537.204,5141.561,16.394,43.937,164.307,433.483,0.155022,402.74,44.961,27.709,0,cruise_low
162,4326.14,4901.818,15.09,37.745,178.669,420.8,0.147072,392.57,40.58,30.186,0,cruise_low
163,5569.221,6287.676,41.304,47.501,169.25,511.275,0.15311,400.626,54.608,28.899,0,cruise_low
164,5510.958,6154.971,39.405,48.594,175.747,472.893,0.150047,396.525,48.759,30.04,0,cruise_low
165,4811.545,5577.292,19.383,42.962,165.513,523.697,0.154035,394.391,60.508,30.502,0,cruise_low
166,5455.58,6104.49,23.699,49.006,177.83,469.642,0.149057,396.247,48.338,29.944,0,cruise_low
167,4889.61,5595.602,8.283,45.423,173.311,490.454,0.150843,397.505,51.59,28.631,0,cruise_low
168,5863.492,6575.517,44.882,52.234,186.46,519.223,0.14584,389.118,56.366,27.52,0,cruise_low
169,5565.171,6212.994,39.942,49.859,163.3,470.198,0.156439,403.693,50.839,26.714,0,cruise_low
170,6589.912,7278.503,14.171,55.568,173.395,488.136,0.152263,396.069,52.846,28.255,0,cruise_low
171,6001.188,6473.243,11.054,53.411,172.154,366.109,0.152495,391.8,34.419,26.898,0,cruise_low
172,5167.423,5703.052,20.241,43.598,169.635,399.659,0.151983,395.443,35.428,29.331,0,cruise_low
173,5731.903,6368.554,43.275,49.043,166.418,466.59,0.154474,390.106,50.974,28.561,0,cruise_low
174,5447.246,6095.538,9.788,47.953,173.705,460.711,0.150859,397.788,47.323,27.858,0,cruise_low
175,5940.961,6404.207,25.985,49.267,178.281,368.875,0.148794,388.144,34.045,24.712,0,cruise_low
176,6507.906,7142.748,54.331,54.741,182.584,480.409,0.147765,391.76,52.362,26.539,0,cruise_low
177,6984.163,7784.668,38.142,61.093,181.109,566.433,0.149425,390.902,63.718,27.277,0,cruise_low
178,5747.218,6310.59,42.088,52.737,173.299,430.51,0.151753,389.828,43.699,28.357,0,cruise_low
179,5791.2,6373.784,42.81,53.717,176.655,443.353,0.150316,388.124,44.518,28.616,0,cruise_low
180,5698.755,6288.289,10.518,50.81,173.392,429.868,0.15149,388.191,45.419,26.889,0,cruise_low
181,7251.703,7849.293,38.906,60.975,192.488,460.24,0.14437,384.526,44.849,25.554,0,cruise_low
182,6071.929,6777.298,28.935,50.356,184.113,506.485,0.146253,386.434,53.404,24.516,0,cruise_low
183,6537.121,7030.702,13.125,50.95,179.788,381.209,0.148278,379.615,38.766,28.727,0,cruise_low
184,6473.991,7271.145,57.357,56.834,183.307,572.309,0.147744,388.673,62.774,25.318,0,cruise_low
185,6702.809,7425.352,34.853,59.204,167.495,515.097,0.155912,381.903,62.494,26.097,0,cruise_low
186,6545.233,7227.968,32.882,54.097,178.765,495.089,0.149298,383.282,53.898,26.094,0,cruise_low
187,7277.758,7975.691,40.179,59.599,168.352,504.522,0.155238,384.794,58.117,25.873,0,cruise_low
188,7314.003,8011.05,40.377,61.08,185.995,512.729,0.147101,383.072,56.57,25.124,0,cruise_low
189,7284.291,7927.745,40.82,59.726,180.741,480.479,0.149342,379.747,49.763,24.448,0,cruise_low
190,6646.023,7216.345,13.946,57.746,178.304,426.175,0.150165,380.982,44.59,22.765,0,cruise_low
191,6346.612,6787.043,12.254,53.524,176.265,351.157,0.150348,382.178,32.905,26.429,0,cruise_low
192,7322.406,7951.315,39.772,63.175,182.575,474.385,0.149044,378.369,53.651,24.45,0,cruise_low
193,7638.376,8336.271,73.896,66.159,183.631,529.501,0.149055,380.134,59.247,26.708,0,cruise_low
194,7231.996,8014.339,40.465,66.206,178.594,558.658,0.151446,381.037,64.841,24.91,0,cruise_low
195,5529.965,6146.834,10.148,50.308,181.062,447.961,0.147767,377.455,50.687,22.591,0,cruise_low
196,5117.365,5810.544,21.954,46.882,175.42,491.163,0.149826,381.586,52.969,23.443,0,cruise_low
197,6662.794,7278.727,33.539,58.397,190.065,465.663,0.145099,373.084,51.334,22.473,0,cruise_low
198,6333.629,6843.4,49.799,53.39,189.85,412.242,0.14447,379.445,41.942,25.042,0,cruise_low
199,5387.074,5961.636,9.382,47.437,181.402,423.209,0.147222,373.429,45.033,24.104,0,cruise_low
200,5090.958,5875.268,21.939,47.02,165.52,536.886,0.15477,374.984,64.466,23.686,0,cruise_low
201,6069.529,6775.46,47.696,54.312,187.805,518.678,0.145522,378.286,56.77,24.157,0,cruise_low
202,6036.044,6655.061,27.786,51.568,178.374,456.437,0.14924,375.223,48.781,23.561,0,cruise_low
203,5027.953,5616.436,20.144,40.439,181.34,432.531,0.14625,370.428,45.975,24.24,0,cruise_low
204,5370.044,5971.084,22.879,50.465,175.209,442.421,0.150663,370.558,51.095,24.758,0,cruise_low
205,5028.302,5644.441,20.521,45.699,172.621,446.355,0.151037,369.534,51.097,25.115,0,cruise_low
206,4049.267,4559.798,12.934,38.304,181.652,385.593,0.145895,371.244,40.115,21.352,0,cruise_low
207,5905.521,6455.261,11.248,50.073,182.084,411.89,0.147284,372.925,43.96,23.378,0,cruise_low
208,4541.698,5080.697,26.985,43.817,173.112,406.211,0.150662,372.382,44.313,23.441,0,cruise_low
209,4687.46,5207.754,7.289,44.422,179.564,390.236,0.147696,371.501,42.21,22.261,0,cruise_low
210,4802.48,5379.218,18.454,47.561,174.583,425.475,0.150597,372.325,47.171,22.877,0,cruise_low
211,4501.179,5157.663,7.102,39.829,174.22,460.584,0.14937,370.647,52.565,21.641,0,cruise_low
212,4264.848,4823.055,25.481,39.154,174.572,414.657,0.149294,372.643,45.703,23.631,0,cruise_low
213,4354.318,4822.483,6.222,39.953,179.829,359.193,0.146908,371.388,36.294,20.655,0,cruise_low
214,4337.607,4972.718,15.716,42.035,171.115,452.3,0.15131,377.196,48.029,23.597,0,cruise_low
215,5145.692,5699.152,20.819,43.738,183.479,416.02,0.145846,371.962,45.505,23.24,0,cruise_low
216,4709.573,5462.641,7.968,43.888,176.024,516.733,0.149171,374.799,60.223,22.116,0,cruise_low
217,4748.03,5274.408,30.257,41.272,177.629,401.629,0.148047,376.353,42.205,22.865,0,cruise_low
218,3875.581,4374.16,12.258,39.984,171.215,374.774,0.150971,373.142,39.767,22.807,0,cruise_low
219,4999.159,5692.935,20.503,40.739,178.678,489.541,0.14742,373.824,53.605,21.85,0,cruise_low
220,4188.781,4812.498,14.744,41.102,168.325,443.921,0.152493,372.943,51.08,22.521,0,cruise_low
221,4378.127,4921.45,6.471,44.215,181.932,403.506,0.146736,372.658,42.392,23.189,0,cruise_low
222,4655.053,5268.322,30.016,41.058,171.42,446.42,0.150965,377.121,51.488,22.841,0,cruise_low
223,4682.395,5364.432,30.596,42.198,173.713,486.049,0.150083,381.701,53.338,20.534,0,cruise_low
224,4505.374,5118.518,16.512,39.92,172.801,440.384,0.150035,375.22,47.193,21.615,0,cruise_low
225,5237.463,5895.858,22.56,48.465,182.478,476.194,0.147067,375.791,52.318,20.753,0,cruise_low
226,4837.695,5346.788,18.349,43.837,180.146,389.05,0.147356,375.371,39.899,20.304,0,cruise_low
227,4613.151,5309.296,7.628,41.592,170.875,481.922,0.151278,377.088,56.941,22.489,0,cruise_low
228,5059.758,5630.692,32.835,43.549,177.881,428.433,0.148121,381.605,44.089,22.109,0,cruise_low
229,4644.563,5142.819,17.021,42.985,188.258,385.76,0.143653,380.635,36.758,22.197,0,cruise_low
230,5631.153,6162.947,10.208,51.904,175.196,399.276,0.150816,380.156,42.539,21.472,0,cruise_low
231,6495.668,7155.79,56.209,58.395,178.682,495.046,0.150174,385.691,54.325,19.603,0,cruise_low
232,6348.693,7008.374,13.246,56.798,173.803,472.557,0.152351,385.681,52.596,23.006,0,cruise_low
233,5949.648,6549.006,27.366,52.719,178.77,446.132,0.149219,383.518,46.477,21.325,0,cruise_low
234,4928.309,5447.469,32.282,45.79,176.201,399.961,0.149249,381.919,42.888,22.115,0,cruise_low
235,5291.854,5795.887,8.94,44.183,175.506,380.101,0.149374,387.492,36.082,20.859,0,cruise_low
236,5831.959,6497.114,46.324,51.827,170.535,486.744,0.153062,388.647,54.342,21.2,0,cruise_low
237,6310.522,6982.888,31.463,55.475,184.937,492.144,0.146902,378.992,54.263,22.068,0,cruise_low
238,6430.56,6987.148,53.315,56.174,181.455,437.048,0.14842,381.217,46.025,20.249,0,cruise_low
239,5786.988,6321.861,25.817,54.481,179.991,411.31,0.148935,381.955,43.668,21.415,0,cruise_low
240,6530.765,7257.327,33.762,53.067,171.722,515.957,0.152553,387.584,58.573,20.792,0,cruise_low
241,9977.426,11253.521,33.469,80.147,149.18,820.11,0.170735,519.752,98.265,27.827,0,cruise_high
242,9578.329,10552.127,114.447,82.365,160.684,696.462,0.163963,514.271,74.269,26.962,0,cruise_high
243,8550.358,9420.773,93.514,72.538,157.501,624.327,0.163795,517.948,61.76,27.846,0,cruise_high
244,8052.081,8831.963,83.491,64.661,160.539,567.846,0.160295,531.497,50.704,27.838,0,cruise_high
245,9113.722,10068.375,26.97,72.085,152.618,638.312,0.166704,531.185,61.868,25.104,0,cruise_high
246,9626.232,10522.089,70.204,76.244,157.325,629.42,0.164748,525.63,61.137,26.882,0,cruise_high
247,8612.237,9498.607,56.126,74.289,150.247,613.801,0.168954,528.095,60.164,25.574,0,cruise_high
248,8701.354,9678.045,59.203,69.304,148.179,661.688,0.168978,535.318,67.18,24.634,0,cruise_high
249,9609.184,10669.576,70.685,74.898,155.757,718.818,0.165189,526.786,76.951,24.984,0,cruise_high
250,8909.888,9671.932,59.806,70.324,146.354,543.542,0.170464,533.776,50.137,22.688,0,cruise_high
251,8176.538,8796.675,48.41,66.415,145.972,458.434,0.169851,532.536,34.358,25.3,0,cruise_high
252,9129.809,9998.596,26.698,75.607,146.822,589.94,0.171464,532.855,60.186,24.836,0,cruise_high
253,7915.228,8723.975,48.641,63.276,151.831,563.498,0.165415,532.288,48.332,25.722,0,cruise_high
254,7065.118,8052.99,17.237,64.227,149.292,647.17,0.167439,534.41,63.262,25.029,0,cruise_high
255,6711.688,7270.804,33.401,59.573,144.859,414.539,0.169121,533.838,27.82,23.622,0,cruise_high
256,8379.634,9391.797,23.325,64.704,149.627,663.636,0.167086,533.43,69.492,23.9,0,cruise_high
257,8453.278,9434.97,23.483,71.731,152.012,651.182,0.167174,538.406,64.59,26.076,0,cruise_high
258,8070.641,8959.49,51.904,65.229,142.629,605.76,0.172095,538.115,61.113,23.209,0,cruise_high
259,5839.893,6506.914,45.624,51.895,144.99,475.991,0.167484,538.012,36.201,25.97,0,cruise_high
260,6251.113,6954.635,13.016,53.148,147.876,483.256,0.165869,536.426,36.099,23.155,0,cruise_high
261,6711.579,7309.709,34.354,55.206,156.96,439.905,0.160689,544.379,27.13,24.333,0,cruise_high
262,6528.184,7444.128,14.613,57.165,155.653,606.113,0.162102,549.451,54.24,22.767,0,cruise_high
263,5796.18,6396.727,26.316,51.596,150.009,432.866,0.164327,543.401,29.304,23.776,0,cruise_high
264,6158.045,6959.615,12.771,56.949,138.955,534.767,0.172879,557.233,46.446,24.508,0,cruise_high
265,6502.88,7211.646,54.791,55.899,144.055,504.456,0.16887,540.154,42.438,23.907,0,cruise_high
266,7151.799,7893.249,39.466,61.499,145.71,518.801,0.169215,545.068,42.846,24.687,0,cruise_high
