sample_id,profile_id,speed_rpm,torque_nm,voltage_v,current_a,ambient_temp_c,winding_resistance_ohm,temperature_c,output_power_w,loss_power_w,efficiency,torque_limit_nm
34,1,10977.8,0.01084,35.778,0.4719,30.054,0.189686,33.206,12.464,4.419,0.73827,0.10842
35,1,12655.5,0.02721,59.54,0.8636,26.045,0.192975,38.026,36.066,15.351,0.70144,0.10658
36,6,59932.5,0.02667,48.434,4.9715,28.016,0.211809,64.966,167.376,73.413,0.69511,0.05457
37,6,60213.3,0.02852,47.906,5.558,23.028,0.205791,57.176,179.865,86.396,0.67552,0.05427
38,2,19839.8,0.04566,48.279,2.5762,32.178,0.198992,47.188,94.871,29.505,0.76278,0.09868
39,3,26809.2,0.06627,24.677,8.7094,28.722,0.1982,46.368,186.063,28.858,0.86573,0.09101
40,1,7996.2,0.02914,48.232,0.685,32.738,0.196425,43.02,24.403,8.633,0.73868,0.1117
41,2,14793.6,0.03744,23.69,3.4601,24.959,0.191286,34.106,58.009,23.96,0.70769,0.10423
42,4,42325.9,0.05488,24.489,11.0025,26.735,0.193504,40.091,243.246,26.193,0.90279,0.07394
43,5,53637.5,0.02705,35.977,5.7659,20.66,0.198128,45.376,151.955,55.484,0.73253,0.0615
44,6,61689.4,0.02341,60.128,3.978,20.07,0.205192,56.118,151.252,87.94,0.63234,0.05264
45,6,64621.8,0.01635,36.457,5.5344,24.645,0.20988,58.271,110.62,91.146,0.54826,0.04942
46,2,19259.3,0.05612,48.218,2.8315,32.456,0.19605,42.513,113.19,23.339,0.82906,0.09931
47,5,54222.1,0.02425,35.957,5.486,25.578,0.203284,51.79,137.669,59.593,0.6979,0.06086
48,1,16639.0,0.01767,47.928,1.006,34.655,0.195531,42.587,30.793,17.422,0.63866,0.1022
49,4,36096.6,0.04341,48.074,3.7384,32.099,0.19673,43.762,164.076,15.645,0.91295,0.08079
50,6,64313.1,0.0149,48.764,3.6821,32.756,0.212057,62.851,100.322,79.232,0.55873,0.04976
51,1,5000.0,0.0115,24.108,0.5846,32.149,0.194607,37.004,6.021,8.073,0.42722,0.115
52,4,40798.8,0.04611,60.56,3.779,21.359,0.191905,35.591,196.989,31.865,0.86076,0.07562
53,3,35907.1,0.06144,60.182,4.2805,23.659,0.196265,42.398,231.029,26.578,0.89683,0.081
54,5,48845.6,0.04905,58.845,5.2587,20.335,0.201927,48.613,250.892,58.556,0.81077,0.06677
55,2,18261.1,0.05566,24.032,5.4742,21.277,0.193183,36.184,106.445,25.108,0.80914,0.10041
56,4,45730.1,0.03527,36.274,5.6971,27.267,0.200052,45.25,168.915,37.745,0.81736,0.0702
57,5,51884.9,0.04214,48.237,5.9575,26.159,0.200117,47.138,228.97,58.404,0.79677,0.06343
58,5,51766.8,0.02834,35.82,5.463,25.412,0.195593,43.254,153.608,42.078,0.78497,0.06356
59,1,9096.0,0.02577,59.889,0.7552,28.963,0.192901,38.316,24.55,20.681,0.54277,0.11049
60,5,54012.3,0.02952,36.048,6.1974,25.689,0.202595,53.956,166.996,56.406,0.74751,0.06109
61,1,8829.0,0.03574,47.976,1.3837,27.295,0.194639,41.551,33.048,33.335,0.49783,0.11079
62,5,53906.3,0.03059,23.944,9.3076,28.998,0.202739,51.92,172.661,50.198,0.77475,0.0612
63,5,51429.7,0.03103,47.86,4.5839,27.867,0.201837,50.076,167.11,52.274,0.76172,0.06393
64,5,57674.1,0.0313,36.146,7.0643,23.909,0.204911,52.426,189.051,66.291,0.74038,0.05706
65,6,57767.7,0.02865,47.689,4.8741,21.181,0.2028,52.115,173.343,59.096,0.74576,0.05696
66,5,57208.3,0.0413,48.379,6.8789,24.171,0.210596,65.895,247.431,85.364,0.74349,0.05757
67,2,14136.6,0.03945,24.364,3.6201,27.03,0.196426,41.019,58.403,29.796,0.66218,0.10495
68,2,16727.9,0.06856,36.432,4.0789,33.323,0.20058,47.956,120.101,28.504,0.80819,0.1021
69,3,28517.9,0.04292,47.398,3.2776,28.728,0.192106,37.548,128.169,27.182,0.82503,0.08913
70,5,53422.7,0.04991,24.565,14.5647,28.552,0.215271,68.581,279.227,78.55,0.78045,0.06174
71,1,5000.0,0.03823,61.004,0.443,31.852,0.198135,43.467,20.018,7.006,0.74075,0.115
72,3,29496.9,0.06302,48.364,4.5519,34.528,0.198591,46.826,194.655,25.492,0.8842,0.08805
73,1,13823.1,0.02586,35.789,1.7918,30.25,0.194478,41.407,37.432,26.696,0.58371,0.10529
74,5,54818.4,0.02744,36.131,5.7494,31.671,0.199201,48.481,157.505,50.227,0.75821,0.0602
75,2,17046.8,0.05601,60.032,2.3639,28.703,0.193302,40.108,99.979,41.934,0.70451,0.10175
76,6,62918.9,0.01114,34.839,3.8243,29.693,0.205402,56.419,73.404,59.833,0.55093,0.05129
77,4,41756.0,0.04676,25.139,9.3249,30.305,0.19696,45.71,204.476,29.938,0.87228,0.07457
78,3,26087.9,0.06924,24.004,9.2674,26.258,0.196096,42.182,189.157,33.294,0.85033,0.0918
79,5,55088.9,0.04599,35.583,9.9918,34.333,0.217195,74.113,265.334,90.204,0.74629,0.0599
80,6,61673.0,0.02554,35.849,7.2669,20.892,0.207732,58.909,164.955,95.555,0.6332,0.05266
81,1,5477.5,0.03667,48.492,0.9513,25.501,0.187931,31.399,21.033,25.099,0.45592,0.11447
82,4,43416.8,0.04529,24.47,9.3681,27.36,0.196013,43.089,205.914,23.32,0.89827,0.07274
83,5,46503.6,0.04034,59.614,4.2073,34.864,0.203904,56.533,196.429,54.388,0.78316,0.06935
84,1,10076.5,0.03943,48.258,1.2219,33.179,0.19626,42.749,41.603,17.364,0.70553,0.10942
85,4,48467.9,0.04043,60.249,4.3203,25.536,0.202462,51.248,205.185,55.108,0.78828,0.06719
86,3,35131.8,0.05602,37.037,6.0157,21.342,0.189372,34.263,206.101,16.704,0.92503,0.08186
87,4,41963.8,0.04802,24.175,10.2345,32.16,0.201041,49.785,211.028,36.388,0.85293,0.07434
88,3,31359.9,0.04327,47.802,3.4324,24.876,0.196275,43.106,142.109,21.968,0.86611,0.086
89,1,14727.7,0.02639,23.696,2.8853,25.227,0.190866,35.889,40.695,27.676,0.59521,0.1043
90,5,47100.1,0.04022,48.405,4.9756,30.317,0.20079,45.74,198.362,42.48,0.82362,0.06869
91,6,63172.2,0.00856,35.597,3.4345,31.802,0.203891,53.788,56.634,65.623,0.46323,0.05101
92,4,34699.6,0.07421,23.834,13.5861,34.409,0.206794,58.183,269.665,54.147,0.83278,0.08233
93,3,31968.7,0.05143,47.721,4.1778,33.452,0.199009,46.283,172.16,27.209,0.86352,0.08533
94,1,15853.1,0.0168,35.485,1.4428,23.661,0.188687,35.507,27.888,23.31,0.54471,0.10306
95,3,40653.7,0.05669,47.551,5.9999,34.068,0.201529,52.884,241.337,43.965,0.8459,0.07578
96,2,12170.4,0.05565,47.052,2.3977,22.578,0.193305,39.729,70.929,41.891,0.62869,0.10711
97,3,28472.7,0.0409,48.538,3.0935,29.1,0.198694,40.71,121.942,28.21,0.81212,0.08918
98,3,34215.7,0.03624,47.737,3.0853,23.822,0.188446,34.451,129.843,17.442,0.88158,0.08286
99,4,47851.7,0.05937,60.778,6.002,26.821,0.207967,58.98,297.529,67.265,0.81561,0.06786
100,2,14260.7,0.0474,23.329,4.2139,33.775,0.199336,45.719,70.782,27.524,0.72001,0.10481
101,3,25599.5,0.03063,35.763,3.1096,34.148,0.198131,48.242,82.12,29.088,0.73844,0.09234
102,1,8254.8,0.02972,60.308,0.8905,25.045,0.186316,29.326,25.694,28.008,0.47845,0.11142
103,1,10152.0,0.04046,36.289,2.236,33.067,0.197826,47.007,43.013,38.131,0.53008,0.10933
104,5,47446.8,0.04327,35.382,7.1767,32.608,0.204123,52.277,215.011,38.916,0.84674,0.06831
105,2,17499.9,0.02739,35.492,2.058,24.703,0.192506,38.955,50.202,22.841,0.68729,0.10125
106,6,62954.4,0.01811,36.016,5.3523,20.1,0.204147,55.628,119.37,73.398,0.61924,0.05125
107,3,38403.3,0.03578,35.897,4.9991,32.46,0.196982,44.081,143.906,35.546,0.80192,0.07826
108,2,18058.3,0.04174,35.402,3.2353,22.683,0.188251,33.819,78.925,35.611,0.68909,0.10064
109,5,52628.9,0.04713,59.906,5.3587,24.261,0.200944,53.693,259.738,61.279,0.80911,0.06261
110,6,64807.9,0.00994,48.469,2.715,28.072,0.204685,55.65,67.49,64.104,0.51287,0.04921
111,4,42965.7,0.04188,23.452,9.4768,34.228,0.198283,47.053,188.428,33.818,0.84784,0.07324
112,3,33335.9,0.06351,35.999,6.7951,28.876,0.195837,43.046,221.695,22.92,0.9063,0.08383
113,2,17482.8,0.03762,47.5,2.1719,22.42,0.194158,38.388,68.883,34.28,0.66771,0.10127
114,3,22947.4,0.0782,35.842,6.1641,25.727,0.195957,45.125,187.921,33.013,0.85057,0.09526
115,3,25617.7,0.04862,59.348,2.3046,30.856,0.192549,40.043,130.419,6.356,0.95353,0.09232
116,5,47566.1,0.03861,48.188,4.8211,22.868,0.201808,48.639,192.322,39.997,0.82784,0.06818
117,4,42672.4,0.05848,59.578,5.11,32.754,0.206459,53.569,261.337,43.105,0.85841,0.07356
118,5,54538.6,0.02623,36.077,5.584,30.689,0.205494,54.008,149.81,51.644,0.74364,0.06051
119,5,55766.9,0.03258,48.283,5.4721,28.668,0.208161,59.305,190.249,73.961,0.72007,0.05916
120,4,39354.3,0.0502,59.664,3.7192,22.071,0.189231,32.925,206.867,15.036,0.93224,0.07721
121,3,35218.0,0.05151,36.598,5.5086,30.258,0.196071,42.626,189.972,11.633,0.9423,0.08176
122,3,30266.7,0.0525,35.483,4.8852,25.851,0.193076,36.994,166.41,6.934,0.96,0.08721
123,5,58013.0,0.03564,59.455,4.724,30.275,0.209091,63.161,216.512,64.35,0.77088,0.05669
124,1,12616.7,0.01779,48.334,0.8722,30.043,0.196771,42.114,23.498,18.661,0.55736,0.10662
125,4,43704.6,0.03561,24.164,8.4049,26.193,0.194077,40.666,162.985,40.108,0.80252,0.07242
126,4,36181.9,0.06581,46.973,5.5297,33.51,0.197326,45.24,249.357,10.39,0.96,0.0807
127,1,5000.0,0.02826,59.659,0.388,33.639,0.193144,38.401,14.798,8.35,0.63927,0.115
128,2,18835.3,0.03927,60.172,1.8828,29.65,0.193087,40.878,77.467,35.823,0.68379,0.09978
129,1,12093.5,0.05995,48.247,1.8582,24.107,0.190635,34.226,75.928,13.725,0.84691,0.1072
130,2,20088.4,0.00984,60.363,0.5371,24.906,0.185306,27.54,20.7,11.721,0.63849,0.0984
131,1,10825.1,0.01777,49.131,0.7612,33.344,0.197207,42.503,20.148,17.251,0.53873,0.10859
132,1,5000.0,0.03007,48.581,0.9827,25.723,0.190144,33.001,15.746,31.997,0.32982,0.115
133,3,22487.6,0.04276,47.92,2.7016,28.849,0.193965,42.891,100.697,28.762,0.77783,0.09576
134,6,65000.0,0.01745,23.745,8.6447,26.687,0.212445,66.943,118.771,86.497,0.57861,0.049
135,4,42321.6,0.07189,60.177,7.0985,24.044,0.217386,73.491,318.604,108.556,0.74587,0.07395
136,1,10104.8,0.02663,60.385,1.1489,32.298,0.198116,45.672,28.178,41.199,0.40616,0.10938
137,3,27581.3,0.05867,47.784,3.9092,22.567,0.191567,36.05,169.468,17.325,0.90725,0.09016
138,6,60674.0,0.02625,47.675,5.3937,21.281,0.20973,59.121,166.759,90.384,0.64851,0.05376
139,6,62855.0,0.02094,24.055,8.9885,30.644,0.213395,67.392,137.838,78.38,0.6375,0.05136
140,4,38393.6,0.06055,36.028,8.0372,21.049,0.19364,38.907,243.43,46.138,0.84067,0.07827
141,2,14233.6,0.06026,47.629,2.5478,25.122,0.196275,41.388,89.813,31.535,0.74013,0.10484
142,3,33231.6,0.05175,48.04,4.1873,29.505,0.194351,40.1,180.089,21.071,0.89525,0.08395
143,2,20789.6,0.03994,24.166,4.385,30.158,0.193425,37.126,86.963,19.003,0.82067,0.09763
144,1,6156.5,0.03283,47.445,0.6897,30.617,0.193104,38.796,21.166,11.554,0.64688,0.11373
145,5,60305.0,0.02825,48.214,5.5909,30.411,0.212772,69.896,178.372,91.189,0.66171,0.05416
146,4,44450.6,0.06462,36.522,10.4737,20.275,0.207541,58.035,300.819,81.704,0.78641,0.0716
147,1,7093.0,0.03632,59.626,0.6881,29.081,0.186918,32.168,26.978,14.053,0.6575,0.1127
148,4,44199.4,0.04816,60.293,4.4317,25.427,0.196252,43.155,222.915,44.282,0.83427,0.07188
149,6,59292.5,0.02381,36.527,5.9567,31.4,0.209586,63.655,147.847,69.732,0.67951,0.05528
150,3,20732.2,0.05368,59.533,2.5973,26.3,0.193633,41.682,116.551,38.075,0.75376,0.09769
151,3,27471.2,0.06362,35.796,6.0345,31.654,0.19958,49.861,183.007,33.003,0.84722,0.09028
152,5,58625.7,0.03381,35.949,8.3046,31.145,0.211421,67.581,207.538,91.002,0.69518,0.05601
153,1,13654.2,0.01713,60.344,0.942,30.681,0.191546,38.961,24.499,32.347,0.43097,0.10548
154,1,11861.2,0.02223,59.117,0.5173,20.484,0.188279,32.413,27.608,2.974,0.90277,0.10745
155,5,59118.2,0.03631,48.089,6.1793,26.179,0.204623,58.213,224.78,72.377,0.75643,0.05547
156,1,10205.7,0.07131,36.617,3.1736,29.62,0.199808,47.739,76.215,39.993,0.65585,0.10927
157,4,37993.6,0.05623,48.029,5.4403,33.011,0.195241,45.65,223.737,37.554,0.85628,0.07871
158,1,10956.9,0.03415,48.393,1.2908,24.915,0.191909,33.885,39.179,23.287,0.62721,0.10845
159,1,6736.0,0.02868,24.124,1.5577,26.971,0.189383,34.626,20.233,17.345,0.53843,0.11309
160,4,45253.4,0.05208,23.822,12.3944,26.367,0.203861,50.646,246.788,48.474,0.83583,0.07072
161,4,39894.2,0.05713,60.379,4.7808,31.221,0.200307,50.566,238.662,50.001,0.82678,0.07662
162,4,36463.0,0.07213,47.729,7.0565,31.603,0.208821,60.156,275.413,61.388,0.81773,0.08039
163,2,20312.5,0.04837,59.792,2.3994,22.267,0.19241,35.647,102.884,40.578,0.71715,0.09816
164,5,59420.1,0.03944,24.533,13.9071,31.156,0.222325,80.223,245.438,95.748,0.71937,0.05514
165,5,53904.5,0.02822,47.637,4.3894,28.497,0.204598,54.437,159.286,49.811,0.76178,0.06121
166,6,62906.4,0.00773,24.789,3.8222,29.554,0.199479,48.488,50.912,43.838,0.53733,0.0513
167,4,42296.7,0.05719,59.596,4.9599,26.412,0.196777,45.169,253.296,42.292,0.85692,0.07397
168,2,23215.1,0.03658,36.458,3.3798,30.153,0.199148,47.107,88.925,34.295,0.72168,0.09496
169,3,35429.5,0.0246,47.693,2.6063,21.764,0.19358,37.541,91.283,33.018,0.73437,0.08153
170,5,58549.5,0.03472,60.162,4.8229,31.775,0.210438,64.447,212.89,77.261,0.73372,0.0561
171,6,60777.1,0.00933,36.136,2.7958,20.215,0.194171,43.881,59.378,41.65,0.58774,0.05365
172,1,9907.1,0.04404,24.6,3.3524,33.869,0.199594,48.325,45.688,36.781,0.554,0.1096
173,3,26198.6,0.04469,24.515,6.0744,34.561,0.198802,47.364,122.617,26.294,0.82342,0.09168
174,6,64781.3,0.02427,24.511,11.4317,26.695,0.222045,81.293,164.666,115.532,0.58768,0.04924
175,6,60031.0,0.01693,36.562,4.9967,29.24,0.207638,59.926,106.454,76.235,0.58271,0.05447
176,1,16502.7,0.01023,47.91,0.6668,27.144,0.18935,34.507,17.687,14.259,0.55366,0.10235
177,5,48522.4,0.0516,35.923,9.2166,25.072,0.200829,51.345,262.197,68.891,0.79192,0.06713
178,1,8994.5,0.01877,60.668,0.6345,25.364,0.188069,32.829,17.679,20.818,0.45923,0.11061
179,3,27714.3,0.07479,24.341,10.5992,25.897,0.197736,46.003,217.051,40.941,0.84131,0.09001
180,4,43267.6,0.05312,48.472,5.7122,32.895,0.205441,55.18,240.686,36.193,0.86928,0.07291
181,4,41242.7,0.06243,47.288,6.6182,34.997,0.205181,56.112,269.65,43.311,0.86161,0.07513
182,6,61010.5,0.01091,36.565,3.272,21.351,0.198948,48.734,69.707,49.933,0.58264,0.05339
183,2,13340.6,0.07263,36.509,3.3744,32.21,0.199862,49.343,101.463,21.732,0.8236,0.10583
184,4,45101.8,0.04602,48.847,5.5503,25.848,0.191768,36.35,217.359,53.757,0.80172,0.07089
185,6,62254.2,0.02937,48.225,6.547,33.545,0.223544,83.063,191.462,124.269,0.60641,0.05202
186,2,20036.0,0.0551,23.483,6.2752,32.522,0.195759,45.465,115.606,31.755,0.78451,0.09846
187,2,17078.3,0.04347,35.647,3.4891,29.584,0.196193,44.16,77.744,46.629,0.62509,0.10171
188,3,28269.8,0.05408,59.959,3.1994,33.59,0.197502,46.167,160.093,31.74,0.83454,0.0894
189,6,61954.8,0.01871,59.631,3.3417,23.037,0.207106,59.749,121.414,77.855,0.6093,0.05235
190,4,34280.1,0.05251,48.131,4.0911,33.405,0.195129,42.08,188.515,8.39,0.95739,0.08279
191,5,51806.4,0.02964,59.743,3.5912,26.753,0.198872,46.066,160.775,53.774,0.74936,0.06351
192,4,42643.0,0.07065,59.458,5.9831,20.262,0.198837,45.759,315.489,40.253,0.88685,0.07359
193,2,21228.4,0.04711,48.227,2.605,31.446,0.197477,42.521,104.734,20.898,0.83366,0.09715
194,6,59434.1,0.02734,24.392,9.9515,23.584,0.207944,60.411,170.167,72.57,0.70103,0.05512
195,4,39275.9,0.06675,36.137,9.1619,21.871,0.201728,51.443,274.524,56.556,0.82918,0.0773
196,4,42718.5,0.05874,47.322,6.4574,20.021,0.191839,39.591,262.79,42.785,0.85998,0.07351
197,5,56548.1,0.0271,60.813,3.4013,34.01,0.210761,62.649,160.469,46.373,0.77581,0.0583
198,3,25617.3,0.06453,37.134,5.6807,26.315,0.197096,43.44,173.101,37.847,0.82059,0.09232
199,6,60324.5,0.01719,36.242,4.7281,29.793,0.203739,55.115,108.609,62.745,0.63383,0.05414
200,6,59090.6,0.02182,24.531,8.6652,22.921,0.206644,57.195,134.991,77.578,0.63505,0.0555
201,4,45369.3,0.06562,59.809,6.3848,22.925,0.205864,54.78,311.778,70.091,0.81645,0.07059
202,1,21359.2,0.0249,36.144,2.302,20.462,0.187613,29.431,55.7,27.503,0.66944,0.097
203,2,17619.7,0.02664,24.465,3.0073,21.99,0.190118,30.934,49.151,24.422,0.66806,0.10112
204,5,58257.1,0.03971,36.139,9.7033,29.847,0.219682,77.178,242.23,108.433,0.69078,0.05642
205,1,9374.2,0.02117,35.761,1.0958,23.876,0.188763,29.967,20.778,18.411,0.53021,0.11019
206,4,49649.9,0.04849,35.232,9.1495,26.924,0.207425,58.048,252.102,70.26,0.78205,0.06589
207,4,40056.2,0.06286,47.366,6.4514,32.992,0.201155,49.702,263.669,41.91,0.86285,0.07644
208,2,15253.1,0.03623,24.38,3.6409,22.867,0.191151,33.934,57.862,30.903,0.65186,0.10372
209,6,64588.6,0.01603,48.3,3.8154,31.826,0.215917,73.297,108.391,75.891,0.58818,0.04945
210,1,7597.1,0.01121,23.472,0.8732,26.979,0.187166,29.28,8.922,11.573,0.43531,0.11214
211,3,21877.9,0.0691,48.343,4.0397,22.299,0.193592,38.904,158.322,36.969,0.8107,0.09643
212,6,62077.9,0.01723,47.81,3.9383,21.914,0.205582,56.277,111.977,76.317,0.59469,0.05221
213,1,6133.7,0.0578,36.034,1.9068,21.45,0.189403,34.23,37.127,31.581,0.54036,0.11375
214,2,15105.2,0.06765,47.807,3.1474,33.543,0.200053,50.99,107.002,43.466,0.71113,0.10388
215,5,63262.6,0.03464,23.68,15.8602,31.289,0.236922,99.496,229.474,146.102,0.61099,0.05091
216,3,32321.8,0.04188,36.061,4.8664,32.715,0.197696,47.74,141.752,33.733,0.80777,0.08495
217,1,5163.3,0.01148,35.821,0.1805,29.254,0.183604,26.651,6.208,0.259,0.96,0.11482
218,4,42899.4,0.04173,60.679,3.5391,31.094,0.196982,45.746,187.473,27.275,0.87299,0.07331
219,6,57579.0,0.03063,60.532,4.2061,25.117,0.203345,56.118,184.712,69.891,0.72549,0.05716
220,4,42530.0,0.0416,47.925,4.3545,25.401,0.192963,37.579,185.258,23.432,0.88772,0.07372
221,5,53681.8,0.03432,47.722,4.9545,27.814,0.201745,51.473,192.947,43.494,0.81605,0.06145
222,6,53426.8,0.0273,47.413,4.3397,20.012,0.197864,46.342,152.727,53.03,0.74227,0.06173
223,1,13604.6,0.0207,48.444,0.9907,34.492,0.198928,45.531,29.494,18.501,0.61453,0.10553
224,5,50479.8,0.02943,36.142,5.3596,25.831,0.192904,41.858,155.599,38.106,0.80328,0.06497
225,6,61312.0,0.02308,47.699,4.528,32.188,0.212962,63.793,148.162,67.818,0.686,0.05306
226,4,34635.8,0.05141,35.709,5.8546,30.314,0.195018,40.362,186.453,22.61,0.89185,0.0824
227,2,12297.9,0.05752,60.226,1.3963,25.438,0.192835,40.549,74.082,10.009,0.88097,0.10697
228,1,5199.8,0.05433,47.195,1.0061,29.256,0.191666,35.708,29.585,17.899,0.62306,0.11478
229,1,11556.4,0.02348,47.288,0.9031,34.812,0.194085,39.873,28.41,14.295,0.66526,0.10779
230,1,14896.4,0.01041,48.378,0.5821,29.355,0.19231,36.386,16.241,11.921,0.5767,0.10411
231,2,24728.6,0.03413,36.446,3.4855,25.642,0.195017,41.32,88.375,38.659,0.69568,0.0933
232,4,38172.0,0.06512,47.933,6.2173,30.394,0.202252,50.0,260.3,37.714,0.87345,0.07851
233,2,17052.7,0.0244,36.607,1.9371,25.6,0.191229,38.695,43.579,27.33,0.61457,0.10174
234,3,29433.6,0.07031,47.809,4.9937,25.267,0.194163,41.013,216.716,22.028,0.90773,0.08812
235,2,18446.3,0.06467,36.263,4.3332,26.192,0.198576,45.676,124.918,32.217,0.79497,0.10021
236,3,22214.9,0.07954,23.905,9.729,22.159,0.194392,42.691,185.036,47.541,0.79559,0.09606
237,3,31288.3,0.05221,24.16,8.3488,27.911,0.194613,39.686,171.076,30.633,0.84813,0.08608
238,3,22025.0,0.05911,47.883,3.4831,34.95,0.199587,48.925,136.337,30.444,0.81746,0.09627
239,4,47020.4,0.05196,36.644,8.261,29.313,0.202168,52.548,255.843,46.876,0.84515,0.06878
240,2,20395.9,0.03685,59.946,1.8806,25.466,0.18895,33.438,78.699,34.036,0.69809,0.09806
241,6,58069.2,0.01806,35.926,4.8254,22.665,0.197447,46.774,109.811,63.545,0.63344,0.05662
242,6,65000.0,0.02755,35.368,8.9607,28.28,0.228401,87.636,187.493,129.426,0.59161,0.049
243,2,18158.0,0.0595,23.927,6.1244,23.129,0.193342,39.08,113.141,33.399,0.77208,0.10053
244,3,32207.5,0.05122,48.247,3.9607,33.928,0.194396,42.821,172.762,18.326,0.9041,0.08507
245,5,55758.0,0.03819,48.168,6.0507,25.534,0.20571,57.323,223.016,68.436,0.76519,0.05917
246,3,29936.7,0.04234,36.361,4.1405,25.137,0.193058,36.618,132.739,17.811,0.88169,0.08757
247,3,28168.3,0.06813,59.761,3.9962,33.49,0.2006,50.763,200.979,37.837,0.84156,0.08951
248,2,15384.5,0.01928,23.58,2.2454,29.468,0.192781,37.809,31.061,21.886,0.58664,0.10358
249,4,44520.4,0.06826,60.012,7.0555,28.858,0.20944,62.616,318.231,105.183,0.75158,0.07153
250,6,63233.6,0.02334,59.938,4.1002,25.104,0.213882,68.824,154.531,91.225,0.6288,0.05094
251,3,34240.9,0.05442,24.439,9.4473,32.893,0.197674,49.811,195.123,35.757,0.84513,0.08284
252,1,10572.5,0.02878,48.516,1.0514,20.21,0.187048,30.151,31.864,19.144,0.62468,0.10887
253,2,16276.3,0.03609,23.841,3.5785,33.735,0.195789,42.685,61.519,23.797,0.72107,0.1026
254,6,61276.9,0.02449,35.905,6.9659,24.51,0.215036,67.806,157.181,92.93,0.62844,0.0531
255,3,27492.7,0.03908,48.325,3.0346,20.565,0.185207,28.142,112.516,34.131,0.76726,0.09026
256,5,47555.0,0.04531,24.12,11.5811,31.55,0.206628,54.616,225.664,53.677,0.80784,0.06819
