scenario_id,total_load_mw,total_reactive_load_mvar,total_line_loss_mw,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,dc_line_1_p_mw,dc_line_2_p_mw,dc_line_3_p_mw,dc_line_4_p_mw,dc_line_5_p_mw,dc_line_6_p_mw,dc_line_7_p_mw,line_1_abs_error_mw,line_2_abs_error_mw,line_3_abs_error_mw,line_4_abs_error_mw,line_5_abs_error_mw,line_6_abs_error_mw,line_7_abs_error_mw,mean_abs_line_error_mw,max_abs_line_error_mw,mean_relative_line_error_percent,critical_line,weak_bus
41,127.4338,45.5176,1.93549,94.97389,54.73374,39.19981,2.61269,45.51211,11.41308,10.28569,93.0384,54.38643,38.65197,2.68777,45.13037,11.34394,10.31786,1.93549,0.34731,0.54784,0.07508,0.38174,0.06914,0.03217,0.48411,1.93549,1.243,1,5
42,109.655,36.3942,1.79713,92.51273,48.94909,42.54856,3.5509,34.33482,11.38154,10.99536,90.7156,48.78158,41.93402,3.66291,33.96492,11.28243,11.05367,1.79713,0.1675,0.61454,0.11201,0.36991,0.09912,0.05832,0.45979,1.79713,1.337,1,5
43,104.9549,37.1066,1.18121,72.03811,43.33058,28.08325,1.55674,38.29633,9.50515,8.08565,70.8569,43.04766,27.80924,1.56898,38.10574,9.48362,8.08338,1.18121,0.28292,0.27402,0.01224,0.19059,0.02154,0.00226,0.28068,1.18121,0.687,1,5
44,93.9185,33.6299,0.8325,52.7581,37.36031,15.04554,-2.0169,39.26131,12.83088,7.59254,51.9256,37.24991,14.67569,-1.96144,38.96129,12.76735,7.62335,0.8325,0.11041,0.36985,0.05546,0.30002,0.06352,0.03081,0.25179,0.8325,1.25,1,5
45,136.1713,48.0531,2.43119,107.25589,57.32404,48.59689,6.57537,45.20634,12.2843,14.05797,104.8247,57.06131,47.76339,6.71541,44.67449,12.158,14.1261,2.43119,0.26273,0.8335,0.14004,0.53185,0.1263,0.06812,0.62768,2.43119,1.323,1,5
46,81.2782,28.4487,0.53593,43.35893,30.97331,12.14364,-1.23626,32.94509,8.79926,5.34566,42.823,30.79232,12.03068,-1.25175,32.85038,8.79733,5.33267,0.53593,0.18099,0.11296,0.01549,0.09471,0.00193,0.01298,0.13643,0.53593,0.651,1,5
47,93.3408,33.5567,0.98111,67.64651,38.70228,28.41688,1.68909,31.2011,9.04679,7.84741,66.6654,38.56658,28.09882,1.74337,30.98222,8.99849,7.87361,0.98111,0.1357,0.31806,0.05428,0.21888,0.0483,0.0262,0.25465,0.98111,1.1,1,5
48,109.6008,38.8184,1.2797,75.403,45.7198,29.0285,0.11111,39.45366,10.41274,7.56143,74.1233,45.52862,28.59468,0.18575,39.13068,10.34843,7.59947,1.2797,0.19118,0.43381,0.07464,0.32298,0.06431,0.03804,0.34352,1.2797,1.859,1,5
49,132.4024,47.0729,2.32146,105.92316,58.40256,46.23712,3.49438,44.84224,11.82154,11.27373,103.6017,58.07087,45.53083,3.61232,44.37943,11.72235,11.32995,2.32146,0.33169,0.70628,0.11794,0.4628,0.09919,0.05622,0.58508,2.32146,1.433,1,5
50,146.3381,50.5003,2.78866,117.05156,64.30592,51.17671,1.58903,45.83402,13.3371,10.8359,114.2629,63.89647,50.36643,1.72965,45.31803,13.22208,10.90362,2.78866,0.40945,0.81028,0.14062,0.51599,0.11502,0.06772,0.69254,2.78866,2.295,1,5
51,109.8658,39.1846,1.64988,89.73028,48.93181,39.87413,3.64942,37.05589,9.85326,9.99545,88.0804,48.67268,39.40772,3.71901,36.76112,9.79203,10.02547,1.64988,0.25913,0.46641,0.06959,0.29477,0.06123,0.03002,0.40443,1.64988,1.023,1,5
52,91.9439,32.5141,0.84976,61.58386,37.65324,23.48846,0.27866,32.85086,9.16231,6.81384,60.7341,37.46075,23.27335,0.29712,32.69325,9.13907,6.81783,0.84976,0.19249,0.21511,0.01847,0.15761,0.02324,0.00399,0.20867,0.84976,0.778,1,5
53,91.2793,32.5499,0.69887,52.33297,35.02283,16.9912,-0.51533,35.25227,8.74309,5.86897,51.6341,34.90166,16.73244,-0.47804,35.03974,8.7081,5.8874,0.69887,0.12118,0.25876,0.03728,0.21253,0.03498,0.01843,0.19743,0.69887,1.179,1,5
54,82.8429,28.2638,0.6093,49.6551,33.01009,16.36104,-1.20597,31.72344,9.88015,6.13419,49.0458,32.89449,16.15131,-1.17725,31.55091,9.84686,6.14794,0.6093,0.1156,0.20973,0.02872,0.17253,0.03329,0.01375,0.16899,0.6093,0.906,1,5
55,132.9001,46.1141,2.3958,104.738,59.40727,44.04359,1.79813,46.98623,12.79106,10.59572,102.3422,59.15587,43.18633,1.96232,46.40673,12.65805,10.68365,2.3958,0.2514,0.85726,0.16419,0.5795,0.13301,0.08793,0.63844,2.3958,2.413,1,5
56,77.9865,27.1997,0.63636,52.14756,30.93716,20.86769,1.84367,27.34331,7.58346,6.93682,51.5112,30.76841,20.74279,1.83699,27.26859,7.57808,6.92582,0.63636,0.16875,0.1249,0.00667,0.07472,0.00538,0.011,0.14683,0.63636,0.461,1,5
57,128.8565,45.319,2.20529,101.70979,56.23246,44.27308,2.37279,42.33187,14.62883,12.37707,99.5045,55.98841,43.51609,2.5104,41.83539,14.4997,12.4481,2.20529,0.24405,0.75698,0.13761,0.49648,0.12914,0.07103,0.57723,2.20529,1.82,1,5
58,91.8514,32.1768,0.75016,54.32956,36.09298,17.8917,-0.7587,35.58625,10.94551,7.25415,53.5794,35.96534,17.61406,-0.71866,35.35996,10.9006,7.2735,0.75016,0.12764,0.27765,0.04004,0.2263,0.04491,0.01935,0.21229,0.75016,1.229,1,5
59,78.5731,27.2888,0.40076,36.53406,27.53926,8.84014,-1.0864,31.81308,8.54084,5.27078,36.1333,27.44811,8.68519,-1.07333,31.67349,8.52097,5.27643,0.40076,0.09115,0.15495,0.01308,0.13959,0.01987,0.00566,0.11787,0.40076,0.738,1,5
60,133.4049,46.1151,2.26652,103.87982,56.85043,45.79496,5.56369,45.88529,12.70932,13.5662,101.6133,56.53041,45.08289,5.67273,45.41409,12.60512,13.61388,2.26652,0.32002,0.71207,0.10904,0.4712,0.1042,0.04767,0.57582,2.26652,1.208,1,5
61,99.6595,33.3277,1.14114,70.07444,42.03512,27.45234,1.18637,37.06127,9.3815,7.67902,68.9333,41.90226,27.03104,1.26292,36.75794,9.31806,7.71934,1.14114,0.13286,0.42129,0.07655,0.30333,0.06343,0.04031,0.31127,1.14114,1.707,1,5
62,111.0814,39.7545,1.5219,85.703,46.0697,38.79312,5.7247,36.823,9.53786,11.42648,84.1811,45.85308,38.32802,5.79202,36.52572,9.47354,11.45456,1.5219,0.21662,0.4651,0.06732,0.29728,0.06433,0.02808,0.38009,1.5219,0.907,1,5
63,137.8194,45.7938,2.94431,118.95431,61.41342,55.85715,5.87692,42.72274,11.0343,12.58971,116.01,61.17469,54.83531,6.06718,42.13011,10.88509,12.69101,2.94431,0.23873,1.02184,0.19026,0.59263,0.14921,0.1013,0.74832,2.94431,1.639,1,5
64,106.4454,38.0285,1.33076,78.44216,44.02577,33.69614,3.20815,35.97868,8.00266,8.3061,77.1114,43.87661,33.23479,3.2922,35.66949,7.93799,8.34911,1.33076,0.14916,0.46135,0.08405,0.30919,0.06467,0.04301,0.34888,1.33076,1.173,1,5
65,134.7136,47.5566,2.21094,102.56124,57.32853,44.01804,4.12929,46.29268,10.75932,11.03274,100.3503,56.94331,43.40699,4.21073,45.88969,10.68931,11.06489,2.21094,0.38522,0.61105,0.08144,0.40299,0.07001,0.03215,0.54197,2.21094,1.143,1,5
66,100.7999,35.4781,0.93119,61.30019,38.41715,22.42958,3.09108,39.21251,10.56483,10.07718,60.369,38.17267,22.19633,3.08982,39.03243,10.54485,10.06415,0.93119,0.24448,0.23325,0.00126,0.18008,0.01998,0.01303,0.2319,0.93119,0.573,1,5
67,112.9857,39.9287,1.16083,69.50383,45.09569,23.8548,-1.07855,42.46449,12.95499,8.44153,68.343,44.85469,23.48831,-1.03406,42.16491,12.89985,8.46065,1.16083,0.241,0.36649,0.04449,0.29958,0.05514,0.01911,0.31238,1.16083,1.318,1,5
68,101.7598,34.4988,0.86673,60.88443,38.82896,21.63119,-0.17926,36.31907,10.06326,7.08836,60.0177,38.65108,21.36662,-0.14727,36.10802,10.02716,7.10174,0.86673,0.17789,0.26457,0.03199,0.21104,0.0361,0.01338,0.22881,0.86673,1.062,1,5
69,101.9121,37.2638,0.96926,64.36246,40.94098,22.94711,0.01926,38.46124,9.41921,6.78431,63.3932,40.74448,22.64872,0.05638,38.22332,9.3825,6.8005,0.96926,0.1965,0.29839,0.03712,0.23792,0.03672,0.01619,0.25601,0.96926,1.178,1,5
70,112.001,38.4883,1.3104,76.5974,46.30977,29.6084,0.72062,40.24848,12.30046,9.41793,75.287,46.03303,29.25397,0.75778,39.98707,12.25295,9.42835,1.3104,0.27673,0.35444,0.03716,0.26141,0.04751,0.01042,0.3283,1.3104,1.195,1,5
71,98.772,34.8258,0.81199,56.22209,36.76281,19.06257,0.38871,36.48918,9.81939,7.38046,55.4101,36.52442,18.88568,0.37891,36.35318,9.81039,7.36661,0.81199,0.23839,0.17689,0.0098,0.136,0.009,0.01385,0.19942,0.81199,0.665,1,5
72,129.2388,47.2512,1.73385,86.74495,52.43699,33.44233,1.89607,47.79282,12.65584,10.59352,85.0111,52.18165,32.82945,1.99449,47.32965,12.56413,10.64177,1.73385,0.25534,0.61289,0.09842,0.46317,0.09171,0.04825,0.47195,1.73385,1.665,1,5
73,124.8526,44.803,2.13535,101.19995,55.27945,44.74637,4.70923,43.43376,10.68633,11.42873,99.0646,55.00715,44.05745,4.82644,42.98335,10.58939,11.48551,2.13535,0.2723,0.68892,0.11721,0.45041,0.09694,0.05678,0.54541,2.13535,1.296,1,5
74,137.4997,47.949,2.71424,114.45824,60.50106,52.43914,6.66546,46.09718,9.19614,11.91205,111.744,60.2267,51.5173,6.83168,45.5246,9.07178,11.99702,2.71424,0.27435,0.92184,0.16622,0.57258,0.12436,0.08497,0.69408,2.71424,1.483,1,5
75,130.1477,45.4539,2.07327,97.05397,54.37765,41.55841,2.65099,42.97953,12.32202,10.94574,94.9807,54.17361,40.80709,2.79146,42.48109,12.20374,11.01986,2.07327,0.20404,0.75133,0.14047,0.49844,0.11827,0.07412,0.55142,2.07327,1.774,1,5
76,102.3922,33.9243,1.27396,77.81136,44.19672,32.92048,1.95504,35.12162,9.94166,8.70339,76.5374,44.00647,32.53093,2.01873,34.85873,9.88565,8.73265,1.27396,0.19025,0.38956,0.06368,0.2629,0.05601,0.02926,0.32366,1.27396,1.165,1,5
77,111.4778,39.0811,1.60162,86.48912,47.63126,37.98846,4.21646,38.29361,10.43266,10.85277,84.8875,47.44775,37.43975,4.31093,37.93095,10.34858,10.89972,1.60162,0.18351,0.54871,0.09447,0.36266,0.08408,0.04696,0.41743,1.60162,1.158,1,5
78,80.3432,28.65,0.5682,45.4964,31.2835,13.94302,-1.30946,31.25215,9.62836,5.8855,44.9282,31.09634,13.83186,-1.32458,31.16556,9.62498,5.87032,0.5682,0.18716,0.11116,0.01512,0.08659,0.00338,0.01518,0.14097,0.5682,0.624,1,5
79,130.2557,47.8145,2.12703,99.02483,55.48136,42.39337,2.4289,43.46605,10.58641,9.5227,96.8978,55.26867,41.62913,2.57691,42.95593,10.47283,9.60197,2.12703,0.21268,0.76425,0.14801,0.51012,0.11358,0.07926,0.56499,2.12703,1.929,1,5
80,128.5657,45.3943,2.19277,102.25057,56.94287,44.10981,3.07201,44.44035,12.20005,11.20323,100.0578,56.64916,43.40864,3.19313,43.97184,12.09517,11.26303,2.19277,0.29371,0.70117,0.12112,0.4685,0.10487,0.0598,0.56314,2.19277,1.52,1,5
81,145.6765,49.9574,2.85912,117.91652,64.95961,51.36565,3.15588,48.96024,13.08265,11.90385,115.0574,64.54334,50.51406,3.29888,48.40756,12.96314,11.97256,2.85912,0.41627,0.85159,0.14299,0.55268,0.11951,0.06871,0.71584,2.85912,1.696,1,5
82,107.3183,38.1319,0.99638,63.20388,41.38132,21.36545,1.47028,43.06476,10.4139,8.66179,62.2075,41.16823,21.03927,1.50144,42.79297,10.37601,8.67189,0.99638,0.21309,0.32618,0.03117,0.27178,0.03788,0.01009,0.26951,0.99638,0.978,1,5
83,126.788,45.3922,1.80957,91.87987,52.22614,38.68545,4.32214,44.64823,10.54329,11.02797,90.0703,51.92249,38.14781,4.39608,44.27511,10.47519,11.05901,1.80957,0.30365,0.53764,0.07395,0.37312,0.06809,0.03103,0.45672,1.80957,1.059,1,5
84,137.0769,49.7171,2.75341,115.22401,61.60362,52.07803,3.94986,44.43696,10.66071,10.78831,112.4706,61.33614,51.13446,4.1318,43.84856,10.52556,10.88384,2.75341,0.26748,0.94357,0.18194,0.5884,0.13515,0.09554,0.70935,2.75341,1.817,1,5
85,116.6893,41.6294,1.64814,87.58284,50.29217,36.40601,2.88775,42.00757,11.13739,10.31295,85.9347,49.99068,35.94402,2.94695,41.68782,11.07967,10.33493,1.64814,0.30149,0.46199,0.0592,0.31974,0.05772,0.02198,0.41004,1.64814,1.042,1,5
86,85.8943,29.8247,0.493,40.9263,30.03864,10.67622,-1.00828,33.51327,8.21369,5.10559,40.4333,29.87184,10.56146,-1.02163,33.41176,8.21122,5.09478,0.493,0.1668,0.11477,0.01336,0.10151,0.00246,0.01082,0.12896,0.493,0.672,1,5
87,130.7293,45.459,2.07305,99.08085,56.26177,41.69602,3.34504,46.35029,9.65786,9.60756,97.0078,55.94729,41.06051,3.44767,45.91611,9.57998,9.65572,2.07305,0.31448,0.6355,0.10263,0.43418,0.07788,0.04816,0.52655,2.07305,1.355,1,5
88,137.5406,48.7012,2.19498,101.00518,57.00881,42.80807,4.80751,48.0772,11.16677,11.8682,98.8102,56.60144,42.20876,4.87629,47.67266,11.09905,11.89235,2.19498,0.40737,0.59931,0.06878,0.40454,0.06772,0.02415,0.53812,2.19498,1.053,1,5
89,109.888,40.2331,1.24917,74.24527,45.21308,28.38412,0.46972,39.49939,11.10376,8.3582,72.9961,44.93614,28.05996,0.49997,39.25966,11.06542,8.36708,1.24917,0.27693,0.32416,0.03024,0.23973,0.03834,0.00888,0.30964,1.24917,1.074,1,5
90,123.7991,45.0726,1.85291,92.78691,53.44833,38.35024,0.81346,42.21086,12.93161,9.9234,90.934,53.19588,37.73812,0.92306,41.78292,12.83427,9.97913,1.85291,0.25244,0.61212,0.1096,0.42794,0.09733,0.05572,0.48687,1.85291,2.479,1,5
91,137.7216,47.9894,2.70242,114.08622,61.2081,51.37023,4.72241,45.6293,11.03593,11.67819,111.3838,60.9243,50.4595,4.8905,45.0566,10.9057,11.7645,2.70242,0.28381,0.91073,0.16809,0.57269,0.13023,0.08631,0.69347,2.70242,1.62,1,5
92,128.3878,45.1311,1.88864,93.47394,54.86693,37.59637,1.00272,45.21982,10.88806,8.61978,91.5853,54.51669,37.06861,1.07777,44.84461,10.82278,8.65462,1.88864,0.35025,0.52775,0.07505,0.3752,0.06528,0.03484,0.47386,1.88864,1.911,1,5
93,145.7273,49.1852,2.81426,116.82146,63.21512,52.03739,4.87369,48.14034,11.6079,12.21304,114.0072,62.87693,51.13027,5.03402,47.56347,11.4804,12.2931,2.81426,0.33819,0.90711,0.16033,0.57687,0.12751,0.08006,0.71491,2.81426,1.561,1,5
94,122.0966,42.412,1.78688,91.08518,50.36444,39.75378,4.57985,41.21853,9.66539,10.59145,89.2983,50.16539,39.13291,4.68875,40.80621,9.57657,10.64613,1.78688,0.19905,0.62086,0.10891,0.41232,0.08882,0.05468,0.46736,1.78688,1.247,1,5
95,120.9698,43.8534,1.65143,87.20153,50.61137,35.72017,2.67884,43.17728,11.30681,10.25951,85.5501,50.34275,35.20735,2.75611,42.81035,11.23536,10.29434,1.65143,0.26862,0.51281,0.07727,0.36693,0.07145,0.03483,0.42619,1.65143,1.224,1,5
