scenario_id,scenario_label,load_scale,generator_p_mw,generator_vm_pu,load_bus_2_mw,load_bus_2_mvar,load_bus_3_mw,load_bus_3_mvar,load_bus_4_mw,load_bus_4_mvar,load_bus_5_mw,load_bus_5_mvar
37,random_operating_point,0.8774,43.0749,1.0027,26.4406,8.4387,25.6888,8.1459,26.1799,9.081,17.425,6.4131
38,random_operating_point,1.151,41.4939,1.01969,30.3549,10.6125,26.3298,9.1884,31.5884,12.561,23.9196,8.3405
39,random_operating_point,0.8731,29.9894,1.01913,27.7963,9.0733,19.1061,6.5518,22.7752,8.7405,14.3019,4.4333
40,high_load,1.2801,28.408,1.02465,39.8038,13.1215,28.2175,8.6807,30.319,11.426,22.5541,8.2239
41,random_operating_point,1.2109,34.3954,1.00487,41.3808,15.719,27.917,10.1656,36.4742,12.9777,21.6618,6.6553
42,low_generation,1.1177,18.9394,1.02436,34.065,10.9924,26.9085,8.3803,26.3454,9.2906,22.3361,7.7309
43,random_operating_point,1.0074,34.098,1.00045,33.3953,11.5395,23.8015,8.269,30.1911,11.4149,17.567,5.8832
44,redistributed_load,0.8244,41.9929,1.02961,31.588,11.9885,17.7073,6.1023,24.2325,9.1938,20.3907,6.3453
45,high_load,1.3155,31.3466,1.02001,36.2198,11.9692,34.4355,12.2972,39.2319,14.1273,26.2841,9.6594
46,random_operating_point,0.7687,38.4552,1.00447,26.7114,9.8897,17.6355,6.274,22.8013,7.8251,14.13,4.4599
47,random_operating_point,0.9418,26.6754,1.01773,28.9496,10.6531,23.792,8.4183,23.7271,9.1021,16.8721,5.3832
48,random_operating_point,1.0385,35.4775,1.01819,37.7434,13.5337,24.9415,8.2045,28.968,10.4104,17.9479,6.6698
49,low_generation,1.3671,28.8007,1.00976,43.1286,15.9027,29.9521,10.5467,36.2694,13.2755,23.0523,7.348
50,high_load,1.3574,32.0752,1.00678,51.2632,17.5906,37.1236,11.8087,33.8256,13.152,24.1257,7.949
51,random_operating_point,1.1079,21.7854,1.00702,34.9282,13.3596,24.432,7.8893,30.6881,11.6589,19.8175,6.2768
52,random_operating_point,0.8841,31.2098,1.00738,30.3458,10.2379,21.7899,7.4782,23.8513,9.4796,15.9569,5.3184
53,random_operating_point,0.9306,39.6452,1.02108,29.4923,10.3649,21.3379,6.9948,25.8536,10.1884,14.5955,5.0018
54,random_operating_point,0.8344,33.7971,1.0188,27.9238,10.3549,18.3975,5.7436,20.5268,7.1528,15.9948,5.0125
55,high_load,1.3284,30.5579,1.02412,46.5099,16.8176,27.3375,9.424,35.711,12.7092,23.3417,7.1633
56,low_generation,0.8023,26.4753,1.00142,22.0056,7.6396,19.9495,6.6903,21.5275,7.504,14.5039,5.3658
57,random_operating_point,1.2997,29.352,1.02127,41.0299,14.9363,31.0327,11.5508,29.8461,10.3999,26.9478,8.432
58,random_operating_point,0.8849,38.272,1.02151,29.4105,10.389,20.5261,7.5049,23.7407,8.1561,18.1741,6.1268
59,random_operating_point,0.7298,42.4398,1.02046,23.245,8.6966,19.4515,6.6324,22.0792,7.7242,13.7974,4.2356
60,high_load,1.3604,31.7916,1.0111,37.2438,13.3058,31.4604,9.7796,38.4817,13.7943,26.219,9.2354
61,random_operating_point,0.9753,30.7262,1.02494,32.92,11.3325,20.9993,6.8087,28.7028,9.919,17.0374,5.2675
62,random_operating_point,1.0637,26.9003,1.01152,28.6065,10.5069,28.7026,9.7956,32.8442,11.9163,20.9281,7.5357
63,low_generation,1.3765,21.8094,1.0272,42.4165,13.6197,34.5146,12.2548,37.3122,12.5378,23.5761,7.3815
64,random_operating_point,0.9767,29.334,1.02158,32.2353,11.6431,26.8993,9.9096,31.0237,11.4328,16.2871,5.043
65,high_load,1.4194,34.3633,1.00288,41.6677,14.2499,31.8806,10.7279,39.4111,15.6714,21.7542,6.9074
66,redistributed_load,0.963,40.4309,1.00315,25.0187,9.5667,23.5948,8.3104,31.5774,10.7527,20.609,6.8483
67,random_operating_point,1.1355,44.6427,1.01245,37.4281,14.241,25.9661,8.8222,28.231,9.4065,21.3605,7.459
68,random_operating_point,0.9672,41.7421,1.01336,31.6966,11.2875,27.0007,8.6747,25.9336,8.5299,17.1289,6.0067
69,random_operating_point,1.0448,38.5189,1.0128,33.8876,12.0878,22.9443,8.524,28.8972,10.7287,16.183,5.9233
70,high_load,1.232,36.714,1.00641,35.8469,11.9517,25.9809,8.9552,28.4919,9.567,21.6813,8.0144
71,random_operating_point,0.9554,43.3619,1.00137,28.7789,10.2452,25.8944,8.84,26.9217,9.4719,17.177,6.2687
72,random_operating_point,1.2242,44.2277,1.01806,39.5454,14.9281,29.7275,10.4555,36.76,13.6283,23.2059,8.2393
73,random_operating_point,1.2187,25.788,1.0144,38.6952,14.0831,26.8621,9.4297,37.2204,13.8743,22.0749,7.4159
74,random_operating_point,1.3277,25.7557,1.01966,41.398,14.3168,31.7484,10.3744,43.2845,15.8447,21.0688,7.4131
75,high_load,1.2769,35.167,1.02584,40.3623,13.8929,33.493,11.6142,33.0688,12.3031,23.2236,7.6437
76,random_operating_point,1.0253,25.8548,1.01504,33.2551,10.8795,23.527,7.3592,26.9918,9.9256,18.6183,5.76
77,low_generation,1.1076,26.5903,1.02011,32.2371,11.524,26.0991,8.7381,31.8933,11.1608,21.2483,7.6582
78,random_operating_point,0.723,35.415,1.00279,26.5506,9.2493,18.0813,6.2409,20.216,7.4234,15.4953,5.7364
79,random_operating_point,1.2,33.3579,1.02364,43.0898,16.4369,32.0311,11.6848,35.06,13.1607,20.0748,6.5321
80,high_load,1.2309,28.5079,1.01402,42.193,15.0164,27.9447,9.9248,35.0698,11.9534,23.3582,8.4997
81,random_operating_point,1.3268,30.6191,1.00767,49.2719,17.17,32.7256,11.3546,38.7433,13.2745,24.9357,8.1583
82,random_operating_point,1.0323,45.1108,1.01383,30.9949,10.7964,23.3571,8.131,33.9184,12.7825,19.0479,6.422
83,random_operating_point,1.183,36.7177,1.00785,36.4674,13.7779,30.5904,11.2444,38.196,13.5657,21.5342,6.8042
84,low_generation,1.3457,24.6063,1.02104,46.3205,16.7995,31.8922,10.9099,37.4548,14.8654,21.4094,7.1423
85,high_load,1.1642,30.7546,1.00575,36.7088,13.3817,25.0108,8.3679,33.5551,13.2084,21.4146,6.6714
86,random_operating_point,0.8191,45.461,1.00657,25.7987,9.896,22.6107,7.4352,24.1789,8.0139,13.306,4.4796
87,random_operating_point,1.3142,33.7215,1.01178,42.8439,13.6234,28.8659,10.4733,39.7838,15.1815,19.2357,6.1808
88,redistributed_load,1.1962,38.7304,1.00039,39.8328,14.434,33.2665,10.8819,41.4499,15.1595,22.9914,8.2258
89,random_operating_point,1.1447,36.8919,1.00382,36.0691,13.7765,25.6922,9.3752,28.6942,10.349,19.4325,6.7324
90,high_load,1.2111,32.8651,1.01629,42.2937,16.2239,28.8203,10.1109,29.8717,11.5585,22.8134,7.1793
91,low_generation,1.3665,26.3378,1.01974,44.2693,14.8311,31.7407,10.5544,39.0414,14.5286,22.6702,8.0753
92,random_operating_point,1.2242,36.8025,1.00435,44.7843,17.1798,29.0265,9.0039,35.0996,12.3714,19.4774,6.576
93,random_operating_point,1.3333,31.7201,1.01585,45.5498,14.618,35.2869,12.4566,41.1171,13.9124,23.7735,8.1982
94,random_operating_point,1.2179,32.7983,1.02109,34.8305,11.8806,31.125,10.0193,35.9184,13.2564,20.2227,7.2557
95,high_load,1.1652,35.4197,1.01123,37.2923,14.183,27.8167,10.0789,34.3311,12.6331,21.5297,6.9584
96,random_operating_point,1.3745,29.87,1.02354,46.3358,16.4167,31.6314,11.4563,42.2913,16.7677,24.9899,8.1768
97,random_operating_point,0.985,41.1035,1.02155,24.6281,8.8709,26.2206,8.9625,29.3637,11.6185,17.9163,6.3558
98,low_generation,0.9037,22.167,1.02161,28.7866,9.3078,20.5051,6.5319,24.3297,8.0477,18.8962,5.9329
99,redistributed_load,1.0069,35.8234,1.02424,30.8106,11.6245,25.1046,8.7589,30.7367,10.5978,24.289,7.5235
100,high_load,1.3383,35.9981,1.01403,45.2214,17.3438,31.0555,10.9462,41.3832,14.6107,22.4642,7.0529
101,random_operating_point,1.0137,39.0098,1.02681,33.3929,12.16,26.3298,9.2875,27.6494,10.7608,19.2811,5.9552
102,random_operating_point,1.148,32.7968,1.0218,37.619,13.9002,26.0758,8.0729,31.0961,10.2518,20.7526,6.6778
103,random_operating_point,0.7306,43.478,1.02393,23.4235,8.9586,16.0037,5.9303,19.3926,6.6635,13.3515,4.8788
104,random_operating_point,0.7734,40.9534,1.0151,22.8772,7.6543,16.8204,5.9217,21.4836,8.1434,12.8703,4.37
105,high_load,1.3456,28.8173,1.00515,45.6696,14.6336,34.6258,12.7208,43.1584,15.0378,24.5718,9.1559
106,random_operating_point,0.8266,24.8449,1.00581,29.2944,10.3379,20.4577,6.4489,20.1568,6.8031,14.1383,5.0806
107,random_operating_point,1.1876,33.2317,1.00819,35.7322,11.9207,30.6314,11.2106,28.6944,11.161,23.3007,8.2414
108,random_operating_point,0.911,24.2518,1.01573,29.6659,10.4068,20.0798,6.277,24.0288,8.2301,13.9279,4.7598
109,random_operating_point,1.3106,37.4232,1.00205,41.9871,14.7753,33.2997,11.589,33.3189,13.0189,27.9324,9.7669
110,high_load,1.1598,36.9104,1.00152,43.3209,15.3164,27.1232,9.7075,35.5525,13.5344,19.503,6.2997
111,random_operating_point,0.869,32.8022,1.02717,21.6899,8.1228,19.2103,5.9249,24.2074,8.7612,14.419,5.2302
112,low_generation,1.0167,22.6262,1.00434,29.7723,9.8429,22.72,7.2264,26.9115,8.9465,16.6364,5.6151
113,random_operating_point,1.3761,33.6955,1.00853,40.414,15.3689,34.26,11.6756,35.5603,12.0083,23.925,7.4275
114,random_operating_point,1.1959,27.3987,1.02396,35.2373,12.1943,29.7586,9.4665,36.7519,12.7542,22.0396,8.1102
115,high_load,1.1776,29.5387,1.02307,37.8771,14.223,25.1933,7.8592,31.8241,11.4226,22.8446,7.7909
116,random_operating_point,0.7454,29.3817,1.02842,24.5041,7.8447,21.0641,7.4696,19.3696,7.0886,13.7473,4.5101
117,random_operating_point,0.8293,32.563,1.02049,27.2901,8.981,18.4851,6.2685,22.4418,7.8735,16.1241,5.0287
118,random_operating_point,1.2164,31.9115,1.01112,40.6446,14.0307,29.3629,10.2207,36.8539,14.0146,21.6339,7.7016
119,low_generation,1.3327,21.0161,1.00051,40.9267,14.8318,31.4931,10.1945,38.8996,15.287,22.4778,8.2677
120,high_load,1.2629,35.8888,1.00506,39.9628,13.0269,34.8667,12.6161,34.2289,11.5553,21.4746,8.0152
