sample_id,profile_id,voltage_kv,frequency_hz,phase_mean_deg,phase_std_deg,pulse_count,mean_charge_pc,max_charge_pc,charge_iqr_pc,repetition_rate_hz,positive_negative_ratio,waveform_rise_ns,waveform_width_ns,prpd_entropy,defect_class
63,7,21.292,50.0,100.265,20.54,16,39.024,93.858,15.787,7.591,2.0141,46.105,107.482,0.43888,corona
64,7,13.429,50.0,60.035,23.944,56,81.779,176.79,43.01,27.108,0.5971,44.098,192.878,0.74964,internal
65,7,14.386,50.0,158.458,93.429,5,8.313,18.699,2.876,3.357,0.7421,24.075,82.636,0.13567,no_pd
66,2,7.148,50.0,211.511,85.062,12,2.948,3.989,1.081,7.84,1.4244,23.214,109.214,0.23958,no_pd
67,3,7.652,50.0,161.373,68.273,18,101.88,149.185,52.195,9.652,1.2668,41.706,161.549,0.66725,surface
68,2,22.059,50.0,95.855,21.508,21,0.5,0.852,0.254,7.293,1.8868,23.352,113.672,0.42226,corona
69,4,8.181,60.0,99.411,17.335,33,44.647,94.865,17.119,18.546,1.5406,25.229,142.267,0.44821,corona
70,1,12.593,50.0,159.186,80.429,21,22.823,53.765,4.977,9.764,0.8565,5.958,113.287,0.2234,no_pd
71,7,10.555,50.0,80.578,21.285,25,57.387,104.191,20.527,11.167,1.7391,33.098,122.975,0.4068,corona
72,3,22.529,50.0,61.614,29.944,26,195.64,254.87,105.449,13.361,1.0432,61.074,190.677,0.70241,internal
73,2,14.217,50.0,179.713,110.657,12,8.419,16.658,3.888,6.098,0.9935,22.893,90.382,0.2702,no_pd
74,5,15.964,50.0,50.476,28.746,56,131.744,236.547,38.97,26.51,0.9032,52.729,187.68,0.78305,internal
75,2,10.505,50.0,146.667,103.95,12,8.284,16.337,4.176,5.991,0.864,24.2,114.782,0.19748,no_pd
76,1,7.36,60.0,72.28,20.299,13,55.82,127.359,23.248,9.533,1.9779,28.063,110.546,0.45341,corona
77,8,16.504,50.0,265.524,52.2,11,16.85,30.646,4.325,5.745,0.6475,16.2,72.472,0.23685,no_pd
78,2,9.467,50.0,195.353,66.38,11,17.508,43.684,4.439,6.083,1.0449,14.529,89.123,0.21175,no_pd
79,6,20.257,50.0,80.724,21.711,18,34.775,81.087,6.899,7.274,2.0425,26.943,131.758,0.47601,corona
80,7,11.198,60.0,153.841,48.812,29,93.212,143.69,31.542,17.073,1.4095,35.931,158.381,0.55471,surface
81,6,17.392,50.0,85.155,24.13,17,42.64,80.36,20.673,9.1,1.8511,28.745,147.147,0.42981,corona
82,7,12.524,50.0,240.624,115.0,11,0.755,1.946,0.268,3.22,1.4491,23.737,72.247,0.19531,no_pd
83,8,15.395,50.0,141.147,98.951,12,11.139,27.872,4.95,4.036,0.6375,20.241,98.732,0.25109,no_pd
84,4,14.828,50.0,218.831,98.733,12,12.349,26.367,5.166,5.081,0.7711,19.239,106.352,0.24331,no_pd
85,8,19.309,50.0,54.529,37.537,45,0.5,1.037,0.113,20.413,1.0025,46.535,170.719,0.72067,internal
86,4,18.786,60.0,241.98,30.254,40,154.501,219.089,60.955,23.506,1.27,44.928,176.333,0.81179,internal
87,5,9.033,50.0,57.121,37.397,36,95.919,149.656,27.949,16.604,0.9238,57.906,154.404,0.69288,internal
88,2,18.117,50.0,79.56,23.759,24,70.554,131.442,32.04,12.636,1.4839,36.004,148.419,0.44505,corona
89,2,22.004,50.0,152.692,76.061,34,86.987,147.931,47.712,18.389,1.3806,32.301,145.206,0.63292,surface
90,1,22.945,50.0,279.96,36.581,59,208.532,501.793,63.357,28.768,0.873,57.323,181.189,0.75541,internal
91,5,23.454,50.0,234.261,40.752,45,216.797,445.832,54.102,22.148,0.9331,51.437,214.031,0.72641,internal
92,1,7.648,50.0,191.406,78.246,7,0.5,0.798,0.134,2.772,1.0285,17.81,82.269,0.19348,no_pd
93,2,19.526,50.0,128.13,99.558,10,5.214,13.501,2.087,7.199,1.0887,21.175,78.866,0.27738,no_pd
94,2,8.935,50.0,84.517,24.486,25,43.725,56.361,21.149,11.777,1.6712,26.398,135.056,0.35977,corona
95,8,12.675,50.0,87.828,25.116,20,67.69,131.799,27.631,11.95,1.8177,33.48,127.011,0.38618,corona
96,8,18.616,50.0,96.588,29.753,52,128.219,281.875,50.055,24.702,0.8196,48.604,176.465,0.85104,internal
97,4,22.471,50.0,84.007,20.344,22,38.691,70.998,13.561,9.216,2.1458,26.001,104.275,0.38288,corona
98,7,18.564,50.0,116.935,62.806,34,73.434,124.296,36.678,17.251,1.2117,38.824,139.887,0.55527,surface
99,6,14.994,50.0,94.856,24.028,19,72.031,140.567,22.383,8.05,1.6429,20.962,135.242,0.47701,corona
100,2,6.667,50.0,91.206,19.102,18,13.216,21.545,4.902,11.411,1.9856,35.608,121.617,0.41492,corona
101,2,12.135,50.0,172.678,113.932,11,14.539,35.492,7.434,7.055,0.8052,28.124,86.56,0.34097,no_pd
102,5,12.331,50.0,249.569,25.609,31,173.683,290.109,64.961,15.333,0.9681,49.502,187.665,0.76778,internal
103,1,6.723,50.0,166.081,77.816,7,8.523,14.323,1.646,5.143,0.7225,18.529,103.692,0.20366,no_pd
104,2,13.002,60.0,64.029,28.447,42,272.518,463.745,64.713,23.978,0.9072,35.857,176.848,0.75709,internal
105,5,21.532,50.0,58.871,32.376,33,122.672,245.721,40.56,16.951,0.8632,43.017,187.936,0.83731,internal
106,5,11.326,50.0,178.061,98.683,12,2.211,2.902,0.722,6.306,0.7612,27.811,93.44,0.30694,no_pd
107,6,19.4,50.0,86.036,26.389,26,25.855,43.43,10.375,11.557,1.8587,28.263,136.008,0.38409,corona
108,7,12.901,50.0,71.087,29.709,51,133.152,336.715,67.346,26.733,0.6348,50.974,178.485,0.85262,internal
109,3,16.801,60.0,98.449,23.154,17,23.273,31.097,12.438,10.857,2.0208,29.515,99.243,0.33742,corona
110,1,12.532,50.0,174.884,94.44,9,3.185,4.019,1.33,5.96,1.0144,20.722,62.754,0.31241,no_pd
111,8,13.514,60.0,139.951,61.295,25,40.412,53.566,21.414,13.5,1.4537,40.608,162.666,0.4622,surface
112,8,10.307,50.0,150.022,57.113,28,8.898,15.337,4.317,13.3,1.097,38.991,146.815,0.61025,surface
113,5,17.755,50.0,63.868,27.776,41,216.338,358.622,79.073,22.572,0.7743,40.69,198.751,0.86606,internal
114,2,14.388,50.0,141.386,115.0,13,5.961,7.935,2.823,4.565,1.1427,24.143,84.405,0.16922,no_pd
115,2,11.685,50.0,50.693,40.07,33,98.152,153.288,21.932,16.078,1.1019,51.548,173.896,0.81826,internal
116,2,8.989,60.0,78.626,31.982,31,160.316,284.352,58.717,20.133,0.8696,46.994,190.594,0.81707,internal
117,6,12.554,50.0,262.13,20.901,34,80.924,201.855,39.662,17.934,0.7999,48.822,183.704,0.80739,internal
118,8,14.256,50.0,238.849,32.454,47,258.77,394.201,62.509,23.413,1.281,47.06,191.667,0.7639,internal
119,2,22.914,50.0,102.898,22.934,27,0.5,0.991,0.107,11.867,1.8466,31.907,121.972,0.35079,corona
120,2,7.352,50.0,156.788,107.954,12,6.946,15.555,1.286,4.383,1.2221,31.876,93.39,0.2041,no_pd
121,3,22.276,50.0,100.148,51.05,27,115.265,192.094,21.766,13.701,1.5691,33.729,139.998,0.6066,surface
122,3,18.685,50.0,114.695,51.45,30,37.495,67.156,15.222,15.19,1.4187,49.451,167.495,0.51929,surface
123,7,23.222,50.0,61.115,33.586,59,68.833,153.36,37.325,28.636,1.3118,53.572,195.886,0.79234,internal
124,2,8.008,60.0,204.913,84.554,6,5.587,13.754,2.588,1.271,0.955,21.293,105.283,0.31999,no_pd
125,1,18.668,50.0,95.01,26.164,24,9.589,12.952,5.162,13.157,1.6555,27.355,109.79,0.33702,corona
126,7,9.509,50.0,233.907,30.428,39,207.679,363.13,67.359,19.156,0.5906,36.714,195.893,0.76215,internal
127,7,22.05,50.0,93.136,18.891,23,111.988,282.712,55.179,11.049,1.7929,29.288,132.124,0.43812,corona
128,3,15.599,50.0,97.487,21.121,25,25.885,38.071,7.523,12.273,1.481,30.814,113.829,0.35322,corona
129,5,12.219,60.0,168.387,105.351,8,6.022,14.538,2.32,4.21,1.2316,31.095,91.862,0.26721,no_pd
130,3,17.87,50.0,85.177,18.181,24,48.48,111.019,25.795,10.794,1.6256,29.349,126.042,0.48012,corona
131,1,7.42,50.0,156.128,57.029,33,21.215,30.721,9.226,16.418,1.3502,39.658,154.37,0.59456,surface
132,1,21.38,50.0,244.429,17.609,40,73.042,175.052,23.002,20.336,1.3316,47.141,176.614,0.65509,internal
133,2,21.769,50.0,119.636,61.153,36,144.447,363.707,48.993,16.799,1.447,43.644,168.704,0.6162,surface
134,6,19.656,50.0,67.482,22.676,48,76.934,159.288,24.013,24.199,0.7815,50.581,213.581,0.74877,internal
135,4,13.792,50.0,110.312,27.516,23,57.887,105.2,27.86,12.271,1.5015,34.851,128.838,0.34674,corona
136,2,7.988,50.0,49.842,23.853,39,223.155,365.073,55.389,18.161,0.9295,48.09,195.62,0.7891,internal
137,7,6.796,50.0,148.423,50.026,32,0.5,1.217,0.212,15.761,0.5595,43.074,168.889,0.49269,surface
138,8,17.261,50.0,153.572,60.651,28,74.061,181.913,36.713,12.839,1.2784,35.046,161.854,0.65563,surface
139,4,15.389,50.0,95.731,30.197,32,33.479,73.719,6.031,13.771,1.5182,37.306,114.217,0.35611,corona
140,6,20.501,50.0,217.588,101.747,13,3.776,7.145,0.936,6.887,0.7148,14.625,101.15,0.21121,no_pd
141,6,12.516,50.0,92.315,23.696,29,74.45,133.443,36.609,15.937,1.9037,30.229,102.657,0.45204,corona
142,7,18.18,60.0,63.962,34.367,34,196.587,350.208,94.419,19.186,0.9315,43.236,229.682,0.81132,internal
143,7,15.271,50.0,161.355,83.357,10,0.5,0.644,0.142,5.333,0.8032,20.216,76.462,0.27498,no_pd
144,5,15.434,50.0,138.375,67.231,30,139.78,299.091,52.535,14.689,0.8351,32.745,150.829,0.62361,surface
145,3,14.47,50.0,57.027,36.743,43,155.272,258.882,32.738,20.268,0.6709,43.373,197.471,0.73839,internal
146,6,21.303,50.0,261.51,41.625,41,27.32,45.949,11.061,23.201,0.756,45.637,189.353,0.77498,internal
147,2,19.827,50.0,119.774,55.543,39,62.783,141.588,19.9,18.54,1.313,30.062,153.098,0.53644,surface
148,5,22.668,50.0,91.484,19.598,22,37.042,85.911,19.329,9.907,1.9002,27.525,131.088,0.37907,corona
149,8,16.909,50.0,87.577,20.359,11,15.416,22.666,5.334,6.228,2.0992,42.523,148.694,0.56027,corona
150,4,23.96,50.0,57.601,29.592,43,190.974,450.502,85.576,21.343,1.1825,47.164,180.385,0.73184,internal
151,1,14.418,50.0,261.472,26.723,34,212.501,432.876,111.301,18.615,1.0798,44.823,205.033,0.79832,internal
152,7,19.559,60.0,130.478,64.677,37,10.398,13.796,3.763,21.273,1.4282,48.937,185.683,0.49521,surface
153,2,17.199,50.0,166.372,90.318,15,12.428,27.702,4.353,6.391,1.1705,21.278,71.667,0.23305,no_pd
154,5,21.511,50.0,159.13,104.369,9,4.335,5.796,1.638,3.228,0.4636,15.899,120.456,0.24402,no_pd
155,1,6.832,50.0,122.941,39.073,32,11.729,17.864,5.005,17.313,0.9938,33.975,183.367,0.56847,surface
156,1,13.484,60.0,128.68,62.88,37,43.389,87.635,20.854,22.589,1.2864,33.385,173.623,0.60614,surface
157,7,9.933,50.0,60.709,35.68,45,129.625,312.574,37.289,21.76,1.0135,50.887,197.625,0.74529,internal
158,8,19.657,50.0,177.743,103.505,12,8.703,19.443,1.825,5.0,1.2347,31.358,74.365,0.19246,no_pd
159,5,10.677,50.0,103.916,25.567,25,0.5,1.28,0.1,12.343,2.0521,31.392,98.786,0.53956,corona
160,1,11.512,50.0,200.386,72.054,15,3.791,7.76,0.696,7.359,1.151,25.358,108.32,0.31669,no_pd
161,1,11.017,50.0,92.663,20.412,19,0.548,1.291,0.219,9.182,1.793,32.635,99.568,0.40966,corona
162,5,18.155,50.0,91.99,61.238,15,3.096,6.801,1.243,8.325,0.9581,14.582,92.328,0.17959,no_pd
163,5,23.239,50.0,97.325,20.946,19,1.444,2.112,0.663,9.645,2.2131,40.702,130.049,0.38737,corona
164,8,20.147,50.0,243.337,28.007,51,47.437,72.339,17.51,26.691,1.1633,50.784,175.917,0.8111,internal
165,7,16.728,50.0,187.91,104.978,14,2.633,5.718,0.737,6.748,1.0843,16.68,137.721,0.19064,no_pd
166,4,14.843,50.0,44.258,38.61,38,317.223,697.264,96.818,19.159,0.6702,56.714,215.395,0.71392,internal
167,8,13.369,50.0,122.833,49.429,45,30.988,58.373,16.571,22.994,1.0531,35.916,146.369,0.5796,surface
168,8,14.408,50.0,80.676,19.024,29,36.732,47.914,19.72,15.05,1.479,22.822,140.986,0.46401,corona
169,1,17.918,50.0,190.167,93.795,17,0.5,0.686,0.203,8.742,1.0852,12.535,81.698,0.29201,no_pd
170,8,14.379,60.0,172.44,61.195,24,136.993,202.604,28.371,14.57,1.2396,49.804,166.389,0.59738,surface
171,3,6.831,50.0,146.879,62.245,26,82.99,159.986,23.744,11.899,1.0562,42.193,152.514,0.53589,surface
172,4,11.708,60.0,142.06,47.869,21,75.206,184.667,30.397,13.516,0.9176,44.261,178.536,0.76755,surface
173,5,21.949,50.0,94.768,22.155,24,2.384,4.833,0.708,10.936,1.9873,32.624,115.342,0.34587,corona
174,5,18.905,50.0,157.848,50.829,30,82.862,194.142,27.05,14.769,1.2373,36.177,174.239,0.68679,surface
175,4,18.857,60.0,146.553,62.584,30,172.936,250.308,51.111,17.992,1.0303,39.3,173.14,0.51229,surface
176,5,20.685,50.0,172.071,84.69,9,1.534,2.256,0.282,3.804,1.1002,20.284,102.553,0.28058,no_pd
177,6,16.305,50.0,192.392,74.33,8,0.5,0.997,0.268,4.488,1.0108,24.843,82.876,0.32413,no_pd
178,1,15.97,50.0,94.887,23.386,20,61.855,80.155,11.36,10.448,1.7985,28.272,156.048,0.47964,corona
179,6,16.572,50.0,125.936,63.8,30,58.386,83.21,31.798,16.209,1.0899,38.17,163.399,0.4755,surface
180,1,9.839,60.0,65.844,37.852,42,153.887,268.458,54.344,21.771,0.8483,57.035,185.46,0.72665,internal
181,8,22.695,50.0,59.985,21.083,41,110.721,258.6,33.861,19.69,0.6014,43.708,171.583,0.82438,internal
182,4,12.897,60.0,92.557,22.022,21,73.192,123.912,18.375,13.422,2.157,28.15,139.83,0.42638,corona
183,6,12.257,50.0,94.396,20.073,28,43.048,103.478,12.829,11.723,1.7154,30.977,102.539,0.37805,corona
184,4,17.419,50.0,100.697,24.212,18,25.656,49.681,10.844,8.167,1.91,23.956,109.345,0.34639,corona
185,8,20.576,50.0,225.223,115.0,9,10.827,26.105,3.403,4.277,1.1518,19.105,78.062,0.36447,no_pd
186,1,23.154,60.0,118.267,47.146,38,79.701,188.69,24.89,23.778,0.9731,33.957,186.95,0.62689,surface
187,4,17.852,60.0,93.624,18.407,14,34.732,64.597,14.819,8.319,1.7797,28.19,142.267,0.39937,corona
188,1,19.214,50.0,278.688,38.647,40,27.513,67.949,11.507,19.884,0.7341,54.747,186.117,0.71088,internal
189,1,23.116,50.0,143.887,57.985,27,88.412,204.097,28.546,10.696,1.6423,40.405,119.799,0.58262,surface
190,1,20.656,50.0,182.553,94.218,14,13.019,28.209,5.195,7.393,1.0045,27.218,73.552,0.24892,no_pd
191,3,15.47,50.0,77.186,28.067,42,86.443,184.501,29.763,22.739,0.8583,48.912,174.578,0.81268,internal
192,8,19.229,50.0,146.807,45.196,30,113.772,215.464,33.01,16.255,1.1149,43.64,189.799,0.63822,surface
193,1,20.178,60.0,97.132,31.366,14,42.49,82.677,15.504,7.71,2.0981,26.551,150.408,0.4106,corona
194,4,22.018,50.0,70.73,27.488,47,17.672,33.786,8.296,26.564,1.1182,45.382,219.395,0.6136,internal
195,2,23.137,50.0,48.637,25.402,33,238.885,499.925,100.932,16.974,0.9787,41.451,237.972,0.63204,internal
196,6,7.909,60.0,217.872,93.179,13,8.286,10.365,4.402,7.77,0.8987,23.284,85.085,0.29877,no_pd
197,2,12.902,50.0,86.491,23.608,27,18.905,46.854,9.436,12.117,1.461,34.586,111.781,0.41873,corona
198,2,20.988,50.0,228.35,30.444,53,201.189,272.163,44.616,26.482,1.1394,40.773,181.192,0.67024,internal
199,8,13.399,50.0,158.741,73.318,31,76.328,148.986,19.626,15.927,0.9137,43.971,177.404,0.66344,surface
200,7,11.23,50.0,156.043,97.452,10,7.657,17.094,1.582,6.497,0.5879,20.753,69.432,0.31314,no_pd
201,8,10.645,50.0,131.923,56.225,30,97.248,199.294,23.166,15.39,1.1796,37.977,151.975,0.58593,surface
202,7,6.742,60.0,199.347,94.482,14,9.787,21.487,2.138,10.01,0.9038,25.408,86.543,0.27937,no_pd
203,6,23.296,50.0,227.53,33.949,54,186.849,280.813,74.107,27.71,1.1856,53.164,196.304,0.8279,internal
204,6,20.376,50.0,253.01,109.871,16,13.947,34.293,4.298,8.254,0.3119,21.43,95.042,0.20497,no_pd
205,3,20.258,50.0,167.676,115.0,10,16.008,21.475,6.135,4.042,1.078,17.889,66.174,0.24981,no_pd
206,4,21.611,60.0,82.753,25.323,19,37.745,95.291,11.821,12.741,1.6121,31.945,128.746,0.40671,corona
207,4,23.596,50.0,124.477,45.33,26,83.951,163.221,45.778,13.388,1.1063,34.172,159.467,0.62845,surface
208,1,19.709,60.0,118.076,94.31,10,6.447,10.827,3.34,5.316,1.0131,20.55,105.275,0.25988,no_pd
209,2,20.842,50.0,232.626,34.363,33,90.033,147.726,34.907,16.292,1.418,52.564,184.346,0.87801,internal
210,2,9.661,60.0,179.99,108.003,13,1.028,1.964,0.363,8.422,1.0255,22.225,98.042,0.13271,no_pd
211,8,8.513,50.0,87.788,17.132,25,0.5,0.909,0.196,11.796,1.8053,29.303,127.342,0.44136,corona
212,7,8.617,50.0,107.6,22.649,20,57.669,143.658,26.519,9.101,1.6673,27.884,112.349,0.53369,corona
213,6,15.791,50.0,84.012,22.734,22,38.196,85.196,7.501,12.206,1.8665,35.824,131.454,0.3905,corona
214,6,10.219,50.0,118.509,67.642,34,132.689,175.351,46.579,17.256,1.3906,43.86,139.993,0.42968,surface
215,3,14.003,50.0,194.535,87.28,10,17.526,25.37,5.132,5.138,0.9629,17.026,49.478,0.43477,no_pd
216,5,11.048,50.0,90.894,22.952,20,74.81,144.012,22.504,10.106,2.1658,30.571,122.067,0.49341,corona
217,3,22.147,50.0,119.463,53.421,17,80.398,184.436,22.278,6.515,1.4646,48.486,145.666,0.63635,surface
218,5,21.591,50.0,194.104,96.141,11,7.502,16.312,2.74,4.637,0.7851,16.568,76.603,0.18039,no_pd
219,8,15.221,60.0,89.938,21.926,24,41.482,85.676,17.249,16.378,1.9974,26.722,115.372,0.44299,corona
220,5,23.511,50.0,138.727,69.898,34,73.19,150.687,32.027,16.888,1.0042,51.62,146.06,0.60119,surface
221,6,6.744,60.0,83.791,24.081,23,86.245,203.27,30.953,13.232,1.7076,32.795,119.805,0.42146,corona
222,7,7.476,60.0,87.632,22.685,19,37.386,50.719,12.868,10.502,1.5358,32.788,121.742,0.31009,corona
223,8,14.604,60.0,62.385,30.053,42,242.671,387.595,43.958,23.825,0.9173,48.868,180.391,0.74118,internal
224,2,13.136,50.0,165.824,92.346,14,7.099,14.946,1.649,8.528,0.9018,24.763,107.415,0.23014,no_pd
225,5,17.973,50.0,177.904,106.521,17,4.923,7.374,1.64,8.584,0.9469,18.505,113.556,0.14261,no_pd
226,3,18.25,50.0,86.827,20.884,27,68.983,169.631,21.349,14.921,2.2425,30.628,125.947,0.38541,corona
227,5,20.679,50.0,165.114,63.417,38,161.113,248.243,79.309,19.539,1.5775,40.034,154.495,0.55321,surface
228,7,16.406,50.0,86.692,25.216,15,42.167,101.074,16.909,8.527,1.8985,24.693,102.58,0.40847,corona
229,3,7.507,50.0,206.724,108.346,5,8.778,12.937,4.446,1.04,0.9814,32.312,106.84,0.22194,no_pd
230,4,8.986,50.0,203.016,103.804,18,4.427,7.821,2.006,9.261,0.8009,17.756,92.339,0.28976,no_pd
231,4,12.492,50.0,154.669,45.569,34,0.5,1.286,0.259,16.731,1.0969,42.953,172.842,0.60451,surface
