sample_id,current_a,winding_resistance_ohm,output_power_w,loss_power_w,torque_limit_nm
90,4.9756,0.20079,198.362,42.48,0.06869
91,3.4345,0.203891,56.634,65.623,0.05101
92,13.5861,0.206794,269.665,54.147,0.08233
93,4.1778,0.199009,172.16,27.209,0.08533
94,1.4428,0.188687,27.888,23.31,0.10306
95,5.9999,0.201529,241.337,43.965,0.07578
96,2.3977,0.193305,70.929,41.891,0.10711
97,3.0935,0.198694,121.942,28.21,0.08918
98,3.0853,0.188446,129.843,17.442,0.08286
99,6.002,0.207967,297.529,67.265,0.06786
100,4.2139,0.199336,70.782,27.524,0.10481
101,3.1096,0.198131,82.12,29.088,0.09234
102,0.8905,0.186316,25.694,28.008,0.11142
103,2.236,0.197826,43.013,38.131,0.10933
104,7.1767,0.204123,215.011,38.916,0.06831
105,2.058,0.192506,50.202,22.841,0.10125
106,5.3523,0.204147,119.37,73.398,0.05125
107,4.9991,0.196982,143.906,35.546,0.07826
108,3.2353,0.188251,78.925,35.611,0.10064
109,5.3587,0.200944,259.738,61.279,0.06261
110,2.715,0.204685,67.49,64.104,0.04921
111,9.4768,0.198283,188.428,33.818,0.07324
112,6.7951,0.195837,221.695,22.92,0.08383
113,2.1719,0.194158,68.883,34.28,0.10127
114,6.1641,0.195957,187.921,33.013,0.09526
115,2.3046,0.192549,130.419,6.356,0.09232
116,4.8211,0.201808,192.322,39.997,0.06818
117,5.11,0.206459,261.337,43.105,0.07356
118,5.584,0.205494,149.81,51.644,0.06051
119,5.4721,0.208161,190.249,73.961,0.05916
120,3.7192,0.189231,206.867,15.036,0.07721
121,5.5086,0.196071,189.972,11.633,0.08176
122,4.8852,0.193076,166.41,6.934,0.08721
123,4.724,0.209091,216.512,64.35,0.05669
124,0.8722,0.196771,23.498,18.661,0.10662
125,8.4049,0.194077,162.985,40.108,0.07242
126,5.5297,0.197326,249.357,10.39,0.0807
127,0.388,0.193144,14.798,8.35,0.115
128,1.8828,0.193087,77.467,35.823,0.09978
129,1.8582,0.190635,75.928,13.725,0.1072
130,0.5371,0.185306,20.7,11.721,0.0984
131,0.7612,0.197207,20.148,17.251,0.10859
132,0.9827,0.190144,15.746,31.997,0.115
133,2.7016,0.193965,100.697,28.762,0.09576
134,8.6447,0.212445,118.771,86.497,0.049
135,7.0985,0.217386,318.604,108.556,0.07395
136,1.1489,0.198116,28.178,41.199,0.10938
137,3.9092,0.191567,169.468,17.325,0.09016
138,5.3937,0.20973,166.759,90.384,0.05376
139,8.9885,0.213395,137.838,78.38,0.05136
140,8.0372,0.19364,243.43,46.138,0.07827
141,2.5478,0.196275,89.813,31.535,0.10484
142,4.1873,0.194351,180.089,21.071,0.08395
143,4.385,0.193425,86.963,19.003,0.09763
144,0.6897,0.193104,21.166,11.554,0.11373
145,5.5909,0.212772,178.372,91.189,0.05416
146,10.4737,0.207541,300.819,81.704,0.0716
147,0.6881,0.186918,26.978,14.053,0.1127
148,4.4317,0.196252,222.915,44.282,0.07188
149,5.9567,0.209586,147.847,69.732,0.05528
150,2.5973,0.193633,116.551,38.075,0.09769
151,6.0345,0.19958,183.007,33.003,0.09028
152,8.3046,0.211421,207.538,91.002,0.05601
153,0.942,0.191546,24.499,32.347,0.10548
154,0.5173,0.188279,27.608,2.974,0.10745
155,6.1793,0.204623,224.78,72.377,0.05547
156,3.1736,0.199808,76.215,39.993,0.10927
157,5.4403,0.195241,223.737,37.554,0.07871
158,1.2908,0.191909,39.179,23.287,0.10845
159,1.5577,0.189383,20.233,17.345,0.11309
160,12.3944,0.203861,246.788,48.474,0.07072
161,4.7808,0.200307,238.662,50.001,0.07662
162,7.0565,0.208821,275.413,61.388,0.08039
163,2.3994,0.19241,102.884,40.578,0.09816
164,13.9071,0.222325,245.438,95.748,0.05514
165,4.3894,0.204598,159.286,49.811,0.06121
166,3.8222,0.199479,50.912,43.838,0.0513
167,4.9599,0.196777,253.296,42.292,0.07397
168,3.3798,0.199148,88.925,34.295,0.09496
169,2.6063,0.19358,91.283,33.018,0.08153
170,4.8229,0.210438,212.89,77.261,0.0561
171,2.7958,0.194171,59.378,41.65,0.05365
172,3.3524,0.199594,45.688,36.781,0.1096
173,6.0744,0.198802,122.617,26.294,0.09168
174,11.4317,0.222045,164.666,115.532,0.04924
175,4.9967,0.207638,106.454,76.235,0.05447
176,0.6668,0.18935,17.687,14.259,0.10235
177,9.2166,0.200829,262.197,68.891,0.06713
178,0.6345,0.188069,17.679,20.818,0.11061
179,10.5992,0.197736,217.051,40.941,0.09001
180,5.7122,0.205441,240.686,36.193,0.07291
181,6.6182,0.205181,269.65,43.311,0.07513
182,3.272,0.198948,69.707,49.933,0.05339
183,3.3744,0.199862,101.463,21.732,0.10583
184,5.5503,0.191768,217.359,53.757,0.07089
185,6.547,0.223544,191.462,124.269,0.05202
186,6.2752,0.195759,115.606,31.755,0.09846
187,3.4891,0.196193,77.744,46.629,0.10171
188,3.1994,0.197502,160.093,31.74,0.0894
189,3.3417,0.207106,121.414,77.855,0.05235
190,4.0911,0.195129,188.515,8.39,0.08279
191,3.5912,0.198872,160.775,53.774,0.06351
192,5.9831,0.198837,315.489,40.253,0.07359
193,2.605,0.197477,104.734,20.898,0.09715
194,9.9515,0.207944,170.167,72.57,0.05512
195,9.1619,0.201728,274.524,56.556,0.0773
196,6.4574,0.191839,262.79,42.785,0.07351
197,3.4013,0.210761,160.469,46.373,0.0583
198,5.6807,0.197096,173.101,37.847,0.09232
199,4.7281,0.203739,108.609,62.745,0.05414
200,8.6652,0.206644,134.991,77.578,0.0555
201,6.3848,0.205864,311.778,70.091,0.07059
202,2.302,0.187613,55.7,27.503,0.097
203,3.0073,0.190118,49.151,24.422,0.10112
204,9.7033,0.219682,242.23,108.433,0.05642
205,1.0958,0.188763,20.778,18.411,0.11019
206,9.1495,0.207425,252.102,70.26,0.06589
207,6.4514,0.201155,263.669,41.91,0.07644
208,3.6409,0.191151,57.862,30.903,0.10372
209,3.8154,0.215917,108.391,75.891,0.04945
210,0.8732,0.187166,8.922,11.573,0.11214
211,4.0397,0.193592,158.322,36.969,0.09643
212,3.9383,0.205582,111.977,76.317,0.05221
213,1.9068,0.189403,37.127,31.581,0.11375
214,3.1474,0.200053,107.002,43.466,0.10388
215,15.8602,0.236922,229.474,146.102,0.05091
216,4.8664,0.197696,141.752,33.733,0.08495
217,0.1805,0.183604,6.208,0.259,0.11482
218,3.5391,0.196982,187.473,27.275,0.07331
219,4.2061,0.203345,184.712,69.891,0.05716
220,4.3545,0.192963,185.258,23.432,0.07372
221,4.9545,0.201745,192.947,43.494,0.06145
222,4.3397,0.197864,152.727,53.03,0.06173
223,0.9907,0.198928,29.494,18.501,0.10553
224,5.3596,0.192904,155.599,38.106,0.06497
225,4.528,0.212962,148.162,67.818,0.05306
226,5.8546,0.195018,186.453,22.61,0.0824
227,1.3963,0.192835,74.082,10.009,0.10697
228,1.0061,0.191666,29.585,17.899,0.11478
229,0.9031,0.194085,28.41,14.295,0.10779
230,0.5821,0.19231,16.241,11.921,0.10411
231,3.4855,0.195017,88.375,38.659,0.0933
232,6.2173,0.202252,260.3,37.714,0.07851
233,1.9371,0.191229,43.579,27.33,0.10174
234,4.9937,0.194163,216.716,22.028,0.08812
235,4.3332,0.198576,124.918,32.217,0.10021
236,9.729,0.194392,185.036,47.541,0.09606
237,8.3488,0.194613,171.076,30.633,0.08608
238,3.4831,0.199587,136.337,30.444,0.09627
239,8.261,0.202168,255.843,46.876,0.06878
240,1.8806,0.18895,78.699,34.036,0.09806
241,4.8254,0.197447,109.811,63.545,0.05662
242,8.9607,0.228401,187.493,129.426,0.049
243,6.1244,0.193342,113.141,33.399,0.10053
244,3.9607,0.194396,172.762,18.326,0.08507
245,6.0507,0.20571,223.016,68.436,0.05917
246,4.1405,0.193058,132.739,17.811,0.08757
247,3.9962,0.2006,200.979,37.837,0.08951
248,2.2454,0.192781,31.061,21.886,0.10358
249,7.0555,0.20944,318.231,105.183,0.07153
250,4.1002,0.213882,154.531,91.225,0.05094
251,9.4473,0.197674,195.123,35.757,0.08284
252,1.0514,0.187048,31.864,19.144,0.10887
253,3.5785,0.195789,61.519,23.797,0.1026
254,6.9659,0.215036,157.181,92.93,0.0531
255,3.0346,0.185207,112.516,34.131,0.09026
256,11.5811,0.206628,225.664,53.677,0.06819
257,8.0918,0.189143,164.553,26.322,0.08629
258,7.9154,0.196906,247.706,35.614,0.07401
259,1.7475,0.195668,79.887,24.3,0.09443
260,3.7305,0.19962,167.583,53.446,0.06019
261,5.4453,0.194206,162.935,36.918,0.09075
262,4.9962,0.210555,164.167,76.327,0.05186
263,7.534,0.203858,222.294,45.39,0.06795
264,4.2259,0.199977,63.291,38.348,0.10073
265,4.3018,0.201971,205.714,51.007,0.06206
266,6.5444,0.201286,319.595,74.094,0.07036
267,0.9565,0.187678,21.384,13.794,0.11438
268,0.9546,0.187416,18.114,27.828,0.10181
269,1.8559,0.196816,52.359,12.71,0.10143
270,3.7236,0.189085,193.072,29.338,0.08279
271,10.8134,0.222109,180.307,79.182,0.05529
272,3.7852,0.191694,111.543,25.06,0.09594
273,7.9978,0.214692,298.133,83.784,0.06668
274,2.356,0.195262,93.316,47.027,0.10212
275,1.8622,0.195095,30.744,36.865,0.10896
276,4.2223,0.191082,164.357,37.679,0.08456
277,3.5995,0.18962,154.365,20.022,0.09211
278,3.2031,0.200381,154.41,37.804,0.0686
279,0.6911,0.187788,13.193,11.64,0.10762
280,2.0626,0.192738,61.097,38.568,0.10787
281,5.2523,0.223723,179.579,134.926,0.049
282,9.3928,0.216511,133.079,90.577,0.049
283,8.5097,0.200059,267.919,36.52,0.07121
284,0.5134,0.189776,12.212,6.54,0.1087
285,2.2184,0.200639,88.059,17.715,0.07131
286,6.0227,0.211054,212.709,77.277,0.05849
287,6.9298,0.223161,210.715,119.2,0.0518
288,3.9283,0.198661,162.124,26.161,0.0748
289,5.19,0.20228,259.896,52.807,0.07941
290,3.9495,0.19204,159.87,28.373,0.09435
291,4.2144,0.209159,120.778,78.508,0.049
292,3.0266,0.190517,40.444,31.306,0.11264
293,2.4486,0.19299,98.447,49.601,0.1017
294,2.2287,0.192585,78.98,29.47,0.10271
295,1.0471,0.188864,40.615,22.542,0.11238
296,4.7418,0.195644,145.709,25.809,0.09094
297,6.958,0.19255,141.685,25.948,0.09163
298,4.1129,0.210322,177.899,66.647,0.058
299,5.3239,0.193661,227.651,28.466,0.07608
300,2.3999,0.189939,77.93,37.822,0.10703
