scenario_id,bus_0_vm_pu,bus_1_vm_pu,bus_2_vm_pu,bus_3_vm_pu,bus_4_vm_pu,bus_5_vm_pu,bus_0_va_degree,bus_1_va_degree,bus_2_va_degree,bus_3_va_degree,bus_4_va_degree,bus_5_va_degree,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,ac_line_1_loading_percent,ac_line_2_loading_percent,ac_line_3_loading_percent,ac_line_4_loading_percent,ac_line_5_loading_percent,ac_line_6_loading_percent,ac_line_7_loading_percent,voltage_violation,line_overload
16,1.02,1.01721,1.00824,1.02142,1.01071,1.00724,0.0,-1.7505,-3.0252,-2.3819,-3.0871,-3.3086,64.30846,40.70292,23.12305,0.8485,39.29912,9.51853,7.51145,74.33,47.236,32.305,6.274,50.466,12.627,8.747,0,0
17,1.02,1.02046,1.01215,1.02741,1.0154,1.0115,0.0,-2.1755,-3.586,-3.0774,-3.7036,-3.9004,78.25956,44.68225,32.83556,2.29355,36.86514,8.93387,8.23766,92.188,51.307,47.179,8.72,50.307,12.679,9.664,0,0
18,1.02,1.01243,0.99951,1.0158,1.00251,0.99825,0.0,-2.3593,-4.0139,-3.2735,-4.0826,-4.3421,88.29688,52.72641,34.67683,0.8055,45.19541,11.0776,8.59104,101.093,61.918,44.371,7.393,59.712,15.002,10.062,0,1
19,1.02,1.0099,0.99959,1.00828,1.0001,0.99743,0.0,-1.2523,-2.3356,-1.5903,-2.3194,-2.5828,49.72646,35.15479,14.278,-0.72854,37.91214,10.38925,6.89424,58.017,42.163,16.506,1.634,46.478,12.747,8.398,0,0
20,1.02,1.00712,0.99417,1.00559,0.99568,0.99156,0.0,-2.1554,-3.6427,-3.0219,-3.7177,-4.0379,83.23853,47.45103,34.98704,1.63897,37.29104,12.94247,10.61048,95.685,56.558,40.96,4.711,48.068,16.607,12.626,0,0
21,1.02,1.01095,0.99765,1.01405,1.0011,0.9964,0.0,-3.0449,-5.0023,-4.3588,-5.1284,-5.4096,113.5761,61.40289,50.69363,2.38352,43.06683,12.0125,10.51514,130.076,71.62,62.781,9.203,57.419,16.366,12.375,0,1
22,1.02,1.00939,0.99594,1.0103,0.99789,0.99358,0.0,-2.2059,-3.8064,-3.0308,-3.8951,-4.2131,84.08005,51.06867,32.20147,1.87548,46.70148,13.0138,10.84551,96.221,60.527,39.071,5.769,59.992,16.842,12.803,0,0
23,1.02,1.01735,1.00776,1.02232,1.01101,1.00678,0.0,-1.9994,-3.42,-2.7469,-3.4617,-3.7291,73.23058,45.18623,27.41633,-0.1364,40.17404,11.51153,8.14932,84.799,52.321,38.207,7.621,52.087,15.255,9.51,0,0
24,1.02,1.02134,1.01626,1.02611,1.01859,1.01547,0.0,-1.3583,-2.3018,-1.8716,-2.3396,-2.5376,48.29381,29.80516,18.1984,0.15733,26.62365,8.64544,6.33414,57.73,34.12,27.916,5.7,34.497,11.398,7.342,0,0
25,1.02,1.01111,0.99676,1.01514,1.00005,0.9947,0.0,-3.0758,-5.0489,-4.4058,-5.2255,-5.5358,114.62739,62.2408,50.87881,4.0084,46.7148,13.30339,12.73606,131.311,72.864,63.965,10.06,63.951,18.297,14.917,0,1
26,1.02,1.02024,1.01442,1.02467,1.0167,1.01355,0.0,-1.5218,-2.55,-2.1207,-2.6015,-2.8004,54.70064,32.51163,21.82616,0.62086,27.43341,8.65952,6.7146,64.512,37.299,31.179,5.743,35.918,11.455,7.783,0,0
27,1.02,1.00489,0.99017,1.00284,0.99145,0.98794,0.0,-2.3197,-3.9434,-3.2436,-4.027,-4.2811,90.05681,51.75003,37.36364,1.99139,41.87759,10.30999,9.00178,103.872,62.1,43.679,4.528,54.449,13.538,10.773,0,1
28,1.02,1.00293,0.98759,1.00023,0.9887,0.9854,0.0,-2.9186,-4.8097,-4.1983,-4.9725,-5.1949,112.24695,59.31488,51.47625,4.44559,41.34774,9.09603,10.08878,129.026,70.6,60.3,6.754,54.25,12.227,12.008,0,1
29,1.02,1.01192,1.00194,1.01224,1.00322,1.00052,0.0,-1.8623,-3.1494,-2.5966,-3.2288,-3.4247,70.66184,41.02766,29.06296,1.90914,34.32647,8.12681,7.36754,80.803,48.169,34.798,4.443,43.91,10.552,8.632,0,0
30,1.02,1.01945,1.00778,1.02875,1.0126,1.00624,0.0,-2.9184,-4.836,-4.1164,-4.9763,-5.3268,105.61663,60.65663,43.6267,2.28649,50.37442,15.51577,12.93029,123.549,69.808,62.671,12.076,68.211,21.307,15.048,0,1
31,1.02,1.0144,1.0047,1.01663,1.00652,1.00277,0.0,-1.7285,-3.0057,-2.3448,-3.0359,-3.3175,64.7611,40.83078,23.44941,0.13391,37.95249,11.67834,8.4984,74.168,47.745,29.985,4.551,48.573,14.915,9.987,0,0
32,1.02,1.01307,1.0019,1.01579,1.00385,0.99964,0.0,-2.4292,-4.0114,-3.4548,-4.1756,-4.4494,90.54462,50.07132,39.53162,4.25707,40.36444,11.5774,11.71273,103.782,58.377,49.252,7.806,53.443,15.364,13.687,0,1
33,1.02,1.01601,1.00359,1.02269,1.00702,1.00076,0.0,-2.8095,-4.676,-3.9606,-4.8765,-5.2435,103.05724,59.04662,42.77133,4.7643,52.11648,15.8907,15.19033,119.087,68.439,57.804,10.929,69.106,21.555,17.694,0,1
34,1.02,1.02244,1.01707,1.02835,1.0198,1.01708,0.0,-1.2457,-2.1936,-1.6551,-2.1904,-2.3574,43.71791,30.10616,13.36515,-1.33875,30.52137,7.35038,4.20724,53.246,34.467,25.493,6.33,39.374,9.79,5.165,0,0
35,1.02,1.00844,0.99356,1.01027,0.99603,0.99116,0.0,-2.8837,-4.7991,-4.0938,-4.9707,-5.281,108.78167,60.46935,46.95872,4.18382,48.36317,12.97611,12.65167,124.391,71.307,57.34,8.67,64.155,17.46,14.895,0,1
36,1.02,1.01572,1.00361,1.02171,1.00754,1.0026,0.0,-2.6417,-4.4417,-3.6924,-4.5311,-4.8251,97.11133,56.97359,39.04029,1.05141,47.57067,12.72161,9.95675,112.065,66.085,52.669,9.541,62.894,17.212,11.692,0,1
37,1.02,1.00665,0.99561,1.0027,0.99533,0.99268,0.0,-1.3133,-2.3891,-1.7168,-2.4089,-2.658,53.39345,35.00512,18.03357,0.72871,35.38317,9.80488,7.64363,63.799,42.546,21.769,1.219,43.306,12.192,9.627,0,0
38,1.02,1.01576,1.00562,1.01969,1.00757,1.00303,0.0,-1.9444,-3.3259,-2.6752,-3.4291,-3.7324,71.9356,44.12633,27.21065,2.37074,42.27248,12.84532,11.1189,82.77,51.414,36.467,6.144,55.23,16.828,13.044,0,0
39,1.02,1.01666,1.00915,1.01913,1.01089,1.00821,0.0,-1.4764,-2.5457,-2.0128,-2.5743,-2.7713,54.68007,34.13163,20.20259,0.12383,31.03202,8.27317,6.04418,62.925,39.63,26.51,4.369,39.623,10.614,7.019,0,0
40,1.02,1.01804,1.00783,1.02465,1.01148,1.00637,0.0,-2.5939,-4.2636,-3.6871,-4.3823,-4.6561,94.42716,52.74072,40.63277,2.12183,40.58781,12.17561,10.42056,109.829,60.787,55.24,9.483,55.362,16.937,12.103,0,1
41,1.02,1.00581,0.9909,1.00487,0.99266,0.98877,0.0,-2.4682,-4.1915,-3.4517,-4.3023,-4.5829,94.97389,54.73374,39.19981,2.61269,45.51211,11.41308,10.28569,109.074,65.311,46.29,5.973,58.853,14.957,12.18,0,1
42,1.02,1.0185,1.0098,1.02436,1.01298,1.00823,0.0,-2.5463,-4.1034,-3.676,-4.2601,-4.5154,92.51273,48.94909,42.54856,3.5509,34.33482,11.38154,10.99536,107.805,56.239,56.288,9.46,47.28,15.804,12.737,0,1
43,1.02,1.00445,0.99126,1.00045,0.99144,0.98873,0.0,-1.8091,-3.156,-2.4707,-3.2096,-3.4511,72.03811,43.33058,28.08325,1.55674,38.29633,9.50515,8.08565,84.561,52.476,32.789,2.266,48.067,11.983,9.893,0,0
44,1.02,1.02222,1.01476,1.02961,1.01841,1.014,0.0,-1.4928,-2.6603,-1.9633,-2.6487,-2.9463,52.7581,37.36031,15.04554,-2.0169,39.26131,12.83088,7.59254,63.596,42.941,30.295,8.287,50.894,16.547,8.843,0,0
45,1.02,1.01482,1.00314,1.02001,1.00562,1.00032,0.0,-2.9124,-4.7331,-4.1912,-4.9783,-5.256,107.25589,57.32404,48.59689,6.57537,45.20634,12.2843,14.05797,123.586,66.414,62.46,10.965,61.345,17.352,16.415,0,1
46,1.02,1.00795,0.99767,1.00447,0.99795,0.99586,0.0,-1.0486,-1.99,-1.3078,-1.9541,-2.1804,43.35893,30.97331,12.14364,-1.23626,32.94509,8.79926,5.34566,52.736,37.933,15.479,1.627,39.944,10.719,6.643,0,0
47,1.02,1.01535,1.00667,1.01773,1.00866,1.00543,0.0,-1.8203,-3.0349,-2.561,-3.1166,-3.329,67.64651,38.70228,28.41688,1.68909,31.2011,9.04679,7.84741,77.682,45.038,35.876,5.702,41.031,11.943,9.116,0,0
48,1.02,1.01472,1.00401,1.01819,1.00687,1.00284,0.0,-2.0281,-3.4605,-2.7994,-3.5048,-3.7458,75.403,45.7198,29.0285,0.11111,39.45366,10.41274,7.56143,86.548,53.389,37.941,6.837,51.612,14.119,8.813,0,0
49,1.02,1.00842,0.99405,1.00976,0.99653,0.99206,0.0,-2.8038,-4.6531,-3.9895,-4.8023,-5.0841,105.92316,58.40256,46.23712,3.49438,44.84224,11.82154,11.27373,121.124,68.869,56.074,8.097,59.547,15.96,13.251,0,1
50,1.02,1.006,0.98995,1.00678,0.993,0.98803,0.0,-3.0871,-5.1332,-4.3961,-5.2293,-5.5509,117.05156,64.30592,51.17671,1.58903,45.83402,13.3371,10.8359,133.912,76.101,61.624,7.906,61.381,17.931,12.79,0,1
51,1.02,1.00785,0.99507,1.00702,0.99647,0.99298,0.0,-2.3455,-3.8846,-3.3436,-4.0232,-4.2614,89.73028,48.93181,39.87413,3.64942,37.05589,9.85326,9.99545,102.802,58.025,47.058,6.31,48.724,13.05,11.794,0,1
52,1.02,1.00921,0.99861,1.00738,0.99938,0.99671,0.0,-1.5754,-2.7437,-2.1438,-2.7637,-2.9918,61.58386,37.65324,23.48846,0.27866,32.85086,9.16231,6.81384,71.144,44.958,27.219,2.297,41.347,11.532,8.198,0,0
53,1.02,1.01749,1.00941,1.02108,1.01151,1.0085,0.0,-1.4217,-2.5123,-1.8928,-2.5258,-2.7313,52.33297,35.02283,16.9912,-0.51533,35.25227,8.74309,5.86897,60.442,40.755,24.623,5.013,45.233,11.394,6.817,0,0
54,1.02,1.0164,1.00855,1.0188,1.01071,1.00757,0.0,-1.3335,-2.3604,-1.7738,-2.3528,-2.5893,49.6551,33.01009,16.36104,-1.20597,31.72344,9.88015,6.13419,57.014,38.536,22.079,5.082,40.067,12.568,7.123,0,0
55,1.02,1.0169,1.00488,1.02412,1.00932,1.00411,0.0,-2.8658,-4.7463,-4.0533,-4.8663,-5.1576,104.738,59.40727,44.04359,1.79813,46.98623,12.79106,10.59572,121.371,68.673,59.979,10.995,63.356,17.592,12.508,0,1
56,1.02,1.0064,0.99644,1.00142,0.99584,0.99382,0.0,-1.2752,-2.2227,-1.7368,-2.2739,-2.4668,52.14756,30.93716,20.86769,1.84367,27.34331,7.58346,6.93682,62.717,37.745,25.523,2.504,33.409,9.426,8.726,0,0
57,1.02,1.01563,1.00408,1.02127,1.00796,1.00237,0.0,-2.768,-4.5497,-3.9436,-4.6802,-5.0197,101.70979,56.23246,44.27308,2.37279,42.33187,14.62883,12.37707,117.389,65.121,58.071,10.1,57.134,19.626,14.422,0,1
58,1.02,1.01771,1.00967,1.02151,1.0121,1.00839,0.0,-1.4799,-2.6071,-1.9759,-2.6177,-2.8757,54.32956,36.09298,17.8917,-0.7587,35.58625,10.94551,7.25415,62.854,41.897,25.939,5.713,45.296,14.143,8.414,0,0
59,1.02,1.01784,1.0112,1.02046,1.01284,1.01029,0.0,-0.9873,-1.8394,-1.2432,-1.8284,-2.0341,36.53406,27.53926,8.84014,-1.0864,31.81308,8.54084,5.27078,42.101,32.149,14.33,3.997,39.496,10.709,6.118,0,0
60,1.02,1.00943,0.99574,1.0111,0.99757,0.99263,0.0,-2.7582,-4.5579,-3.9348,-4.7644,-5.0648,103.87982,56.85043,45.79496,5.56369,45.88529,12.70932,13.5662,118.794,66.856,55.78,8.942,60.869,17.302,16.038,0,1
61,1.02,1.01935,1.01126,1.02494,1.01419,1.0106,0.0,-1.9361,-3.2622,-2.6899,-3.3408,-3.5551,70.07444,42.03512,27.45234,1.18637,37.06127,9.3815,7.67902,82.008,48.372,39.185,7.416,48.457,12.629,9.006,0,0
62,1.02,1.01092,0.9998,1.01152,1.0008,0.99707,0.0,-2.2693,-3.72,-3.253,-3.9184,-4.1417,85.703,46.0697,38.79312,5.7247,36.823,9.53786,11.42648,98.004,54.106,46.563,7.97,48.632,13.038,13.496,0,0
63,1.02,1.01893,1.00866,1.0272,1.01271,1.0076,0.0,-3.2801,-5.2427,-4.7655,-5.4851,-5.7257,118.95431,61.41342,55.85715,5.87692,42.72274,11.0343,12.58971,138.823,70.441,74.498,13.016,59.305,16.053,14.742,0,1
64,1.02,1.01715,1.00821,1.02158,1.01064,1.00736,0.0,-2.1414,-3.5309,-3.0372,-3.6667,-3.8477,78.44216,44.02577,33.69614,3.20815,35.97868,8.00266,8.3061,90.806,50.88,44.431,7.722,47.949,11.113,9.724,0,0
65,1.02,1.00445,0.98902,1.00288,0.99004,0.98638,0.0,-2.6647,-4.4783,-3.7653,-4.6289,-4.8948,102.56124,57.32853,44.01804,4.12929,46.29268,10.75932,11.03274,117.858,68.407,51.788,6.27,60.531,14.139,13.168,0,1
66,1.02,1.0065,0.99464,1.00315,0.99436,0.99136,0.0,-1.5333,-2.7187,-2.0571,-2.8154,-3.0824,61.30019,38.41715,22.42958,3.09108,39.21251,10.56483,10.07718,72.088,46.543,26.19,3.709,48.617,13.26,12.311,0,0
67,1.02,1.0112,0.99904,1.01245,1.00153,0.99717,0.0,-1.8212,-3.2238,-2.4383,-3.2247,-3.5378,69.50383,45.09569,23.8548,-1.07855,42.46449,12.95499,8.44153,79.535,53.485,29.473,5.795,53.975,16.796,9.962,0,0
68,1.02,1.01259,1.00257,1.01336,1.00432,1.00098,0.0,-1.5981,-2.8065,-2.1513,-2.8258,-3.068,60.88443,38.82896,21.63119,-0.17926,36.31907,10.06326,7.08836,69.642,45.798,26.362,4.318,45.742,13.012,8.355,0,0
69,1.02,1.01194,1.00108,1.0128,1.00278,0.99955,0.0,-1.687,-2.9596,-2.2751,-2.9845,-3.2104,64.36246,40.94098,22.94711,0.01926,38.46124,9.41921,6.78431,73.641,48.444,28.013,4.253,49.044,12.322,8.016,0,0
70,1.02,1.00773,0.99505,1.00641,0.9964,0.99232,0.0,-1.977,-3.4258,-2.7091,-3.4685,-3.77,76.5974,46.30977,29.6084,0.72062,40.24848,12.30046,9.41793,88.15,55.187,34.644,3.757,50.947,15.948,11.361,0,0
71,1.02,1.00555,0.99355,1.00137,0.99354,0.99083,0.0,-1.3787,-2.5063,-1.8061,-2.5189,-2.7686,56.22209,36.76281,19.06257,0.38871,36.48918,9.81939,7.38046,67.464,44.973,23.034,0.743,44.94,12.274,9.251,0,0
72,1.02,1.01377,1.00119,1.01806,1.0041,0.99923,0.0,-2.3318,-3.9761,-3.2251,-4.0782,-4.3737,86.74495,52.43699,33.44233,1.89607,47.79282,12.65584,10.59352,99.509,61.401,44.07,7.767,62.908,17.101,12.381,0,0
73,1.02,1.01157,0.99882,1.0144,1.00114,0.99681,0.0,-2.7079,-4.4566,-3.8684,-4.6413,-4.8892,101.19995,55.27945,44.74637,4.70923,43.43376,10.68633,11.42873,115.874,64.68,55.528,8.872,58.217,14.775,13.37,0,1
74,1.02,1.01423,1.00181,1.01966,1.00466,1.00019,0.0,-3.1052,-5.029,-4.4837,-5.2827,-5.4838,114.45824,60.50106,52.43914,6.66546,46.09718,9.19614,11.91205,131.782,70.159,67.193,11.646,63.133,13.792,13.917,0,1
75,1.02,1.01856,1.00818,1.02584,1.012,1.00694,0.0,-2.6723,-4.3941,-3.7958,-4.532,-4.8101,97.05397,54.37765,41.55841,2.65099,42.97953,12.32202,10.94574,113.13,62.612,57.247,10.169,58.396,16.993,12.758,0,1
76,1.02,1.01333,1.00339,1.01504,1.00526,1.00184,0.0,-2.0783,-3.472,-2.9254,-3.5611,-3.7981,77.81136,44.19672,32.92048,1.95504,35.12162,9.94166,8.70339,89.101,51.536,40.496,5.657,45.608,12.984,10.149,0,0
77,1.02,1.01588,1.00593,1.02011,1.00834,1.00399,0.0,-2.3493,-3.8539,-3.3509,-4.0219,-4.2583,86.48912,47.63126,37.98846,4.21646,38.29361,10.43266,10.85277,99.748,55.184,49.095,8.549,51.273,14.533,12.614,0,0
78,1.02,1.00694,0.99637,1.00279,0.99648,0.99399,0.0,-1.0953,-2.0458,-1.3916,-2.005,-2.2508,45.4964,31.2835,13.94302,-1.30946,31.25215,9.62836,5.8855,55.692,38.47,17.941,1.653,38.067,11.869,7.543,0,0
79,1.02,1.01694,1.00544,1.02364,1.00948,1.00484,0.0,-2.7084,-4.4601,-3.8485,-4.5944,-4.8306,99.02483,55.48136,42.39337,2.4289,43.46605,10.58641,9.5227,114.732,64.2,57.377,10.482,59.429,15.046,11.281,0,1
80,1.02,1.01115,0.99788,1.01402,1.00076,0.9958,0.0,-2.7324,-4.534,-3.8783,-4.6743,-4.9575,102.25057,56.94287,44.10981,3.07201,44.44035,12.20005,11.20323,117.037,66.702,54.846,8.538,59.077,16.867,13.132,0,1
81,1.02,1.00651,0.99059,1.00767,0.99347,0.98846,0.0,-3.1168,-5.1855,-4.4343,-5.3301,-5.6434,117.91652,64.95961,51.36565,3.15588,48.96024,13.08265,11.90385,134.861,76.721,62.111,8.59,64.732,17.751,14.041,0,1
82,1.02,1.0125,1.00166,1.01383,1.00284,0.99949,0.0,-1.6616,-2.9483,-2.2159,-3.0123,-3.2652,63.20388,41.38132,21.36545,1.47028,43.06476,10.4139,8.66179,72.283,48.879,26.596,3.913,54.566,13.365,10.269,0,0
83,1.02,1.00793,0.99431,1.00785,0.99567,0.99193,0.0,-2.4064,-4.0503,-3.3842,-4.2105,-4.4656,91.87987,52.22614,38.68545,4.32214,44.64823,10.54329,11.02797,105.213,61.92,46.089,6.95,57.885,13.973,13.032,0,1
84,1.02,1.01479,1.00199,1.02104,1.0059,1.00104,0.0,-3.1325,-5.0874,-4.5109,-5.2693,-5.5065,115.22401,61.60362,52.07803,3.94986,44.43696,10.66071,10.78831,132.838,71.444,67.768,11.249,62.005,15.457,12.722,0,1
85,1.02,1.00687,0.99319,1.00575,0.99437,0.99075,0.0,-2.2738,-3.8527,-3.1823,-3.9637,-4.2388,87.58284,50.29217,36.40601,2.88775,42.00757,11.13739,10.31295,100.585,59.934,42.837,5.18,54.44,14.402,12.26,0,1
86,1.02,1.00923,0.99937,1.00657,0.99978,0.99768,0.0,-0.9972,-1.9089,-1.2299,-1.8823,-2.0907,40.9263,30.03864,10.67622,-1.00828,33.51327,8.21369,5.10559,49.293,36.686,13.19,1.611,40.711,10.099,6.316,0,0
87,1.02,1.01,0.99669,1.01178,0.9986,0.99498,0.0,-2.6312,-4.4128,-3.7049,-4.5483,-4.7777,99.08085,56.26177,41.69602,3.34504,46.35029,9.65786,9.60756,113.311,66.044,51.012,6.885,60.721,13.021,11.272,0,1
88,1.02,1.00288,0.9867,1.00039,0.98744,0.98342,0.0,-2.603,-4.402,-3.6641,-4.5715,-4.8461,101.00518,57.00881,42.80807,4.80751,48.0772,11.16677,11.8682,116.589,68.521,50.09,6.685,62.434,14.931,14.327,0,1
89,1.02,1.00611,0.99266,1.00382,0.99395,0.9904,0.0,-1.8913,-3.2966,-2.5816,-3.3304,-3.6059,74.24527,45.21308,28.38412,0.46972,39.49939,11.10376,8.3582,86.131,54.5,32.973,3.494,50.156,14.295,10.052,0,0
90,1.02,1.01272,1.00006,1.01629,1.00347,0.99871,0.0,-2.4874,-4.1693,-3.4954,-4.2442,-4.5495,92.78691,53.44833,38.35024,0.81346,42.21086,12.93161,9.9234,106.319,62.588,48.835,8.31,56.391,17.217,11.624,0,1
91,1.02,1.01419,1.00157,1.01974,1.00489,0.99993,0.0,-3.0946,-5.0404,-4.4481,-5.2388,-5.4858,114.08622,61.2081,51.37023,4.72241,45.6293,11.03593,11.67819,131.341,71.0,66.109,10.709,62.483,15.903,13.642,0,1
92,1.02,1.00537,0.98997,1.00435,0.99217,0.98828,0.0,-2.4211,-4.1445,-3.3637,-4.2091,-4.4743,93.47394,54.86693,37.59637,1.00272,45.21982,10.88806,8.61978,107.513,65.716,44.362,5.756,58.559,14.493,10.209,0,1
93,1.02,1.01177,0.99829,1.01585,1.00126,0.99632,0.0,-3.1439,-5.1589,-4.5018,-5.3582,-5.6242,116.82146,63.21512,52.03739,4.87369,48.14034,11.6079,12.21304,133.954,73.618,65.324,10.183,64.289,16.35,14.283,0,1
94,1.02,1.01617,1.00583,1.02109,1.00827,1.00409,0.0,-2.48,-4.0727,-3.5336,-4.2528,-4.4697,91.08518,50.36444,39.75378,4.57985,41.21853,9.66539,10.59145,105.198,58.291,51.976,8.95,55.396,13.695,12.296,0,1
95,1.02,1.01005,0.99713,1.01123,0.99913,0.99509,0.0,-2.3008,-3.8898,-3.2166,-4.005,-4.2763,87.20153,50.61137,35.72017,2.67884,43.17728,11.30681,10.25951,99.72,59.768,43.436,6.475,56.321,14.964,12.061,0,0
96,1.02,1.01594,1.00286,1.02354,1.0068,1.00139,0.0,-3.2321,-5.2771,-4.6297,-5.4869,-5.7644,118.37661,64.44855,52.29043,4.82475,50.15282,12.34866,12.694,136.887,74.584,69.757,11.96,69.269,17.535,14.855,0,1
97,1.02,1.01772,1.00973,1.02155,1.01125,1.00788,0.0,-1.5777,-2.7036,-2.1614,-2.8052,-3.0205,57.84903,36.03555,21.42191,2.53922,36.23667,9.25943,8.6819,66.972,41.818,29.826,5.444,47.161,12.276,10.122,0,0
98,1.02,1.01774,1.0101,1.02161,1.01237,1.00873,0.0,-1.955,-3.2304,-2.7656,-3.3344,-3.5651,71.45472,40.2656,30.58926,2.2804,32.12712,9.95501,8.96895,82.881,46.387,40.131,6.703,41.987,13.185,10.385,0,0
99,1.02,1.01849,1.00935,1.02424,1.01221,1.00751,0.0,-2.1034,-3.53,-2.9354,-3.6571,-3.9564,76.49109,45.29751,30.50052,2.75078,41.07862,12.89032,11.4446,89.092,52.269,42.766,8.222,53.908,17.003,13.24,0,0
100,1.02,1.01064,0.99622,1.01403,0.99931,0.99472,0.0,-2.8461,-4.7533,-4.0205,-4.9117,-5.1797,106.5501,60.3207,44.92903,3.52591,49.62584,11.46748,11.03822,121.938,70.827,56.376,9.303,65.835,15.783,12.975,0,1
101,1.02,1.02025,1.01192,1.02681,1.01521,1.01112,0.0,-1.9117,-3.2435,-2.6379,-3.304,-3.5575,68.79691,42.36724,25.85708,0.44697,38.41956,11.03675,8.27371,81.01,48.755,39.135,7.902,50.896,14.638,9.665,0,0
