sample_id,profile_id,voltage_kv,frequency_hz,phase_mean_deg,phase_std_deg,pulse_count,mean_charge_pc,max_charge_pc,charge_iqr_pc,repetition_rate_hz,positive_negative_ratio,waveform_rise_ns,waveform_width_ns,prpd_entropy,defect_class,defect_code,has_partial_discharge,risk_score,high_risk,phase_cluster_low_deg,phase_cluster_high_deg,noise_floor_pc
15,7,14.357,50.0,164.22,96.913,8,16.543,22.685,4.735,4.088,0.8144,21.339,77.331,0.14008,no_pd,0,0,0.0547,0,67.307,261.133,0.507
16,3,13.734,50.0,153.746,53.893,26,87.065,122.38,34.845,13.295,1.1622,41.89,165.162,0.64065,surface,2,1,0.81529,1,99.854,207.639,4.342
17,3,15.719,50.0,176.396,103.376,15,7.901,19.258,3.587,8.401,0.8007,21.675,106.39,0.23769,no_pd,0,0,0.13266,0,73.02,279.771,0.61
18,8,20.756,50.0,96.733,20.98,25,0.5,0.765,0.198,10.84,1.4426,33.163,99.687,0.39986,corona,1,1,0.33716,0,75.753,117.713,2.448
19,5,21.583,50.0,79.828,25.148,20,61.133,141.575,28.09,10.88,1.9727,30.799,119.836,0.4232,corona,1,1,0.50646,0,54.68,104.977,0.935
20,6,17.025,50.0,234.467,102.35,14,3.118,7.639,0.802,6.112,0.7637,21.714,69.374,0.28774,no_pd,0,0,0.14854,0,132.117,336.817,2.423
21,1,10.51,50.0,137.197,69.53,28,106.31,221.778,40.714,15.478,0.8739,42.664,133.545,0.52698,surface,2,1,0.78086,1,67.666,206.727,2.743
22,1,11.322,60.0,145.501,51.434,35,101.436,208.189,31.09,23.082,1.0626,36.78,144.096,0.62241,surface,2,1,0.78904,1,94.067,196.936,2.256
23,3,12.296,50.0,226.439,83.099,7,10.635,15.067,3.696,3.776,1.3259,22.819,114.356,0.21578,no_pd,0,0,0.08182,0,143.34,309.538,2.628
24,6,6.927,50.0,105.832,47.477,32,169.947,417.858,87.253,16.92,1.3844,42.627,152.08,0.60402,surface,2,1,0.97459,1,58.355,153.309,2.205
25,6,10.079,50.0,100.261,18.478,26,30.69,41.765,9.891,11.35,1.3919,25.592,138.537,0.4928,corona,1,1,0.40382,0,81.783,118.739,3.015
26,1,21.049,50.0,63.498,28.594,54,93.263,177.313,36.912,26.547,1.0321,60.12,193.069,0.85691,internal,3,1,1.0,1,34.904,92.091,0.943
27,4,16.3,50.0,108.733,24.067,16,28.552,64.358,11.409,8.137,1.6014,29.794,127.319,0.41229,corona,1,1,0.35613,0,84.665,132.8,2.95
28,6,6.735,50.0,94.112,28.219,10,75.747,106.528,33.7,3.234,1.8261,37.589,117.975,0.39064,corona,1,1,0.46904,0,65.893,122.331,3.319
29,3,8.718,50.0,158.169,93.025,15,9.874,12.374,4.196,8.479,0.9415,24.833,81.635,0.27935,no_pd,0,0,0.11312,0,65.144,251.194,0.469
30,6,9.882,50.0,83.921,21.803,18,80.687,118.291,43.75,10.242,1.7398,24.984,125.29,0.26542,corona,1,1,0.48817,0,62.118,105.724,1.102
31,7,21.865,50.0,84.106,25.097,19,54.331,139.363,26.411,11.182,2.1273,33.426,111.213,0.38585,corona,1,1,0.38927,0,59.009,109.203,0.573
32,7,8.169,50.0,80.304,27.452,21,23.004,54.033,10.469,9.944,1.9468,31.273,135.416,0.53221,corona,1,1,0.3671,0,52.852,107.757,1.252
33,4,6.744,50.0,81.696,23.644,16,72.737,174.395,20.241,7.163,1.8585,33.799,123.631,0.38675,corona,1,1,0.48568,0,58.052,105.341,2.978
34,6,23.8,60.0,153.016,44.389,31,85.06,151.756,19.124,20.454,1.6464,38.649,172.435,0.7318,surface,2,1,0.75399,1,108.627,197.405,2.358
35,6,15.164,50.0,184.84,108.569,5,5.631,12.875,1.685,3.883,0.9714,23.007,88.732,0.13028,no_pd,0,0,0.01906,0,76.271,293.409,3.377
36,1,18.298,50.0,235.431,28.003,56,14.849,33.613,7.949,27.756,0.5468,48.084,200.976,0.72721,internal,3,1,0.89129,1,207.427,263.434,3.172
37,4,17.016,50.0,112.388,53.579,41,51.905,130.86,13.095,19.587,0.8735,42.621,158.164,0.58439,surface,2,1,0.70143,1,58.809,165.966,0.655
38,3,10.134,50.0,177.468,106.443,8,4.684,8.757,1.151,3.526,0.7733,24.34,114.64,0.198,no_pd,0,0,0.05131,0,71.024,283.911,1.715
39,2,21.889,50.0,90.079,19.594,26,25.67,59.493,13.761,13.285,1.3519,32.803,113.858,0.5183,corona,1,1,0.34131,0,70.485,109.673,0.473
40,8,8.858,60.0,103.271,20.264,28,13.476,19.064,5.509,16.963,1.7206,20.591,97.512,0.45182,corona,1,1,0.34762,0,83.007,123.535,2.465
41,5,18.593,50.0,140.968,55.779,35,86.248,199.241,24.942,16.988,0.9612,38.458,112.85,0.60821,surface,2,1,0.83619,1,85.19,196.747,2.328
42,8,9.454,60.0,245.475,37.974,55,3.28,5.939,1.48,31.459,1.0363,54.05,187.44,0.79988,internal,3,1,0.85433,1,207.501,283.449,2.382
43,6,6.742,50.0,152.037,63.95,23,142.17,355.267,26.776,13.717,0.9629,40.819,172.882,0.60691,surface,2,1,0.81366,1,88.087,215.988,3.203
44,3,11.317,50.0,55.119,40.488,39,209.637,329.992,81.914,20.563,0.9704,43.202,206.207,0.78284,internal,3,1,1.0,1,14.631,95.606,2.966
45,1,23.979,50.0,92.812,21.745,27,50.24,101.818,27.267,14.365,1.488,42.449,140.785,0.3497,corona,1,1,0.45737,0,71.067,114.557,2.024
46,4,7.735,50.0,215.815,93.628,14,10.496,26.066,4.085,6.462,1.2523,14.718,66.365,0.18651,no_pd,0,0,0.08725,0,122.187,309.444,3.461
47,8,21.971,50.0,148.056,50.36,24,111.847,287.397,30.911,11.314,1.4507,45.853,166.282,0.589,surface,2,1,0.80341,1,97.697,198.416,3.116
48,2,21.876,50.0,170.811,101.638,13,13.829,20.925,3.088,9.503,1.4856,20.062,75.209,0.18581,no_pd,0,0,0.12208,0,69.173,272.449,2.769
49,7,18.704,50.0,172.248,102.325,12,4.616,10.92,1.505,7.593,0.7161,26.581,106.167,0.37971,no_pd,0,0,0.07515,0,69.924,274.573,4.466
50,3,15.351,50.0,97.712,29.217,24,10.866,27.386,5.686,13.741,1.7273,26.142,86.073,0.44206,corona,1,1,0.3215,0,68.495,126.928,3.853
51,1,21.564,50.0,140.867,54.892,33,77.208,114.941,39.056,14.867,1.3158,35.098,170.252,0.53786,surface,2,1,0.71623,1,85.975,195.759,1.266
52,4,20.693,60.0,50.597,31.446,43,126.398,290.476,29.75,26.209,1.1515,50.645,176.762,0.7834,internal,3,1,1.0,1,19.151,82.043,2.858
53,8,10.937,60.0,154.852,50.891,24,71.398,167.428,33.675,17.231,1.2293,48.902,152.788,0.63562,surface,2,1,0.75374,1,103.961,205.743,1.35
54,1,23.009,50.0,67.931,35.568,33,176.385,269.257,83.181,14.635,0.7228,49.506,173.67,0.83662,internal,3,1,1.0,1,32.363,103.499,1.677
55,4,10.436,50.0,149.119,58.734,38,171.159,400.885,72.133,22.385,0.8425,40.715,163.129,0.49872,surface,2,1,1.0,1,90.385,207.853,3.944
56,8,22.894,50.0,172.029,83.751,8,0.5,0.838,0.209,4.89,0.9619,20.291,99.359,0.20199,no_pd,0,0,0.03797,0,88.278,255.78,3.019
57,3,17.536,50.0,86.326,19.617,19,73.974,97.625,31.769,10.019,1.8689,35.909,166.94,0.31684,corona,1,1,0.54079,0,66.709,105.942,3.391
58,3,20.446,60.0,100.052,19.355,27,68.469,173.591,36.525,15.833,1.7744,34.052,110.342,0.38237,corona,1,1,0.43734,0,80.697,119.407,1.819
59,2,13.094,50.0,141.733,59.584,27,61.748,130.957,30.46,14.868,1.358,39.57,155.719,0.61556,surface,2,1,0.67764,1,82.149,201.316,2.889
60,8,15.133,50.0,160.998,60.961,9,14.197,24.074,5.233,3.311,1.0512,19.757,113.814,0.26463,no_pd,0,0,0.07765,0,100.038,221.959,0.448
61,1,16.18,50.0,165.172,115.0,19,7.097,14.576,3.518,8.959,0.8724,19.848,98.677,0.2918,no_pd,0,0,0.05933,0,50.172,280.172,1.768
62,3,9.218,60.0,138.263,53.351,25,131.409,171.489,69.394,15.01,1.328,39.703,196.265,0.68623,surface,2,1,0.91659,1,84.912,191.614,1.039
63,7,21.292,50.0,100.265,20.54,16,39.024,93.858,15.787,7.591,2.0141,46.105,107.482,0.43888,corona,1,1,0.37035,0,79.725,120.804,1.259
64,7,13.429,50.0,60.035,23.944,56,81.779,176.79,43.01,27.108,0.5971,44.098,192.878,0.74964,internal,3,1,1.0,1,36.092,83.979,3.936
65,7,14.386,50.0,158.458,93.429,5,8.313,18.699,2.876,3.357,0.7421,24.075,82.636,0.13567,no_pd,0,0,0.06521,0,65.029,251.887,3.244
66,2,7.148,50.0,211.511,85.062,12,2.948,3.989,1.081,7.84,1.4244,23.214,109.214,0.23958,no_pd,0,0,0.03073,0,126.448,296.573,1.636
67,3,7.652,50.0,161.373,68.273,18,101.88,149.185,52.195,9.652,1.2668,41.706,161.549,0.66725,surface,2,1,0.78574,1,93.099,229.646,2.178
68,2,22.059,50.0,95.855,21.508,21,0.5,0.852,0.254,7.293,1.8868,23.352,113.672,0.42226,corona,1,1,0.31366,0,74.346,117.363,3.87
69,4,8.181,60.0,99.411,17.335,33,44.647,94.865,17.119,18.546,1.5406,25.229,142.267,0.44821,corona,1,1,0.48234,0,82.076,116.747,2.841
70,1,12.593,50.0,159.186,80.429,21,22.823,53.765,4.977,9.764,0.8565,5.958,113.287,0.2234,no_pd,0,0,0.1248,0,78.756,239.615,1.215
71,7,10.555,50.0,80.578,21.285,25,57.387,104.191,20.527,11.167,1.7391,33.098,122.975,0.4068,corona,1,1,0.51486,0,59.293,101.863,1.369
72,3,22.529,50.0,61.614,29.944,26,195.64,254.87,105.449,13.361,1.0432,61.074,190.677,0.70241,internal,3,1,1.0,1,31.67,91.558,4.337
73,2,14.217,50.0,179.713,110.657,12,8.419,16.658,3.888,6.098,0.9935,22.893,90.382,0.2702,no_pd,0,0,0.07925,0,69.056,290.371,0.55
74,5,15.964,50.0,50.476,28.746,56,131.744,236.547,38.97,26.51,0.9032,52.729,187.68,0.78305,internal,3,1,1.0,1,21.73,79.223,2.623
75,2,10.505,50.0,146.667,103.95,12,8.284,16.337,4.176,5.991,0.864,24.2,114.782,0.19748,no_pd,0,0,0.1231,0,42.717,250.616,4.307
76,1,7.36,60.0,72.28,20.299,13,55.82,127.359,23.248,9.533,1.9779,28.063,110.546,0.45341,corona,1,1,0.45565,0,51.981,92.579,1.003
77,8,16.504,50.0,265.524,52.2,11,16.85,30.646,4.325,5.745,0.6475,16.2,72.472,0.23685,no_pd,0,0,0.10686,0,213.324,317.723,1.463
78,2,9.467,50.0,195.353,66.38,11,17.508,43.684,4.439,6.083,1.0449,14.529,89.123,0.21175,no_pd,0,0,0.0798,0,128.973,261.733,1.649
79,6,20.257,50.0,80.724,21.711,18,34.775,81.087,6.899,7.274,2.0425,26.943,131.758,0.47601,corona,1,1,0.396,0,59.012,102.435,2.035
80,7,11.198,60.0,153.841,48.812,29,93.212,143.69,31.542,17.073,1.4095,35.931,158.381,0.55471,surface,2,1,0.84205,1,105.029,202.653,2.232
81,6,17.392,50.0,85.155,24.13,17,42.64,80.36,20.673,9.1,1.8511,28.745,147.147,0.42981,corona,1,1,0.45298,0,61.025,109.285,3.77
82,7,12.524,50.0,240.624,115.0,11,0.755,1.946,0.268,3.22,1.4491,23.737,72.247,0.19531,no_pd,0,0,0.00859,0,125.624,355.624,1.652
83,8,15.395,50.0,141.147,98.951,12,11.139,27.872,4.95,4.036,0.6375,20.241,98.732,0.25109,no_pd,0,0,0.08192,0,42.196,240.097,0.981
84,4,14.828,50.0,218.831,98.733,12,12.349,26.367,5.166,5.081,0.7711,19.239,106.352,0.24331,no_pd,0,0,0.12573,0,120.098,317.564,2.076
85,8,19.309,50.0,54.529,37.537,45,0.5,1.037,0.113,20.413,1.0025,46.535,170.719,0.72067,internal,3,1,0.81515,1,16.992,92.066,4.371
86,4,18.786,60.0,241.98,30.254,40,154.501,219.089,60.955,23.506,1.27,44.928,176.333,0.81179,internal,3,1,1.0,1,211.726,272.234,1.843
87,5,9.033,50.0,57.121,37.397,36,95.919,149.656,27.949,16.604,0.9238,57.906,154.404,0.69288,internal,3,1,0.97873,1,19.724,94.518,1.825
88,2,18.117,50.0,79.56,23.759,24,70.554,131.442,32.04,12.636,1.4839,36.004,148.419,0.44505,corona,1,1,0.45946,0,55.801,103.319,3.246
89,2,22.004,50.0,152.692,76.061,34,86.987,147.931,47.712,18.389,1.3806,32.301,145.206,0.63292,surface,2,1,0.77105,1,76.631,228.753,1.505
90,1,22.945,50.0,279.96,36.581,59,208.532,501.793,63.357,28.768,0.873,57.323,181.189,0.75541,internal,3,1,1.0,1,243.379,316.542,0.93
91,5,23.454,50.0,234.261,40.752,45,216.797,445.832,54.102,22.148,0.9331,51.437,214.031,0.72641,internal,3,1,1.0,1,193.509,275.014,2.805
92,1,7.648,50.0,191.406,78.246,7,0.5,0.798,0.134,2.772,1.0285,17.81,82.269,0.19348,no_pd,0,0,0.0413,0,113.16,269.653,1.435
93,2,19.526,50.0,128.13,99.558,10,5.214,13.501,2.087,7.199,1.0887,21.175,78.866,0.27738,no_pd,0,0,0.09808,0,28.572,227.687,2.047
94,2,8.935,50.0,84.517,24.486,25,43.725,56.361,21.149,11.777,1.6712,26.398,135.056,0.35977,corona,1,1,0.39606,0,60.031,109.003,3.542
95,8,12.675,50.0,87.828,25.116,20,67.69,131.799,27.631,11.95,1.8177,33.48,127.011,0.38618,corona,1,1,0.50902,0,62.711,112.944,1.222
96,8,18.616,50.0,96.588,29.753,52,128.219,281.875,50.055,24.702,0.8196,48.604,176.465,0.85104,internal,3,1,1.0,1,66.835,126.341,2.179
97,4,22.471,50.0,84.007,20.344,22,38.691,70.998,13.561,9.216,2.1458,26.001,104.275,0.38288,corona,1,1,0.39819,0,63.663,104.351,3.016
98,7,18.564,50.0,116.935,62.806,34,73.434,124.296,36.678,17.251,1.2117,38.824,139.887,0.55527,surface,2,1,0.78554,1,54.129,179.741,4.043
99,6,14.994,50.0,94.856,24.028,19,72.031,140.567,22.383,8.05,1.6429,20.962,135.242,0.47701,corona,1,1,0.46047,0,70.828,118.884,3.936
100,2,6.667,50.0,91.206,19.102,18,13.216,21.545,4.902,11.411,1.9856,35.608,121.617,0.41492,corona,1,1,0.3185,0,72.103,110.308,3.058
101,2,12.135,50.0,172.678,113.932,11,14.539,35.492,7.434,7.055,0.8052,28.124,86.56,0.34097,no_pd,0,0,0.11601,0,58.746,286.61,1.28
102,5,12.331,50.0,249.569,25.609,31,173.683,290.109,64.961,15.333,0.9681,49.502,187.665,0.76778,internal,3,1,1.0,1,223.96,275.178,3.03
103,1,6.723,50.0,166.081,77.816,7,8.523,14.323,1.646,5.143,0.7225,18.529,103.692,0.20366,no_pd,0,0,0.06428,0,88.265,243.897,3.89
104,2,13.002,60.0,64.029,28.447,42,272.518,463.745,64.713,23.978,0.9072,35.857,176.848,0.75709,internal,3,1,1.0,1,35.582,92.476,0.48
105,5,21.532,50.0,58.871,32.376,33,122.672,245.721,40.56,16.951,0.8632,43.017,187.936,0.83731,internal,3,1,1.0,1,26.495,91.247,0.838
106,5,11.326,50.0,178.061,98.683,12,2.211,2.902,0.722,6.306,0.7612,27.811,93.44,0.30694,no_pd,0,0,0.08664,0,79.378,276.744,4.391
107,6,19.4,50.0,86.036,26.389,26,25.855,43.43,10.375,11.557,1.8587,28.263,136.008,0.38409,corona,1,1,0.42671,0,59.647,112.425,4.023
108,7,12.901,50.0,71.087,29.709,51,133.152,336.715,67.346,26.733,0.6348,50.974,178.485,0.85262,internal,3,1,1.0,1,41.378,100.796,3.386
109,3,16.801,60.0,98.449,23.154,17,23.273,31.097,12.438,10.857,2.0208,29.515,99.243,0.33742,corona,1,1,0.28541,0,75.295,121.603,2.532
110,1,12.532,50.0,174.884,94.44,9,3.185,4.019,1.33,5.96,1.0144,20.722,62.754,0.31241,no_pd,0,0,0.04725,0,80.445,269.324,1.232
111,8,13.514,60.0,139.951,61.295,25,40.412,53.566,21.414,13.5,1.4537,40.608,162.666,0.4622,surface,2,1,0.6687,1,78.656,201.247,1.941
112,8,10.307,50.0,150.022,57.113,28,8.898,15.337,4.317,13.3,1.097,38.991,146.815,0.61025,surface,2,1,0.59673,0,92.909,207.136,0.801
113,5,17.755,50.0,63.868,27.776,41,216.338,358.622,79.073,22.572,0.7743,40.69,198.751,0.86606,internal,3,1,1.0,1,36.093,91.644,3.155
114,2,14.388,50.0,141.386,115.0,13,5.961,7.935,2.823,4.565,1.1427,24.143,84.405,0.16922,no_pd,0,0,0.03299,0,26.386,256.386,3.985
115,2,11.685,50.0,50.693,40.07,33,98.152,153.288,21.932,16.078,1.1019,51.548,173.896,0.81826,internal,3,1,1.0,1,10.622,90.763,1.691
116,2,8.989,60.0,78.626,31.982,31,160.316,284.352,58.717,20.133,0.8696,46.994,190.594,0.81707,internal,3,1,1.0,1,46.644,110.608,2.224
117,6,12.554,50.0,262.13,20.901,34,80.924,201.855,39.662,17.934,0.7999,48.822,183.704,0.80739,internal,3,1,0.95878,1,241.228,283.031,3.878
118,8,14.256,50.0,238.849,32.454,47,258.77,394.201,62.509,23.413,1.281,47.06,191.667,0.7639,internal,3,1,1.0,1,206.394,271.303,1.81
119,2,22.914,50.0,102.898,22.934,27,0.5,0.991,0.107,11.867,1.8466,31.907,121.972,0.35079,corona,1,1,0.29571,0,79.964,125.832,0.499
120,2,7.352,50.0,156.788,107.954,12,6.946,15.555,1.286,4.383,1.2221,31.876,93.39,0.2041,no_pd,0,0,0.06874,0,48.834,264.742,3.698
121,3,22.276,50.0,100.148,51.05,27,115.265,192.094,21.766,13.701,1.5691,33.729,139.998,0.6066,surface,2,1,0.79072,1,49.098,151.198,1.82
122,3,18.685,50.0,114.695,51.45,30,37.495,67.156,15.222,15.19,1.4187,49.451,167.495,0.51929,surface,2,1,0.66387,1,63.246,166.145,0.906
123,7,23.222,50.0,61.115,33.586,59,68.833,153.36,37.325,28.636,1.3118,53.572,195.886,0.79234,internal,3,1,1.0,1,27.529,94.701,1.104
124,2,8.008,60.0,204.913,84.554,6,5.587,13.754,2.588,1.271,0.955,21.293,105.283,0.31999,no_pd,0,0,0.0,0,120.359,289.467,2.066
125,1,18.668,50.0,95.01,26.164,24,9.589,12.952,5.162,13.157,1.6555,27.355,109.79,0.33702,corona,1,1,0.33092,0,68.846,121.174,2.252
126,7,9.509,50.0,233.907,30.428,39,207.679,363.13,67.359,19.156,0.5906,36.714,195.893,0.76215,internal,3,1,1.0,1,203.478,264.335,1.576
127,7,22.05,50.0,93.136,18.891,23,111.988,282.712,55.179,11.049,1.7929,29.288,132.124,0.43812,corona,1,1,0.61432,0,74.245,112.026,3.276
128,3,15.599,50.0,97.487,21.121,25,25.885,38.071,7.523,12.273,1.481,30.814,113.829,0.35322,corona,1,1,0.39981,0,76.366,118.607,3.747
129,5,12.219,60.0,168.387,105.351,8,6.022,14.538,2.32,4.21,1.2316,31.095,91.862,0.26721,no_pd,0,0,0.0235,0,63.035,273.738,2.628
130,3,17.87,50.0,85.177,18.181,24,48.48,111.019,25.795,10.794,1.6256,29.349,126.042,0.48012,corona,1,1,0.46175,0,66.996,103.358,3.338
131,1,7.42,50.0,156.128,57.029,33,21.215,30.721,9.226,16.418,1.3502,39.658,154.37,0.59456,surface,2,1,0.64485,1,99.099,213.158,0.542
132,1,21.38,50.0,244.429,17.609,40,73.042,175.052,23.002,20.336,1.3316,47.141,176.614,0.65509,internal,3,1,1.0,1,226.82,262.038,3.358
133,2,21.769,50.0,119.636,61.153,36,144.447,363.707,48.993,16.799,1.447,43.644,168.704,0.6162,surface,2,1,1.0,1,58.483,180.789,4.317
134,6,19.656,50.0,67.482,22.676,48,76.934,159.288,24.013,24.199,0.7815,50.581,213.581,0.74877,internal,3,1,1.0,1,44.806,90.158,3.607
135,4,13.792,50.0,110.312,27.516,23,57.887,105.2,27.86,12.271,1.5015,34.851,128.838,0.34674,corona,1,1,0.4595,0,82.796,137.827,3.502
136,2,7.988,50.0,49.842,23.853,39,223.155,365.073,55.389,18.161,0.9295,48.09,195.62,0.7891,internal,3,1,1.0,1,25.99,73.695,3.578
137,7,6.796,50.0,148.423,50.026,32,0.5,1.217,0.212,15.761,0.5595,43.074,168.889,0.49269,surface,2,1,0.62168,1,98.398,198.449,3.402
138,8,17.261,50.0,153.572,60.651,28,74.061,181.913,36.713,12.839,1.2784,35.046,161.854,0.65563,surface,2,1,0.7978,1,92.921,214.223,0.469
139,4,15.389,50.0,95.731,30.197,32,33.479,73.719,6.031,13.771,1.5182,37.306,114.217,0.35611,corona,1,1,0.41992,0,65.535,125.928,3.497
140,6,20.501,50.0,217.588,101.747,13,3.776,7.145,0.936,6.887,0.7148,14.625,101.15,0.21121,no_pd,0,0,0.00768,0,115.841,319.335,2.029
141,6,12.516,50.0,92.315,23.696,29,74.45,133.443,36.609,15.937,1.9037,30.229,102.657,0.45204,corona,1,1,0.45572,0,68.619,116.01,3.344
142,7,18.18,60.0,63.962,34.367,34,196.587,350.208,94.419,19.186,0.9315,43.236,229.682,0.81132,internal,3,1,1.0,1,29.595,98.33,0.944
143,7,15.271,50.0,161.355,83.357,10,0.5,0.644,0.142,5.333,0.8032,20.216,76.462,0.27498,no_pd,0,0,0.11953,0,77.998,244.712,0.403
144,5,15.434,50.0,138.375,67.231,30,139.78,299.091,52.535,14.689,0.8351,32.745,150.829,0.62361,surface,2,1,0.82453,1,71.144,205.606,3.362
145,3,14.47,50.0,57.027,36.743,43,155.272,258.882,32.738,20.268,0.6709,43.373,197.471,0.73839,internal,3,1,1.0,1,20.285,93.77,1.016
146,6,21.303,50.0,261.51,41.625,41,27.32,45.949,11.061,23.201,0.756,45.637,189.353,0.77498,internal,3,1,0.8749,1,219.885,303.135,2.414
147,2,19.827,50.0,119.774,55.543,39,62.783,141.588,19.9,18.54,1.313,30.062,153.098,0.53644,surface,2,1,0.73749,1,64.231,175.317,1.402
148,5,22.668,50.0,91.484,19.598,22,37.042,85.911,19.329,9.907,1.9002,27.525,131.088,0.37907,corona,1,1,0.40138,0,71.886,111.081,3.204
149,8,16.909,50.0,87.577,20.359,11,15.416,22.666,5.334,6.228,2.0992,42.523,148.694,0.56027,corona,1,1,0.38936,0,67.218,107.935,2.188
150,4,23.96,50.0,57.601,29.592,43,190.974,450.502,85.576,21.343,1.1825,47.164,180.385,0.73184,internal,3,1,1.0,1,28.008,87.193,0.579
151,1,14.418,50.0,261.472,26.723,34,212.501,432.876,111.301,18.615,1.0798,44.823,205.033,0.79832,internal,3,1,1.0,1,234.748,288.195,0.463
152,7,19.559,60.0,130.478,64.677,37,10.398,13.796,3.763,21.273,1.4282,48.937,185.683,0.49521,surface,2,1,0.65063,1,65.801,195.155,3.571
153,2,17.199,50.0,166.372,90.318,15,12.428,27.702,4.353,6.391,1.1705,21.278,71.667,0.23305,no_pd,0,0,0.10318,0,76.054,256.69,0.966
154,5,21.511,50.0,159.13,104.369,9,4.335,5.796,1.638,3.228,0.4636,15.899,120.456,0.24402,no_pd,0,0,0.0,0,54.761,263.499,2.108
155,1,6.832,50.0,122.941,39.073,32,11.729,17.864,5.005,17.313,0.9938,33.975,183.367,0.56847,surface,2,1,0.53638,0,83.868,162.014,3.585
156,1,13.484,60.0,128.68,62.88,37,43.389,87.635,20.854,22.589,1.2864,33.385,173.623,0.60614,surface,2,1,0.69328,1,65.8,191.56,1.638
157,7,9.933,50.0,60.709,35.68,45,129.625,312.574,37.289,21.76,1.0135,50.887,197.625,0.74529,internal,3,1,1.0,1,25.028,96.389,1.752
158,8,19.657,50.0,177.743,103.505,12,8.703,19.443,1.825,5.0,1.2347,31.358,74.365,0.19246,no_pd,0,0,0.061,0,74.238,281.248,3.342
159,5,10.677,50.0,103.916,25.567,25,0.5,1.28,0.1,12.343,2.0521,31.392,98.786,0.53956,corona,1,1,0.35361,0,78.349,129.483,3.675
160,1,11.512,50.0,200.386,72.054,15,3.791,7.76,0.696,7.359,1.151,25.358,108.32,0.31669,no_pd,0,0,0.13933,0,128.332,272.441,3.007
161,1,11.017,50.0,92.663,20.412,19,0.548,1.291,0.219,9.182,1.793,32.635,99.568,0.40966,corona,1,1,0.24025,0,72.251,113.076,2.206
162,5,18.155,50.0,91.99,61.238,15,3.096,6.801,1.243,8.325,0.9581,14.582,92.328,0.17959,no_pd,0,0,0.13943,0,30.753,153.228,2.303
163,5,23.239,50.0,97.325,20.946,19,1.444,2.112,0.663,9.645,2.2131,40.702,130.049,0.38737,corona,1,1,0.27233,0,76.379,118.272,2.741
164,8,20.147,50.0,243.337,28.007,51,47.437,72.339,17.51,26.691,1.1633,50.784,175.917,0.8111,internal,3,1,0.96723,1,215.33,271.344,1.669
165,7,16.728,50.0,187.91,104.978,14,2.633,5.718,0.737,6.748,1.0843,16.68,137.721,0.19064,no_pd,0,0,0.0136,0,82.933,292.888,0.984
