sample_id,defect_code,has_partial_discharge,risk_score,high_risk,phase_cluster_low_deg,phase_cluster_high_deg,noise_floor_pc
84,0,0,0.12573,0,120.098,317.564,2.076
85,3,1,0.81515,1,16.992,92.066,4.371
86,3,1,1.0,1,211.726,272.234,1.843
87,3,1,0.97873,1,19.724,94.518,1.825
88,1,1,0.45946,0,55.801,103.319,3.246
89,2,1,0.77105,1,76.631,228.753,1.505
90,3,1,1.0,1,243.379,316.542,0.93
91,3,1,1.0,1,193.509,275.014,2.805
92,0,0,0.0413,0,113.16,269.653,1.435
93,0,0,0.09808,0,28.572,227.687,2.047
94,1,1,0.39606,0,60.031,109.003,3.542
95,1,1,0.50902,0,62.711,112.944,1.222
96,3,1,1.0,1,66.835,126.341,2.179
97,1,1,0.39819,0,63.663,104.351,3.016
98,2,1,0.78554,1,54.129,179.741,4.043
99,1,1,0.46047,0,70.828,118.884,3.936
100,1,1,0.3185,0,72.103,110.308,3.058
101,0,0,0.11601,0,58.746,286.61,1.28
102,3,1,1.0,1,223.96,275.178,3.03
103,0,0,0.06428,0,88.265,243.897,3.89
104,3,1,1.0,1,35.582,92.476,0.48
105,3,1,1.0,1,26.495,91.247,0.838
106,0,0,0.08664,0,79.378,276.744,4.391
107,1,1,0.42671,0,59.647,112.425,4.023
108,3,1,1.0,1,41.378,100.796,3.386
109,1,1,0.28541,0,75.295,121.603,2.532
110,0,0,0.04725,0,80.445,269.324,1.232
111,2,1,0.6687,1,78.656,201.247,1.941
112,2,1,0.59673,0,92.909,207.136,0.801
113,3,1,1.0,1,36.093,91.644,3.155
114,0,0,0.03299,0,26.386,256.386,3.985
115,3,1,1.0,1,10.622,90.763,1.691
116,3,1,1.0,1,46.644,110.608,2.224
117,3,1,0.95878,1,241.228,283.031,3.878
118,3,1,1.0,1,206.394,271.303,1.81
119,1,1,0.29571,0,79.964,125.832,0.499
120,0,0,0.06874,0,48.834,264.742,3.698
121,2,1,0.79072,1,49.098,151.198,1.82
122,2,1,0.66387,1,63.246,166.145,0.906
123,3,1,1.0,1,27.529,94.701,1.104
124,0,0,0.0,0,120.359,289.467,2.066
125,1,1,0.33092,0,68.846,121.174,2.252
126,3,1,1.0,1,203.478,264.335,1.576
127,1,1,0.61432,0,74.245,112.026,3.276
128,1,1,0.39981,0,76.366,118.607,3.747
129,0,0,0.0235,0,63.035,273.738,2.628
130,1,1,0.46175,0,66.996,103.358,3.338
131,2,1,0.64485,1,99.099,213.158,0.542
132,3,1,1.0,1,226.82,262.038,3.358
133,2,1,1.0,1,58.483,180.789,4.317
134,3,1,1.0,1,44.806,90.158,3.607
135,1,1,0.4595,0,82.796,137.827,3.502
136,3,1,1.0,1,25.99,73.695,3.578
137,2,1,0.62168,1,98.398,198.449,3.402
138,2,1,0.7978,1,92.921,214.223,0.469
139,1,1,0.41992,0,65.535,125.928,3.497
140,0,0,0.00768,0,115.841,319.335,2.029
141,1,1,0.45572,0,68.619,116.01,3.344
142,3,1,1.0,1,29.595,98.33,0.944
143,0,0,0.11953,0,77.998,244.712,0.403
144,2,1,0.82453,1,71.144,205.606,3.362
145,3,1,1.0,1,20.285,93.77,1.016
146,3,1,0.8749,1,219.885,303.135,2.414
147,2,1,0.73749,1,64.231,175.317,1.402
148,1,1,0.40138,0,71.886,111.081,3.204
149,1,1,0.38936,0,67.218,107.935,2.188
150,3,1,1.0,1,28.008,87.193,0.579
151,3,1,1.0,1,234.748,288.195,0.463
152,2,1,0.65063,1,65.801,195.155,3.571
153,0,0,0.10318,0,76.054,256.69,0.966
154,0,0,0.0,0,54.761,263.499,2.108
155,2,1,0.53638,0,83.868,162.014,3.585
156,2,1,0.69328,1,65.8,191.56,1.638
157,3,1,1.0,1,25.028,96.389,1.752
158,0,0,0.061,0,74.238,281.248,3.342
159,1,1,0.35361,0,78.349,129.483,3.675
160,0,0,0.13933,0,128.332,272.441,3.007
161,1,1,0.24025,0,72.251,113.076,2.206
162,0,0,0.13943,0,30.753,153.228,2.303
163,1,1,0.27233,0,76.379,118.272,2.741
164,3,1,0.96723,1,215.33,271.344,1.669
165,0,0,0.0136,0,82.933,292.888,0.984
166,3,1,1.0,1,5.648,82.868,2.119
167,2,1,0.70998,1,73.404,172.263,0.528
168,1,1,0.44541,0,61.651,99.7,1.892
169,0,0,0.10038,0,96.372,283.961,4.267
170,2,1,0.84817,1,111.245,233.635,4.479
171,2,1,0.74286,1,84.634,209.123,2.143
172,2,1,0.69883,1,94.191,189.93,3.488
173,1,1,0.39353,0,72.613,116.924,2.967
174,2,1,0.74429,1,107.019,208.676,2.159
175,2,1,0.91579,1,83.97,209.137,0.692
176,0,0,0.0,0,87.381,256.761,0.706
177,0,0,0.0,0,118.062,266.722,2.596
178,1,1,0.44321,0,71.502,118.273,3.801
179,2,1,0.68966,1,62.136,189.736,1.929
180,3,1,1.0,1,27.992,103.696,2.629
181,3,1,1.0,1,38.902,81.069,4.07
182,1,1,0.53466,0,70.535,114.579,2.56
183,1,1,0.42709,0,74.324,114.469,2.063
184,1,1,0.37152,0,76.485,124.91,1.975
185,0,0,0.12631,0,110.223,340.223,1.656
186,2,1,0.86452,1,71.121,165.412,4.234
187,1,1,0.31802,0,75.218,112.031,1.239
188,3,1,0.84309,1,240.041,317.335,2.793
189,2,1,0.75297,1,85.902,201.872,1.378
190,0,0,0.07769,0,88.335,276.771,0.842
191,3,1,1.0,1,49.119,105.253,1.783
192,2,1,0.83349,1,101.612,192.003,4.305
193,1,1,0.39241,0,65.766,128.498,0.757
194,3,1,0.9265,1,43.242,98.218,2.031
195,3,1,1.0,1,23.234,74.039,2.303
196,0,0,0.13398,0,124.693,311.05,3.497
197,1,1,0.38907,0,62.884,110.099,4.074
198,3,1,1.0,1,197.906,258.794,3.312
199,2,1,0.83204,1,85.423,232.059,1.341
200,0,0,0.08166,0,58.59,253.495,3.53
201,2,1,0.83482,1,75.698,188.149,0.701
202,0,0,0.09129,0,104.865,293.829,1.591
203,3,1,1.0,1,193.581,261.478,1.867
204,0,0,0.09972,0,143.139,2.88,3.618
205,0,0,0.07032,0,52.676,282.676,4.282
206,1,1,0.41652,0,57.43,108.075,0.76
207,2,1,0.72051,1,79.146,169.807,0.774
208,0,0,0.16535,0,23.766,212.386,1.774
209,3,1,0.97863,1,198.262,266.989,3.981
210,0,0,0.03183,0,71.987,287.994,2.822
211,1,1,0.3316,0,70.655,104.92,4.219
212,1,1,0.49663,0,84.952,130.249,4.217
213,1,1,0.41736,0,61.277,106.746,2.369
214,2,1,0.88299,1,50.867,186.151,3.153
215,0,0,0.02746,0,107.255,281.815,2.045
216,1,1,0.53183,0,67.942,113.846,1.47
217,2,1,0.7338,1,66.043,172.884,0.466
218,0,0,0.15092,0,97.963,290.246,3.112
219,1,1,0.38406,0,68.012,111.864,1.509
220,2,1,0.71784,1,68.829,208.625,2.016
221,1,1,0.48322,0,59.71,107.872,4.126
222,1,1,0.37286,0,64.948,110.317,2.904
223,3,1,1.0,1,32.332,92.438,3.993
224,0,0,0.04706,0,73.478,258.17,0.872
225,0,0,0.029,0,71.383,284.424,1.723
226,1,1,0.42405,0,65.942,107.711,0.503
227,2,1,0.99413,1,101.697,228.531,3.381
228,1,1,0.40318,0,61.476,111.908,1.198
229,0,0,0.02687,0,98.378,315.071,0.552
230,0,0,0.0918,0,99.212,306.819,3.296
231,2,1,0.55304,0,109.1,200.238,0.694
232,1,1,0.38577,0,73.193,109.738,3.961
233,2,1,0.72758,1,36.173,166.214,2.078
234,2,1,0.66734,1,77.88,189.374,4.341
235,3,1,0.84966,1,208.752,275.384,3.966
236,3,1,0.83457,1,215.629,275.198,1.691
237,3,1,1.0,1,13.246,87.991,1.243
238,2,1,0.75911,1,62.971,177.254,3.467
239,3,1,0.80803,1,13.824,67.989,4.389
240,3,1,1.0,1,189.971,252.166,3.202
241,2,1,0.7305,1,103.722,217.44,1.559
242,2,1,0.92075,1,88.978,197.25,4.269
243,0,0,0.08821,0,68.814,288.627,1.984
244,3,1,1.0,1,213.553,282.369,3.359
245,0,0,0.0709,0,109.873,273.901,4.291
246,0,0,0.0,0,71.187,242.812,4.084
247,0,0,0.0933,0,85.241,279.497,1.898
248,0,0,0.07216,0,92.091,297.398,3.388
249,0,0,0.07274,0,21.491,134.806,3.745
250,0,0,0.0,0,76.86,206.309,4.439
251,2,1,0.75366,1,66.604,182.879,2.272
252,3,1,1.0,1,24.206,87.781,1.343
253,3,1,1.0,1,17.233,81.877,3.453
254,2,1,0.90907,1,66.788,165.185,0.897
255,2,1,0.96534,1,107.34,221.688,1.046
256,0,0,0.06942,0,28.012,211.51,1.074
257,0,0,0.04915,0,109.146,307.144,2.094
258,2,1,0.98168,1,107.539,230.087,1.956
259,3,1,0.99072,1,20.459,82.828,1.674
260,0,0,0.07628,0,133.819,329.184,2.822
261,2,1,0.76126,1,94.342,212.162,4.184
262,3,1,1.0,1,31.683,72.577,2.01
263,3,1,1.0,1,45.688,98.377,4.104
264,2,1,0.8994,1,72.427,246.932,2.861
265,3,1,1.0,1,25.861,83.505,1.761
266,0,0,0.0827,0,70.201,244.129,1.959
267,3,1,1.0,1,14.263,87.204,3.119
268,1,1,0.35437,0,71.584,116.662,3.675
269,0,0,0.06136,0,87.117,273.352,3.34
270,3,1,1.0,1,185.798,237.431,4.252
271,3,1,0.76482,1,198.694,284.631,2.823
272,1,1,0.3203,0,52.804,101.604,3.694
273,0,0,0.02726,0,94.69,250.165,3.585
274,2,1,0.69272,1,71.763,162.498,4.458
275,2,1,0.76735,1,71.755,189.316,2.549
276,0,0,0.09963,0,101.64,308.958,2.885
277,0,0,0.0,0,63.986,257.701,3.431
278,3,1,1.0,1,33.764,111.465,3.214
279,2,1,0.87823,1,123.818,215.75,3.6
280,1,1,0.35459,0,86.539,127.753,2.777
281,3,1,1.0,1,41.633,93.709,3.912
282,2,1,0.72045,1,83.245,197.012,3.815
283,2,1,0.71556,1,68.821,182.879,4.16
284,0,0,0.04222,0,54.643,264.818,2.348
285,1,1,0.48564,0,86.252,128.704,0.548
286,1,1,0.46021,0,70.898,126.979,4.19
287,2,1,0.75878,1,73.553,193.242,2.144
288,1,1,0.38291,0,66.307,117.478,3.506
289,0,0,0.02716,0,49.406,260.522,1.314
290,0,0,0.09418,0,74.172,253.922,4.271
291,0,0,0.07674,0,107.901,254.177,3.964
292,1,1,0.40628,0,80.345,131.04,4.15
293,2,1,1.0,1,92.277,188.052,3.448
294,2,1,0.81064,1,82.931,189.572,2.903
295,1,1,0.46663,0,68.131,128.018,1.505
296,1,1,0.40135,0,63.271,123.344,3.021
297,3,1,0.96775,1,191.823,280.389,0.658
298,3,1,0.83498,1,216.322,278.969,2.392
299,2,1,0.7373,1,71.932,200.058,1.16
300,2,1,0.67335,1,91.531,208.593,2.351
301,1,1,0.40571,0,66.909,112.959,0.481
302,1,1,0.27707,0,59.384,119.201,1.977
303,0,0,0.06466,0,105.065,221.339,2.739
304,2,1,0.75199,1,60.988,203.104,0.515
305,2,1,0.76041,1,63.595,181.564,3.409
306,2,1,0.9286,1,101.701,201.97,0.564
307,1,1,0.38968,0,60.767,120.809,3.601
308,1,1,0.38167,0,59.813,107.387,2.144
309,3,1,1.0,1,206.042,261.003,3.79
310,1,1,0.41949,0,58.979,110.201,1.463
311,1,1,0.41,0,70.304,108.153,1.584
312,1,1,0.34841,0,79.636,134.97,0.905
313,1,1,0.29499,0,66.374,112.601,1.19
314,2,1,0.79266,1,77.978,169.9,1.096
315,1,1,0.37069,0,48.261,116.794,1.678
316,1,1,0.43508,0,67.29,123.415,4.43
317,3,1,1.0,1,188.606,254.168,2.392
318,3,1,1.0,1,7.94,69.514,2.735
319,0,0,0.08681,0,85.341,315.067,0.579
320,2,1,0.68203,1,67.525,205.538,3.193
321,1,1,0.53031,0,70.94,112.312,1.013
322,0,0,0.11229,0,70.498,251.778,0.594
323,2,1,0.92745,1,114.912,228.976,0.815
324,1,1,0.29409,0,77.903,124.263,0.885
325,1,1,0.42663,0,82.271,117.508,0.697
326,3,1,1.0,1,238.929,294.131,2.089
327,1,1,0.47012,0,57.933,107.403,1.939
328,3,1,1.0,1,213.793,266.686,1.331
329,2,1,0.78058,1,146.086,247.515,1.295
330,3,1,1.0,1,208.768,273.076,1.294
331,2,1,0.74599,1,76.515,175.732,0.786
332,1,1,0.32654,0,69.036,116.126,2.696
333,2,1,0.74078,1,114.926,228.759,0.432
334,1,1,0.42161,0,61.887,119.612,3.966
335,1,1,0.41141,0,53.504,98.114,2.475
336,3,1,1.0,1,59.425,112.823,0.982
337,1,1,0.43038,0,71.915,114.73,0.938
338,0,0,0.0701,0,83.78,313.78,3.625
339,0,0,0.06422,0,49.506,213.724,1.89
340,3,1,1.0,1,30.089,93.516,2.025
341,2,1,0.67573,1,69.24,191.844,1.318
342,1,1,0.43015,0,80.628,136.397,2.02
343,1,1,0.42763,0,72.079,116.808,3.418
344,1,1,0.36637,0,65.198,103.518,0.534
345,3,1,0.95215,1,24.754,83.119,0.912
346,2,1,0.72626,1,90.32,188.071,2.593
347,3,1,1.0,1,45.504,104.899,1.932
348,0,0,0.11916,0,71.535,239.04,1.999
349,1,1,0.5526,0,78.361,122.453,2.805
350,0,0,0.03384,0,65.093,247.752,1.057
351,2,1,0.64003,1,97.085,211.46,4.443
352,3,1,1.0,1,232.143,292.042,3.669
353,3,1,1.0,1,232.175,297.045,1.416
354,2,1,0.8732,1,95.212,192.377,3.024
355,3,1,1.0,1,17.323,92.254,3.362
356,3,1,1.0,1,43.402,106.195,0.843
357,3,1,1.0,1,25.323,84.933,3.158
358,2,1,0.82725,1,118.191,204.103,1.088
359,3,1,1.0,1,203.149,264.77,4.041
360,2,1,0.74662,1,67.727,158.473,3.807
361,0,0,0.05268,0,71.11,280.502,4.142
362,3,1,1.0,1,203.959,285.979,2.848
363,0,0,0.0487,0,86.854,274.938,2.794
364,1,1,0.49445,0,78.917,119.628,1.01
365,2,1,0.80932,1,109.311,217.636,1.183
366,0,0,0.01159,0,90.082,280.547,1.288
367,3,1,0.971,1,27.734,78.127,0.607
368,1,1,0.41773,0,51.693,103.283,2.321
369,3,1,1.0,1,178.868,246.974,1.584
370,1,1,0.30196,0,70.005,122.487,0.763
371,1,1,0.50679,0,71.556,120.354,1.262
372,2,1,0.69738,1,110.195,208.165,0.71
373,0,0,0.02974,0,114.157,312.849,2.256
374,2,1,0.86339,1,74.643,172.935,3.526
375,2,1,0.83547,1,82.406,203.011,2.958
376,0,0,0.05532,0,53.976,235.668,3.098
377,2,1,0.74675,1,133.753,213.156,1.205
378,1,1,0.47188,0,61.61,109.513,4.133
379,1,1,0.39352,0,62.748,109.884,3.186
380,2,1,0.9245,1,100.091,229.214,0.462
381,1,1,0.45527,0,72.992,117.803,2.772
382,1,1,0.31046,0,74.277,113.838,1.766
383,0,0,0.0,0,81.676,230.17,3.184
384,1,1,0.53773,0,65.762,114.735,1.766
385,1,1,0.53735,0,71.169,121.54,0.463
386,3,1,1.0,1,199.609,262.374,1.444
387,0,0,0.12093,0,80.41,268.327,3.68
388,0,0,0.11211,0,103.429,215.598,3.22
389,2,1,0.64715,1,104.555,206.715,2.505
390,1,1,0.44873,0,67.225,127.78,3.943
391,0,0,0.06372,0,98.09,245.022,0.633
392,2,1,1.0,1,104.53,216.195,4.147
393,1,1,0.39645,0,73.543,109.386,1.544
394,1,1,0.39065,0,64.827,110.514,0.909
395,2,1,0.77397,1,67.674,180.884,3.479
396,3,1,0.77517,1,33.003,99.386,2.8
397,1,1,0.50809,0,74.864,114.637,2.293
398,2,1,0.67149,1,77.903,208.364,4.241
399,0,0,0.08585,0,64.855,266.3,3.697
400,1,1,0.33206,0,83.344,124.75,3.945
401,1,1,0.47922,0,69.859,119.303,3.668
402,2,1,0.77103,1,90.755,195.986,1.19
403,0,0,0.05444,0,86.104,264.402,3.351
404,1,1,0.33061,0,75.639,120.455,0.449
405,0,0,0.03659,0,39.354,220.262,4.373
406,3,1,1.0,1,30.0,100.044,3.194
407,1,1,0.42695,0,63.846,106.281,1.668
408,3,1,1.0,1,213.9,261.445,1.526
409,3,1,1.0,1,52.1,117.784,1.209
410,0,0,0.06444,0,84.688,289.3,1.236
411,0,0,0.05217,0,43.897,241.769,1.51
412,0,0,0.05359,0,79.488,241.324,4.199
413,0,0,0.02667,0,68.881,298.881,1.289
414,2,1,0.71303,1,53.271,172.61,3.438
415,3,1,1.0,1,27.971,97.32,1.52
416,0,0,0.08791,0,116.388,277.608,2.886
417,3,1,1.0,1,203.34,271.355,2.605
418,1,1,0.40426,0,66.013,114.167,3.676
419,2,1,0.79455,1,103.042,186.619,3.75
420,1,1,0.42027,0,73.351,113.274,3.723
421,2,1,0.92362,1,120.934,227.632,3.662
422,0,0,0.13663,0,36.02,224.623,3.612
423,2,1,0.92044,1,62.775,179.755,1.688
424,3,1,1.0,1,29.412,114.977,4.103
425,2,1,0.80639,1,86.066,181.833,0.721
426,2,1,0.60876,0,78.426,164.908,4.297
427,2,1,0.82331,1,57.206,180.707,1.66
428,0,0,0.0251,0,99.203,324.689,0.63
429,0,0,0.03939,0,90.559,245.932,4.281
430,0,0,0.04437,0,68.15,260.521,2.512
431,1,1,0.44532,0,66.79,109.249,3.535
432,0,0,0.1528,0,54.223,237.407,3.917
433,0,0,0.13239,0,172.254,337.844,1.653
434,2,1,0.92185,1,102.044,202.712,4.082
435,1,1,0.46303,0,51.122,92.296,4.114
436,3,1,1.0,1,189.517,254.349,2.935
437,3,1,1.0,1,27.598,95.814,1.469
438,2,1,0.91542,1,71.491,202.836,1.624
439,1,1,0.44523,0,68.237,114.183,4.254
440,3,1,1.0,1,182.101,254.164,3.803
441,3,1,1.0,1,199.593,251.336,0.949
442,0,0,0.08523,0,112.142,282.645,0.789
443,3,1,1.0,1,205.967,267.379,0.828
444,2,1,0.80345,1,69.034,178.399,2.814
445,1,1,0.29011,0,75.774,116.341,3.591
446,0,0,0.04287,0,124.675,344.479,2.658
447,0,0,0.03346,0,89.388,244.063,2.834
448,2,1,0.83448,1,76.746,174.07,3.665
449,1,1,0.51003,0,60.421,113.707,3.589
450,2,1,0.72901,1,98.685,208.885,1.355
451,3,1,1.0,1,210.036,266.489,3.334
452,2,1,0.8394,1,137.794,240.303,2.427
453,2,1,0.71943,1,94.571,214.388,3.527
454,1,1,0.41298,0,73.878,120.866,4.377
455,1,1,0.27165,0,57.773,104.717,2.874
456,3,1,1.0,1,36.892,104.876,0.403
457,1,1,0.4575,0,77.488,118.497,2.674
458,0,0,0.03319,0,65.796,270.521,2.19
459,0,0,0.13621,0,33.813,211.39,2.841
460,2,1,0.56113,0,98.789,185.705,0.8
461,0,0,0.02069,0,96.474,288.206,1.434
462,0,0,0.0328,0,102.631,270.027,4.335
463,0,0,0.08661,0,76.671,199.864,2.088
464,3,1,1.0,1,40.024,96.608,3.158
465,3,1,1.0,1,18.699,85.159,2.38
466,3,1,1.0,1,216.858,272.399,1.837
467,2,1,0.74716,1,77.15,215.495,2.172
468,1,1,0.28685,0,68.556,116.463,3.763
469,1,1,0.30531,0,76.591,124.98,4.269
470,0,0,0.02796,0,92.428,282.519,1.218
471,3,1,1.0,1,219.817,281.019,1.681
472,0,0,0.09013,0,50.924,222.751,0.469
473,2,1,0.91444,1,65.255,162.31,4.38
474,3,1,1.0,1,31.313,90.395,3.294
475,1,1,0.489,0,76.47,113.858,2.933
476,2,1,1.0,1,42.529,154.08,4.174
477,3,1,0.88643,1,206.485,283.009,2.405
478,0,0,0.1434,0,150.075,355.266,3.02
479,0,0,0.04032,0,89.982,313.819,3.683
480,1,1,0.36768,0,42.21,83.764,4.276
481,1,1,0.33259,0,95.931,137.877,1.666
482,0,0,0.11479,0,27.509,241.854,2.378
483,3,1,1.0,1,37.9,97.522,2.255
484,1,1,0.32314,0,70.444,117.499,3.222
485,0,0,0.14681,0,24.211,191.347,1.143
486,3,1,1.0,1,216.243,274.047,1.646
487,0,0,0.04313,0,60.874,225.665,4.459
488,3,1,1.0,1,37.904,99.899,3.58
489,3,1,1.0,1,24.462,87.172,1.894
490,1,1,0.4366,0,77.242,119.327,1.022
491,1,1,0.53763,0,79.264,122.462,1.45
492,0,0,0.03312,0,76.497,269.708,4.347
493,2,1,0.89779,1,57.414,155.138,3.682
494,0,0,0.06524,0,52.554,245.656,3.578
495,1,1,0.55528,0,67.25,113.786,2.437
496,3,1,0.93147,1,209.551,292.26,2.922
497,2,1,0.68062,1,116.617,222.318,4.478
498,1,1,0.29446,0,77.132,114.993,3.772
499,1,1,0.2986,0,82.976,131.239,4.465
500,2,1,0.63299,1,93.1,194.205,1.776
501,2,1,0.7561,1,68.397,196.043,0.871
502,3,1,1.0,1,186.28,254.297,4.408
503,2,1,0.68235,1,66.77,164.132,0.614
504,0,0,0.00981,0,106.313,267.85,2.024
505,1,1,0.27317,0,66.93,115.68,3.083
506,1,1,0.34209,0,63.752,110.875,0.542
507,2,1,0.91703,1,102.174,208.593,4.137
508,1,1,0.34957,0,71.691,120.589,1.034
509,2,1,0.65375,1,91.229,184.536,4.274
510,2,1,0.53645,0,110.984,201.166,0.543
511,3,1,1.0,1,198.287,270.573,0.831
512,2,1,0.79505,1,116.091,229.087,4.146
513,3,1,1.0,1,42.222,85.624,0.452
514,3,1,1.0,1,40.551,109.868,0.667
515,2,1,0.78167,1,73.355,182.703,3.721
516,3,1,1.0,1,242.447,311.339,1.208
517,0,0,0.08331,0,94.145,318.734,2.751
518,0,0,0.0,0,146.865,349.001,0.521
519,0,0,0.07655,0,62.338,253.031,4.114
520,0,0,0.0,0,79.054,250.977,0.899
521,2,1,0.76539,1,122.732,215.534,3.893
522,2,1,0.6253,1,91.037,207.72,1.811
523,0,0,0.14694,0,114.579,271.837,0.425
524,2,1,0.64964,1,93.085,205.742,0.72
525,3,1,1.0,1,39.044,98.752,2.052
526,2,1,0.81943,1,86.527,181.065,2.043
527,1,1,0.35707,0,54.639,105.388,3.156
528,1,1,0.33309,0,83.113,128.992,2.367
529,1,1,0.45276,0,66.179,112.742,2.393
530,2,1,0.60564,0,66.675,196.798,3.833
531,0,0,0.06932,0,125.422,277.809,1.986
532,3,1,1.0,1,48.845,106.348,0.753
533,3,1,1.0,1,175.783,263.678,3.195
534,3,1,1.0,1,190.982,265.05,4.447
535,2,1,0.86171,1,90.796,217.563,2.035
536,1,1,0.43471,0,70.416,109.385,2.216
537,1,1,0.4322,0,82.693,136.884,1.972
538,1,1,0.30116,0,63.472,113.399,3.225
539,2,1,0.91733,1,96.036,188.597,2.575
540,3,1,1.0,1,221.454,273.66,3.97
541,3,1,1.0,1,240.883,310.372,0.851
542,0,0,0.09358,0,88.352,213.207,2.075
543,2,1,0.82432,1,56.734,171.079,1.905
544,1,1,0.48463,0,81.001,132.097,1.853
545,3,1,1.0,1,23.479,78.375,3.898
546,0,0,0.02988,0,98.415,260.598,0.62
547,3,1,1.0,1,37.71,93.531,3.932
548,3,1,1.0,1,25.273,84.987,3.711
549,1,1,0.43419,0,64.327,107.334,4.069
550,3,1,0.98155,1,184.722,274.9,4.163
551,3,1,1.0,1,15.909,89.597,2.851
552,3,1,1.0,1,218.332,284.426,3.864
553,3,1,0.97145,1,206.538,270.967,3.566
554,0,0,0.0787,0,128.566,295.416,4.347
555,3,1,1.0,1,35.13,87.739,0.422
556,0,0,0.02647,0,155.761,246.676,1.867
557,0,0,0.05008,0,83.735,273.675,0.625
558,2,1,0.96575,1,33.055,167.339,1.591
559,3,1,1.0,1,31.161,91.099,1.818
560,1,1,0.37735,0,65.312,119.299,3.521
