sample_id,profile_id,time_index,torque_proxy_nm,voltage_v,current_a,temperature_c,is_allowed
85,1001,8.4,9.222874,26.88172,6.135526,11.458266,1
86,1001,8.5,9.313294,26.88172,6.07055,11.513379,1
87,1001,8.6,9.403715,21.994135,6.175112,11.512911,1
88,1001,8.7,13.1652,26.88172,6.231719,11.485673,1
89,1001,8.8,5.696481,12.218964,6.166983,11.403142,1
90,1001,8.9,13.418377,17.106549,6.215214,11.458266,1
91,1001,9.0,5.696481,12.218964,6.110948,11.762201,1
92,1001,9.1,9.584555,26.88172,6.215214,11.430371,1
93,1001,9.2,9.494135,26.88172,6.166983,11.926749,1
94,1001,9.3,5.587977,12.218964,6.126954,11.485673,1
95,1001,9.4,5.533724,21.994135,6.078809,11.684301,1
96,1001,9.5,9.042033,21.994135,5.982552,11.210985,1
97,1001,9.6,8.861193,17.106549,6.000494,11.458266,1
98,1001,9.7,5.533724,12.218964,6.078809,11.485815,1
99,1001,9.8,5.533724,17.106549,6.078809,11.485673,1
100,1001,9.9,9.042033,21.994135,6.039383,11.568365,1
101,1001,10.0,9.313294,17.106549,6.126954,11.540641,1
102,1001,10.1,13.038612,17.106549,6.07055,11.458266,1
103,1001,10.2,9.313294,17.106549,6.126954,11.375761,1
104,1001,10.3,5.750733,12.218964,6.215214,11.485673,1
105,1001,10.4,9.313294,17.106549,6.183617,11.957643,1
106,1001,10.5,9.313294,21.994135,6.07055,11.458266,1
107,1001,10.6,5.750733,12.218964,6.15923,11.761202,1
108,1001,10.7,5.479472,21.994135,6.087448,11.485673,1
109,1001,10.8,1.880743,7.331378,6.118761,11.402676,1
110,1001,10.9,9.132454,17.106549,6.030675,11.486014,1
111,1001,11.0,5.587977,17.106549,6.07055,11.568365,1
112,1001,11.1,9.403715,26.88172,6.118761,11.513221,1
113,1001,11.2,9.222874,26.88172,6.078809,11.513379,1
114,1001,11.3,5.696481,17.106549,6.110948,11.485673,1
115,1001,11.4,5.587977,17.106549,6.07055,11.292065,1
116,1001,11.5,9.222874,21.994135,6.078809,11.458266,1
117,1001,11.6,12.912023,17.106549,6.135526,11.375429,1
118,1001,11.7,1.790323,26.88172,5.991331,11.485673,1
119,1001,11.8,9.222874,21.994135,6.02235,11.403117,1
120,1001,11.9,5.370968,21.994135,5.991331,11.486014,1
121,1001,12.0,9.403715,21.994135,6.062675,11.734183,1
122,1001,12.1,13.1652,17.106549,6.062675,11.458481,1
123,1001,12.2,5.479472,17.106549,5.974161,11.65132,1
124,1001,12.3,5.587977,21.994135,6.07055,11.458266,1
125,1001,12.4,9.584555,21.994135,6.15923,11.734254,1
126,1001,12.5,9.584555,21.994135,6.15923,11.513093,1
127,1001,12.6,5.587977,17.106549,6.126954,11.319788,1
128,1001,12.7,9.584555,17.106549,6.15923,11.458266,1
129,1001,12.8,9.674976,21.994135,6.263456,11.467652,1
130,1001,12.9,9.494135,17.106549,6.166983,11.375761,1
131,1001,13.0,9.494135,17.106549,6.110948,11.848024,1
132,1001,13.1,9.494135,21.994135,6.110948,11.486014,1
133,1001,13.2,5.533724,17.106549,6.078809,11.763034,1
134,1001,13.3,12.658847,17.106549,5.982552,11.430963,1
135,1001,13.4,9.222874,21.994135,6.02235,11.513421,1
136,1001,13.5,5.42522,21.994135,5.925983,11.486014,1
137,1001,13.6,12.658847,17.106549,5.982552,11.568707,1
138,1001,13.7,8.951613,26.88172,5.934443,11.403376,1
139,1001,13.8,12.912023,21.994135,6.02235,11.458266,1
140,1001,13.9,9.313294,17.106549,6.126954,11.486014,1
141,1001,14.0,9.222874,17.106549,6.078809,11.98443,1
142,1001,14.1,13.1652,21.994135,6.118761,11.485673,1
143,1001,14.2,5.479472,21.994135,6.087448,11.486014,1
144,1001,14.3,9.494135,26.88172,6.110948,11.458266,1
145,1001,14.4,5.804985,12.218964,6.207522,11.198772,1
146,1001,14.5,9.132454,12.218964,6.087448,11.348048,1
147,1001,14.6,9.494135,21.994135,6.110948,11.625033,1
148,1001,14.7,9.403715,17.106549,6.062675,11.513421,1
149,1001,14.8,12.912023,26.88172,6.078809,11.739657,1
150,1001,14.9,5.587977,21.994135,6.126954,11.403459,1
151,1001,15.0,9.132454,7.331378,5.974161,11.486014,1
152,1001,15.1,9.313294,21.994135,6.07055,11.486014,1
153,1001,15.2,15.950147,26.88172,5.943292,10.992989,1
154,1001,15.3,8.951613,21.994135,5.934443,11.376261,1
155,1001,15.4,20.688172,21.994135,6.006861,11.486014,1
156,1001,15.5,5.642229,21.994135,6.006861,11.486014,1
157,1001,15.6,1.862659,21.994135,6.126954,12.123931,1
158,1001,15.7,9.222874,21.994135,6.078809,11.458084,1
159,1001,15.8,9.494135,26.88172,6.110948,11.513421,1
160,1001,15.9,9.584555,21.994135,6.215214,11.458621,1
161,1001,16.0,5.642229,21.994135,6.062675,11.513221,1
162,1001,16.1,13.1652,17.106549,6.118761,11.402534,1
163,1001,16.2,13.1652,17.106549,6.118761,11.513781,1
164,1001,16.3,5.587977,17.106549,6.07055,11.513421,1
165,1001,16.4,13.038612,26.88172,6.126954,12.214525,1
166,1001,16.5,9.313294,12.218964,6.07055,11.348495,1
167,1001,16.6,8.861193,17.106549,6.000494,11.486014,1
168,1001,16.7,8.951613,12.218964,5.934443,11.486014,1
169,1001,16.8,27.939883,21.994135,6.126954,11.513563,1
170,1001,16.9,5.533724,26.88172,6.02235,11.321034,1
171,1001,17.0,9.494135,17.106549,6.055184,11.513421,1
172,1001,17.1,9.132454,21.994135,5.974161,11.513563,1
173,1001,17.2,9.313294,21.994135,6.126954,11.486014,1
174,1001,17.3,9.403715,26.88172,6.118761,11.154761,1
175,1001,17.4,13.418377,21.994135,6.215214,11.486014,1
176,1001,17.5,5.642229,26.88172,6.231719,11.403491,1
177,1001,17.6,5.642229,21.994135,6.175112,11.513781,1
178,1001,17.7,5.533724,17.106549,6.135526,11.678424,1
179,1001,17.8,5.642229,26.88172,6.062675,11.486014,1
180,1001,17.9,9.132454,26.88172,6.144475,11.541188,1
181,1001,18.0,9.042033,21.994135,6.039383,11.513781,1
182,1001,18.1,1.808407,26.88172,6.039383,11.129183,1
183,1001,18.2,9.403715,21.994135,6.062675,11.486014,1
184,1001,18.3,5.533724,36.656891,6.02235,11.486247,1
185,1001,18.4,5.533724,12.218964,5.966159,11.513781,1
186,1001,18.5,1.862659,17.106549,6.126954,11.458481,1
187,1001,18.6,5.750733,21.994135,6.15923,11.486014,1
188,1001,18.7,5.642229,7.331378,6.118761,11.376123,1
189,1001,18.8,13.544966,17.106549,6.207522,11.486014,1
190,1001,18.9,9.494135,26.88172,6.110948,11.733417,1
191,1001,19.0,9.584555,26.88172,6.103516,11.486014,1
192,1001,19.1,5.804985,17.106549,6.096467,11.541188,1
193,1001,19.2,9.403715,31.769306,6.062675,11.486014,1
194,1001,19.3,9.403715,17.106549,6.118761,11.129183,1
195,1001,19.4,9.222874,26.88172,6.078809,11.513781,1
196,1001,19.5,9.222874,21.994135,6.02235,11.486014,1
197,1001,19.6,16.76393,17.106549,6.014412,11.513781,1
198,1001,19.7,5.262463,17.106549,5.952529,11.458729,1
199,1001,19.8,9.222874,26.88172,6.02235,11.513781,1
200,1001,19.9,5.42522,21.994135,6.039383,11.513781,1
201,1001,20.0,43.673021,7.331378,6.22328,11.513781,1
202,1001,20.1,9.222874,26.88172,6.02235,11.099586,1
203,1001,20.2,9.222874,17.106549,6.135526,11.513781,1
204,1001,20.3,13.038612,17.106549,6.07055,11.43104,1
205,1001,20.4,9.584555,12.218964,6.215214,11.513781,1
206,1001,20.5,12.912023,21.994135,6.135526,11.51253,1
207,1001,20.6,13.1652,26.88172,6.118761,11.486014,1
208,1001,20.7,9.494135,26.88172,6.055184,11.541188,1
209,1001,20.8,9.403715,12.218964,6.062675,11.513781,1
210,1001,20.9,5.642229,26.88172,6.062675,11.156539,1
211,1001,21.0,5.533724,7.331378,6.02235,11.513781,1
212,1001,21.1,1.826491,21.994135,6.030675,11.513781,1
213,1001,21.2,1.844575,17.106549,6.02235,11.513781,1
214,1001,21.3,9.222874,7.331378,6.078809,11.513781,1
215,1001,21.4,5.42522,21.994135,5.982552,11.817699,1
216,1001,21.5,9.132454,26.88172,5.974161,11.321353,1
217,1001,21.6,9.403715,17.106549,5.951325,11.513781,1
218,1001,21.7,9.222874,26.88172,5.966159,11.541329,1
219,1001,21.8,9.222874,17.106549,6.078809,11.513781,1
220,1001,21.9,1.862659,21.994135,6.07055,11.541329,1
221,1001,22.0,5.642229,26.88172,6.118761,11.071565,1
222,1001,22.1,5.587977,12.218964,6.126954,11.568608,1
223,1001,22.2,9.403715,21.994135,6.118761,11.541329,1
224,1001,22.3,9.584555,12.218964,6.215214,11.293692,1
225,1001,22.4,9.313294,12.218964,6.126954,11.513781,1
226,1001,22.5,5.696481,17.106549,6.110948,11.300423,1
227,1001,22.6,9.494135,31.769306,6.110948,11.650657,1
228,1001,22.7,9.313294,21.994135,6.07055,11.513781,1
229,1001,22.8,5.587977,21.994135,6.07055,11.736593,1
230,1001,22.9,5.533724,21.994135,5.966159,11.541566,1
231,1001,23.0,9.313294,21.994135,6.07055,11.541329,1
232,1001,23.1,5.42522,17.106549,5.982552,11.458266,1
233,1001,23.2,5.262463,26.88172,5.952529,11.458729,1
234,1001,23.3,9.222874,12.218964,6.02235,11.513781,1
235,1001,23.4,9.313294,21.994135,6.07055,11.458729,1
236,1001,23.5,9.222874,26.88172,6.02235,11.513781,1
237,1001,23.6,13.038612,17.106549,6.014412,11.513781,1
238,1001,23.7,9.222874,21.994135,6.02235,11.596473,1
239,1001,23.8,9.403715,12.218964,6.175112,11.375596,1
240,1001,23.9,5.804985,17.106549,6.207522,11.596521,1
241,1001,24.0,9.222874,21.994135,6.192496,11.513781,1
242,1001,24.1,9.313294,21.994135,6.126954,11.321422,1
243,1001,24.2,9.494135,21.994135,6.166983,11.513781,1
244,1001,24.3,9.494135,17.106549,6.110948,10.496741,1
245,1001,24.4,5.479472,2.443793,6.087448,11.430872,1
246,1001,24.5,9.222874,17.106549,6.078809,11.376261,1
247,1001,24.6,5.479472,21.994135,6.030675,11.541566,1
248,1001,24.7,1.790323,21.994135,5.934443,11.541566,1
249,1001,24.8,9.132454,21.994135,6.030675,11.541566,1
250,1001,24.9,9.042033,17.106549,5.982552,11.541566,1
251,1002,25.0,13.038612,21.994135,6.014412,10.965702,1
252,1002,25.1,5.370968,21.994135,5.877817,11.513781,1
253,1002,25.2,9.222874,26.88172,6.02235,11.541566,1
254,1002,25.3,17.089443,17.106549,6.110948,11.541566,1
255,1002,25.4,5.533724,21.994135,6.078809,11.569114,1
256,1002,25.5,9.313294,31.769306,6.014412,11.541566,1
257,1002,25.6,17.252199,21.994135,6.103516,12.207443,1
258,1002,25.7,9.494135,26.88172,5.999698,11.01694,1
259,1002,25.8,9.403715,26.88172,6.175112,11.541188,1
260,1002,25.9,5.750733,17.106549,6.15923,11.569114,1
261,1002,26.0,9.584555,21.994135,6.215214,11.403871,1
262,1002,26.1,9.584555,21.994135,6.15923,11.541566,1
263,1002,26.2,13.291789,21.994135,6.166983,11.7651,1
264,1002,26.3,5.750733,17.106549,6.15923,11.789005,1
265,1002,26.4,9.494135,17.106549,6.110948,11.486387,1
266,1002,26.5,13.418377,17.106549,6.15923,11.876501,1
267,1002,26.6,9.222874,26.88172,6.135526,11.596776,1
268,1002,26.7,5.479472,21.994135,6.030675,11.568972,1
269,1002,26.8,9.494135,17.106549,6.110948,11.712325,1
270,1002,26.9,5.642229,21.994135,6.062675,11.184305,1
271,1002,27.0,9.132454,17.106549,6.087448,11.541566,1
272,1002,27.1,5.587977,17.106549,6.07055,11.541566,1
273,1002,27.2,8.951613,17.106549,5.991331,11.513921,1
274,1002,27.3,9.132454,21.994135,5.974161,11.541566,1
275,1002,27.4,9.132454,17.106549,5.974161,11.541566,1
276,1002,27.5,1.934995,21.994135,6.151857,11.845484,1
277,1002,27.6,8.951613,26.88172,5.991331,11.486514,1
278,1002,27.7,5.587977,21.994135,6.014412,11.541566,1
279,1002,27.8,5.587977,17.106549,6.07055,11.596678,1
280,1002,27.9,9.132454,17.106549,5.917916,11.569114,1
281,1002,28.0,5.587977,17.106549,6.126954,11.569369,1
282,1002,28.1,5.750733,21.994135,6.27146,11.126617,1
283,1002,28.2,9.403715,21.994135,6.175112,11.596392,1
284,1002,28.3,5.859238,21.994135,6.255823,11.569114,1
285,1002,28.4,9.494135,17.106549,6.22328,11.293692,1
286,1002,28.5,9.494135,26.88172,6.22328,11.569114,1
287,1002,28.6,9.584555,21.994135,6.15923,10.415035,1
288,1002,28.7,12.532258,31.769306,6.221361,11.846794,1
289,1002,28.8,5.479472,17.106549,5.974161,11.541566,1
290,1002,28.9,5.533724,21.994135,6.02235,11.541566,1
291,1002,29.0,5.479472,26.88172,6.030675,11.514032,1
292,1002,29.1,9.222874,21.994135,6.078809,11.541566,1
293,1002,29.2,23.744379,17.106549,6.030675,10.748363,1
294,1002,29.3,1.844575,26.88172,6.02235,11.651665,1
295,1002,29.4,9.222874,21.994135,6.02235,11.569369,1
296,1002,29.5,16.76393,17.106549,6.07055,11.541566,1
297,1002,29.6,5.642229,17.106549,6.118761,11.569114,1
298,1002,29.7,9.403715,26.88172,6.175112,11.596918,1
299,1002,29.8,5.642229,17.106549,6.118761,11.845484,1
300,1002,29.9,5.642229,26.88172,6.118761,11.21,1
301,1002,30.0,13.291789,21.994135,6.22328,11.596521,1
302,1002,30.1,9.403715,21.994135,6.118761,11.457942,1
303,1002,30.2,13.291789,21.994135,6.22328,11.514172,1
304,1002,30.3,5.696481,21.994135,6.166983,11.541566,1
305,1002,30.4,5.696481,65.982405,6.110948,11.873316,1
306,1002,30.5,5.804985,26.88172,6.207522,11.458421,1
307,1002,30.6,9.584555,21.994135,6.103516,11.541566,1
308,1002,30.7,9.584555,12.218964,6.103516,11.789749,1
309,1002,30.8,9.222874,17.106549,6.02235,11.596776,1
310,1002,30.9,9.222874,26.88172,6.078809,13.279046,1
311,1002,31.0,5.370968,12.218964,6.105864,11.239106,1
312,1002,31.1,5.587977,17.106549,6.07055,11.569369,1
313,1002,31.2,9.313294,12.218964,5.958546,11.569369,1
314,1002,31.3,9.132454,21.994135,5.974161,11.569369,1
315,1002,31.4,5.42522,21.994135,5.982552,11.569369,1
316,1002,31.5,9.042033,21.994135,5.982552,12.012121,1
317,1002,31.6,5.479472,17.106549,5.861945,11.404389,1
318,1002,31.7,5.587977,17.106549,6.07055,11.569369,1
319,1002,31.8,9.313294,21.994135,6.014412,11.652061,1
320,1002,31.9,9.403715,17.106549,6.062675,11.596918,1
321,1002,32.0,46.11437,12.218964,6.078809,11.596918,1
322,1002,32.1,5.967742,31.769306,6.408238,11.209278,1
323,1002,32.2,9.584555,36.656891,6.15923,11.623941,1
324,1002,32.3,9.674976,21.994135,6.207522,11.596918,1
325,1002,32.4,5.750733,21.994135,6.215214,11.321422,1
326,1002,32.5,5.750733,21.994135,6.215214,11.569369,1
327,1002,32.6,9.403715,21.994135,6.118761,10.606087,1
328,1002,32.7,9.946237,12.218964,6.186706,11.901236,1
329,1002,32.8,5.696481,26.88172,6.166983,11.514172,1
330,1002,32.9,5.859238,26.88172,6.200206,11.596918,1
331,1002,33.0,9.584555,21.994135,6.048079,11.596776,1
332,1002,33.1,9.494135,26.88172,6.110948,11.569369,1
333,1002,33.2,9.042033,21.994135,6.039383,12.038153,1
334,1002,33.3,12.912023,17.106549,6.078809,11.157378,1
335,1002,33.4,9.403715,21.994135,6.062675,11.596776,1
336,1002,33.5,5.696481,21.994135,6.110948,11.569369,1
337,1002,33.6,9.222874,17.106549,6.02235,11.569369,1
338,1002,33.7,9.042033,21.994135,5.982552,11.569369,1
339,1002,33.8,5.533724,21.994135,6.078809,11.900694,1
340,1002,33.9,9.313294,17.106549,6.07055,11.431795,1
341,1002,34.0,1.880743,26.88172,6.062675,11.569369,1
342,1002,34.1,5.533724,12.218964,6.02235,11.707063,1
343,1002,34.2,5.587977,21.994135,6.07055,11.62474,1
344,1002,34.3,9.584555,17.106549,6.15923,11.652147,1
345,1002,34.4,9.584555,12.218964,6.15923,11.707479,1
346,1002,34.5,9.494135,21.994135,6.166983,11.458621,1
347,1002,34.6,1.898827,21.994135,6.166983,11.624324,1
348,1002,34.7,13.1652,26.88172,6.175112,11.402676,1
349,1002,34.8,5.750733,21.994135,6.27146,11.541975,1
350,1002,34.9,9.674976,21.994135,6.207522,11.569369,1
351,1002,35.0,9.494135,7.331378,6.166983,11.900454,1
352,1002,35.1,13.291789,21.994135,6.166983,11.486169,1
353,1002,35.2,9.494135,17.106549,5.999698,11.596918,1
354,1002,35.3,9.494135,17.106549,6.166983,11.845025,1
355,1002,35.4,5.642229,17.106549,6.175112,11.596918,1
356,1002,35.5,9.132454,12.218964,5.974161,11.652147,1
357,1002,35.6,9.313294,12.218964,5.958546,11.514172,1
358,1002,35.7,9.222874,12.218964,6.02235,11.596776,1
359,1002,35.8,9.132454,21.994135,6.030675,11.62474,1
360,1002,35.9,5.479472,26.88172,5.974161,11.569658,1
361,1002,36.0,5.533724,21.994135,6.02235,11.624598,1
362,1002,36.1,1.808407,17.106549,5.982552,11.569369,1
363,1002,36.2,1.862659,31.769306,6.07055,11.789947,1
364,1002,36.3,9.222874,21.994135,6.02235,11.624598,1
365,1002,36.4,16.926686,17.106549,6.062675,11.597191,1
366,1002,36.5,5.533724,17.106549,6.02235,11.652147,1
367,1002,36.6,9.042033,21.994135,5.982552,11.652147,1
368,1002,36.7,9.403715,26.88172,6.118761,12.402527,1
369,1002,36.8,9.584555,17.106549,6.15923,11.099391,1
370,1002,36.9,9.584555,21.994135,6.103516,11.652147,1
371,1002,37.0,13.544966,17.106549,6.207522,11.62474,1
372,1002,37.1,9.584555,21.994135,6.215214,11.486971,1
373,1002,37.2,5.642229,21.994135,6.175112,11.62474,1
374,1002,37.3,9.313294,21.994135,6.126954,11.334437,1
375,1002,37.4,9.403715,12.218964,6.118761,11.733757,1
376,1002,37.5,5.804985,26.88172,6.151857,11.569369,1
377,1002,37.6,5.696481,26.88172,6.055184,11.932613,1
378,1002,37.7,9.313294,21.994135,6.07055,11.624598,1
379,1002,37.8,5.479472,21.994135,6.087448,11.624598,1
380,1002,37.9,9.222874,17.106549,6.02235,11.707408,1
381,1002,38.0,5.533724,12.218964,6.078809,11.322504,1
382,1002,38.1,5.42522,21.994135,6.096467,11.624598,1
383,1002,38.2,9.403715,17.106549,6.062675,11.624598,1
384,1002,38.3,9.313294,21.994135,6.07055,11.652439,1
385,1002,38.4,9.403715,21.994135,6.062675,11.624598,1
386,1002,38.5,9.313294,21.994135,6.014412,12.011762,1
387,1002,38.6,12.785435,21.994135,5.974161,11.432211,1
388,1002,38.7,9.494135,26.88172,6.055184,11.597191,1
389,1002,38.8,9.313294,12.218964,6.07055,11.734886,1
390,1002,38.9,9.403715,17.106549,6.062675,11.62474,1
391,1002,39.0,5.750733,21.994135,6.15923,11.624598,1
392,1002,39.1,13.1652,21.994135,6.062675,11.70729,1
393,1002,39.2,5.696481,17.106549,6.22328,11.568972,1
394,1002,39.3,9.494135,26.88172,6.110948,11.597191,1
395,1002,39.4,9.584555,17.106549,6.27146,11.375596,1
396,1002,39.5,9.494135,17.106549,6.166983,11.597191,1
397,1002,39.6,9.403715,21.994135,6.175112,11.62474,1
398,1002,39.7,9.403715,12.218964,6.175112,12.180944,1
399,1002,39.8,9.494135,12.218964,6.110948,11.486791,1
400,1002,39.9,13.038612,26.88172,6.126954,11.62474,1
401,1002,40.0,5.696481,17.106549,6.22328,11.81761,1
402,1002,40.1,5.587977,17.106549,6.014412,11.652439,1
403,1002,40.2,5.479472,21.994135,6.030675,12.157255,1
404,1002,40.3,8.680352,26.88172,6.19481,11.541975,1
405,1002,40.4,9.132454,17.106549,6.030675,11.597065,1
406,1002,40.5,9.042033,12.218964,5.982552,11.624598,1
407,1002,40.6,9.132454,26.88172,5.974161,11.569658,1
408,1002,40.7,9.132454,17.106549,5.974161,11.597191,1
409,1002,40.8,31.357771,17.106549,6.02235,11.652581,1
410,1002,40.9,5.42522,17.106549,5.869683,11.790363,1
411,1002,41.0,9.313294,21.994135,6.07055,11.569658,1
412,1002,41.1,20.290323,17.106549,6.02235,11.652439,1
413,1002,41.2,5.533724,21.994135,5.966159,11.652581,1
414,1002,41.3,9.403715,21.994135,6.118761,11.62474,1
415,1002,41.4,5.750733,26.88172,6.15923,12.095191,1
416,1002,41.5,5.696481,21.994135,6.166983,11.154336,1
417,1002,41.6,5.750733,12.218964,6.15923,11.652147,1
418,1002,41.7,5.696481,21.994135,6.166983,11.652147,1
419,1002,41.8,9.584555,17.106549,6.215214,11.487226,1
420,1002,41.9,9.403715,21.994135,6.118761,11.652581,1
421,1002,42.0,13.038612,17.106549,6.126954,11.414098,1
422,1002,42.1,13.1652,17.106549,6.118761,11.734086,1
423,1002,42.2,9.584555,21.994135,6.048079,11.652581,1
424,1002,42.3,5.804985,17.106549,6.151857,11.848024,1
425,1002,42.4,5.642229,17.106549,6.175112,11.679988,1
426,1002,42.5,9.313294,21.994135,6.07055,11.652581,1
427,1002,42.6,9.222874,61.094819,6.02235,11.624324,1
428,1002,42.7,8.951613,17.106549,5.934443,11.460052,1
429,1002,42.8,5.533724,12.218964,6.02235,11.652439,1
430,1002,42.9,5.42522,21.994135,6.039383,11.624906,1
431,1002,43.0,1.880743,26.88172,6.118761,11.652439,1
432,1002,43.1,9.313294,21.994135,6.07055,11.652439,1
433,1002,43.2,1.772239,17.106549,5.77325,11.873272,1
434,1002,43.3,9.222874,26.88172,5.966159,11.514988,1
435,1002,43.4,5.587977,17.106549,6.07055,11.625033,1
436,1002,43.5,5.587977,21.994135,6.07055,11.652581,1
437,1002,43.6,9.494135,12.218964,6.055184,11.652581,1
438,1002,43.7,54.017107,21.994135,6.07055,11.625033,1
439,1002,43.8,5.750733,17.106549,6.215214,11.209278,1
440,1002,43.9,5.696481,12.218964,6.166983,11.679567,1
441,1002,44.0,9.584555,21.994135,6.27146,11.679988,1
442,1002,44.1,13.798143,17.106549,6.248564,11.376937,1
443,1002,44.2,5.750733,12.218964,6.15923,11.625033,1
444,1002,44.3,9.674976,17.106549,6.207522,10.715085,1
445,1002,44.4,5.750733,26.88172,6.215214,11.984214,1
446,1002,44.5,13.418377,7.331378,6.15923,11.597639,1
447,1002,44.6,5.696481,26.88172,6.110948,11.625033,1
448,1002,44.7,5.750733,21.994135,6.15923,11.6803,1
