sample_id,profile_id,time_index,vehicle_speed_m_s,acceleration_m_s2,slope_rad,motor_speed_rpm,motor_torque_nm,motor_efficiency,drivetrain_efficiency,is_allowed
26,3,1651658039,2.680556,2.186111,0.0,1128.415279,112.947779,0.901292,0.839283,0
27,3,1651658078,12.988889,0.9,0.119756,5467.8444,-30.407453,1.0,0.9312,1
28,3,1651658084,16.044444,0.219444,-0.050337,6754.120884,33.411196,0.710379,0.661505,0
29,3,1651658090,17.813889,-1.433333,0.011912,7498.991903,-110.424887,1.0,0.9312,1
30,3,1651658106,2.675,-0.030556,0.0,1126.076595,-13.716845,1.0,0.9312,1
31,3,1651658114,3.833333,-0.397222,0.0,1613.692317,-35.952353,1.0,0.9312,1
32,3,1651662690,1.013889,-0.506944,0.0,426.809924,-42.343579,1.0,0.9312,1
33,3,1651662698,0.0,0.0,0.0,0.0,-0.000908,1.0,0.9312,1
34,3,1651662714,7.197222,0.7,-0.050073,3029.765791,42.850049,0.913778,0.85091,0
35,3,1651662718,10.547222,0.352778,0.024305,4439.992555,-6.599094,1.0,0.9312,1
36,3,1651662731,15.861111,0.291667,0.069619,6676.944295,-39.177908,1.0,0.9312,1
37,3,1651662740,10.936111,-1.316667,-0.025052,4603.700471,-78.3997,1.0,0.9312,1
38,3,1651662772,0.325,0.266667,0.0,136.813044,4.322878,0.311361,0.289939,0
39,3,1651662775,0.988889,-0.047222,0.0,416.285844,-14.62002,1.0,0.9312,1
40,3,1651662783,2.741667,0.797222,0.102272,1154.140809,-23.755603,1.0,0.9312,1
41,3,1651662785,4.516667,-0.015278,0.0,1901.350512,-13.013967,1.0,0.9312,1
42,3,1651662805,9.311111,0.254167,0.043887,3919.63525,-23.636596,1.0,0.9312,1
43,3,1651662815,10.391667,-0.3625,0.026014,4374.509388,-50.682809,1.0,0.9312,1
44,3,1651662817,9.666667,-0.025,0.0,4069.311059,-14.804839,1.0,0.9312,1
45,3,1651662843,8.858333,-0.025,0.066097,3729.032462,-53.356652,1.0,0.9312,1
46,3,1651662844,8.833333,0.152778,0.098179,3718.508382,-61.391562,1.0,0.9312,1
47,3,1651662860,7.455556,-0.597222,-0.030042,3138.514621,-31.025446,1.0,0.9312,1
48,3,1651662898,2.413889,0.0,-0.124182,1016.158423,-2.804949,1.0,0.9312,1
49,3,1651662904,0.427778,-0.169444,0.0,180.078708,-21.977306,1.0,0.9312,1
50,3,1651662908,0.211111,0.361111,0.0,88.870012,21.77543,0.566072,0.527126,0
51,3,1651662910,0.422222,0.205556,-0.089911,177.740023,53.463577,0.729147,0.678981,0
52,3,1651662912,0.833333,0.0,0.0,350.802678,-11.767693,1.0,0.9312,1
53,3,1651662940,8.080556,0.7875,-0.049208,3401.61663,62.282421,0.933939,0.869684,0
54,3,1651662945,10.463889,0.0875,-0.026471,4404.912287,0.848198,0.190218,0.177131,0
55,3,1651662948,10.633333,-0.488889,0.0,4476.242165,-43.102449,1.0,0.9312,1
56,3,1651662955,3.708333,-0.963889,0.0,1561.071915,-70.108635,1.0,0.9312,1
57,3,1651662977,5.163889,-0.858333,-0.043236,2173.807258,-38.538468,1.0,0.9312,1
58,3,1651662978,4.305556,0.155556,-0.043236,1812.4805,-3.891403,1.0,0.9312,1
59,3,1651662980,4.963889,0.383333,0.07581,2089.614616,-33.532099,1.0,0.9312,1
60,3,1651663005,14.713889,-0.223611,0.065753,6194.005942,-67.408138,1.0,0.9312,1
61,3,1651658347,1.311111,0.011111,0.0,551.929546,-11.114554,1.0,0.9312,1
62,3,1651658354,3.008333,0.1625,0.0,1266.397666,-2.106214,1.0,0.9312,1
63,3,1651658380,6.208333,-1.751389,0.025489,2613.479947,-132.983511,1.0,0.9312,1
64,3,1651658385,3.936111,1.138889,0.027306,1656.95798,28.015422,0.870283,0.810408,0
65,3,1651658400,5.077778,-1.063889,-0.0441,2137.557648,-50.411655,1.0,0.9312,1
66,3,1651658406,0.0,0.0,0.0,0.0,-1.770359,1.0,0.9312,1
67,3,1651658413,0.0,0.0,0.0,0.0,20.608696,1.0,0.9312,1
68,3,1651658414,0.0,0.747222,0.0,0.0,55.276513,1.0,0.9312,1
69,3,1651658443,15.783333,-0.772222,-0.013132,6644.202712,-54.712,1.0,0.9312,1
70,3,1651658454,12.325,-0.527778,0.0,5188.3716,-46.08806,1.0,0.9312,1
71,3,1651658487,13.7,0.030556,0.037456,5767.196018,-35.012823,1.0,0.9312,1
72,3,1651658501,14.6,-0.011111,-0.027234,6146.06291,4.689059,0.32196,0.299809,0
73,3,1651658573,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
74,3,1651658575,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
75,3,1651658600,4.413889,0.138889,0.021032,1858.084849,-16.06131,1.0,0.9312,1
76,3,1651658602,4.691667,0.472222,0.0,1975.019074,2.78942,0.426617,0.397266,0
77,3,1651658609,8.761111,0.852778,-0.069708,3688.105483,61.605616,0.934691,0.870385,0
78,3,1651658614,10.319444,-0.477778,-0.019697,4344.10649,-30.744519,1.0,0.9312,1
79,3,1651658623,2.819444,-1.280556,0.0,1186.882392,-89.108967,1.0,0.9312,1
80,3,1651658663,13.713889,-0.091667,-0.029428,5773.042729,-3.084961,1.0,0.9312,1
81,3,1651658673,10.730556,-0.748611,0.062989,4517.169144,-95.776863,1.0,0.9312,1
82,3,1651658682,4.475,-0.559722,0.0,1883.810378,-45.839545,1.0,0.9312,1
83,3,1651658690,3.030556,0.145833,0.031203,1275.752404,-21.44632,1.0,0.9312,1
84,3,1651658701,2.916667,-0.056944,0.05298,1227.809371,-46.441441,1.0,0.9312,1
85,3,1651658706,2.788889,-0.422222,0.10009,1174.019627,-96.022896,1.0,0.9312,1
86,3,1651658714,1.286111,-0.005556,0.0,541.405466,-12.118537,1.0,0.9312,1
87,3,1651666760,0.422222,-0.236111,0.0,177.740023,-25.997443,1.0,0.9312,1
88,3,1651666762,0.194444,-0.194444,0.0,81.853958,-11.726251,1.0,0.9312,1
89,3,1651666769,0.0,0.0,0.0,0.0,-6.259273,1.0,0.9312,1
90,3,1651666773,0.0,0.0,0.0,0.0,-0.00483,1.0,0.9312,1
91,3,1651666795,3.725,1.208333,-0.035556,1568.087968,76.053912,0.920526,0.857194,0
92,3,1651666797,6.136111,1.605556,-0.050073,2583.077049,96.634341,0.938781,0.874193,0
93,3,1651666801,9.486111,0.7,0.0,3993.303812,5.318882,0.600646,0.559321,0
94,3,1651666807,11.883333,0.3,0.029757,5002.446181,-13.477628,1.0,0.9312,1
95,3,1651666808,12.183333,0.858333,0.029757,5128.735145,10.25989,0.661483,0.615973,0
96,3,1651666813,14.075,0.247222,-0.027234,5925.057223,-1.30525,1.0,0.9312,1
97,3,1651666814,14.322222,0.747222,0.0,6029.128684,5.946809,0.391538,0.3646,0
98,3,1651666823,14.6,-0.433333,-0.034379,6146.06291,-21.191291,1.0,0.9312,1
99,3,1651666825,13.997222,-0.405556,0.0,5892.31564,-39.443555,1.0,0.9312,1
100,3,1651666836,6.636111,-1.716667,0.086646,2793.558655,-166.826575,1.0,0.9312,1
101,3,1651666856,11.533333,1.569444,-0.064416,4855.109057,42.280714,0.900255,0.838317,0
102,3,1651666863,12.886111,-0.375,0.0,5424.578736,-37.108356,1.0,0.9312,1
103,3,1651666887,13.077778,-0.283333,0.111161,5505.263352,-96.797075,1.0,0.9312,1
104,3,1651666890,12.088889,-0.175,0.048582,5088.977508,-53.251059,1.0,0.9312,1
105,3,1651666899,10.155556,-0.169444,-0.033085,4275.115297,-4.224628,1.0,0.9312,1
106,3,1651666904,6.630556,-0.236111,0.0,2791.219971,-26.719529,1.0,0.9312,1
107,3,1651666918,6.425,1.177778,-0.011627,2704.688644,50.075406,0.92071,0.857365,0
108,3,1651666928,10.511111,-1.683333,0.053729,4424.791106,-146.638796,1.0,0.9312,1
109,3,1651666932,5.391667,-0.609722,-0.055984,2269.693323,-16.094341,1.0,0.9312,1
110,3,1651666953,2.722222,-0.094444,0.0,1145.955413,-17.573754,1.0,0.9312,1
111,3,1651666959,0.0,0.0,0.0,0.0,0.371685,1.0,0.9312,1
112,3,1651666975,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
113,3,1651666985,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
114,3,1651666989,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
115,3,1651667000,5.411111,1.363889,-0.025052,2277.878719,38.40625,0.902158,0.84009,0
116,3,1651667062,2.952778,0.169444,0.0,1243.010821,-1.68198,1.0,0.9312,1
117,3,1651667065,2.952778,-0.319444,0.0,1243.010821,-31.163557,1.0,0.9312,1
118,3,1651667071,3.497222,-0.247222,0.0,1472.201903,-26.866236,1.0,0.9312,1
119,3,1651667078,2.263889,-0.161111,0.107739,953.013941,-84.696015,1.0,0.9312,1
120,3,1651680063,5.494444,-0.052778,-0.03461,2312.958987,20.400972,0.842418,0.78446,0
121,3,1651680075,13.277778,-0.480556,-0.086321,5589.455995,3.419391,0.326034,0.303603,0
122,3,1651680092,0.0,0.0,0.0,0.0,-17.003898,1.0,0.9312,1
123,3,1651680139,20.427778,0.994444,0.068721,8599.342968,12.283833,0.313797,0.292207,0
124,3,1651680167,15.027778,0.386111,-0.062331,6326.141618,-0.144185,1.0,0.9312,1
125,3,1651680174,17.413889,0.0,-0.033795,7330.606618,8.288714,0.323154,0.300921,0
126,3,1651680184,22.625,0.0,-0.028177,9524.292694,-3.632921,1.0,0.9312,1
127,3,1651680207,5.047222,-0.716667,0.0,2124.694883,-55.39366,1.0,0.9312,1
128,3,1651680215,6.002778,-0.180556,0.0,2526.94862,-23.238559,1.0,0.9312,1
129,3,1651680220,6.472222,0.338889,0.0,2724.567462,-2.010049,1.0,0.9312,1
130,3,1651680231,7.541667,-0.356944,-0.089911,3174.764231,-0.013809,1.0,0.9312,1
131,3,1651680239,0.0,0.0,0.0,0.0,-23.748442,1.0,0.9312,1
132,3,1651680260,0.0,0.138889,0.0,0.0,2.679288,1.0,0.9312,1
133,3,1651680279,0.0,0.0,0.0,0.0,-0.051961,1.0,0.9312,1
134,3,1651680300,0.2,-0.2,0.0,84.192643,-12.061305,1.0,0.9312,1
135,3,1651680308,0.277778,-0.127778,0.0,116.934226,-7.706685,1.0,0.9312,1
136,3,1651680310,0.0,0.0,0.0,0.0,-1.507643,1.0,0.9312,1
137,3,1651680320,0.175,0.030556,0.0,73.668562,1.842094,0.110975,0.10334,0
138,3,1651680325,0.180556,-0.180556,0.0,76.007247,-10.88862,1.0,0.9312,1
139,3,1651680330,0.222222,1.038889,0.0,93.547381,62.647538,0.592322,0.55157,0
140,3,1651680347,7.911111,1.416667,-0.017784,3330.286752,90.243054,0.943842,0.878906,0
141,3,1651680372,0.0,0.0,0.0,0.0,12.899293,1.0,0.9312,1
142,3,1651680377,2.813889,1.516667,0.0,1184.543708,62.627284,0.906466,0.844101,0
143,3,1651680421,4.358333,0.366667,0.025101,1834.698003,-4.707771,1.0,0.9312,1
144,3,1651680423,5.091667,0.083333,0.0,2143.40436,-7.158509,1.0,0.9312,1
145,3,1651664408,0.0,0.0,0.0,0.0,-0.15758,1.0,0.9312,1
146,3,1651664415,0.0,0.0,0.0,0.0,-3e-06,1.0,0.9312,1
147,3,1651664424,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
148,3,1651664448,0.0,0.0,0.0,0.0,15.906174,1.0,0.9312,1
149,3,1651664486,17.366667,0.222222,0.055105,7310.727799,-35.686667,1.0,0.9312,1
150,3,1651664488,19.472222,0.061111,0.0,8197.089231,-14.323995,1.0,0.9312,1
151,3,1651664495,16.302778,-1.311111,0.0,6862.869714,-95.20353,1.0,0.9312,1
152,3,1651664541,20.294444,0.052778,-0.059029,8543.214539,13.000252,0.329784,0.307095,0
153,3,1651664559,2.288889,-0.761111,0.0,963.538021,-57.740095,1.0,0.9312,1
154,3,1651664566,6.483333,1.180556,0.0,2729.244831,54.656675,0.924984,0.861345,0
155,3,1651664573,10.722222,1.058333,0.066475,4513.661117,-3.40611,1.0,0.9312,1
156,3,1651664598,6.044444,0.216667,0.033463,2544.488754,-18.952858,1.0,0.9312,1
157,3,1651664600,7.005556,-0.447222,0.034612,2949.081176,-59.868788,1.0,0.9312,1
158,3,1651664605,10.880556,0.780556,-0.053306,4580.313626,48.959642,0.920691,0.857348,0
159,3,1651664620,0.652778,-0.326389,0.0,274.795431,-31.445571,1.0,0.9312,1
160,3,1651664629,5.886111,2.402778,0.0,2477.836245,63.904312,0.929182,0.865254,0
161,3,1651664635,10.063889,0.6,0.071981,4236.527002,-19.488767,1.0,0.9312,1
162,3,1651664638,11.955556,1.605556,0.141449,5032.84908,-0.044484,1.0,0.9312,1
163,3,1651664664,4.952778,-1.747222,0.0,2084.937247,-117.52391,1.0,0.9312,1
164,3,1651664361,0.0,0.0,0.0,0.0,-0.09588,1.0,0.9312,1
165,3,1651664370,0.0,0.0,-0.213002,0.0,80.149278,1.0,0.9312,1
166,3,1651664379,7.311111,0.561111,0.0,3077.708824,38.298948,0.906638,0.844262,0
167,3,1651664380,7.872222,0.611111,-0.01731,3313.91596,8.221042,0.696089,0.648198,0
168,3,1651664405,0.0,0.0,0.0,0.0,-8.6e-05,1.0,0.9312,1
169,3,1651664418,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
170,3,1651664420,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
171,3,1651664422,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
172,3,1651664424,0.0,0.225,0.0,0.0,3.586633,1.0,0.9312,1
173,3,1651664429,0.144444,0.277778,0.0,60.805797,16.750552,0.449372,0.418456,0
174,3,1651664437,0.175,-0.0875,0.0,73.668562,-5.277037,1.0,0.9312,1
175,3,1651664440,0.144444,0.055556,0.0,60.805797,3.349835,0.16245,0.151274,0
176,3,1651664442,0.0,0.0,0.0,0.0,-2.010218,1.0,0.9312,1
177,3,1651664447,0.258333,0.184722,0.0,108.74883,11.138246,0.483824,0.450537,0
178,3,1651664464,3.580556,-0.544444,-0.045047,1507.282171,-18.317489,1.0,0.9312,1
179,3,1651664465,3.036111,1.166667,0.0,1278.091088,32.987373,0.877537,0.817163,0
180,3,1651664474,10.844444,0.508333,0.040839,4565.112177,-7.030873,1.0,0.9312,1
181,3,1651664516,11.919444,0.791667,-0.050438,5017.647631,47.346044,0.900979,0.838992,0
182,3,1651664537,19.122222,-0.095833,-0.028614,8049.752106,-6.743095,1.0,0.9312,1
183,3,1651664555,9.275,-1.361111,0.0,3904.433801,-95.254305,1.0,0.9312,1
184,3,1651664557,6.552778,-1.805556,0.0,2758.478387,-121.345184,1.0,0.9312,1
185,3,1651664588,7.747222,-0.744444,-0.066852,3261.295559,-18.345325,1.0,0.9312,1
186,3,1651664602,7.088889,0.494444,-0.02954,2984.161443,38.203743,0.906046,0.84371,0
187,3,1651664608,11.280556,0.033333,-0.03497,4748.698911,3.519224,0.458298,0.426767,0
188,3,1651664642,15.011111,0.705556,0.0,6319.125564,5.276187,0.327075,0.304572,0
189,3,1651672140,9.927778,-0.483333,-0.075256,4179.229231,9.43206,0.727248,0.677213,0
190,3,1651672147,5.108333,-1.025,0.040176,2150.420413,-97.59762,1.0,0.9312,1
191,3,1651672154,5.380556,0.911111,0.0,2265.015954,30.67981,0.884737,0.823867,0
192,3,1651672159,6.394444,-1.069444,0.0,2691.825879,-76.921502,1.0,0.9312,1
193,3,1651672161,4.897222,-0.293056,0.0,2061.550401,-29.823943,1.0,0.9312,1
194,3,1651672166,5.525,0.858333,0.0,2325.821752,10.206502,0.733152,0.682711,0
195,3,1651672170,4.5,-1.558333,0.0,1894.334459,-106.062718,1.0,0.9312,1
196,3,1651672225,19.569444,0.547222,0.00938,8238.01621,-2.891399,1.0,0.9312,1
197,3,1651672236,11.730556,-2.559722,0.059938,4938.132357,-203.575316,1.0,0.9312,1
198,3,1651672257,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
199,3,1651672278,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
200,3,1651672281,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
201,3,1651672307,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
202,3,1651672315,0.0,0.0,0.0,0.0,-0.162873,1.0,0.9312,1
203,3,1651672335,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
204,3,1651672338,0.0,0.0,0.0,0.0,18.974247,1.0,0.9312,1
205,3,1651672351,0.155556,0.230556,0.0,65.483166,13.902845,0.431502,0.401815,0
206,3,1651672374,0.283333,0.163889,0.0,119.27291,9.881705,0.47402,0.441407,0
207,3,1651672383,5.438889,1.377778,-0.021047,2289.572142,69.626791,0.929971,0.865989,0
208,3,1651672407,19.066667,0.102778,-0.015611,8026.365261,-2.376312,1.0,0.9312,1
209,3,1651672411,19.611111,-0.198611,-0.058132,8255.556344,-2.086381,1.0,0.9312,1
210,3,1651672450,10.211111,-1.098611,0.021171,4298.502142,-92.166739,1.0,0.9312,1
211,3,1651672462,4.425,-0.566667,0.0,1862.762218,-46.250979,1.0,0.9312,1
212,3,1651672467,2.161111,-0.911111,0.0,909.748277,-66.776202,1.0,0.9312,1
213,3,1651672469,0.0,0.0,0.0,0.0,-14.52684,1.0,0.9312,1
214,3,1651672482,0.0,0.0,0.0,0.0,-1e-06,1.0,0.9312,1
215,3,1651672498,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
216,3,1651672508,0.0,0.0,0.0,0.0,-0.0,1.0,0.9312,1
217,3,1651672533,8.375,-0.727778,0.0,3525.566909,-56.800297,1.0,0.9312,1
218,3,1651672535,6.919444,-0.990278,0.0,2912.831566,-72.262767,1.0,0.9312,1
219,3,1651672548,11.111111,1.152778,0.077103,4677.369033,-0.104484,1.0,0.9312,1
220,3,1651672551,14.722222,0.7,0.117714,6197.513969,-42.071197,1.0,0.9312,1
221,3,1651672586,4.727778,0.036111,0.06302,1990.220524,-46.943324,1.0,0.9312,1
222,3,1651672593,2.083333,-0.580556,0.0,877.006694,-46.837191,1.0,0.9312,1
223,3,1651684668,7.875,1.491667,-0.069136,3315.085302,60.821049,0.932624,0.86846,0
224,3,1651684669,9.366667,-0.030556,-0.069137,3943.022095,59.424331,0.934109,0.869842,0
225,3,1651684676,10.272222,-1.016667,-0.059285,4324.227671,-39.955943,1.0,0.9312,1
226,3,1651684685,2.433333,0.166667,-0.038202,1024.343818,-2.129828,1.0,0.9312,1
227,3,1651684695,6.497222,2.211111,0.02325,2735.091542,41.866398,0.91083,0.848165,0
228,3,1651684701,9.094444,-0.575,-0.025052,3828.426554,-33.066476,1.0,0.9312,1
229,3,1651684705,4.455556,-1.502778,0.0,1875.624982,-102.705975,1.0,0.9312,1
230,3,1651684726,16.35,-0.190278,0.041182,6882.748533,-51.829414,1.0,0.9312,1
231,3,1651684744,10.197222,-3.469444,0.088693,4292.65543,-274.710305,1.0,0.9312,1
232,3,1651684757,13.066667,0.375,-0.02806,5500.585983,30.708797,0.81869,0.762364,0
233,3,1651684761,14.183333,0.947222,-0.052487,5970.661571,23.681867,0.72468,0.674822,0
234,3,1651684770,14.594444,0.4375,0.016317,6143.724225,-16.276342,1.0,0.9312,1
235,3,1651684779,17.780556,0.297222,-0.027574,7484.959796,8.942351,0.326459,0.303998,0
236,3,1651684785,17.116667,0.163889,0.071022,7205.486996,-48.387581,1.0,0.9312,1
237,3,1651684801,3.936111,0.719444,0.0,1656.95798,-15.577343,1.0,0.9312,1
238,3,1651684808,6.966667,2.741667,0.0,2932.710384,65.905499,0.933496,0.869272,0
239,3,1651684814,13.747222,-0.211111,0.092001,5787.074837,-81.556583,1.0,0.9312,1
240,3,1651684822,9.45,-0.916667,-0.122675,3978.102363,11.752191,0.767631,0.714818,0
241,3,1651684827,8.005556,0.394444,-0.021629,3370.044389,9.83277,0.732481,0.682086,0
242,3,1651684835,6.641667,0.916667,-0.015982,2795.89734,92.064374,0.940272,0.875581,0
243,3,1651684849,0.297222,0.211111,0.0,125.119622,12.729224,0.53676,0.499831,0
244,3,1651684855,0.0,0.0,0.0,0.0,-0.032727,1.0,0.9312,1
245,3,1651684864,0.0,0.0,0.0,0.0,-0.922208,1.0,0.9312,1
246,3,1651684869,1.122222,0.261111,0.0,472.414272,47.019695,0.846343,0.788114,0
247,3,1651684897,13.941667,-2.625,-0.030449,5868.928795,-155.356865,1.0,0.9312,1
248,3,1651684905,4.516667,-0.344444,0.0,1901.350512,-32.863779,1.0,0.9312,1
249,3,1651684915,4.644444,-0.079167,0.057995,1955.140256,-50.937082,1.0,0.9312,1
250,3,1651684919,4.636111,0.0,0.0,1951.632229,-12.110696,1.0,0.9312,1
251,3,1651684891,2.716667,2.005556,0.0,1143.616729,31.444233,0.870196,0.810326,0
252,3,1651684893,5.186111,0.0,-0.038202,2183.161996,11.457902,0.753429,0.701593,0
253,3,1651684911,9.45,-0.369444,-0.104407,3978.102363,27.530226,0.882318,0.821614,0
254,3,1651684916,7.958333,-0.416667,-0.031201,3350.16557,-19.584159,1.0,0.9312,1
255,3,1651684921,6.55,-0.427778,-0.051889,2757.309045,-7.757178,1.0,0.9312,1
256,3,1651684952,2.927778,2.541667,-0.028946,1232.48674,79.913609,0.910985,0.848309,0
257,3,1651684959,4.897222,1.116667,-0.050062,2061.550401,64.625038,0.925311,0.861649,0
258,3,1651684983,23.386111,-3.841667,0.0,9844.692473,-252.440379,1.0,0.9312,1
259,3,1651684989,9.925,-1.013889,0.090648,4178.059889,-127.684137,1.0,0.9312,1
260,3,1651685000,13.977778,-0.011111,-0.047037,5884.130244,55.724011,0.862689,0.803336,0
261,3,1651685028,18.566667,-0.752778,0.041046,7815.883655,-86.946997,1.0,0.9312,1
262,3,1651685029,17.813889,-0.997222,0.0,7498.991903,-77.125209,1.0,0.9312,1
263,3,1651685037,11.786111,0.091667,-0.052429,4961.519202,-1.148748,1.0,0.9312,1
264,3,1651685042,8.333333,-0.6,0.029757,3508.026775,-66.566979,1.0,0.9312,1
265,3,1651685076,0.0,0.0,0.0,0.0,-8.8e-05,1.0,0.9312,1
266,3,1651685102,8.386111,1.577778,-0.03497,3530.244278,78.421156,0.941887,0.877086,0
267,3,1651685109,14.836111,-2.038889,0.0,6245.457002,-138.337716,1.0,0.9312,1
268,3,1651685116,2.347222,0.791667,0.0,988.094208,1.027589,0.197639,0.184041,0
269,3,1651685131,20.427778,0.581944,-0.051403,8599.342968,51.904457,0.657154,0.611942,0
270,3,1651685133,21.591667,1.347222,-0.072669,9089.297374,35.561942,0.535108,0.498292,0
271,3,1651685136,22.027778,0.35,0.020601,9272.884109,-10.758217,1.0,0.9312,1
272,3,1651651079,9.094444,-0.35,0.020813,3828.426554,-46.456997,1.0,0.9312,1
273,3,1651651087,7.269444,0.190278,-0.082808,3060.16869,49.560598,0.922134,0.858691,0
274,3,1651651097,11.733333,0.422222,0.121836,4939.301699,-59.917987,1.0,0.9312,1
275,3,1651651098,12.155556,-0.025,0.11116,5117.041723,-80.834831,1.0,0.9312,1
276,3,1651651112,13.016667,0.344444,-0.022987,5479.537823,1.885638,0.222605,0.20729,0
277,3,1651651114,13.447222,0.236111,0.044732,5660.785873,-26.773748,1.0,0.9312,1
278,3,1651651115,13.683333,0.761111,0.093839,5760.179965,-23.973586,1.0,0.9312,1
279,3,1651651120,16.863889,0.116667,0.058306,7099.07685,-43.644591,1.0,0.9312,1
280,3,1651651131,15.277778,0.005556,0.034659,6431.382421,-35.632048,1.0,0.9312,1
281,3,1651651134,15.313889,0.294444,0.101797,6446.58387,-57.541263,1.0,0.9312,1
282,3,1651651135,15.608333,-0.786111,0.081539,6570.53415,-111.016405,1.0,0.9312,1
283,3,1651651137,14.311111,-0.761111,0.029411,6024.451315,-78.311557,1.0,0.9312,1
284,3,1651651147,16.780556,1.25,-0.103966,7063.996583,58.786696,0.787243,0.73308,0
285,3,1651651158,11.447222,-0.447222,0.0,4818.859447,-40.886181,1.0,0.9312,1
286,3,1651651159,11.0,-0.190278,0.019207,4630.595343,-36.51301,1.0,0.9312,1
287,3,1651651182,18.416667,0.272222,0.054901,7752.739173,-33.17115,1.0,0.9312,1
288,3,1651651190,18.891667,0.236111,0.021979,7952.696699,-16.319238,1.0,0.9312,1
289,3,1651651192,18.519444,0.338889,-0.073216,7796.004836,22.760964,0.523164,0.48717,0
290,3,1651651194,19.852778,1.105556,0.0,8357.28912,26.160398,0.511234,0.476061,0
291,3,1651651195,20.958333,0.597222,0.072594,8822.687339,-25.588616,1.0,0.9312,1
292,3,1651651205,21.597222,-0.119444,0.074501,9091.636059,-70.37079,1.0,0.9312,1
293,3,1651651222,23.602778,-0.119444,0.048016,9935.901169,-56.346465,1.0,0.9312,1
294,3,1651651224,23.366667,-0.177778,-0.012876,9836.507077,-23.911483,1.0,0.9312,1
295,3,1651651237,23.211111,-0.180556,-0.059512,9771.023911,-5.931917,1.0,0.9312,1
296,3,1651651268,18.458333,0.163889,0.0,7770.279307,-7.491952,1.0,0.9312,1
297,3,1651651273,20.608333,0.166667,-0.071108,8675.350215,17.4344,0.388185,0.361478,0
298,3,1651651301,2.838889,-0.743056,0.0,1195.067788,-56.697797,1.0,0.9312,1
299,3,1651651305,0.258333,0.313889,0.0,108.74883,18.927412,0.584318,0.544117,0
