sample_id,profile_id,time_index,channel_00_mean,channel_01_mean,channel_02_mean,channel_03_mean,channel_04_mean,channel_05_mean,channel_00_trend,channel_01_trend,is_allowed
22,1000,21,87.749075,-96.104193,53.552426,-137.00498,25.415549,38.101797,0.563461,0.499092,1
23,1000,22,-0.978263,3.054299,1.097084,-2.000416,25.307757,90.530922,0.014261,0.057597,1
24,1000,23,86.039836,-98.168316,53.698624,-137.04,26.471866,18.230284,0.126228,0.065468,0
25,1000,24,4.178416,1.461298,1.097904,-2.000688,22.312271,18.675648,0.053346,-0.048735,1
26,1000,25,4.704687,-130.51239,113.82142,-219.572171,23.276155,23.289545,0.033257,-0.047302,0
27,1000,26,-0.972864,0.85211,1.097158,-2.000559,24.847101,18.501197,0.014279,0.013541,1
28,1000,27,96.716888,-76.318097,40.298874,-133.646081,25.270323,50.318612,7.140773,4.900199,1
29,1000,28,48.378386,-43.176794,29.908973,-63.280966,19.856317,18.900812,92.136602,-91.245587,1
30,1000,29,98.103162,77.385265,-67.973554,-83.528512,26.162621,39.661831,54.744454,-43.970621,1
31,1000,30,48.885185,13.676368,-34.263701,-4.251013,23.033584,18.862215,0.000614,0.03543,1
32,1000,31,81.45306,103.075628,-127.099635,-77.038631,24.847804,30.018161,5.387567,-4.55816,1
33,1000,32,14.654851,43.77356,-229.452658,-102.921699,26.705273,18.199013,31.980985,23.976121,1
34,1000,33,76.730643,-103.70237,46.818755,-156.394961,24.288485,18.737158,-0.078125,0.005974,0
35,1000,34,120.334798,-53.324618,46.432539,-40.492113,22.81086,19.036276,-0.013634,-0.022076,0
36,1000,35,110.355123,-22.308301,27.981515,-8.640134,26.010287,28.871891,-51.665004,-55.389668,1
37,1000,36,1.164315,0.371494,1.097277,-2.00022,24.02046,28.170462,0.16389,-0.073551,1
38,1000,37,90.441071,67.551111,-43.596949,-139.324423,26.048601,31.938058,-19.231643,175.623552,1
39,1000,38,-2.229603,0.842654,1.097188,-2.000447,26.944512,91.119295,-0.037524,0.016384,0
40,1000,39,-2.190719,0.740112,1.097016,-2.000509,26.384509,70.229023,-0.176368,-0.022841,0
41,1000,40,12.080349,0.810675,1.098436,-1.999896,22.653606,18.455081,-0.009765,-0.004069,1
42,1000,41,131.203788,-0.849605,1.070638,-1.993442,23.769714,18.426061,-0.001831,-0.000672,1
43,1000,42,-15.01828,-130.139028,147.508485,-263.427259,20.908541,19.325691,1.237181,-0.027969,0
44,1000,43,100.762415,-83.946811,58.259358,-97.573559,24.978986,86.089578,-0.027109,-0.115167,0
45,1000,44,12.084932,0.82146,1.098593,-1.999878,22.909203,18.520081,0.004928,-0.01865,1
46,1000,45,46.266142,121.633621,-120.060406,-154.571528,26.46402,56.087689,52.173605,-23.055352,1
47,1000,46,119.346164,-0.861016,1.09707,-2.000594,25.478501,18.299489,0.00621,0.071541,1
48,1000,47,-2.211689,1.022163,1.097151,-2.000399,25.670694,80.496212,0.018171,0.044823,1
49,1000,48,131.772238,-3.147022,1.171849,-44.965378,23.266331,18.768773,-0.027893,-0.013227,1
50,1000,49,-0.408534,-0.721975,1.09737,-2.000639,25.189053,79.491773,0.022607,0.001429,1
51,1000,50,29.328955,29.543195,-115.269952,-33.370236,27.835168,54.892617,2.352842,-0.728646,1
52,1000,51,-0.971492,3.098072,1.097333,-2.000577,26.010425,28.808058,-0.041041,-0.159931,1
53,1000,52,85.469986,-100.396755,123.39578,-75.676848,25.155457,19.092013,-0.096413,-0.099968,1
54,1000,53,97.239983,-0.424521,1.097241,-2.00103,23.363241,18.450518,0.041321,0.005877,1
55,1000,54,4.185706,1.454074,1.097836,-2.000464,23.038841,18.320394,-0.025187,0.018963,1
56,1000,55,10.020127,-11.729076,216.05026,-99.215697,20.154509,18.530783,0.00076,0.008037,1
57,1000,56,0.533774,2.688019,1.097352,-2.000476,26.384339,46.499923,-0.036341,0.019503,1
58,1000,57,69.278925,-37.609065,70.794928,-15.498163,25.143847,29.026285,0.031868,0.088752,1
59,1000,58,0.490171,-0.564009,1.097198,-2.000546,26.384464,69.304035,-0.00179,-0.02002,0
60,1000,59,-2.231164,0.849014,1.09707,-2.000476,26.67699,82.049879,-0.094037,-0.016167,0
61,1000,60,7.669455,-5.405163,132.617557,-43.512257,22.083293,19.055535,0.002625,0.004831,1
62,1000,61,129.738115,-8.199185,0.637962,-107.589243,24.400304,18.951307,-0.044144,0.002668,1
63,1000,62,4.178855,1.451719,1.097028,-2.000325,23.030376,18.336038,-0.023361,-0.000709,1
64,1000,63,115.848131,21.742667,-23.049649,-93.947392,24.893744,29.61534,66.39898,-162.987168,1
65,1000,64,75.213164,-98.089989,59.91751,-142.743683,26.384454,45.845258,-61.600858,-55.451665,0
66,1000,65,12.488822,-2.207551,18.048557,-4.059647,24.666069,28.946593,-23.835802,9.073244,1
67,1000,66,62.807213,-114.441414,85.789868,-156.277465,19.8954,19.222877,-0.196621,-0.05835,1
68,1000,67,83.749129,42.694334,-61.883673,-12.02838,26.384225,81.487473,0.015,-0.024466,0
69,1000,68,81.80756,-93.842751,51.027504,-144.971745,26.304024,32.832465,32.638939,28.438888,1
70,1000,69,42.551124,14.640624,-45.249792,-11.848318,23.729465,33.359743,-22.961411,0.587965,1
71,1000,70,96.939099,-0.658293,1.09727,-2.0005,23.893928,18.373737,0.02253,-0.000203,1
72,1000,71,23.625019,-21.973189,132.618,-43.512007,23.140995,18.753189,0.005198,0.004427,1
73,1000,72,119.41939,-0.841037,1.097338,-2.000598,25.466519,18.52995,-0.020592,-0.024033,1
74,1000,73,128.319346,-28.352704,21.582906,-39.838552,24.383274,49.790431,-0.559831,-3.478051,1
75,1000,74,-0.864531,-0.602454,1.097264,-2.000705,25.793828,45.638932,-0.024701,-0.105075,1
76,1000,75,-0.4881,3.234657,1.097246,-2.000439,26.35396,23.67645,-0.066336,-0.037185,1
77,1000,76,122.353668,-47.76473,31.161839,-75.660989,24.371373,38.437764,-0.065237,-0.083523,1
78,1000,77,1.172689,0.367826,1.096973,-2.000535,24.053879,28.208311,0.064268,-0.015432,1
79,1000,78,102.580869,-69.76988,59.597694,-82.586179,26.384454,24.99638,-44.680121,-61.741524,1
80,1000,79,8.185231,-7.6146,188.412002,-79.940471,22.926566,18.264199,0.000303,0.006233,1
81,1000,80,4.197897,1.45785,1.097582,-2.000618,21.891004,18.682393,-0.003125,0.025515,1
82,1000,81,58.699086,-7.591774,15.773525,-2.980541,19.851341,18.62379,0.014442,0.016008,1
83,1000,82,8.185831,-7.613405,188.411868,-79.940363,22.572775,18.331735,-0.00075,0.000377,1
84,1000,83,50.428694,-61.08768,150.341135,-52.047372,22.731675,18.566171,0.026661,0.016907,1
85,1000,84,9.418021,-130.897027,176.811273,-229.948907,21.666566,18.832671,-0.290412,-0.10173,1
86,1000,85,84.548723,-1.896916,3.05462,-4.536504,26.397702,40.837924,-53.960366,-10.08762,1
87,1000,86,43.033885,-123.422272,67.903354,-178.311291,23.111391,18.918113,-0.089931,0.006668,0
88,1000,87,23.646017,-22.06271,132.618617,-43.512417,23.045306,18.839453,0.002544,0.007704,1
89,1000,88,21.983237,-29.691919,184.135708,-77.710204,25.190417,50.57246,-2.226794,-7.977906,1
90,1000,89,85.468857,-100.391457,123.38324,-75.730795,24.843507,18.917259,-0.054802,-0.055206,1
91,1000,90,48.148397,-37.202448,166.296124,-138.34934,24.836387,61.221979,-116.611683,6.256484,1
92,1000,91,35.699913,51.535374,-153.700435,-52.320519,25.50729,49.778289,7.934914,7.697758,1
93,1000,92,116.695173,-54.711301,23.717797,-123.508327,24.174141,50.053899,-6.565814,-20.150228,1
94,1000,93,49.906465,-0.322136,1.097198,-2.000756,23.185924,18.706666,-0.015766,0.056517,1
95,1000,94,87.423741,-96.369427,53.471636,-138.073689,23.517362,18.831399,-0.333405,-0.216843,1
96,1000,95,60.430832,-115.039351,63.061626,-165.801513,27.613552,65.024212,-1.011787,-0.617294,1
97,1000,96,83.295339,-85.013673,132.617191,-43.51119,24.129164,19.199795,-0.018898,-0.019524,1
98,1000,97,75.030827,-108.142188,130.173611,-99.877371,22.297725,18.761911,0.00705,-0.000824,1
99,1000,98,56.872032,-109.702983,77.331018,-165.730415,25.878448,24.613762,-89.085864,-69.693978,1
100,1000,99,39.702349,14.590278,-48.058609,-12.472844,25.543811,38.820798,-28.535063,27.744283,1
101,1000,100,19.278297,-4.305752,29.996499,-4.823598,23.366667,18.442988,0.001528,0.004324,1
102,1000,101,62.573789,63.28816,-116.849256,-34.526004,27.300212,72.58639,15.726864,51.537485,1
103,1000,102,31.316303,-40.507699,172.999031,-65.980298,24.814856,18.576147,-0.018248,-0.061089,1
104,1000,103,101.070702,83.866143,-54.23096,-122.703758,22.722173,18.889566,-0.08329,0.354744,1
105,1000,104,82.894879,-3.395021,-8.061533,-137.624825,23.883666,35.49014,-30.959012,217.440427,1
106,1000,105,0.508004,2.716486,1.097095,-2.000619,26.384111,35.798158,-0.162198,-0.068392,1
107,1000,106,70.2366,-104.339405,101.978781,-115.382965,24.982607,61.220549,-75.489926,-46.368672,0
108,1000,107,-2.029092,0.143858,1.097039,-2.000739,25.629153,90.977931,0.017004,0.003548,1
109,1000,108,1.160915,0.398037,1.097113,-2.000308,24.213424,28.170616,0.001499,0.001514,1
110,1000,109,123.018358,-44.563757,27.381911,-81.151067,28.055876,56.105484,-4.299427,-13.783408,1
111,1000,110,-1.730897,-131.274179,117.166714,-233.802661,26.422706,19.783507,0.289959,0.074097,0
112,1000,111,63.41587,-112.01638,51.752009,-168.909561,22.745088,19.276945,-0.116741,-0.409615,1
113,1000,112,68.667271,111.185372,-88.924086,-138.754295,28.552999,56.105484,8.921558,-3.833353,1
114,1000,113,45.623132,-49.716809,140.779595,-46.839518,26.280278,24.013568,6.151485,-7.387261,1
115,1000,114,28.498219,62.136553,-206.949542,-84.230549,24.928714,38.855821,-4.790688,-4.052745,1
116,1000,115,129.062551,10.331434,-8.836874,-71.647767,27.836623,45.843464,6.312365,-83.585726,1
117,1000,116,1.281843,0.807715,1.097161,-2.00014,27.965456,60.153998,0.092285,-0.002586,0
118,1000,117,57.40942,-116.460854,52.431506,-167.711482,25.121367,19.063455,-0.17387,0.27282,0
119,1000,118,4.160815,1.466272,1.097785,-2.000487,22.625396,18.550128,-0.014353,0.026858,1
120,1000,119,2.82623,-0.298424,4.596175,-3.269735,24.841012,27.033075,-61.524189,38.888521,1
121,1000,120,126.411166,-31.437813,12.868397,-99.020536,26.550504,91.079508,-4.090793,-18.24716,0
122,1000,121,53.178483,-35.571377,90.021754,-23.015642,24.695056,18.631401,-0.005417,-0.007675,1
123,1000,122,0.514683,2.712047,1.097343,-2.000481,26.384389,35.798071,0.189178,0.087717,1
124,1000,123,38.069134,-18.698806,64.15376,-13.558652,23.035553,18.763589,-0.002083,-0.096724,1
125,1000,124,94.090547,76.827942,-59.411276,-121.989581,24.267189,34.763732,6.263841,-13.79336,1
126,1000,125,71.254642,90.412748,-120.656467,-68.762234,26.130553,78.794883,-20.526628,82.278921,1
127,1000,126,58.568778,-116.201119,63.289505,-164.920312,28.144729,65.011934,-0.474621,-0.361908,0
128,1000,127,22.733207,-40.231475,216.051374,-99.214942,24.538013,24.234141,26.835804,-58.795699,1
129,1000,128,30.606506,-37.853104,160.381196,-58.367891,27.046461,26.837279,-0.883843,-2.613004,1
130,1000,129,0.460531,2.737883,1.097283,-2.000524,26.384189,28.966909,0.047547,-0.000317,1
131,1000,130,80.523273,-92.030231,43.960207,-152.619598,26.397187,28.871954,-6.772608,-33.307959,1
132,1000,131,99.088061,-59.752207,39.907417,-84.206692,26.384509,84.378957,10.276421,128.404785,1
133,1000,132,21.31297,-2.832018,15.77246,-2.979352,22.389838,18.404576,0.006039,0.027769,1
134,1000,133,13.686967,-11.639023,132.617662,-43.512084,22.839772,18.706957,-0.000816,-0.001066,1
135,1000,134,42.337148,-123.615864,67.940073,-178.379469,23.747944,18.920772,0.021053,-0.059807,0
136,1000,135,78.700864,98.807509,-112.301793,-86.794706,23.630937,91.014603,52.18414,-33.205355,0
137,1000,136,124.366472,-42.687744,24.509959,-91.636033,24.840405,18.696131,0.017693,0.036419,1
138,1000,137,106.195636,29.918412,-26.957497,-22.288766,26.338296,46.640669,120.878945,51.275034,1
139,1000,138,4.700924,-1.809199,70.795345,-15.495574,20.133163,18.516139,-0.001395,-0.016535,1
140,1000,139,27.445756,-3.733203,5.678991,-5.975747,26.696674,28.966268,27.812308,-33.27754,1
141,1000,140,60.892453,-113.681647,51.979572,-168.312999,23.044427,18.96054,-0.321659,-0.124481,0
142,1000,141,37.885885,-122.313809,95.345923,-183.268416,27.912729,54.878381,8.469991,2.433955,1
143,1000,142,114.051929,33.338093,-23.846778,-107.941105,25.784759,22.725704,-22.315665,23.666125,1
144,1000,143,112.187929,-68.090917,48.293613,-83.685826,26.384509,27.194121,5.854349,9.144907,1
145,1000,144,18.113081,56.636875,-177.282494,-81.462393,25.899024,78.974398,-33.99778,-72.224496,0
146,1000,145,23.034657,-128.733717,71.976376,-196.692898,22.35056,19.644869,-0.64151,-0.173676,0
147,1000,146,11.033831,35.043184,-211.926839,-92.773992,27.065616,79.587659,20.965565,62.652541,1
148,1000,147,18.190344,21.985709,-141.510295,-48.520258,26.384412,29.127795,-59.926612,-62.440324,1
149,1000,148,87.03025,-96.559901,53.427814,-138.21938,24.978599,19.57424,-0.086861,0.02948,1
150,1000,149,83.468068,-84.837454,132.61743,-43.512273,23.259836,18.634559,-0.023933,-0.03688,1
151,1000,150,-1.643433,2.146938,1.097183,-2.000843,26.384394,51.897853,-0.131628,0.082296,1
152,1000,151,37.587729,-42.950297,27.091431,-67.390797,22.453264,19.239458,72.044567,-108.00125,1
153,1000,152,79.680219,-0.11402,0.106212,-4.313356,26.005401,36.591539,8.176355,-40.210145,1
154,1000,153,119.357688,-51.991698,22.697091,-119.001599,22.466803,18.768006,-0.026703,0.084064,1
155,1000,154,27.098932,-127.168329,155.521438,-191.298181,25.38363,50.372581,-30.396192,-7.755714,1
156,1000,155,117.835372,-46.734352,23.600568,-103.347068,26.551312,39.440619,69.847145,106.539021,1
157,1000,156,53.740476,-61.975366,142.219194,-50.066102,26.165317,27.354044,-45.070168,47.094614,1
158,1000,157,17.825579,-49.184325,301.704061,-166.063819,19.85062,19.297763,0.094116,-0.039555,1
159,1000,158,-0.68454,-0.688681,1.09756,-2.000508,24.676043,41.505684,0.003569,-0.151816,1
160,1000,159,131.764041,-3.368958,1.165155,-40.629673,23.322287,18.764825,-0.023682,-0.014601,0
161,1000,160,3.927808,1.464801,1.097155,-2.000244,26.23261,19.817087,-0.05073,0.012018,1
162,1000,161,43.684348,-42.836499,132.617906,-43.512427,21.890481,19.357197,0.009624,0.077137,1
163,1000,162,73.463348,-0.253586,1.097394,-2.000546,23.810627,18.534632,-0.014816,-0.008984,1
164,1000,163,7.411837,18.637216,-181.272799,-66.489739,25.102852,49.75143,-0.021698,1.778092,1
165,1000,164,-0.680716,-0.686976,1.097399,-2.00074,24.668029,41.496392,-0.013667,0.102989,1
166,1000,165,-1.643451,2.335101,1.097207,-2.00057,26.384138,93.102127,0.078973,-0.042229,1
167,1000,166,28.541108,-128.209898,91.274673,-191.610841,21.48759,19.421399,0.095554,0.084656,0
168,1000,167,-1.654221,2.394764,1.097162,-2.000527,26.296198,91.0277,0.122336,-0.12087,1
169,1000,168,93.893359,-71.097066,63.946601,-85.76965,23.619945,23.985706,-73.790604,-112.090423,1
170,1000,169,9.789118,-12.370174,235.649831,-117.390005,26.376486,49.878686,-0.415813,1.298262,1
171,1000,170,-2.329975,-130.929816,118.659371,-238.970643,19.857913,18.934037,0.157181,0.110367,1
172,1000,171,60.244191,46.674339,-90.470724,-22.772776,26.383078,29.225224,-43.572869,-32.164204,0
173,1000,172,-0.664658,-0.691069,1.097422,-2.00065,24.674947,41.519393,0.032618,-0.025833,1
174,1000,173,130.229836,-7.139466,0.733288,-93.067166,24.195117,90.967312,0.459945,-0.142593,1
175,1000,174,68.01899,113.271754,-149.421611,-91.557274,25.61389,18.410574,0.004509,-0.00206,1
176,1000,175,97.17365,-0.431573,1.097008,-2.000092,23.406929,18.254718,0.078705,0.003336,1
177,1000,176,120.515809,-52.783145,46.239672,-42.470988,22.543629,18.657886,-0.028183,0.053604,1
178,1000,177,130.832757,-6.387374,0.828858,-96.859217,24.732145,18.690873,0.020676,-0.087288,1
179,1000,178,26.222741,-128.433838,77.758016,-192.930601,23.61824,19.097716,0.134308,-0.07309,0
180,1000,179,-2.046618,1.658057,1.097439,-2.000541,26.361168,43.504536,-0.015169,-0.027163,1
181,1000,180,56.5938,-29.428241,66.403677,-14.252552,25.987032,35.26088,2.14161,-0.303283,1
182,1000,181,101.093234,-75.322087,50.313957,-109.055098,25.871184,27.789565,10.567308,18.70019,1
183,1000,182,-2.161127,11.148991,-267.089735,-132.273563,24.889744,38.781169,1.917136,6.762983,1
184,1000,183,53.07717,-35.667355,90.021861,-23.015657,24.868761,18.549041,0.002388,0.017231,1
185,1000,184,20.613188,-129.153175,62.495027,-197.299256,25.747383,19.288977,0.052864,0.127396,0
186,1000,185,83.451138,21.912191,-20.285405,-45.227838,25.703398,44.86866,95.838148,84.492408,1
187,1000,186,99.418862,-80.527465,79.862553,-65.319089,25.879208,27.654238,25.238978,23.447759,1
188,1000,187,16.81253,-130.146028,97.209428,-205.184986,21.331191,19.596131,0.056065,0.040375,0
189,1000,188,40.997436,-120.907023,92.178821,-173.327355,26.323029,79.025234,43.98109,26.240944,0
190,1000,189,85.671945,-98.665937,53.777163,-136.68082,27.872726,19.730165,-0.3993,-0.548347,0
191,1000,190,13.683529,-11.637223,132.618041,-43.511745,22.877243,18.457231,-0.004486,-0.013619,1
192,1000,191,111.331711,-60.483775,70.604093,-15.401033,24.850335,86.087726,-0.002324,0.226415,1
193,1000,192,57.170496,116.822449,-151.47278,-106.107478,26.384509,52.189564,37.734391,-14.555823,0
194,1000,193,-0.925681,2.749071,1.097424,-2.000553,26.276139,15.490854,0.023065,0.027672,1
195,1000,194,110.688013,-33.459945,15.185373,-116.113209,26.384185,29.086844,57.303154,75.679727,1
196,1000,195,130.578706,-13.849848,6.225862,-68.448159,26.606981,91.116046,0.506522,8.247254,0
197,1000,196,25.477057,-128.863891,193.166089,-199.218795,19.85062,19.683819,-0.434687,0.031799,1
198,1000,197,-0.737531,-0.586256,1.097328,-2.000656,25.788072,22.367906,0.015626,0.140776,1
199,1000,198,124.489961,-42.287267,32.287075,-56.854436,26.338427,29.602529,-0.089998,-0.013049,1
200,1000,199,96.845465,-0.755526,1.097024,-2.000568,23.239995,18.426443,-0.008537,0.019027,1
201,1001,0,115.265686,-60.575467,70.585375,-15.392247,26.352725,29.606758,0.003845,0.074673,1
202,1001,1,41.232858,-120.619456,69.287019,-177.046033,26.39858,69.961009,-53.813759,-31.514543,0
203,1001,2,48.137792,-0.828543,1.097316,-2.000299,24.667936,67.210347,0.009319,-0.026246,1
204,1001,3,94.330095,-14.838978,4.136432,-129.78769,24.971434,89.464198,-26.758521,-13.511393,0
205,1001,4,66.014413,113.430975,-107.016325,-122.438533,28.272353,56.114006,21.255529,-12.201025,0
206,1001,5,93.843816,-57.125976,82.968017,-31.931749,23.809116,34.520887,-10.746006,35.282062,1
207,1001,6,43.521246,-76.314617,66.059046,-107.521368,24.258868,23.994671,-39.910306,127.613633,0
208,1001,7,126.151888,2.701982,-2.081804,-30.68401,23.168317,24.745888,-1.158836,68.983849,1
209,1001,8,0.872976,2.32752,1.097196,-2.000585,27.889009,55.085934,0.067206,0.007465,0
210,1001,9,15.264599,-130.374802,98.406022,-207.733282,24.015684,19.161002,0.129367,0.141861,0
211,1001,10,30.125922,-3.932164,15.773404,-2.979721,19.85062,18.803842,-0.003998,-0.015137,1
212,1001,11,8.139179,-7.610742,188.411947,-79.940823,23.105058,18.48845,-0.001475,-0.005693,1
213,1001,12,122.067364,14.087899,-13.148959,-93.073817,25.59089,35.786045,0.557196,-30.749437,1
214,1001,13,-0.68509,-0.689408,1.097224,-2.000606,24.671178,41.527953,0.038905,0.038703,1
215,1001,14,4.003258,-0.52199,15.77392,-2.981898,19.273049,18.712629,0.003313,-0.007979,1
216,1001,15,-0.698254,-0.696333,1.09713,-2.000753,24.807369,85.871541,-0.011917,-0.028826,1
217,1001,16,19.219588,-129.458964,87.586182,-208.392799,22.276921,40.21882,-0.691936,-0.09225,1
218,1001,17,103.451771,78.670688,-59.242945,-97.403358,26.314728,79.004066,-3.606125,6.470123,0
219,1001,18,51.283979,-59.180646,146.704073,-50.730367,24.431001,18.458336,0.005817,-0.002129,1
220,1001,19,100.401698,-82.270569,78.573203,-82.562175,23.016586,18.827794,-20.528725,-22.794121,1
221,1001,20,24.273308,-129.079074,192.844088,-200.832741,19.848295,19.568113,-0.36496,0.002029,1
222,1001,21,77.27244,105.463367,-142.112244,-57.289169,26.754655,54.769454,21.97728,-17.140583,0
223,1001,22,30.819563,-37.287911,162.091715,-61.052329,25.673543,81.489642,27.038797,-24.380332,1
224,1001,23,29.185869,-11.153648,50.763897,-9.124913,26.740669,64.803098,0.000351,-0.003919,1
225,1001,24,13.485228,-130.887775,177.674664,-224.275469,21.835005,19.376854,-0.264864,-0.042984,1
226,1001,25,105.1623,-25.431024,9.185376,-126.209231,25.900143,64.303173,6.30286,105.035744,1
227,1001,26,96.939319,27.845574,-39.318709,-10.166207,27.379565,79.769604,19.146943,-57.35542,1
228,1001,27,59.598822,63.890103,-123.498408,-50.686383,26.389894,24.99687,-66.382283,1.208237,1
229,1001,28,52.972233,-35.71201,90.021115,-23.01541,24.304403,18.569203,0.020149,0.023453,1
230,1001,29,49.804271,119.826809,-122.413131,-145.389889,25.126992,59.239878,-35.633089,19.893359,1
231,1001,30,-0.894848,-0.635982,1.097467,-2.000591,25.878755,80.271418,-0.046977,-0.030287,1
232,1001,31,-2.200286,0.246253,1.097054,-2.000666,25.182013,88.117536,-0.084077,-0.067198,1
233,1001,32,71.695685,-110.260301,113.291925,-123.656349,21.493323,19.324493,-0.249596,-0.223763,1
234,1001,33,95.630411,-90.222203,76.266123,-96.600883,22.099502,18.895101,0.002045,0.023598,1
235,1001,34,91.986857,-92.324226,54.707421,-127.625605,23.205209,34.452901,-7.90497,-6.952237,1
236,1001,35,0.547562,2.626082,1.097252,-2.000663,24.78179,25.688623,0.014051,0.038956,1
237,1001,36,129.553006,-10.342381,1.935694,-97.112407,27.069292,46.830525,-4.812937,-46.866704,1
238,1001,37,53.97257,-119.383497,177.702502,-128.23997,26.385276,29.074184,-7.858979,-4.509626,1
239,1001,38,99.631842,-68.8613,75.219585,-44.378224,28.010238,60.671651,4.047736,58.702645,0
240,1001,39,18.859378,-129.130082,61.90014,-195.803359,24.883685,18.73587,-0.171259,-0.096329,0
241,1001,40,33.754452,-93.334711,265.857428,-139.911633,23.771736,33.775725,3.161784,-5.208715,1
242,1001,41,86.1221,-97.899142,53.568805,-137.916035,27.89619,18.744521,-0.563019,-0.475288,1
243,1001,42,128.813776,-9.437037,0.459181,-109.68299,26.394914,19.094603,-0.09433,0.154498,0
244,1001,43,50.349891,-62.329116,158.16203,-58.990042,26.464571,29.026832,20.207599,-5.185252,1
245,1001,44,4.191327,1.444438,1.096483,-2.000504,22.815309,18.418949,0.024293,0.014487,1
246,1001,45,100.303026,-80.712343,35.513496,-141.535813,22.335636,18.623201,-0.081329,0.011841,1
247,1001,46,48.56426,13.792844,-34.264119,-4.249748,23.180167,18.889301,0.01086,0.00938,1
248,1001,47,0.500752,2.724064,1.097368,-2.000467,26.384428,35.798158,0.002808,0.017703,1
249,1001,48,51.130248,-121.069679,109.090305,-153.593972,27.814305,17.20633,-0.071278,-0.053795,0
250,1001,49,67.727867,-53.857318,101.060722,-28.474943,25.599063,49.759978,-1.468853,5.520988,1
251,1001,50,62.918856,-78.113953,148.887258,-54.291427,27.723294,49.702902,14.253245,-57.283983,1
252,1001,51,80.846239,103.493648,-126.746687,-78.565333,22.852772,24.824834,5.656116,-4.854684,1
253,1001,52,38.000395,-18.714149,64.152604,-13.556963,22.753811,18.796454,0.013714,-0.080477,1
254,1001,53,74.300622,-47.751378,41.175927,-48.103137,24.811645,30.178584,-102.022269,60.844439,1
255,1001,54,43.424198,-42.999237,132.617722,-43.512229,23.234516,19.403781,0.016426,0.055065,1
256,1001,55,108.496422,72.647037,-48.4076,-111.60243,25.529433,50.096501,-3.341402,4.735934,1
257,1001,56,31.016296,-40.849114,172.999062,-65.982149,24.610846,18.461052,-0.000639,0.004646,1
258,1001,57,61.039144,-80.90496,153.298046,-60.834492,27.321284,36.951984,-7.264497,-68.17706,1
259,1001,58,68.396778,-107.173503,74.241377,-144.663153,26.207076,37.663357,-69.174589,-38.91877,1
260,1001,59,84.55614,-97.028715,46.560476,-152.695874,24.103455,18.529696,-0.396843,-0.229752,1
261,1001,60,48.796861,13.708307,-34.263857,-4.249539,22.916097,18.888731,0.010246,-0.000377,1
262,1001,61,51.261422,-121.092195,204.129887,-129.216639,25.012755,19.471771,-0.099903,-0.04763,1
263,1001,62,74.167721,-69.471643,48.993039,-104.401995,25.316781,92.510141,-75.228737,98.319311,1
264,1001,63,86.828162,-11.442201,15.773582,-2.979466,21.018255,18.488912,0.057335,-0.10602,1
265,1001,64,12.124746,0.765098,1.095665,-2.001101,22.79032,18.547174,-0.014727,-0.026596,1
