sample_id,motor_efficiency,drivetrain_efficiency,Date,DateTime,Latitude,Longitude,Total Resistive Force,mechanical_power_w,Powertrain_efficiency_gear_SG,efficiency_limit,class_label
54,1.0,0.9312,11/4/2022,2022-11-04 16:53:35,-33.92708,18.87647,-1208.161854,391.173212,0.90345,0.73654,acceptable_efficiency
55,0.128461,0.119623,11/4/2022,2022-11-04 16:53:52,-33.9271,18.87645,114.451568,16.795444,0.116058,0.73654,low_efficiency
56,1.0,0.9312,11/4/2022,2022-11-04 16:53:59,-33.92711,18.87644,-847.077808,230.854504,0.90345,0.73654,acceptable_efficiency
57,0.878621,0.818172,11/4/2022,2022-11-04 16:54:04,-33.9271,18.87644,2575.35721,3784.850822,0.79379,0.73654,acceptable_efficiency
58,0.876435,0.816136,11/4/2022,2022-11-04 16:54:08,-33.92696,18.87655,653.468427,7322.21233,0.791815,0.73654,acceptable_efficiency
59,0.851014,0.792464,11/4/2022,2022-11-04 16:54:12,-33.92673,18.87673,1308.144934,7366.250423,0.768849,0.73654,acceptable_efficiency
60,0.815493,0.759387,11/4/2022,2022-11-04 16:54:13,-33.92666,18.87678,952.318403,6041.364279,0.736757,0.73654,acceptable_efficiency
61,0.653136,0.608201,11/4/2022,2022-11-04 16:54:15,-33.92652,18.87689,613.822733,2711.942783,0.590076,0.73654,low_efficiency
62,1.0,0.9312,11/4/2022,2022-11-04 16:54:25,-33.92599,18.87726,-6001.987749,12736.28205,0.90345,0.73654,acceptable_efficiency
63,1.0,0.9312,11/4/2022,2022-11-04 16:54:31,-33.9259,18.87734,-1646.235032,2250.915164,0.90345,0.73654,acceptable_efficiency
64,0.027142,0.025275,11/4/2022,2022-11-04 16:54:36,-33.92588,18.87737,17.565935,3.396085,0.024522,0.73654,low_efficiency
65,0.100476,0.093564,11/4/2022,2022-11-04 16:54:40,-33.92588,18.87736,70.401989,13.611068,0.090775,0.73654,low_efficiency
66,1.0,0.9312,11/4/2022,2022-11-04 16:54:52,-33.92573,18.87748,-1431.853082,3978.946398,0.90345,0.73654,acceptable_efficiency
67,1.0,0.9312,11/4/2022,2022-11-04 16:54:57,-33.92554,18.8776,-559.683006,2161.502951,0.90345,0.73654,acceptable_efficiency
68,1.0,0.9312,11/4/2022,2022-11-04 16:55:03,-33.92535,18.87788,-1243.804495,6171.07624,0.90345,0.73654,acceptable_efficiency
69,1.0,0.9312,11/4/2022,2022-11-04 16:55:17,-33.92548,18.87952,-3068.050107,34810.460163,0.90345,0.73654,acceptable_efficiency
70,1.0,0.9312,11/4/2022,2022-11-04 16:55:25,-33.92546,18.88076,-3583.039252,40929.007538,0.90345,0.73654,acceptable_efficiency
71,0.053724,0.050027,11/4/2022,2022-11-04 16:55:34,-33.9255,18.88221,1903.405148,477.784242,0.048537,0.73654,low_efficiency
72,1.0,0.9312,11/4/2022,2022-11-04 16:55:54,-33.92594,18.88597,-3719.2017,55704.450074,0.90345,0.73654,acceptable_efficiency
73,1.0,0.9312,11/4/2022,2022-11-04 16:56:16,-33.92641,18.89003,-3223.605093,44414.601381,0.90345,0.73654,acceptable_efficiency
74,1.0,0.9312,11/4/2022,2022-11-04 16:56:19,-33.92646,18.89057,-2251.151571,31136.810028,0.90345,0.73654,acceptable_efficiency
75,1.0,0.9312,11/4/2022,2022-11-04 16:56:48,-33.9268,18.89589,-1639.145667,24416.717884,0.90345,0.73654,acceptable_efficiency
76,1.0,0.9312,11/4/2022,2022-11-04 16:56:55,-33.92626,18.89712,-1473.948432,22673.498712,0.90345,0.73654,acceptable_efficiency
77,0.431199,0.401532,11/4/2022,2022-11-04 16:57:09,-33.9254,18.89968,2279.27192,12599.120136,0.389567,0.73654,low_efficiency
78,1.0,0.9312,11/4/2022,2022-11-04 16:57:13,-33.92554,18.9005,-2887.129459,47579.720749,0.90345,0.73654,acceptable_efficiency
79,1.0,0.9312,11/4/2022,2022-11-04 16:57:38,-33.92494,18.90551,-1831.101134,28530.061902,0.90345,0.73654,acceptable_efficiency
80,1.0,0.9312,11/4/2022,2022-11-04 16:57:46,-33.92531,18.90704,-2579.790852,40051.043765,0.90345,0.73654,acceptable_efficiency
81,1.0,0.9312,11/4/2022,2022-11-04 16:57:47,-33.92533,18.90723,-8844.558643,137084.435775,0.90345,0.73654,acceptable_efficiency
82,1.0,0.9312,11/4/2022,2022-11-04 16:57:54,-33.92497,18.90839,-8422.55085,110238.135763,0.90345,0.73654,acceptable_efficiency
83,0.622801,0.579952,11/4/2022,2022-11-04 16:58:01,-33.92411,18.90892,530.142529,14959.287275,0.562669,0.73654,low_efficiency
84,0.780252,0.72657,11/4/2022,2022-11-04 16:58:03,-33.92382,18.90908,2915.125876,38045.719896,0.704919,0.73654,acceptable_efficiency
85,0.821929,0.765381,11/4/2022,2022-11-04 16:58:04,-33.92369,18.90919,5296.587691,55699.009758,0.742572,0.73654,acceptable_efficiency
86,0.818681,0.762356,11/4/2022,2022-11-04 16:58:05,-33.92356,18.9093,3530.229124,63132.380119,0.739638,0.73654,acceptable_efficiency
87,0.761011,0.708653,11/4/2022,2022-11-04 16:58:08,-33.92303,18.90965,3049.576424,51364.076145,0.687536,0.73654,acceptable_efficiency
88,1.0,0.9312,11/4/2022,2022-11-04 16:58:12,-33.92249,18.91021,-2810.58864,44046.606635,0.90345,0.73654,acceptable_efficiency
89,1.0,0.9312,11/4/2022,2022-11-04 16:58:15,-33.92208,18.91064,-4072.992926,65377.015698,0.90345,0.73654,acceptable_efficiency
90,1.0,0.9312,11/4/2022,2022-11-04 16:58:18,-33.92163,18.91098,635.489182,2581.193933,0.90345,0.73654,acceptable_efficiency
91,1.0,0.9312,11/4/2022,2022-11-04 16:58:22,-33.92092,18.91139,-4526.221004,78629.827192,0.90345,0.73654,acceptable_efficiency
92,1.0,0.9312,11/4/2022,2022-11-04 16:58:45,-33.92134,18.91546,-4303.974818,70929.247503,0.90345,0.73654,acceptable_efficiency
93,1.0,0.9312,11/4/2022,2022-11-04 16:59:00,-33.92313,18.91774,-8306.598645,119613.834839,0.90345,0.73654,acceptable_efficiency
94,0.611059,0.569018,11/4/2022,2022-11-04 16:59:06,-33.92279,18.91871,4182.008658,8479.811866,0.552061,0.73654,low_efficiency
95,1.0,0.9312,11/4/2022,2022-11-04 16:59:17,-33.92036,18.91957,857.568544,415.159294,0.90345,0.73654,acceptable_efficiency
96,1.0,0.9312,11/4/2022,2022-11-04 16:59:19,-33.91993,18.91972,196.74482,140.314637,0.90345,0.73654,acceptable_efficiency
97,1.0,0.9312,11/4/2022,2022-11-04 16:59:30,-33.91843,18.92131,-743.226769,12821.364222,0.90345,0.73654,acceptable_efficiency
98,1.0,0.9312,11/4/2022,2022-11-04 16:59:31,-33.91842,18.92153,-138.86811,2393.341869,0.90345,0.73654,acceptable_efficiency
99,0.449194,0.41829,11/4/2022,2022-11-04 16:59:34,-33.91856,18.9222,2304.819177,24016.409553,0.405825,0.73654,low_efficiency
100,1.0,0.9312,11/4/2022,2022-11-04 16:59:51,-33.92079,18.92535,-243.738176,4052.558453,0.90345,0.73654,acceptable_efficiency
101,1.0,0.9312,11/4/2022,2022-11-04 16:59:58,-33.92115,18.92672,-1675.044385,28182.085023,0.90345,0.73654,acceptable_efficiency
102,0.547339,0.509682,11/4/2022,2022-11-04 17:00:02,-33.92085,18.92747,3606.462437,23284.367662,0.494493,0.73654,low_efficiency
103,0.280915,0.261588,11/4/2022,2022-11-04 17:00:10,-33.91979,18.92868,1514.035724,8885.533003,0.253793,0.73654,low_efficiency
104,0.401238,0.373632,11/4/2022,2022-11-04 17:00:11,-33.91965,18.92882,566.804568,16351.710957,0.362498,0.73654,low_efficiency
105,0.456572,0.42516,11/4/2022,2022-11-04 17:00:12,-33.91951,18.92898,1960.695764,20474.268487,0.41249,0.73654,low_efficiency
106,0.425628,0.396345,11/4/2022,2022-11-04 17:00:13,-33.91937,18.92913,638.278014,18619.236978,0.384534,0.73654,low_efficiency
107,0.420226,0.391314,11/4/2022,2022-11-04 17:00:18,-33.91866,18.92985,939.16483,17689.519732,0.379653,0.73654,low_efficiency
108,0.541227,0.503991,11/4/2022,2022-11-04 17:00:28,-33.91744,18.93137,1484.528467,15645.336024,0.488972,0.73654,low_efficiency
109,0.615017,0.572703,11/4/2022,2022-11-04 17:00:29,-33.91736,18.93153,2341.395014,19961.239641,0.555637,0.73654,low_efficiency
110,0.704395,0.655933,11/4/2022,2022-11-04 17:00:35,-33.9169,18.93255,4121.730843,40718.760391,0.636386,0.73654,low_efficiency
111,0.770063,0.717083,11/4/2022,2022-11-04 17:00:36,-33.91682,18.93273,5038.669325,59755.799901,0.695714,0.73654,acceptable_efficiency
112,0.582712,0.542621,11/4/2022,2022-11-04 17:00:41,-33.91641,18.93366,2136.57206,30856.429687,0.526451,0.73654,low_efficiency
113,0.511016,0.475858,11/4/2022,2022-11-04 17:00:43,-33.91624,18.93406,1313.586064,25809.068184,0.461678,0.73654,low_efficiency
114,0.497142,0.462938,11/4/2022,2022-11-04 17:00:45,-33.91607,18.93445,936.230265,25278.783862,0.449143,0.73654,low_efficiency
115,0.544233,0.50679,11/4/2022,2022-11-04 17:00:49,-33.91571,18.93526,3400.856014,34631.793578,0.491687,0.73654,low_efficiency
116,1.0,0.9312,11/4/2022,2022-11-04 17:00:54,-33.91525,18.93632,1020.475649,559.096987,0.90345,0.73654,acceptable_efficiency
117,0.355168,0.330732,11/4/2022,2022-11-04 17:00:57,-33.91498,18.93694,678.310132,16750.675148,0.320876,0.73654,low_efficiency
118,0.18518,0.17244,11/4/2022,2022-11-04 17:01:03,-33.91444,18.93819,273.88323,7069.232124,0.167301,0.73654,low_efficiency
119,0.356304,0.33179,11/4/2022,2022-11-04 17:01:04,-33.91434,18.9384,1079.790365,17517.318734,0.321903,0.73654,low_efficiency
120,1.0,0.9312,11/4/2022,2022-11-04 17:01:23,-33.91234,18.9414,-1388.015669,12557.488136,0.90345,0.73654,acceptable_efficiency
121,0.851338,0.792766,11/4/2022,2022-11-04 17:01:27,-33.91225,18.94168,2145.565648,5667.671407,0.769141,0.73654,acceptable_efficiency
122,0.928182,0.864323,11/4/2022,2022-11-04 17:01:33,-33.91255,18.94206,2604.482113,22493.33538,0.838566,0.73654,acceptable_efficiency
123,0.925308,0.861647,11/4/2022,2022-11-04 17:01:36,-33.91265,18.94241,4704.543203,38967.58213,0.83597,0.73654,acceptable_efficiency
124,0.885124,0.824227,11/4/2022,2022-11-04 17:01:37,-33.91266,18.94256,5034.500789,37198.832267,0.799665,0.73654,acceptable_efficiency
125,0.189343,0.176316,11/4/2022,2022-11-04 17:01:42,-33.91249,18.94346,3362.710647,3262.783245,0.171062,0.73654,low_efficiency
126,1.0,0.9312,11/4/2022,2022-11-04 17:02:03,-33.91267,18.94654,-4430.36001,14127.706142,0.90345,0.73654,acceptable_efficiency
127,1.0,0.9312,11/4/2022,2022-11-04 17:02:19,-33.9127,18.94656,0.0,0.0,0.90345,0.73654,acceptable_efficiency
128,0.893282,0.831824,11/4/2022,2022-11-04 17:02:23,-33.91271,18.94657,3572.67491,5273.603052,0.807036,0.73654,acceptable_efficiency
129,0.880257,0.819696,11/4/2022,2022-11-04 17:02:28,-33.91288,18.94678,2564.605295,7601.435148,0.795269,0.73654,acceptable_efficiency
130,1.0,0.9312,11/4/2022,2022-11-04 17:02:37,-33.91344,18.94747,-4259.519074,32464.076181,0.90345,0.73654,acceptable_efficiency
131,0.362981,0.338008,11/4/2022,2022-11-04 17:02:43,-33.91361,18.94775,304.336528,495.668265,0.327935,0.73654,low_efficiency
132,0.86473,0.805236,11/4/2022,2022-11-04 17:02:45,-33.91373,18.94777,1873.098777,7215.62745,0.78124,0.73654,acceptable_efficiency
133,0.868852,0.809075,11/4/2022,2022-11-04 17:02:48,-33.91397,18.94787,2541.193532,11916.094506,0.784964,0.73654,acceptable_efficiency
134,1.0,0.9312,11/4/2022,2022-11-04 17:02:51,-33.91426,18.94805,-2224.844497,22735.079792,0.90345,0.73654,acceptable_efficiency
135,0.802127,0.746941,11/4/2022,2022-11-04 17:03:01,-33.91489,18.94843,1844.765048,1556.303089,0.724682,0.73654,acceptable_efficiency
136,1.0,0.9312,11/4/2022,2022-11-04 17:03:06,-33.91509,18.94856,-516.061656,2550.79853,0.90345,0.73654,acceptable_efficiency
137,1.0,0.9312,11/4/2022,2022-11-04 17:03:17,-33.9155,18.94881,0.0,0.0,0.90345,0.73654,acceptable_efficiency
138,0.914292,0.851388,11/4/2022,2022-11-04 17:03:29,-33.91581,18.949,3203.556076,13632.955914,0.826017,0.73654,acceptable_efficiency
139,0.915013,0.85206,11/4/2022,2022-11-04 17:03:31,-33.91595,18.94909,2848.753211,17522.884419,0.826669,0.73654,acceptable_efficiency
140,0.836879,0.779301,11/4/2022,2022-11-04 17:03:33,-33.91613,18.94919,697.293655,11604.228083,0.756078,0.73654,acceptable_efficiency
141,0.661717,0.616191,11/4/2022,2022-11-04 17:03:35,-33.91632,18.94931,336.313351,5015.001599,0.597829,0.73654,low_efficiency
142,1.0,0.9312,11/4/2022,2022-11-04 17:03:40,-33.91685,18.94965,-5405.819405,61121.005671,0.90345,0.73654,acceptable_efficiency
143,1.0,0.9312,11/4/2022,2022-11-04 17:03:46,-33.91727,18.94989,-1084.06616,2782.701158,0.90345,0.73654,acceptable_efficiency
144,1.0,0.9312,11/4/2022,2022-11-04 17:04:06,-33.91757,18.95008,0.0,0.0,0.90345,0.73654,acceptable_efficiency
145,1.0,0.9312,11/4/2022,2022-11-04 17:04:12,-33.91769,18.95017,-2876.005755,14939.078191,0.90345,0.73654,acceptable_efficiency
146,0.908517,0.846011,11/4/2022,2022-11-04 17:04:29,-33.9186,18.95091,4687.862349,10806.356356,0.8208,0.73654,acceptable_efficiency
147,0.860485,0.801284,11/4/2022,2022-11-04 17:04:31,-33.91856,18.95107,1192.771756,8152.548342,0.777406,0.73654,acceptable_efficiency
148,1.0,0.9312,11/4/2022,2022-11-04 17:04:36,-33.91837,18.9515,-4406.105418,27905.722921,0.90345,0.73654,acceptable_efficiency
149,0.82746,0.770531,11/4/2022,2022-11-04 17:04:40,-33.91829,18.95171,3385.792774,4418.524376,0.747569,0.73654,acceptable_efficiency
150,1.0,0.9312,11/4/2022,2022-11-04 17:04:45,-33.91817,18.95193,-3901.981188,6771.277782,0.90345,0.73654,acceptable_efficiency
151,1.0,0.9312,11/4/2022,2022-11-04 17:05:00,-33.91817,18.95194,0.0,0.0,0.90345,0.73654,acceptable_efficiency
152,1.0,0.9312,11/4/2022,2022-11-04 17:05:12,-33.91817,18.95193,-0.038638,0.00684,0.90345,0.73654,acceptable_efficiency
153,0.447701,0.416899,11/4/2022,2022-11-04 17:05:35,-33.91817,18.95194,871.77681,105.59366,0.404475,0.73654,low_efficiency
154,1.0,0.9312,11/4/2022,2022-11-04 17:05:42,-33.9181,18.9521,-1264.127462,4620.010857,0.90345,0.73654,acceptable_efficiency
155,0.914973,0.852023,11/4/2022,2022-11-04 17:06:03,-33.91746,18.95354,3573.558561,13836.918209,0.826633,0.73654,acceptable_efficiency
156,0.89711,0.835389,11/4/2022,2022-11-04 17:06:29,-33.9158,18.95269,3804.389128,13757.685083,0.810495,0.73654,acceptable_efficiency
157,0.722429,0.672726,11/4/2022,2022-11-04 17:06:31,-33.91564,18.95259,2071.875934,4001.034335,0.652679,0.73654,low_efficiency
158,1.0,0.9312,11/4/2022,2022-11-04 17:06:45,-33.91508,18.95223,0.0,0.0,0.90345,0.73654,acceptable_efficiency
159,0.849596,0.791144,11/4/2022,2022-11-04 17:06:56,-33.91507,18.95222,3132.155458,3607.689294,0.767567,0.73654,acceptable_efficiency
160,0.899359,0.837483,11/4/2022,2022-11-04 17:06:57,-33.91503,18.9522,6122.596517,8547.958433,0.812526,0.73654,acceptable_efficiency
161,0.927257,0.863462,11/4/2022,2022-11-04 17:07:00,-33.9149,18.95213,3733.497205,16155.642208,0.83773,0.73654,acceptable_efficiency
162,0.639038,0.595072,11/4/2022,2022-11-04 17:07:02,-33.91477,18.95205,183.015643,2351.863702,0.577339,0.73654,low_efficiency
163,1.0,0.9312,11/4/2022,2022-11-04 17:07:07,-33.91438,18.95182,412.52319,1489.791085,0.90345,0.73654,acceptable_efficiency
164,0.829988,0.772885,11/4/2022,2022-11-04 17:07:13,-33.91407,18.95163,3232.818503,3076.655448,0.749853,0.73654,acceptable_efficiency
165,0.915243,0.852275,11/4/2022,2022-11-04 17:07:15,-33.914,18.95159,3728.064515,12106.165846,0.826877,0.73654,acceptable_efficiency
166,0.914655,0.851726,11/4/2022,2022-11-04 17:07:16,-33.91395,18.95155,2676.405101,13959.818545,0.826345,0.73654,acceptable_efficiency
167,0.898173,0.836379,11/4/2022,2022-11-04 17:07:17,-33.91388,18.9515,1291.105352,12609.783886,0.811455,0.73654,acceptable_efficiency
168,0.889109,0.827938,11/4/2022,2022-11-04 17:07:22,-33.91344,18.95124,3097.220821,32241.857425,0.803266,0.73654,acceptable_efficiency
169,1.0,0.9312,11/4/2022,2022-11-04 17:07:30,-33.91265,18.95071,-4954.227845,39986.040485,0.90345,0.73654,acceptable_efficiency
170,0.616838,0.574399,11/4/2022,2022-11-04 17:07:34,-33.91253,18.95036,1592.049657,2402.180026,0.557282,0.73654,low_efficiency
171,0.910119,0.847503,11/4/2022,2022-11-04 17:07:44,-33.91286,18.94949,3570.772982,13533.237688,0.822247,0.73654,acceptable_efficiency
172,0.897407,0.835666,11/4/2022,2022-11-04 17:07:46,-33.91294,18.94929,2561.758236,15028.467668,0.810763,0.73654,acceptable_efficiency
173,1.0,0.9312,11/4/2022,2022-11-04 17:08:12,-33.91356,18.94771,0.0,0.0,0.90345,0.73654,acceptable_efficiency
174,1.0,0.9312,11/4/2022,2022-11-04 17:08:15,-33.91357,18.9477,0.0,0.0,0.90345,0.73654,acceptable_efficiency
175,0.877673,0.817289,11/4/2022,2022-11-04 17:08:27,-33.91354,18.94768,3148.227513,3798.371286,0.792934,0.73654,acceptable_efficiency
176,0.929105,0.865182,11/4/2022,2022-11-04 17:08:30,-33.91347,18.94754,2435.354159,16413.979382,0.8394,0.73654,acceptable_efficiency
177,0.935837,0.871452,11/4/2022,2022-11-04 17:08:31,-33.91344,18.94747,5387.746843,21598.278624,0.845482,0.73654,acceptable_efficiency
178,0.933604,0.869372,11/4/2022,2022-11-04 17:08:32,-33.91339,18.9474,3603.707794,22347.929107,0.843464,0.73654,acceptable_efficiency
179,0.89605,0.834402,11/4/2022,2022-11-04 17:08:36,-33.91311,18.94707,2625.17863,21931.631813,0.809537,0.73654,acceptable_efficiency
180,0.636122,0.592356,11/4/2022,2022-11-04 17:08:41,-33.91265,18.9465,803.87636,11309.465482,0.574704,0.73654,low_efficiency
181,0.686384,0.639161,11/4/2022,2022-11-04 17:08:42,-33.91256,18.94636,1092.338776,14320.512785,0.620114,0.73654,low_efficiency
182,0.633774,0.59017,11/4/2022,2022-11-04 17:08:46,-33.91237,18.94569,1018.275597,21247.944016,0.572583,0.73654,low_efficiency
183,1.0,0.9312,11/4/2022,2022-11-04 17:08:53,-33.91243,18.94421,417.98176,1314.836992,0.90345,0.73654,acceptable_efficiency
184,1.0,0.9312,11/4/2022,2022-11-04 17:08:55,-33.91245,18.94379,-1984.486554,32597.902069,0.90345,0.73654,acceptable_efficiency
185,1.0,0.9312,11/4/2022,2022-11-04 17:08:57,-33.91248,18.94337,-4332.113575,71332.427247,0.90345,0.73654,acceptable_efficiency
186,1.0,0.9312,11/4/2022,2022-11-04 17:09:09,-33.91246,18.9417,-6999.552487,44575.679401,0.90345,0.73654,acceptable_efficiency
187,0.277123,0.258057,11/4/2022,2022-11-04 17:09:29,-33.91242,18.94155,334.607367,43.64683,0.250367,0.73654,low_efficiency
188,1.0,0.9312,11/4/2022,2022-11-04 17:09:31,-33.91242,18.94155,0.0,0.0,0.90345,0.73654,acceptable_efficiency
